科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月
销售商品、提供劳务收到的现金,"44,867,951,000.00","21,457,139,000.00","46,192,655,000.00","9,966,715,000.00","28,785,149,000.00","44,795,287,000.00","73,852,577,000.00","8,376,296,000.00","33,811,054,000.00","50,902,398,000.00","89,187,517,000.00","17,365,081,000.00","33,772,705,000.00","50,342,821,000.00","91,487,993,000.00","13,497,409,000.00","32,750,779,000.00","48,313,410,000.00","96,576,684,000.00","15,305,526,000.00","35,872,756,000.00","56,572,685,000.00","126,801,568,000.00","18,263,455,000.00"
取得子公司及其他营业单位支付的现金净额,,"301,555,000.00","301,555,000.00",,,,"25,678,000.00","439,303,000.00","511,427,000.00","511,427,000.00","1,002,799,000.00",,,,"64,182,000.00",,,,"3,708,000.00",,,"47,092,000.00",,
收到的税费返还,"80,761,000.00","76,966,000.00","222,055,000.00","32,111,000.00","80,170,000.00","92,059,000.00","369,481,000.00","26,522,000.00","110,805,000.00","190,659,000.00","277,929,000.00","84,819,000.00","274,406,000.00","457,741,000.00","554,867,000.00","164,898,000.00","207,765,000.00","320,236,000.00","407,546,000.00","206,882,000.00","287,411,000.00","359,403,000.00","443,338,000.00","121,126,000.00"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"488,677,000.00","210,883,000.00","1,134,529,000.00","432,360,000.00","152,679,000.00","319,168,000.00","889,625,000.00","98,630,000.00","95,735,000.00","417,781,000.00","1,740,527,000.00","377,422,000.00","342,861,000.00","744,147,000.00","669,102,000.00","49,219,000.00","439,855,000.00","668,813,000.00","1,006,448,000.00","106,864,000.00","503,978,000.00","866,118,000.00","948,015,000.00","73,586,000.00"
投资活动现金流出小计,"2,581,783,000.00","1,482,070,000.00","3,684,994,000.00","905,604,000.00","2,263,795,000.00","4,478,150,000.00","7,594,710,000.00","2,189,228,000.00","4,535,693,000.00","4,973,174,000.00","9,056,406,000.00","1,081,523,000.00","3,000,162,000.00","3,991,911,000.00","6,722,415,000.00","1,040,323,000.00","3,605,687,000.00","5,573,623,000.00","7,065,403,000.00","2,186,365,000.00","3,287,006,000.00","4,443,251,000.00","13,674,198,000.00","2,345,166,000.00"
经营活动现金流入小计,"45,437,389,000.00","21,744,988,000.00","47,549,239,000.00","10,431,186,000.00","29,017,998,000.00","45,206,514,000.00","75,111,683,000.00","8,501,448,000.00","34,017,594,000.00","51,510,838,000.00","91,205,973,000.00","17,827,322,000.00","34,389,972,000.00","51,544,709,000.00","92,711,962,000.00","13,711,526,000.00","33,398,399,000.00","49,302,459,000.00","97,990,678,000.00","15,619,272,000.00","36,664,145,000.00","57,798,206,000.00","128,192,921,000.00","18,458,167,000.00"
投资活动产生的现金流量净额,"-2,099,401,000.00","-1,272,580,000.00","-3,144,414,000.00","-896,087,000.00","-2,189,521,000.00","-4,328,809,000.00","-7,148,141,000.00","-2,168,633,000.00","-4,450,587,000.00","-4,848,556,000.00","-8,772,319,000.00","-1,064,400,000.00","-2,803,807,000.00","-3,741,561,000.00","-6,070,496,000.00","-1,022,723,000.00","-2,967,525,000.00","-4,908,778,000.00","-5,801,069,000.00","-1,867,790,000.00","-2,372,226,000.00","-3,295,733,000.00","-9,990,840,000.00","1,746,597,000.00"
购买商品、接受劳务支付的现金,"33,479,445,000.00","15,185,809,000.00","39,565,959,000.00","11,713,789,000.00","28,140,871,000.00","41,694,805,000.00","65,564,527,000.00","12,558,901,000.00","36,901,873,000.00","52,637,726,000.00","80,189,247,000.00","15,493,785,000.00","31,966,275,000.00","46,440,199,000.00","75,681,051,000.00","13,582,556,000.00","29,620,405,000.00","46,315,064,000.00","74,902,187,000.00","18,365,018,000.00","38,730,894,000.00","54,926,191,000.00","93,518,186,000.00","15,438,621,000.00"
吸收投资收到的现金,"5,698,037,000.00","3,350,000.00","13,644,589,000.00",,"3,900,000.00","28,900,000.00","30,634,000.00",,"56,350,000.00","56,350,000.00","56,350,000.00","6,879,314,000.00","6,879,314,000.00","6,879,314,000.00","7,079,314,000.00",,,"30,576,000.00","91,988,000.00","21,298,000.00","7,852,179,000.00","7,852,179,000.00","7,873,678,000.00","15,840,000.00"
支付给职工以及为职工支付的现金,"4,016,277,000.00","1,765,135,000.00","4,167,417,000.00","1,177,276,000.00","2,239,939,000.00","3,627,686,000.00","5,343,615,000.00","1,642,279,000.00","3,282,621,000.00","5,016,539,000.00","7,334,554,000.00","1,774,030,000.00","3,519,621,000.00","5,401,349,000.00","8,114,103,000.00","1,872,487,000.00","3,774,819,000.00","5,844,714,000.00","8,782,277,000.00","2,344,663,000.00","4,411,030,000.00","6,956,197,000.00","9,913,002,000.00","2,576,125,000.00"
取得借款收到的现金,"28,103,539,000.00","4,808,568,000.00","18,958,650,000.00","2,737,743,000.00","3,526,336,000.00","14,089,840,000.00","23,242,645,000.00","12,597,089,000.00","22,676,320,000.00","37,314,521,000.00","42,603,414,000.00","13,765,144,000.00","20,903,988,000.00","23,579,613,000.00","38,024,628,000.00","7,497,778,000.00","26,406,313,000.00","34,123,928,000.00","69,546,851,000.00","24,250,000,000.00","31,465,131,000.00","41,015,842,000.00","78,045,147,000.00","5,578,960,000.00"
支付的各项税费,"1,676,701,000.00","818,930,000.00","1,583,061,000.00","404,579,000.00","932,719,000.00","1,128,584,000.00","1,787,818,000.00","823,273,000.00","1,359,902,000.00","2,046,856,000.00","2,962,441,000.00","1,221,137,000.00","2,150,966,000.00","2,945,441,000.00","4,131,526,000.00","1,894,576,000.00","2,335,884,000.00","3,623,292,000.00","5,070,268,000.00","1,914,985,000.00","3,337,523,000.00","4,621,284,000.00","6,033,437,000.00","2,141,513,000.00"
收到其他与筹资活动有关的现金,"1,020,000.00",,"11,156,000.00",,"1,290,000.00","1,290,000.00",,,"809,045,000.00","809,045,000.00","809,045,000.00",,,,,,,,,,,,"12,723,000.00",
