科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,157,754,004.96","1,189,714,684.24","1,210,031,707.08","781,383,451.11","1,161,199,038.19","1,690,033,343.58","275,486,751.13","605,013,140.34","906,092,713.29","1,365,240,169.13","264,715,524.51","615,813,707.48","1,096,227,853.47","1,642,725,647.52","586,946,577.03","1,216,225,111.99","1,931,522,704.40","2,660,036,869.18"
取得子公司及其他营业单位支付的现金净额,,,"61,449,348.79","2,390,206.64","2,390,206.64",,,,,,,,,,,,"13,564,323.88","41,564,323.88"
收到的税费返还,,"700,604.02",,,,,,"4,007,181.99","4,007,181.99","4,007,181.99","1,007,438.30","1,007,438.30","1,688,568.78","1,007,438.30",,,,"271,281.82"
支付其他与投资活动有关的现金,"454,732.54",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"94,294,405.38","80,600,640.24","64,132,377.25","162,709,462.51","376,272,452.45","128,480,193.75","51,559,917.24","110,089,206.35","185,849,608.26","204,242,151.97","53,083,340.48","95,849,357.59","118,552,793.59","153,966,724.81","41,775,867.18","56,764,235.08","91,421,622.54","109,426,591.15"
投资活动现金流出小计,"60,913,745.00","16,919,623.93","142,100,040.49","224,369,388.93","339,692,785.73","954,434,273.37","287,277,508.76","486,465,226.04","619,357,027.56","675,986,378.82","225,376,110.04","335,163,056.78","386,909,085.56","423,912,746.71","44,485,278.54","71,009,909.67","139,522,135.51","207,215,974.61"
经营活动现金流入小计,"1,252,048,410.34","1,271,015,928.50","1,274,164,084.33","944,092,913.62","1,537,471,490.64","1,818,513,537.33","327,046,668.37","719,109,528.68","1,095,949,503.54","1,573,489,503.09","318,806,303.29","712,670,503.37","1,216,469,215.84","1,797,699,810.63","628,722,444.21","1,272,989,347.07","2,022,944,326.94","2,769,734,742.15"
投资活动产生的现金流量净额,"-60,905,892.06","-13,918,136.93","-136,080,540.49","-178,664,291.86","-294,000,539.46","-497,138,756.36","-287,277,508.76","-486,465,226.04","-619,355,917.56","-675,791,071.74","-224,606,880.27","-334,388,427.01","-386,134,455.79","-422,384,876.67","-44,485,278.54","-71,011,024.67","-139,523,250.51","-206,465,974.61"
购买商品、接受劳务支付的现金,"991,732,140.60","924,351,902.60","1,013,320,601.57","715,011,826.70","1,277,569,121.99","1,223,562,078.62","294,415,139.21","489,627,893.46","778,941,857.59","1,278,216,857.62","414,868,469.90","772,416,998.41","1,215,777,299.05","1,692,928,850.20","704,782,624.48","1,479,116,855.47","2,532,890,472.00","3,461,157,435.18"
吸收投资收到的现金,,,,,"139,200,000.00","139,200,000.00",,,,"1,232,499,989.34",,,"50,000,000.00","50,000,000.00",,,,
支付给职工以及为职工支付的现金,"114,154,988.89","155,790,933.07","189,241,005.84","125,547,442.30","191,710,707.22","264,860,793.71","76,497,643.87","160,335,553.24","242,518,716.79","326,153,215.71","90,639,401.55","171,322,939.40","250,831,114.71","337,816,060.63","104,367,605.99","185,913,687.38","276,274,987.73","364,181,527.71"
取得借款收到的现金,"402,000,000.00","548,000,000.00","928,000,000.00","474,000,000.00","813,000,000.00","1,277,000,000.00","634,000,000.00","909,581,210.80","1,637,581,210.80","2,372,081,210.80","550,000,000.00","1,030,000,000.00","1,599,500,000.00","2,361,147,260.00","800,000,000.00","2,109,000,000.00","2,699,000,000.00","4,304,643,300.50"
支付的各项税费,"63,800,958.77","68,084,866.17","68,735,555.37","39,664,922.76","54,850,251.27","61,078,114.78","5,263,738.59","9,830,289.87","24,648,784.64","83,735,627.88","4,264,158.35","15,209,378.18","27,919,699.36","49,188,678.04","4,087,233.45","8,383,369.52","18,764,798.68","31,701,514.22"
收到其他与筹资活动有关的现金,,,,,"100,000,000.00","110,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,,"10,000,000.00",,,,"5,493,000.00"
支付其他与经营活动有关的现金,"112,757,058.73","105,425,673.80","122,439,931.32","40,701,001.76","122,705,644.92","145,895,371.17","37,756,865.54","55,974,421.06","85,330,468.16","146,731,738.87","47,665,412.29","94,110,586.99","123,847,218.38","189,168,575.84","64,405,930.19","111,810,274.39","139,530,714.96","153,792,891.48"
筹资活动现金流入小计,"402,000,000.00","548,000,000.00","928,000,000.00","474,000,000.00","1,052,200,000.00","1,526,200,000.00","734,000,000.00","1,009,581,210.80","1,737,581,210.80","3,704,581,200.14","550,000,000.00","1,030,000,000.00","1,649,500,000.00","2,421,147,260.00","800,000,000.00","2,109,000,000.00","2,699,000,000.00","4,310,136,300.50"
经营活动现金流出小计,"1,282,445,146.99","1,253,653,375.64","1,393,737,094.10","920,925,193.52","1,646,835,725.40","1,695,396,358.28","413,933,387.21","715,768,157.63","1,131,439,827.18","1,834,837,440.08","557,437,442.09","1,053,059,902.98","1,618,375,331.50","2,269,102,164.71","877,643,394.11","1,785,224,186.76","2,967,460,973.37","4,010,833,368.59"
偿还债务支付的现金,"260,699,999.99","535,799,999.96","465,799,999.96","290,399,999.98","571,099,999.97","1,057,353,122.96","364,699,999.99","490,900,000.13","1,051,900,000.13","1,456,900,000.13","1,140,734,600.00","1,382,734,600.00","1,872,234,600.00","2,302,234,600.00","585,000,000.00","1,394,500,000.00","1,734,500,000.00","2,526,147,260.00"
经营活动产生的现金流量净额,"-30,396,736.65","17,362,552.86","-119,573,009.77","23,167,720.10","-109,364,234.76","123,117,179.05","-86,886,718.84","3,341,371.05","-35,490,323.64","-261,347,936.99","-238,631,138.80","-340,389,399.61","-401,906,115.66","-471,402,354.08","-248,920,949.90","-512,234,839.69","-944,516,646.43","-1,241,098,626.44"
分配股利、利润或偿还利息支付的现金,"50,235,435.49","31,522,022.52","35,851,743.12","26,010,178.98","37,966,559.98","56,274,594.96","16,146,812.96","128,942,357.13","154,670,104.30","177,206,093.44","17,068,475.74","187,843,883.22","213,394,236.67","238,051,320.07","19,985,923.95","56,011,802.72","77,911,703.84","131,351,550.67"
收回投资收到的现金,,,"324,000.00",,,,,,,,,,,,,,,"750,000.00"
支付其他与筹资活动有关的现金,"9,855,306.72","8,398,857.46",,,,,"3,096,666.67","3,096,666.67","7,844,583.33","7,844,583.33","17,573,611.00","17,573,611.00","47,841,657.64","47,921,657.64","29,615,812.27","29,615,812.27","59,066,153.19","59,066,153.19"
取得投资收益收到的现金,,"2,957,300.00",,"750,000.00","750,000.00","750,000.00",,,,,,,,,,,,
筹资活动现金流出小计,"320,790,742.20","575,720,879.94","501,651,743.08","316,410,178.96","609,066,559.95","1,113,627,717.92","383,943,479.62","622,939,023.93","1,214,414,687.76","1,641,950,676.90","1,175,376,686.74","1,588,152,094.22","2,133,470,494.31","2,588,207,577.71","634,601,736.22","1,480,127,614.99","1,871,477,857.03","2,716,564,963.86"
处置固定资产、无形资产和其他长期资产收回的现金净额,"7,852.94","44,187.00",,"102,537.07","89,686.27","456,545,517.01",,,"1,110.00","195,307.08","769,229.77","774,629.77","774,629.77","1,527,870.04",,"-1,115.00","-1,115.00",
筹资活动产生的现金流量净额,"81,209,257.80","-27,720,879.94","426,348,256.92","157,589,821.04","443,133,440.05","412,572,282.08","350,056,520.38","386,642,186.87","523,166,523.04","2,062,630,523.24","-625,376,686.74","-558,152,094.22","-483,970,494.31","-167,060,317.71","165,398,263.78","628,872,385.01","827,522,142.97","1,593,571,336.64"
处置子公司及其他营业单位收到的现金净额,,,"5,695,500.00",,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-394,030.19","11,178.03",,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,"44,852,560.00","44,852,560.00",,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
