科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"20,703,695.34","55,148,859.44","72,838,105.95","151,211,920.25","77,791,983.69","102,349,288.70","184,126,602.48","44,988,308.93","161,003,561.84","267,816,515.18","381,821,132.93","159,788,004.54","239,635,028.49","332,605,024.97","543,325,957.39","132,711,309.73","417,553,109.73","802,194,781.52","1,458,402,367.07","857,350,832.60","2,289,819,189.49","4,047,776,079.91","5,829,074,513.65","1,385,540,490.95","3,472,644,595.09","5,934,236,703.92","10,044,744,599.42","2,821,414,626.26","7,889,998,858.84","11,833,407,221.01","14,634,188,704.16","2,630,848,829.83","3,583,676,403.36","4,476,235,969.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,"204,970,429.15","204,970,429.15","239,204,736.97",,,,,,,,,,,
收到的税费返还,,,,,,,,,,"1,537,700.00","1,537,700.00","4,111,800.00","6,814,800.00","12,172,800.00","12,190,500.00","174,690.35","174,690.35","4,050,690.35","4,507,690.35",,"12,043,090.00","12,137,715.60","186,020.67",,,,"1,127,498.50",,,"919,803.41","30,288,787.69","4,935,395.81","20,404,575.71","20,404,575.71"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"4,116.00","54,116.00","54,116.00","4,320.00","646,494.55","649,936.75","853,176.75","2,606.44","3,912.09","3,912.09","3,912.09",,"4,533,291.83","4,540,439.83","89,733,291.83",,,,"669,875,613.00","67,000,000.00",,"136,000,000.00"
收到其他与经营活动有关的现金,"3,578,962.43","843,142.66","7,963,479.78","8,863,806.63","2,113,491.69","6,856,519.00","9,908,117.42","3,616,840.34","9,733,777.99","21,999,435.83","23,731,303.15","59,588,271.69","81,227,728.74","84,443,750.65","109,221,818.91","151,896,449.80","86,510,473.91","193,150,184.37","146,426,905.84","8,238,293.19","81,722,926.72","469,630,977.11","139,137,661.24","78,702,023.22","183,112,104.02","253,869,228.66","113,285,059.83","6,673,057.47","326,061,122.77","1,210,361,330.01","673,072,377.74","778,797,096.80","374,225,110.23","858,171,870.33"
投资活动现金流出小计,"4,970,367.00","31,885,885.00","66,596,111.85","128,176,988.85","96,941,210.64","158,210,373.40","265,381,351.34","174,637,418.39","404,703,338.69","729,613,826.58","921,852,178.51","161,412,496.67","347,819,519.56","555,485,720.50","775,307,270.05","267,339,871.10","489,685,333.28","694,341,138.03","907,684,536.13","293,121,272.07","768,082,324.24","1,093,817,741.54","1,602,584,606.41","601,945,760.24","1,293,779,589.34","2,167,050,469.28","3,041,311,028.39","1,082,517,312.66","4,042,129,451.51","7,318,119,754.39","9,798,602,373.95","1,726,425,243.74","2,028,424,526.66","2,615,707,689.09"
经营活动现金流入小计,"24,282,657.77","55,992,002.10","80,801,585.73","160,075,726.88","79,905,475.38","109,205,807.70","194,034,719.90","48,605,149.27","170,737,339.83","291,353,651.01","407,090,136.08","223,488,076.23","327,677,557.23","429,221,575.62","664,738,276.30","284,782,449.88","504,238,273.99","999,395,656.24","1,609,336,963.26","865,589,125.79","2,383,585,206.21","4,529,544,772.62","5,968,398,195.56","1,464,242,514.17","3,655,756,699.11","6,188,105,932.58","10,159,157,157.75","2,828,087,683.73","8,277,506,262.19","13,113,995,720.83","15,767,356,303.71","3,283,611,843.31","4,019,234,054.09","5,399,875,744.70"
投资活动产生的现金流量净额,"-4,970,367.00","-31,885,885.00","-66,596,111.85","-128,176,988.85","-96,941,210.64","-158,210,373.40","-263,481,351.34","-174,637,418.39","-404,703,338.69","-729,613,826.58","-864,172,939.25","-161,412,496.67","-336,319,519.56","-543,985,720.50","-763,807,270.05","-266,779,871.10","-481,575,333.28","-685,231,138.03","-897,667,036.13","-289,072,392.07","-764,033,444.24","-1,089,768,861.54","-1,525,677,639.53","-545,282,639.13","-1,237,223,068.23","-2,110,493,948.17","-2,984,750,156.60","-1,022,512,178.08","-3,981,308,625.79","-7,257,291,539.37","-9,675,379,592.26","-296,289,710.59","-1,334,478,292.84","-1,918,270,006.37"
购买商品、接受劳务支付的现金,"2,057,419.70","2,162,417.20","8,330,506.83","18,813,125.08","13,613,789.18","20,324,480.21","21,652,705.17","12,382,402.16","38,793,568.27","69,340,493.97","72,257,891.37","35,253,037.79","88,748,929.98","178,091,340.78","247,139,262.32","74,038,001.14","165,158,304.60","356,492,827.24","841,089,485.95","521,552,124.01","1,448,256,114.31","3,411,004,897.81","4,813,753,614.62","1,357,487,093.24","2,450,536,318.85","4,320,795,613.98","7,562,564,647.71","2,158,124,310.16","6,105,175,876.63","9,859,277,182.42","12,721,979,030.65","3,226,163,987.21","4,856,930,049.89","6,400,620,812.77"
吸收投资收到的现金,,"52,800,000.00",,,,"681,557,095.66","684,960,000.00",,,,,,,"28,280,000.00","35,480,000.00","131,277,930.00","218,526,800.01","551,135,649.68","551,478,022.94","288,399,997.04","415,591,396.76","415,591,396.76","420,397,521.88",,,"153,694,981.81","47,910,284.84","1,002,250,000.00","3,951,783,125.16","8,817,329,587.38","11,144,513,209.84","2,187,735,251.82","4,257,135,251.82","5,459,495,251.82"
