科目,2013-12-31,2014-12-31,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"163,561,946.71","373,751,469.11","231,508,613.15","566,777,988.83","399,784,100.88","1,327,922,686.52","1,223,824,204.61","1,256,268,719.31"
短期借款,"70,000,000.00","45,000,000.00","53,000,000.00","120,000,000.00","30,000,000.00","30,000,000.00",,
交易性金融资产,,,,,,,,
交易性金融负债,,,,,,,,
应收票据,,,,,,,,
应付票据,,,,,,,,
应收账款,"4,550,747.98","706,058.59","1,574,860.14","1,911,749.18","3,531,721.33","2,726,844.94","2,838,583.46","2,911,997.70"
应付账款,"129,658,588.70","168,747,943.73","152,770,325.46","181,560,663.96","174,817,925.23","184,894,293.94","204,513,501.35","292,555,064.22"
预付款项,"81,220,630.81","52,096,269.64","49,431,431.28","101,201,451.51","44,009,975.18","84,530,775.26","79,956,955.52","175,620,344.29"
预收款项,"66,703,215.46","83,649,527.42","91,181,942.27","146,505,799.50","92,160,782.89","104,854,669.06","90,605,581.38","173,956,729.89"
其他应收款,"7,686,530.64","13,264,815.81","43,549,628.08","19,636,256.57","18,832,633.94","20,288,970.64","31,884,161.38","37,260,660.85"
应付职工薪酬,"21,488,859.62","29,131,616.82","29,896,297.78","28,499,933.43","31,878,242.20","23,525,694.27","31,299,293.73","35,581,711.33"
应收关联公司款,,,,,,,,
应交税费,"22,337,851.54","25,345,355.23","34,088,273.45","50,985,335.76","49,151,813.99","67,943,686.66","58,440,127.14","58,560,925.32"
应收利息,,,,,,,,
应付利息,,,"112,500.00","150,000.00",,,,
应收股利,,,,,,,,
应付股利,"576,000.00","1,382,400.00","2,396,160.00","3,640,320.00","3,640,320.00","3,640,320.00","5,351,040.00","5,351,040.00"
存货,"239,512,413.67","199,343,151.90","350,759,224.39","311,872,030.38","408,275,308.19","293,919,492.60","273,854,727.44","336,298,233.99"
其他应付款,"39,582,534.96","44,207,395.12","55,421,150.66","94,365,977.87","70,805,622.83","96,226,711.45","124,043,337.82","179,657,889.52"
其中:消耗性生物资产,,,,,,,,
应付关联公司款,,,,,,,,
一年内到期的非流动资产,,,,,,,,
一年内到期的非流动负债,,,,,,,,
其他流动资产,"5,909,640.34","6,840,523.22","10,406,192.47","5,889,442.73","11,514,940.23","14,842,430.34","17,514,064.46","22,173,074.70"
其他流动负债,,,,,,,,
流动资产合计,"502,441,910.15","646,002,288.27","687,229,949.51","1,007,288,919.20","885,948,679.75","1,744,231,200.30","1,629,872,696.87","1,830,533,030.84"
流动负债合计,"350,347,050.28","397,464,238.32","418,866,649.62","625,708,030.52","452,454,707.14","511,085,375.38","514,252,881.42","745,663,360.28"
可供出售金融资产,,,,,,,"1,000,000.00","1,000,000.00"
长期借款,,,,"30,000,000.00","29,900,000.00","29,900,000.00",,
持有至到期投资,,,,,,,,
应付债券,,,,,,,,
长期应收款,,,,,,,,
长期应付款,,,,,,,,
长期股权投资,"159,348,046.57","147,249,133.98","157,758,015.84","131,180,097.13","130,867,495.68","130,567,792.72","130,217,078.13","242,117,110.72"
专项应付款,,,,,,,,
投资性房地产,,,,,,,,
预计负债,,,,,,,,
固定资产,"225,825,723.36","286,985,433.68","301,725,379.53","436,221,787.13","431,187,391.90","498,735,519.23","515,686,340.25","527,361,639.57"
递延所得税负债,"239,989.06","234,900.95","229,812.84","225,996.76","224,724.73","224,724.73","222,180.68","224,724.73"
在建工程,"75,840,988.66","87,638,607.89","233,997,178.10","234,048,449.28","289,810,026.39","253,501,825.76","274,610,407.20","321,796,924.85"
其他非流动负债,,,,,,,,
工程物资,,"66,725.29","3,358.14",,,,,
非流动负债合计,"4,365,989.06","4,237,494.17","12,272,072.66","42,096,333.07","44,132,168.52","43,951,040.71","14,112,035.50","17,523,786.72"
固定资产清理,,,,,,,,
负债合计,"354,713,039.34","401,701,732.49","431,138,722.28","667,804,363.59","496,586,875.66","555,036,416.09","528,364,916.92","763,187,147.00"
生产性生物资产,,,,,,,,
实收资本(或股本),"180,000,000.00","360,000,000.00","360,000,000.00","360,000,000.00","360,000,000.00","410,000,000.00","410,000,000.00","410,000,000.00"
油气资产,,,,,,,,
资本公积,"252,501,839.21","72,501,839.21","72,501,839.21","72,501,839.21","72,501,839.21","766,709,386.38","766,709,386.38","766,709,386.38"
无形资产,"129,507,105.35","137,153,524.70","143,227,314.78","135,594,009.19","132,710,809.63","130,480,230.42","144,244,196.05","141,714,186.51"
盈余公积,"16,518,718.90","32,837,119.84","52,785,488.63","52,785,488.63","62,843,780.60","62,843,780.60","62,843,780.60","62,843,780.60"
开发支出,,,,,,,,
减:库存股,,,,,,,,
商誉,,,,,,,,
未分配利润,"338,230,601.44","495,250,426.82","696,918,161.30","872,487,650.31","969,963,119.14","1,084,667,832.55","1,072,412,694.45","1,212,241,194.35"
长期待摊费用,"48,228,696.92","47,716,212.68","50,658,235.04","45,753,363.41","42,513,043.65","40,831,850.72","43,772,646.32","41,216,764.76"
少数股东权益,,,,,,,"4,191,515.10","3,266,739.46"
递延所得税资产,"771,615.63","638,529.02","728,095.26","579,490.18","1,054,664.58","1,040,841.61","1,022,924.06","935,810.33"
外币报表折算价差,,,,,,,,
其他非流动资产,,"8,840,569.78","38,016,799.39","34,913,417.73","47,804,012.97","79,868,437.96","102,944,835.08","109,964,202.08"
非正常经营项目收益调整,,,,,,,,
非流动资产合计,"639,522,176.49","716,288,737.02","926,114,376.08","1,018,290,614.05","1,075,947,444.80","1,135,026,498.42","1,213,498,427.09","1,386,106,638.82"
所有者权益(或股东权益)合计,"787,251,047.30","960,589,292.80","1,182,205,603.31","1,357,775,169.66","1,465,309,248.89","2,324,221,282.63","2,315,006,207.04","2,453,452,522.66"
资产总计,"1,141,964,086.64","1,362,291,025.29","1,613,344,325.59","2,025,579,533.25","1,961,896,124.55","2,879,257,698.72","2,843,371,123.96","3,216,639,669.66"
负债和所有者(或股东权益)合计,"1,141,964,086.64","1,362,291,025.29","1,613,344,325.59","2,025,579,533.25","1,961,896,124.55","2,879,257,698.72","2,843,371,123.96","3,216,639,669.66"
