科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"464,871,433.64","412,591,061.61","336,573,345.38","118,278,123.79","196,087,470.70","261,460,094.75","45,150,154.47","98,543,580.47","151,939,643.56","198,020,233.20"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,"59,694.66","185,601.65",,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,"1,252,220,000.00"
收到其他与经营活动有关的现金,"13,893,596.60","21,929,137.43","17,886,602.92","14,205,067.70","17,698,086.94","60,395,933.52","8,907,379.82","19,358,912.47","25,129,938.82","10,709,029.72"
投资活动现金流出小计,"26,355,981.78","14,673,746.82","8,260,900.30","265,055.94","1,426,809.15","1,908,914.96","214,100.00","2,657,555.00","929,105,687.04","1,257,046,457.88"
经营活动现金流入小计,"478,765,030.24","434,579,893.70","354,645,549.95","132,483,191.49","213,785,557.64","321,856,028.27","54,057,534.29","117,902,492.94","177,069,582.38","208,729,262.92"
投资活动产生的现金流量净额,"-24,142,438.32","-14,506,080.09","-7,685,276.49","18,050,188.91","16,907,062.90","16,809,780.01","-196,100.00","-396,656.00","-264,559,941.53","-303,461,862.71"
购买商品、接受劳务支付的现金,"204,460,500.28","151,764,189.41","121,430,539.53","42,241,592.14","72,220,698.82","98,539,887.27","21,490,389.23","43,661,275.73","65,147,082.57","70,221,770.66"
吸收投资收到的现金,,,,,,"160,699,816.62",,,,"90,000.00"
支付给职工以及为职工支付的现金,"107,883,824.23","111,551,956.22","99,950,978.13","42,991,780.06","68,126,817.37","87,123,640.01","18,235,117.57","33,233,407.21","54,533,528.22","73,121,897.97"
取得借款收到的现金,,,,,,,,,,
支付的各项税费,"23,380,071.88","29,911,853.67","23,098,566.93","9,817,848.06","16,687,749.32","23,782,410.33","4,302,005.96","8,715,853.52","13,426,419.28","23,097,467.18"
收到其他与筹资活动有关的现金,,,,,,"9,484,329.20","1,030,193.13",,,
支付其他与经营活动有关的现金,"71,277,970.50","53,208,604.70","54,278,099.58","43,870,288.68","88,953,688.65","33,195,211.00","258,203,642.52","314,507,882.15","25,646,624.82","23,815,398.61"
筹资活动现金流入小计,,,,,,"170,184,145.82","1,030,193.13",,,"90,000.00"
经营活动现金流出小计,"407,002,366.89","346,436,604.00","298,758,184.17","138,921,508.94","245,988,954.16","242,641,148.61","302,231,155.28","400,118,418.61","158,753,654.89","190,256,534.42"
偿还债务支付的现金,"8,736,333.28","485,500.00",,,,,,,,
经营活动产生的现金流量净额,"71,762,663.35","88,143,289.70","55,887,365.78","-6,438,317.45","-32,203,396.52","79,214,879.66","-248,173,620.99","-282,215,925.67","18,315,927.49","18,472,728.50"
分配股利、利润或偿还利息支付的现金,"7,742,032.00","45,312,683.75","25,152,845.23","79,243.93","79,243.93","79,243.93",,"85,360.78","13,429,361.73","13,419,360.78"
收回投资收到的现金,,,,,,,,,"656,000,000.00",
支付其他与筹资活动有关的现金,,,,,,,"1,980,000.00","4,991,486.97","4,991,486.97","6,156,058.93"
取得投资收益收到的现金,,,,,,,,,"6,280,346.51",
筹资活动现金流出小计,"16,478,365.28","45,798,183.75","25,152,845.23","79,243.93","79,243.93","79,243.93","1,980,000.00","5,076,847.75","18,420,848.70","19,575,419.71"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,213,543.46","167,666.73","575,623.81","18,315,244.85","18,333,872.05","18,718,694.97","18,000.00","2,260,899.00","2,265,399.00","2,493,259.43"
筹资活动产生的现金流量净额,"-16,478,365.28","-45,798,183.75","-25,152,845.23","-79,243.93","-79,243.93","170,104,901.89","-949,806.87","-5,076,847.75","-18,420,848.70","-19,485,419.71"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-19,948.24","66,862.07","-20,937.29",-388.61,-388.61,"-4,693.27",,"3,418.21","3,245.20","3,777.96"
收到其他与投资活动有关的现金,,,,,,,,,,"951,091,335.74"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"2,213,543.46","167,666.73","575,623.81","18,315,244.85","18,333,872.05","18,718,694.97","18,000.00","2,260,899.00","664,545,745.51","953,584,595.17"
五、现金及现金等价物净增加额,"31,121,911.51","27,905,887.93","23,028,306.77","11,532,238.92","-15,375,966.16","266,124,868.29","-249,319,527.86","-287,686,011.21","-264,661,617.54","-304,470,775.96"
购建固定资产、无形资产和其他长期资产支付的现金,"26,355,981.78","14,667,746.82","8,260,900.30","265,055.94","1,426,809.15","1,908,914.96","214,100.00","2,657,555.00","3,105,687.04","4,826,457.88"
期初现金及现金等价物余额,"39,290,703.78","70,412,615.29","98,318,503.22","121,346,809.99","121,346,809.99","121,346,809.99","387,471,678.28","387,471,678.28","387,471,678.28","387,471,678.28"
投资支付的现金,,"6,000.00",,,,,,,"926,000,000.00",
期末现金及现金等价物余额,"70,412,615.29","98,318,503.22","121,346,809.99","132,879,048.91","105,970,843.83","387,471,678.28","138,152,150.42","99,785,667.07","122,810,060.74","83,000,902.32"
