科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"119,112,963.06","232,043,880.75","294,430,046.28","160,803,001.16","288,538,816.79","360,125,776.58","98,990,458.80","265,598,817.07","429,939,155.70","690,048,908.81","253,129,954.12","638,182,189.40","873,745,102.18","1,302,387,821.32","434,915,349.31","1,493,624,419.00","2,313,500,529.45","2,733,649,999.66","337,931,949.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,"14,257.88","458,664.52","115,912.94",,,"231,256.27","416,717.00","416,717.00","416,717.00","416,717.00",,,,497.90,"421,603.84","2,622,078.02","5,847,483.57","5,842,310.17","6,977,052.64"
支付其他与投资活动有关的现金,,,,,,"105,567,749.95","1,257,289.00","33,658,204.42","67,658,204.42","2,129,589.00","11,482,440.60","20,032,440.60","150,868,610.09","223,345,780.06",,,,"32,013,609.65","174,000.00"
收到其他与经营活动有关的现金,"26,932,870.61","23,149,180.37","14,924,362.69","13,648,800.41","28,761,058.30","109,027,840.39","39,122,929.68","118,204,154.05","189,573,249.46","247,545,284.73","102,402,355.19","170,491,157.27","248,794,564.28","345,975,858.49","231,733,517.59","243,876,202.15","339,195,331.75","532,457,456.84","14,725,656.20"
投资活动现金流出小计,"40,219,990.53","75,152,239.53","36,118,475.86","26,014,625.88","34,093,357.76","147,177,844.57","43,945,977.54","159,555,953.08","348,686,221.92","392,947,175.90","85,162,082.06","297,990,255.64","545,212,399.58","909,017,766.76","211,309,248.26","490,145,659.24","622,991,545.95","422,227,717.80","122,072,065.52"
经营活动现金流入小计,"146,060,091.55","255,651,725.64","309,470,321.91","174,451,801.57","317,299,875.09","469,384,873.24","138,530,105.48","384,219,688.12","619,929,122.16","938,010,910.54","355,532,309.31","808,673,346.67","1,124,247,571.23","1,648,364,177.71","667,070,470.74","1,740,122,699.17","2,658,543,344.77","3,271,949,766.67","359,634,658.79"
投资活动产生的现金流量净额,"-40,219,990.53","-75,152,239.53","-36,118,475.86","-26,014,625.88","-34,093,357.76","-145,588,741.59","-43,776,536.63","-125,537,306.11","-314,487,824.95","-222,502,658.45","-73,217,582.06","-247,448,807.58","-509,347,596.80","-796,722,402.95","-137,249,248.26","-363,895,360.69","-473,681,122.90","-116,106,804.01","-122,071,945.46"
购买商品、接受劳务支付的现金,"63,784,269.82","112,791,190.51","148,407,020.91","65,582,939.18","182,311,071.85","309,950,345.52","77,550,444.42","249,892,621.53","348,221,911.95","402,378,996.57","196,774,717.13","429,613,334.41","690,152,243.15","1,185,235,310.86","460,883,876.53","1,551,254,846.00","2,342,031,856.74","2,988,968,095.38","388,244,176.67"
吸收投资收到的现金,,,,,"360,421,068.00","360,421,068.00","490,000.00","490,000.00","200,490,000.00","490,000.00",,,"2,500,000.00","72,311,600.00",,"10,000,000.00","10,000,000.00","1,386,746,335.35","73,808,913.90"
支付给职工以及为职工支付的现金,"8,633,981.11","14,788,581.94","18,554,315.67","11,740,564.97","17,542,841.65","24,298,732.85","6,936,911.38","13,677,539.38","22,732,933.99","34,623,608.56","13,077,737.30","26,971,693.01","43,678,575.12","79,346,946.09","47,723,740.25","92,002,148.22","140,334,412.40","200,845,121.62","47,623,530.80"
取得借款收到的现金,"50,000,000.00","15,000,000.00","39,000,000.00","15,000,000.00","15,000,000.00","77,200,000.00","16,731,250.00","173,025,764.47","203,367,293.24","204,633,200.00","133,105,625.00","173,105,625.00","948,623,486.16","1,030,478,160.01","146,902,770.00","659,245,515.00","881,700,015.00","993,086,721.76","235,000,000.00"
支付的各项税费,"18,326,423.59","35,212,711.80","41,430,953.82","32,447,850.71","47,606,929.09","52,157,193.14","8,221,725.01","20,143,596.87","28,383,246.84","49,549,572.96","20,184,850.97","47,417,476.30","83,578,591.03","79,686,909.68","62,117,100.41","103,976,278.77","148,197,705.77","135,129,898.42","29,880,416.50"
收到其他与筹资活动有关的现金,,,,,,,,,,"200,021,458.24",,,,"466,954,822.10",,,"13,000,000.00","51,700,000.00",
支付其他与经营活动有关的现金,"34,462,674.59","29,320,803.77","30,227,645.94","45,622,853.00","65,176,580.03","156,922,572.15","28,772,547.79","134,649,765.03","212,221,315.91","348,511,383.00","127,117,345.10","251,036,251.80","318,411,335.59","457,139,384.90","307,209,118.21","342,321,715.76","531,264,642.23","666,340,979.84","115,524,609.11"
筹资活动现金流入小计,"50,000,000.00","15,000,000.00","39,000,000.00","15,000,000.00","375,421,068.00","437,621,068.00","17,221,250.00","173,515,764.47","403,857,293.24","405,144,658.24","133,105,625.00","173,105,625.00","951,123,486.16","1,569,744,582.11","146,902,770.00","669,245,515.00","904,700,015.00","2,431,533,057.11","308,808,913.90"
经营活动现金流出小计,"125,207,349.11","192,113,288.02","238,619,936.34","155,394,207.86","312,637,422.62","543,328,843.66","121,481,628.60","418,363,522.81","611,559,408.69","835,063,561.09","357,154,650.50","755,038,755.52","1,135,820,744.89","1,801,408,551.53","877,933,835.40","2,089,554,988.75","3,161,828,617.14","3,991,284,095.26","581,272,733.08"
