科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"429,929,993.91","466,169,880.03","525,428,514.04","127,134,993.41","255,580,377.42","415,157,324.74","590,867,438.41","137,128,058.21","266,369,420.53","427,111,114.99","574,646,433.41","136,064,809.46","297,435,040.60","475,060,757.25","673,251,871.40","195,285,108.90"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"16,162,528.55","13,966,335.00","19,573,059.08","5,517,829.08","9,690,324.47","15,786,697.37","23,292,217.96","5,459,674.93","12,959,258.88","19,281,675.88","22,740,297.55","4,365,996.64","7,235,270.94","13,418,222.83","16,881,621.37","5,132,740.75"
支付其他与投资活动有关的现金,,,"2,650,000.00",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"8,901,737.57","4,102,216.23","1,085,236.32","12,364,433.23","1,538,019.76","6,234,956.55","3,154,392.06","327,281.17","1,342,495.17","6,568,979.43","8,473,495.48","740,310.00","2,877,138.12","4,004,859.69","4,067,499.34","596,913.85"
投资活动现金流出小计,"48,669,839.09","43,062,286.20","54,136,397.81","306,158,964.54","420,991,084.05","678,318,764.68","765,761,728.35","96,284,136.26","332,130,949.91","808,624,449.86","916,308,481.26","328,302,111.20","569,587,587.71","760,789,091.41","1,172,278,407.73","236,534,969.09"
经营活动现金流入小计,"454,994,260.03","484,238,431.26","546,086,809.44","145,017,255.72","266,808,721.65","437,178,978.66","617,314,048.43","142,915,014.31","280,671,174.58","452,961,770.30","605,860,226.44","141,171,116.10","307,547,449.66","492,483,839.77","694,200,992.11","201,014,763.50"
投资活动产生的现金流量净额,"-48,342,284.54","-42,994,286.20","-54,136,397.81","-306,158,964.54","-259,836,923.50","-325,303,508.71","-353,934,536.30","104,456,582.24","16,400,471.23","-40,558,985.67","-82,117,202.01","11,548,499.52","52,757,255.88","65,308,742.58","-22,387,274.54","-25,314,577.44"
购买商品、接受劳务支付的现金,"212,362,919.18","218,032,706.99","240,812,263.04","68,278,217.38","136,223,564.99","209,770,884.05","299,272,885.41","73,224,820.68","128,171,243.89","222,877,543.51","277,380,664.31","76,481,492.79","143,913,739.11","240,488,428.27","331,226,324.15","126,455,728.88"
吸收投资收到的现金,"2,450,000.00",,,"347,140,048.85","357,520,000.00","357,520,000.00","357,520,000.00",,,"2,000,000.00","6,000,000.00",,"4,800,000.00","4,800,000.00","6,500,000.00","4,000,000.00"
支付给职工以及为职工支付的现金,"96,314,893.25","121,347,245.54","126,987,093.63","33,493,524.93","75,634,613.47","112,198,585.73","152,160,546.94","34,635,845.58","70,609,564.67","106,082,946.17","150,162,051.45","39,036,209.00","79,380,082.89","123,931,763.36","183,271,597.04","50,915,387.81"
取得借款收到的现金,,"45,000,000.00","45,000,000.00",,,,,,,,,,,,,
支付的各项税费,"34,390,652.23","38,621,330.80","34,931,317.02","7,027,388.10","16,905,377.85","33,465,973.18","38,674,325.48","8,793,364.64","21,886,055.25","34,349,253.41","36,827,929.43","9,490,295.79","23,463,199.87","37,166,751.66","39,243,500.07","12,695,966.04"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"28,691,681.82","33,384,034.34","36,012,684.44","21,855,993.75","22,775,245.89","46,742,158.06","45,740,167.26","15,247,596.32","35,449,148.83","56,123,071.87","56,141,565.84","19,465,845.59","42,905,302.25","64,329,800.68","66,115,742.69","24,171,486.99"
筹资活动现金流入小计,"2,450,000.00","45,000,000.00","45,000,000.00","347,140,048.85","357,520,000.00","357,520,000.00","357,520,000.00",,,"2,000,000.00","6,000,000.00",,"4,800,000.00","4,800,000.00","6,500,000.00","4,000,000.00"
经营活动现金流出小计,"371,760,146.48","411,385,317.67","438,743,358.13","130,655,124.16","251,538,802.20","402,177,601.02","535,847,925.09","131,901,627.22","256,116,012.64","419,432,814.96","520,512,211.03","144,473,843.17","289,662,324.12","465,916,743.97","619,857,163.95","214,238,569.72"
偿还债务支付的现金,"17,750,000.00","57,000,000.00","65,250,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00",,,,,,,,,
经营活动产生的现金流量净额,"83,234,113.55","72,853,113.59","107,343,451.31","14,362,131.56","15,269,919.45","35,001,377.64","81,466,123.34","11,013,387.09","24,555,161.94","33,528,955.34","85,348,015.41","-3,302,727.07","17,885,125.54","26,567,095.80","74,343,828.16","-13,223,806.22"
分配股利、利润或偿还利息支付的现金,"19,220,091.55","4,031,262.12","14,042,075.66","660,333.33","660,333.33","23,022,933.33","30,660,333.33",,,,,,"24,609,306.79","30,000,000.00","30,000,000.00",
