科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动现金流入小计,"11,100,000.00","5,000,000.00","15,000,000.00",,"244,272,000.00","244,272,000.00","30,000,000.00","30,000,000.00","20,000,000.00","26,217,650.00","1,700,000.00","1,700,000.00","3,700,000.00",,"20,000,000.00","20,000,000.00","50,000,000.00","50,000,000.00","20,000,000.00","30,000,000.00","183,767,996.32","263,767,996.32","100,000,000.00","150,000,000.00","180,000,000.00","260,000,000.00","40,000,000.00","424,826,300.00","489,826,300.00","582,826,300.00","175,000,000.00","306,093,000.00","306,093,000.00","671,098,256.31","411,609,000.00","626,609,000.00","753,409,000.00","1,385,251,922.32","694,000,000.00"
经营活动现金流出小计,"41,915,498.58","62,087,811.51","69,067,033.66","50,567,762.52","75,118,834.13","106,902,581.19","21,064,782.84","49,092,666.71","80,488,340.77","117,071,435.71","22,072,891.66","63,682,494.51","103,953,873.25","149,707,071.23","41,322,484.73","73,396,266.13","132,889,272.23","157,434,281.08","54,989,652.82","93,231,565.39","183,832,945.87","340,051,998.60","174,189,474.46","330,681,825.73","448,995,973.59","556,364,140.69","150,824,000.46","291,355,549.03","640,583,292.21","575,691,596.30","165,119,627.69","307,278,128.61","451,989,580.14","706,337,536.78","155,580,593.05","352,932,603.31","591,872,033.35","778,563,694.31","284,416,175.37"
偿还债务支付的现金,,,"5,000,000.00",,"15,000,000.00","15,000,000.00",,"30,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,"20,000,000.00","50,000,000.00","50,000,000.00","143,020,200.00","76,243,800.00","131,243,800.00","131,243,800.00","259,243,800.00","40,000,000.00","357,000,000.00","357,000,000.00","500,947,159.11","40,000,000.00","185,826,300.00","185,826,300.00","201,826,300.00","112,887,576.58","285,093,000.00","340,093,000.00","624,093,000.00","226,800,000.00"
经营活动产生的现金流量净额,"13,497,805.91","6,662,017.56","16,643,439.99","6,100,026.98","2,529,866.42","14,459,295.75","123,275.09","13,291,890.90","18,833,814.58","26,578,095.73","5,025,949.73","13,651,663.16","10,887,761.75","12,476,704.38","-21,696,627.54","-7,125,995.49","-25,005,035.04","18,129,279.30","-25,603,240.08","13,566,486.99","27,660,318.72","85,691,947.66","-76,527,815.27","-42,675,515.28","-33,654,606.03","171,166,307.70","-68,880,880.57","-80,143,685.76","-150,773,911.00","102,120,357.25","-56,019,603.95","63,505,369.63","62,939,193.54","48,900,018.21","-28,245,963.60","28,805,267.44","25,220,474.30","43,181,115.38","184,559,901.94"
分配股利、利润或偿还利息支付的现金,,"119,697.73","1,099,674.69","737,100.00","967,950.00","967,950.00","6,314,720.00","6,330,431.37","6,330,431.37","6,403,961.12",,"6,569,201.37","6,569,201.37","6,760,000.00",,"13,008,193.08","13,008,193.08","15,451,666.65","757,666.66","14,553,193.07","18,548,569.10","28,361,650.98","770,477.78","1,609,908.82","16,774,527.32","22,685,241.37","8,444,163.14","77,746,478.00","65,531,579.85","63,402,231.60","9,394,342.72","52,018,942.26","61,594,768.68","64,950,658.17","12,498,843.74","28,685,008.16","77,685,306.65","96,147,377.40","28,499,666.21"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"60,000,000.00",,,,,,,,,,,,"60,000,000.00","60,000,000.00","8,000,000.00"
支付其他与筹资活动有关的现金,,,,"1,100,000.00","10,800,000.00","10,800,000.00",,,,,,,,,,,,,,,,"3,139,656.79",,,,,,,,"40,000,000.00",,,,"13,495,488.29","4,112,800.00","51,231,741.45","82,059,406.32","111,246,159.48","31,797,256.07"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,039,666.90",,"213,040.00",,,,,,,,"511,626.10","112,071.83"
筹资活动现金流出小计,,"119,697.73","6,099,674.69","1,837,100.00","26,767,950.00","26,767,950.00","6,314,720.00","36,330,431.37","26,330,431.37","26,403,961.12",,"6,569,201.37","6,569,201.37","6,760,000.00",,"13,008,193.08","13,008,193.08","15,451,666.65","20,757,666.66","64,553,193.07","68,548,569.10","174,521,507.77","77,014,277.78","132,853,708.82","148,018,327.32","281,929,041.37","48,444,163.14","434,746,478.00","422,531,579.85","604,349,390.71","49,394,342.72","237,845,242.26","247,421,068.68","280,272,446.46","129,499,220.32","365,009,749.61","499,837,712.97","831,486,536.88","287,096,922.28"
处置固定资产、无形资产和其他长期资产收回的现金净额,"5,987.20",,"7,554.00",,,,,"10,567.20","10,567.20","13,245.85",,,,,,,,,,,,,,,,,,,,"14,000,000.00",,,"2,300,000.00","300,000.00","15,000.00","15,000.00","15,000.00","15,000.00",
