科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"11,489,630.08","69,271,067.03","36,657,479.28","52,982,560.14","84,648,384.69","17,628,343.40","39,466,519.20","58,243,934.62","86,935,100.48","19,673,688.73","46,932,879.02","87,359,763.58","124,678,584.99","39,749,558.53","96,612,669.93","145,680,782.57","195,622,045.33","43,826,048.52","107,729,131.06","182,444,190.07","309,243,986.08","100,470,198.32","200,364,310.55","285,629,543.54","380,356,500.86","67,818,398.49","121,365,941.23","208,722,680.32","391,295,865.36","59,505,337.07","146,719,905.38","205,611,737.38","334,140,259.73","51,914,251.82","186,068,383.31","264,385,698.78","339,520,949.83","50,570,037.40","110,153,455.80"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,"133,114,519.29",,,,"146,459,250.00",,,,,,,,,,,,,,
收到的税费返还,"31,999.06","5,266,438.57","4,708,926.10","5,915,583.47","7,336,795.78","3,150,626.13","4,918,863.87","7,064,182.48","7,942,483.20","578,777.86","1,735,571.57","1,735,571.57","7,038,044.75",,"3,127,060.59","4,112,971.99","4,595,030.87",,"433,964.82","433,964.82","826,157.28",,,"130,087.91","3,056,109.80",,"199,741.52","2,199,247.97","3,761,961.56","108,627.72","29,535.80","29,535.80","2,074,035.75",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"87,691,502.88","1,405,000.00","4,314,200.00","9,448,000.00",,,,"180,000.00",,"118,300,000.00","136,300,000.00","2,098,000.00","674,070.29","674,070.29","2,674,070.29","674,000.00",,"40,000,000.00"
收到其他与经营活动有关的现金,"2,698.21","15,559,659.40","3,482,255.81","5,876,714.32","4,518,555.40","1,769,961.86","4,006,360.67","9,736,779.57","35,968,588.66","8,317,691.83","16,223,325.17","20,744,317.73","34,330,758.06","7,874,846.48","18,125,086.12","25,495,816.85","43,472,201.36","5,488,603.51","11,793,310.15","14,986,456.86","25,560,536.81","6,830,513.38","12,501,479.49","19,061,712.67","40,390,083.17","11,298,274.88","8,957,181.04","18,388,124.90","39,481,172.99","5,710,245.93","15,940,159.97","29,191,587.79","16,786,206.48","4,327,504.49","7,250,521.01","18,414,283.97","43,757,179.39","9,972,112.25","12,176,254.49"
投资活动现金流出小计,"451,835.00","221,052,452.34","35,329,539.48","46,299,027.90","60,144,825.37","10,569,661.52","26,183,928.72","38,542,085.46","68,607,513.87","25,523,725.87","190,769,456.17","118,703,135.53","169,882,376.36","32,287,017.85","60,242,631.49","109,328,725.48","141,815,327.34","32,389,503.52","62,953,157.89","234,006,074.68","279,170,507.22","176,222,895.52","273,994,139.12","476,145,992.16","505,843,306.49","61,020,462.66","79,690,023.24","101,782,342.85","113,668,572.92","17,441,283.84","163,015,427.41","330,857,069.61","435,873,846.64","2,356,146.29","61,382,996.85","170,110,548.31","294,747,830.50","87,855,789.54","183,976,898.64"
经营活动现金流入小计,"11,524,327.35","90,097,165.00","44,848,661.19","64,774,857.93","96,503,735.87","22,548,931.39","48,391,743.74","75,044,896.67","130,846,172.34","28,570,158.42","64,891,775.76","109,839,652.88","166,047,387.80","47,624,405.01","117,864,816.64","175,289,571.41","243,689,277.56","49,314,652.03","119,956,406.03","197,864,611.75","335,630,680.17","107,300,711.70","212,865,790.04","304,821,344.12","423,802,693.83","79,116,673.37","130,522,863.79","229,310,053.19","434,538,999.91","65,324,210.72","162,689,601.15","234,832,860.97","353,000,501.96","56,241,756.31","193,318,904.32","282,799,982.75","383,278,129.22","60,542,149.65","122,329,710.29"
投资活动产生的现金流量净额,"-94,750.00","-22,275,636.64","-15,321,583.32","-26,291,071.74","-40,136,869.21","-10,569,661.52","-26,183,928.72","-38,542,085.46","-68,607,513.87","-25,523,725.87","-190,769,456.17","-118,703,135.53","-169,882,376.36","-32,287,017.85","-60,206,431.49","-109,907,843.36","-125,559,324.64","-32,379,583.52","-61,274,237.89","-228,847,627.37","-259,363,145.33","-165,219,495.52","-250,682,122.00","-447,307,168.41","-355,781,234.86","-51,066,902.15","-58,236,062.64","-80,325,377.52","101,313,993.63","76,483,116.16","34,575,361.01","-114,621,360.38","-172,795,816.09","21,778,126.12","19,444,589.25","38,196,592.41","25,601,004.68","37,492,541.97","-14,965,441.15"
购买商品、接受劳务支付的现金,"1,129,699.33","2,320,513.45","1,595,680.74","7,552,100.08","3,708,916.37","1,084,771.06","2,312,899.37","3,775,998.72","6,249,924.07","755,307.59","3,485,144.24","11,956,950.56","20,583,015.59","10,556,719.97","16,974,947.26","25,669,911.35","35,639,147.45","10,311,549.19","19,276,132.28","27,476,388.27","51,581,343.62","10,839,804.66","28,043,596.75","47,062,143.12","72,900,979.73","10,997,974.27","15,035,678.59","21,680,635.97","36,861,325.54","11,343,955.20","23,914,718.43","31,826,514.68","37,973,945.71","21,415,684.66","78,437,120.24","87,453,277.25","118,673,920.64","20,476,574.49","37,766,408.40"
吸收投资收到的现金,"350,000.00","83,200,000.00",,,,"704,245,649.72","704,540,649.72","704,705,649.72","719,554,000.00","40,000.00","630,000.00","875,000.00","5,530,000.00",,,,,,,,,,,"4,900,000.00","4,900,000.00",,,"22,300.00","10,814,744.00",,,"7,350,000.00","7,350,000.00",,,"3,150,000.00","3,150,000.00",,
支付给职工以及为职工支付的现金,"2,282,546.06","6,082,746.13","6,693,640.65","9,357,170.53","11,695,939.79","3,612,210.50","7,498,295.27","12,934,085.89","18,197,563.83","7,428,145.40","13,457,032.81","24,725,650.74","39,019,696.37","15,379,943.08","32,691,122.88","46,059,758.73","55,273,736.50","16,325,938.53","29,281,818.36","44,846,427.78","75,806,770.96","34,251,547.54","58,859,671.53","85,845,357.12","136,446,909.66","31,797,270.77","59,052,538.79","88,367,323.78","118,779,320.13","34,013,727.33","62,712,873.48","89,178,596.72","129,141,238.93","29,260,539.44","44,662,557.44","58,771,012.96","93,245,955.39","10,875,073.81","38,620,996.95"
取得借款收到的现金,,"30,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,,"15,000,000.00","25,000,000.00","25,000,000.00","39,360,000.00","79,360,000.00","339,360,000.00","369,360,000.00","110,000,000.00","180,000,000.00","360,000,000.00","380,000,000.00",,,,,,,,,,"40,000,000.00"
支付的各项税费,"1,062,674.46","10,721,931.45","7,788,573.48","9,676,788.61","12,773,076.62","5,962,483.44","10,617,608.66","14,123,112.77","17,518,704.39","5,866,038.25","10,173,281.27","14,079,719.99","18,437,338.14","3,760,839.34","8,236,960.27","14,614,428.89","19,923,487.84","3,677,030.92","5,877,058.75","7,710,650.28","11,274,168.34","10,611,681.51","26,006,873.97","24,947,912.74","26,768,702.23","3,394,532.15","5,276,152.14","6,723,717.73","12,163,218.15","2,200,421.63","3,985,211.83","4,594,497.59","7,984,023.05","5,531,627.87","9,756,585.32","13,788,693.28","11,297,718.39","2,767,516.43","4,324,938.50"
收到其他与筹资活动有关的现金,,,,,,"11,554,350.28","11,554,350.28","11,554,350.28",,,,,,,,,,,,,,,,,,,,"3,000,000.00","3,000,000.00",,,,"8,000,000.00","4,000,000.00","5,600,000.00","5,600,000.00","14,359,912.89",,
支付其他与经营活动有关的现金,"7,361,756.42","13,496,316.84","15,491,268.34","17,547,139.70","23,932,422.45","4,268,679.15","12,798,492.82","24,031,843.90","37,088,419.17","11,260,793.51","26,495,238.54","46,877,881.31","77,547,816.46","18,952,812.44","37,143,148.30","67,001,106.67","117,674,955.57","22,342,466.10","39,832,733.22","60,974,561.92","88,766,733.57","39,520,717.79","69,789,798.04","124,244,538.74","213,734,941.90","46,204,887.52","51,693,767.55","79,582,033.01","95,592,532.36","23,794,535.27","50,485,996.59","76,573,814.21","85,618,423.89","21,322,990.40","63,010,530.15","121,519,913.86","53,354,505.17","121,248,956.02","66,105,115.64"
筹资活动现金流入小计,"350,000.00","113,200,000.00","20,000,000.00","20,000,000.00","20,000,000.00","715,800,000.00","716,095,000.00","716,260,000.00","719,554,000.00","40,000.00","630,000.00","875,000.00","5,530,000.00",,,,,,"15,000,000.00","25,000,000.00","25,000,000.00","39,360,000.00","79,360,000.00","344,260,000.00","374,260,000.00","110,000,000.00","180,000,000.00","363,022,300.00","393,814,744.00",,,"7,350,000.00","15,350,000.00","4,000,000.00","5,600,000.00","8,750,000.00","17,509,912.89",,"40,000,000.00"
经营活动现金流出小计,"11,836,676.27","32,621,507.87","31,569,163.21","44,133,198.92","52,110,355.23","14,928,144.15","33,227,296.12","54,865,041.28","79,054,611.46","25,310,284.75","53,610,696.86","97,640,202.60","155,587,866.56","48,650,314.83","95,046,178.71","153,345,205.64","228,511,327.36","52,656,984.74","94,267,742.61","141,008,028.25","227,429,016.49","95,223,751.50","182,699,940.29","282,099,951.72","449,851,533.52","92,394,664.71","131,058,137.07","196,353,710.49","263,396,396.18","71,352,639.43","141,098,800.33","202,173,423.20","260,717,631.58","77,530,842.37","195,866,793.15","281,532,897.35","276,572,099.59","155,368,120.75","146,817,459.49"
偿还债务支付的现金,,,"50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,,"15,000,000.00","25,000,000.00","25,000,000.00",,"468,000.00","30,936,000.00","81,404,000.00","80,468,000.00","150,936,000.00","391,404,000.00","567,956,000.00","80,000,000.00","80,000,000.00","100,000,000.00","100,000,000.00",,,,,,
经营活动产生的现金流量净额,"-312,348.92","57,475,657.13","13,279,497.98","20,641,659.01","44,393,380.64","7,620,787.24","15,164,447.62","20,179,855.39","51,791,560.88","3,259,873.67","11,281,078.90","12,199,450.28","10,459,521.24","-1,025,909.82","22,818,637.93","21,944,365.77","15,177,950.20","-3,342,332.71","25,688,663.42","56,856,583.50","108,201,663.68","12,076,960.20","30,165,849.75","22,721,392.40","-26,048,839.69","-13,277,991.34","-535,273.28","32,956,342.70","171,142,603.73","-6,028,428.71","21,590,800.82","32,659,437.77","92,282,870.38","-21,289,086.06","-2,547,888.83","1,267,085.40","106,706,029.63","-94,825,971.10","-24,487,749.20"
分配股利、利润或偿还利息支付的现金,,,"11,337,480.00","11,337,480.00","11,337,480.00",,"20,000,000.00","20,000,000.00","20,000,000.00",,"26,000,000.00","26,000,000.00","26,000,000.00",,"6,500,000.00","6,500,000.00","6,500,000.00",,"7,875,000.00","7,878,333.33","16,786,663.72","25,200.00","5,823,700.00","9,850,466.99","15,654,137.96","5,352,309.62","11,313,008.70","16,521,769.42","19,549,039.57","522,233.33","6,036,894.22","6,330,783.11","6,330,783.11",,,,,,"5,503,216.44"
