科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"30,807,749.98","49,990,905.63","39,656,957.97","23,558,150.65","20,209,784.55","34,970,726.82","130,519,646.25","40,115,228.62","24,852,768.82"
短期借款,"129,722,575.02","124,090,382.48","82,200,206.43","27,243,352.90","23,737,662.68","21,899,480.58","4,040,078.68","4,700,241.04","7,677,398.13"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"101,672,933.98","89,737,133.62","64,658,349.75","50,759,417.79","41,583,087.21","71,762,769.18","61,320,015.64","56,171,792.25","58,165,221.50"
应付票据,,"18,300,000.00",,,,,,,
应收账款,"30,704,618.07","37,303,633.07","49,674,980.99","72,080,164.46","84,333,950.00","48,931,245.74","77,073,001.43","76,238,181.18","87,551,868.47"
应付账款,"4,558,683.22","10,738,550.46","5,092,431.03","11,971,889.01","14,199,926.20","5,396,676.49","14,341,875.38","14,400,819.92","16,699,978.41"
预付款项,"1,677,846.66","2,024,611.92","1,295,718.65","1,099,284.00","1,868,986.84","1,414,379.18","1,265,328.92","5,048,332.49","1,892,166.87"
预收款项,"2,943,648.56","4,027,243.50","2,266,629.46","1,387,749.76","1,557,789.51","4,209,450.32","2,061,734.40","2,846,246.52","2,237,766.89"
其他应收款,"1,190,109.40","3,364,738.20","3,767,712.79","4,671,177.78","5,059,662.82","4,867,983.93","2,811,271.95","3,223,197.42","3,238,022.01"
应付职工薪酬,"8,235,581.20","7,929,647.53","5,152,128.89","3,231,047.05","3,615,150.45","8,885,979.70","4,809,629.68","7,146,268.72","12,267,250.75"
应收关联公司款,,,,,,,,,
应交税费,"3,327,408.21","2,042,223.15","2,626,194.85","3,639,228.49","3,313,294.41","3,914,830.19","2,835,087.80","4,354,218.18","4,411,579.26"
应收利息,,,,,,,,,"1,181,530.56"
应付利息,,"534,176.24","112,290.42","42,208.06","68,728.15","84,659.66","5,420.89","18,182.10","26,788.94"
应收股利,,,,,,,,,
应付股利,,,,"20,000,000.00","9,800,000.00",,,,
存货,"86,731,822.69","93,237,781.60","69,699,186.64","53,240,910.57","55,966,183.57","52,084,179.90","47,187,786.81","43,138,836.98","47,026,870.70"
其他应付款,"2,284,062.28","4,413,528.84","3,685,752.87","2,937,339.66","3,652,032.05","3,024,272.08","3,637,414.66","3,880,830.92","3,540,504.50"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,"13,000,000.00",,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00",,
其他流动资产,"2,113,142.47","1,934,094.12","2,074,895.52","998,347.74","1,160,102.66","883,415.45","68,417,742.28","161,160,163.14","160,270,729.94"
其他流动负债,,,,,,,,,
流动资产合计,"254,898,223.25","277,592,898.16","230,827,802.31","206,407,452.99","210,181,757.65","214,914,700.20","388,594,793.28","385,095,732.08","384,179,178.87"
流动负债合计,"164,071,958.49","172,075,752.20","104,135,633.95","73,452,814.93","62,944,583.45","50,415,349.02","34,731,241.49","37,346,807.40","46,861,266.88"
可供出售金融资产,,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00"
长期借款,,"3,000,000.00",,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"219,183,340.59","227,684,452.48","229,818,241.05","219,580,661.50","215,320,100.50","211,549,236.66","206,085,242.54","198,489,596.71","203,578,611.45"
递延所得税负债,,,,,,,,,
在建工程,"23,385,613.60","30,522,191.59","16,861,334.11","18,322,923.85","17,799,001.17","18,137,293.26","20,194,478.92","23,445,971.54","26,058,895.11"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"5,673,076.90","7,745,819.14","5,255,574.63","4,682,653.75","4,396,193.32","5,309,732.89","5,023,272.46","4,736,812.03","4,450,351.60"
固定资产清理,,,,,,,,,
负债合计,"169,745,035.39","179,821,571.34","109,391,208.58","78,135,468.68","67,340,776.77","55,725,081.91","39,754,513.95","42,083,619.43","51,311,618.48"
生产性生物资产,,,,,,,,,
实收资本(或股本),"105,000,000.00","105,000,000.00","105,000,000.00","105,000,000.00","105,000,000.00","105,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00"
油气资产,,,,,,,,,
资本公积,"34,060,985.47","34,060,985.47","34,060,985.47","34,060,985.47","34,060,985.47","34,060,985.47","175,260,985.47","175,260,985.47","175,260,985.47"
无形资产,"11,705,951.76","11,749,371.59","11,343,910.57","11,403,542.79","11,269,129.83","11,134,716.87","11,000,303.91","11,038,617.14","10,899,849.74"
盈余公积,"26,837,821.76","32,513,456.84","36,516,479.86","36,516,479.86","36,516,479.86","40,344,839.26","40,344,839.26","40,344,839.26","40,344,839.26"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"176,162,140.06","199,475,490.53","207,052,542.48","205,139,036.81","214,764,905.27","223,376,561.95","234,053,749.77","224,305,994.10","242,818,821.35"
长期待摊费用,"151,111.16","137,777.84","124,444.52","117,777.86","114,444.53","111,111.20","107,777.87","104,444.54","101,111.21"
少数股东权益,,,,,,,,,
递延所得税资产,"2,481,742.32","2,984,812.52","2,845,483.83","2,819,611.83","2,798,713.69","2,460,410.40","3,231,491.93","3,621,076.25","3,718,618.18"
外币报表折算价差,,,,,,,,,
其他非流动资产,,,,,,,,,"21,000,000.00"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"256,907,759.43","273,278,606.02","261,193,414.08","252,444,517.83","247,501,389.72","243,592,768.39","240,819,295.17","236,899,706.18","265,557,085.69"
所有者权益(或股东权益)合计,"342,060,947.29","371,049,932.84","382,630,007.81","380,716,502.14","390,342,370.60","402,782,386.68","589,659,574.50","579,911,818.83","598,424,646.08"
资产总计,"511,805,982.68","550,871,504.18","492,021,216.39","458,851,970.82","457,683,147.37","458,507,468.59","629,414,088.45","621,995,438.26","649,736,264.56"
负债和所有者(或股东权益)合计,"511,805,982.68","550,871,504.18","492,021,216.39","458,851,970.82","457,683,147.37","458,507,468.59","629,414,088.45","621,995,438.26","649,736,264.56"
