科目,2013-12-31,2014-12-31,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"105,408,375.52","125,171,514.66","159,640,128.05","221,060,283.05","465,591,494.57","352,678,392.12","308,134,369.77","298,537,489.96","277,715,993.12","207,311,136.69"
短期借款,"130,242,250.00","160,180,757.07","158,950,000.00","150,000,000.00",,"68,993,000.00",,,,"110,000,000.00"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"53,733,230.07","67,109,832.62","52,204,439.07","57,226,600.96","69,396,601.01","46,368,611.71","58,775,602.06","27,538,147.04","58,605,422.68","55,065,015.82"
应付票据,"48,000,000.00","80,100,000.00","12,000,000.00","40,970,000.00","28,370,000.00","36,700,000.00","51,100,000.00","35,600,000.00","47,300,000.00","62,800,000.00"
应收账款,"265,653,553.49","314,702,225.80","318,677,777.45","358,621,288.32","352,984,837.07","396,050,852.87","426,407,470.86","447,815,967.22","394,007,049.67","438,599,621.01"
应付账款,"109,743,292.94","108,097,143.07","83,930,092.73","73,169,189.95","114,966,599.85","94,137,485.59","94,824,582.61","110,561,832.23","113,538,936.02","112,777,210.72"
预付款项,"347,533.26","1,827,219.95","242,661.01","2,351,018.92","1,805,932.52","29,631,620.33","2,631,466.58","23,673,145.49","25,259,718.23","53,168,926.43"
预收款项,"15,571,543.79","16,284,899.57","7,399,317.22","5,162,648.48","14,058,072.61","14,171,652.20","20,149,684.04","34,414,358.70","26,755,283.96","19,960,272.70"
其他应收款,"3,864,937.85","4,836,253.77","5,485,439.69","6,019,331.33","4,767,223.73","6,369,952.17","7,283,445.89","10,314,479.15","10,513,310.65","18,593,324.36"
应付职工薪酬,"14,473,219.20","9,051,048.98","13,357,004.30","8,962,677.54","12,877,650.02","11,226,183.53","8,007,726.97","8,988,850.49","14,620,072.86","10,331,035.90"
应收关联公司款,,,,,,,,,,
应交税费,"22,612,864.95","13,310,362.69","13,244,039.35","18,569,311.17","12,734,582.20","-1,894,022.70","8,665,437.49","4,294,760.06","18,837,528.95","13,685,327.11"
应收利息,,,,,,,,,,
应付利息,"130,666.66","343,283.95","307,230.00",,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,"653,859.18",,,
存货,"158,091,518.65","221,320,783.84","187,031,763.68","134,739,232.41","143,352,160.17","252,039,866.01","208,805,112.27","220,856,034.41","208,717,491.78","214,707,402.56"
其他应付款,"14,083,141.42","5,745,799.78","7,393,081.68","3,852,460.44","9,054,275.46","6,568,391.29","7,117,188.59","7,305,118.39","9,605,214.28","7,609,917.03"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,,"4,031,185.71",,"498,931.62","100,268.02","1,222,527.42","1,154,298.02","867,577.21","73,174,924.89","61,540,078.40"
其他流动负债,,,,,,,,,,
流动资产合计,"587,099,148.84","738,999,016.35","723,282,208.95","780,516,686.61","1,037,998,517.09","1,084,361,822.63","1,013,191,765.45","1,029,602,840.48","1,047,993,911.02","1,048,985,505.27"
流动负债合计,"354,856,978.96","393,113,295.11","296,580,765.28","300,686,287.58","192,061,180.14","229,902,689.91","190,518,478.88","201,164,919.87","230,657,036.07","337,163,763.46"
可供出售金融资产,"4,295,000.00","4,295,000.00","4,295,000.00","4,295,000.00","4,295,000.00","4,295,000.00","4,295,000.00","4,295,000.00","4,295,000.00","4,295,000.00"
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
