科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"294,507,803.75","664,951,456.92","1,055,479,684.96","1,794,413,606.43","479,884,737.36","892,439,355.80","1,403,947,329.56","2,008,610,560.68","401,194,933.72","795,815,866.52","1,196,717,692.69","1,821,019,524.51","496,348,851.51","924,427,453.92","1,528,670,416.41","2,079,134,534.20","468,152,956.17","1,048,674,291.51","1,667,968,661.45","2,560,309,649.76","515,344,835.44","1,183,003,069.69","1,813,931,480.05","2,723,414,230.41","582,088,504.62","1,186,717,875.19","2,022,850,873.89","2,932,884,430.73","905,608,164.20","1,647,706,519.28","2,516,636,073.52","3,359,242,381.34","802,644,212.15","1,717,644,572.02","2,739,088,455.79","3,909,932,730.22","1,326,277,622.74","2,384,818,023.18","3,527,744,679.15","4,755,653,172.71","1,117,958,963.74","2,288,104,406.10","3,624,622,324.53"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"6,313,080.40","26,159,169.46","67,586,633.10","89,549,268.20","33,065,270.11","59,885,987.01","88,238,759.30","129,019,683.63","13,288,331.79","39,686,231.45","71,978,354.26","109,599,275.04","36,304,766.21","61,730,449.66","121,939,879.17","154,374,533.88","39,690,906.12","83,653,662.40","114,076,013.11","172,852,649.72","45,729,034.00","74,444,625.55","119,011,726.17","178,650,701.92","35,166,617.47","78,512,022.16","120,226,608.32","145,464,912.12","119,309,847.16","182,899,057.95","227,451,658.83","244,776,463.96","49,550,402.47","139,772,327.61","211,873,255.18","307,069,148.95","50,133,975.42","88,412,240.74","144,503,208.51","199,794,427.00","70,745,750.23","145,623,036.17","226,724,504.79"
支付其他与投资活动有关的现金,,,,,,,,,,,,"3,308,021.00",,,,,,,,,,,,,,,,"1,189,200.00",,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"9,257,446.25","12,122,916.98","25,272,628.37","22,862,026.37","6,205,076.14","19,627,399.15","53,701,570.46","57,800,736.02","9,056,129.46","17,747,773.26","46,131,104.60","40,030,167.99","53,209,711.75","99,598,623.87","149,105,572.95","119,074,251.72","57,502,224.03","59,334,975.03","162,212,995.65","152,089,806.02","55,524,173.15","91,427,320.60","154,272,082.60","162,536,920.51","11,500,683.48","31,043,321.24","51,770,121.11","271,618,832.41","33,450,479.02","96,288,715.04","168,551,773.85","77,272,044.06","46,162,783.12","126,650,435.52","246,843,640.02","192,792,574.69","54,567,682.26","129,690,429.15","182,335,278.90","117,528,324.22","58,914,232.13","98,387,839.78","139,644,984.30"
投资活动现金流出小计,"37,958,160.55","70,216,636.87","122,352,518.46","251,043,951.74","51,896,241.99","101,663,897.95","188,165,394.66","224,073,841.25","119,535,542.50","346,746,217.11","473,449,883.83","583,003,989.14","105,551,511.60","194,564,197.11","249,192,588.75","323,127,737.50","42,613,512.71","79,668,797.27","116,030,315.11","184,367,670.17","37,241,479.04","68,537,191.01","119,589,472.53","129,163,043.44","31,793,416.11","87,323,468.42","164,363,756.72","207,944,663.17","28,624,778.75","82,038,787.43","171,416,270.41","222,062,053.85","98,627,022.68","178,047,796.40","251,884,716.17","302,647,488.77","51,837,784.88","122,042,317.52","147,997,344.29","235,082,236.61","67,143,772.93","905,408,561.07","2,694,157,181.90"
经营活动现金流入小计,"310,078,330.40","703,233,543.36","1,148,338,946.43","1,906,824,901.00","519,155,083.61","971,952,741.96","1,545,887,659.32","2,195,430,980.33","423,539,394.97","853,249,871.23","1,314,827,151.55","1,970,648,967.54","585,863,329.47","1,085,756,527.45","1,799,715,868.53","2,352,583,319.80","565,346,086.32","1,191,662,928.94","1,944,257,670.21","2,885,252,105.50","616,598,042.59","1,348,875,015.84","2,087,215,288.82","3,064,601,852.84","628,755,805.57","1,296,273,218.59","2,194,847,603.32","3,349,968,175.26","1,058,368,490.38","1,926,894,292.27","2,912,639,506.20","3,681,290,889.36","898,357,397.74","1,984,067,335.15","3,197,805,350.99","4,409,794,453.86","1,430,979,280.42","2,602,920,693.07","3,854,583,166.56","5,072,975,923.93","1,247,618,946.10","2,532,115,282.05","3,990,991,813.62"
投资活动产生的现金流量净额,"-19,792,154.75","-23,714,034.69","-35,515,174.27","-151,050,646.28","-36,321,132.60","-68,712,588.75","-107,465,853.60","-140,797,566.40","-69,419,795.06","-91,034,510.69","-100,350,832.83","-166,365,867.84","-89,591,194.23","-175,940,507.15","-230,568,898.79","-268,462,448.21","-40,013,100.71","-75,361,664.54","-107,193,558.26","-161,976,181.84","-34,556,348.64","-65,222,559.35","-115,766,733.99","-122,221,946.62","-5,593,416.11","-22,276,138.28","-98,486,426.58","-168,669,879.51","-28,621,778.75","-81,799,174.49","-118,247,017.47","-57,509,577.34","-48,196,789.37","-127,486,563.09","-201,232,787.07","-227,799,067.45","-51,825,696.77","-120,842,436.41","-141,468,814.89","-196,007,343.19","-66,983,189.93","-501,531,061.30","-882,554,206.50"
购买商品、接受劳务支付的现金,"320,273,488.47","561,323,758.51","867,055,201.59","1,494,609,843.82","374,407,262.23","718,026,824.87","193,840,907.98","1,738,508,782.76","257,871,376.48","523,283,408.33","856,184,378.90","1,316,879,895.55","333,141,038.68","772,348,059.80","1,327,174,342.76","1,801,680,435.95","493,889,591.41","994,122,122.47","1,572,575,830.33","2,285,240,240.11","436,170,611.50","981,450,471.68","1,554,301,747.95","2,148,393,149.74","441,893,888.73","855,668,448.55","1,510,760,118.99","2,129,250,600.65","606,364,196.68","1,140,433,759.39","1,677,541,518.52","2,238,453,014.20","630,614,532.76","1,194,117,586.61","1,961,241,014.57","2,904,543,477.03","801,812,488.38","1,426,410,940.11","2,169,600,888.86","2,993,917,332.60","869,848,669.38","1,703,740,085.84","2,747,567,703.07"
吸收投资收到的现金,,,,,,"21,889,634.87","39,277,180.00","20,000,000.00",,,"4,900,000.00","4,900,000.00",,,"6,222,100.00","7,722,627.84","800,000.00","800,000.00","800,000.00","800,000.00","899,100,000.00","899,100,000.00","899,100,000.00","899,100,000.00",,,,"48,317,000.00",,,,,,,,,,,,,,,
