科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"160,179,454.77","206,347,261.91","415,149,523.95","176,059,094.73","314,936,447.05","488,612,233.31","141,839,717.39","418,924,607.59","673,319,726.57","961,355,671.96","147,116,151.25","671,700,912.86"
取得子公司及其他营业单位支付的现金净额,,,"1,370,606.75",,,,,,,,,"22,554,376.82"
收到的税费返还,"11,662,902.94","15,286,785.26","24,196,865.95","7,560,708.50","13,417,428.27","25,861,414.75","10,090,617.74","13,749,657.18","28,483,590.98","42,343,894.19","11,816,657.14","26,267,210.17"
支付其他与投资活动有关的现金,"480,000.00",,,,,,,,,,,
收到其他与经营活动有关的现金,"5,935,690.27","12,998,048.08","18,690,683.44","5,362,220.54","9,476,653.96","23,696,223.94","15,662,898.87","25,067,265.36","33,111,945.54","37,767,090.27","11,243,989.58","18,715,422.42"
投资活动现金流出小计,"470,821,275.50","241,321,035.86","21,362,571.30","3,106,673.31","3,599,699.08","7,648,587.92","70,844,523.76","196,302,039.75","447,379,447.76","604,163,596.26","196,636,734.49","468,940,714.36"
经营活动现金流入小计,"177,778,047.98","234,632,095.25","458,037,073.34","188,982,023.77","337,830,529.28","538,169,872.00","167,593,234.00","457,741,530.13","734,915,263.09","1,041,466,656.42","170,176,797.97","716,683,545.45"
投资活动产生的现金流量净额,"-11,374,734.58","-28,751,531.38","-21,312,571.30","-3,106,673.31","-3,599,699.08","-7,648,587.92","-53,819,539.79","-28,541,583.19","-133,971,775.33","-157,345,162.96","16,793,732.63","-205,337,434.37"
购买商品、接受劳务支付的现金,"73,571,772.31","140,385,167.18","204,756,100.86","86,292,699.76","157,962,391.57","233,902,836.67","143,395,737.56","239,869,257.99","393,347,089.16","567,482,313.13","219,080,320.42","534,657,833.11"
吸收投资收到的现金,"100,000.00","3,966,180.40","4,901,465.22",,,"368,000,000.00",,,"86,539,660.00","86,539,660.00",,"500,000.00"
支付给职工以及为职工支付的现金,"22,932,146.19","57,809,491.72","101,254,318.88","69,443,930.56","97,889,576.94","127,104,916.17","55,714,499.66","91,648,572.31","128,544,739.85","155,859,265.71","76,574,981.25","118,534,951.81"
取得借款收到的现金,"5,000,000.00","75,000,000.00","159,709,382.51","68,545,957.49","93,837,936.49","94,081,752.00","10,000,000.00","23,205,680.00","25,895,428.00","50,068,404.00","12,971,500.00","529,886,974.70"
支付的各项税费,"22,900,032.32","28,583,081.06","54,506,069.12","17,319,079.03","26,328,754.18","58,262,907.23","21,874,594.97","34,705,373.81","69,873,403.14","96,236,645.10","10,887,616.44","59,178,027.78"
收到其他与筹资活动有关的现金,,"553,409.26","497,534.77",,,"9,893,406.89",,,,"2,486,858.06",,"1,000,000.00"
支付其他与经营活动有关的现金,"12,267,882.05","44,490,926.16","57,448,127.08","26,557,944.74","43,097,350.63","78,886,179.76","32,848,707.86","65,771,817.53","90,546,164.43","103,568,693.36","28,279,388.21","82,923,716.38"
筹资活动现金流入小计,"5,100,000.00","79,519,589.66","165,108,382.50","68,545,957.49","93,837,936.49","471,975,158.89","10,000,000.00","23,205,680.00","112,435,088.00","139,094,922.06","12,971,500.00","531,386,974.70"
经营活动现金流出小计,"131,671,832.87","271,268,666.12","417,964,615.94","199,613,654.09","325,278,073.32","498,156,839.83","253,833,540.05","431,995,021.64","682,311,396.58","923,146,917.30","334,822,306.32","795,294,529.08"
偿还债务支付的现金,,"41,000,000.00","125,662,607.50","40,500,000.00","57,241,130.00","129,966,332.00","28,398,580.00","53,738,366.02","69,885,196.55","79,190,211.00","8,581,554.00","28,791,692.70"
经营活动产生的现金流量净额,"46,106,215.11","-36,636,570.87","40,072,457.40","-10,631,630.32","12,552,455.96","40,013,032.17","-86,240,306.05","25,746,508.49","52,603,866.51","118,319,739.12","-164,645,508.35","-78,610,983.63"
分配股利、利润或偿还利息支付的现金,"1,355,420.08","18,035,996.88","5,782,725.56","3,315,020.14","4,543,481.01","5,715,990.86","434,960.21","33,002,797.82","33,258,801.10","33,517,528.17","263,734.98","49,137,268.34"
收回投资收到的现金,"455,450,000.00","201,500,000.00",,,,,"17,000,000.00","167,000,000.00","312,100,000.00","444,100,000.00","212,000,000.00","262,000,000.00"
支付其他与筹资活动有关的现金,"890,000.00","4,043,409.26","2,452,200.00","2,000,000.00","2,578,592.83","8,126,243.60","500,000.00","500,000.00","600,000.00","16,857,391.98","339,536.70","771,460.00"
取得投资收益收到的现金,"1,717,591.36","737,174.78",,,,,"24,983.97","344,456.56","801,672.43","2,012,433.30","1,141,700.00","1,403,279.99"
筹资活动现金流出小计,"2,245,420.08","63,079,406.14","133,897,533.06","45,815,020.14","64,363,203.84","143,808,566.46","29,333,540.21","87,241,163.84","103,743,997.65","129,565,131.15","9,184,825.68","78,700,421.04"
处置固定资产、无形资产和其他长期资产收回的现金净额,"290,000.00",,"50,000.00",,,,,"416,000.00","506,000.00","706,000.00","200,000.00","200,000.00"
筹资活动产生的现金流量净额,"2,854,579.92","16,440,183.52","31,210,849.44","22,730,937.35","29,474,732.65","328,166,592.43","-19,333,540.21","-64,035,483.84","8,691,090.35","9,529,790.91","3,786,674.32","452,686,553.66"
处置子公司及其他营业单位收到的现金净额,,"1,497,250.25",,,,,,,,,,
四、汇率变动对现金的影响,,"-25,587.94","-177,566.27","599,000.15","299,015.41","265,399.59","245,754.34","189,636.39","164,837.76","-495,242.88","-3,585,435.74","-2,335,333.22"
收到其他与投资活动有关的现金,"1,988,949.56","8,835,079.45",,,,,,,,,"88,767.12",
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"459,446,540.92","212,569,504.48","50,000.00",,,,"17,024,983.97","167,760,456.56","313,407,672.43","446,818,433.30","213,430,467.12","263,603,279.99"
五、现金及现金等价物净增加额,"37,586,060.45","-48,973,506.67","49,793,169.27","9,591,633.87","38,726,504.94","360,796,436.27","-159,147,631.71","-66,640,922.15","-72,511,980.71","-29,990,875.81","-147,650,537.14","166,402,802.44"
购建固定资产、无形资产和其他长期资产支付的现金,"14,891,275.50","39,821,035.86","19,991,964.55","3,106,673.31","3,599,699.08","7,648,587.92","23,844,523.76","29,302,039.75","35,279,447.76","48,063,596.26","36,636,734.49","108,109,054.27"
期初现金及现金等价物余额,"59,500,878.19","97,086,938.64","48,113,431.97","97,906,601.24","97,906,601.24","97,906,601.24","458,716,465.95","458,703,037.51","458,703,037.51","458,703,037.51","428,712,161.70","428,712,161.70"
投资支付的现金,"455,450,000.00","201,500,000.00",,,,,"47,000,000.00","167,000,000.00","412,100,000.00","556,100,000.00","160,000,000.00","338,277,283.27"
期末现金及现金等价物余额,"97,086,938.64","48,113,431.97","97,906,601.24","107,498,235.11","136,633,106.18","458,703,037.51","299,568,834.24","392,062,115.36","386,191,056.80","428,712,161.70","281,061,624.56","595,114,964.14"
