科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"69,394,777.37","28,749,299.42","48,276,567.98","39,386,053.90","820,911,883.42","773,761,930.37","863,635,577.27","726,576,735.01","752,470,364.39","623,321,455.59","712,915,667.29","792,038,472.02","802,973,618.59","738,465,875.97","804,375,873.86","811,538,957.69","726,610,487.53","682,749,524.89","757,193,033.30","568,388,756.77","567,421,958.07","539,204,885.96","755,250,403.59","681,877,218.81","682,495,312.03","783,530,551.62"
短期借款,"40,000,000.00","100,000,000.00","110,000,000.00","60,000,000.00",,,,,,,,,,,,"30,000,000.00","25,000,000.00","47,000,000.00","67,000,000.00","67,000,000.00","67,000,000.00","67,000,000.00","67,000,000.00","60,000,000.00","82,000,000.00","67,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,"1,000,000.00","1,000,000.00",,,,,,"1,000,000.00","1,000,000.00","500,000.00","1,180,000.00","2,325,000.00","690,000.00","1,940,000.00","1,750,000.00","950,000.00","950,000.00","850,000.00","1,600,000.00","360,000.00","360,000.00"
应付票据,,,,,,,,,,,,,,,,"17,036,044.08","10,699,201.55","2,890,621.47","130,579.50",,,,,"7,596,950.00","7,496,950.00",
应收账款,"5,129,111.87","6,644,185.47","9,316,035.41","12,799,728.12","15,489,780.74","13,313,662.27","19,909,862.53","15,458,720.46","15,765,178.75","15,611,603.13","21,015,714.87","20,964,704.72","21,275,488.46","18,007,550.77","19,569,975.81","54,502,002.26","54,054,352.86","42,882,061.95","52,374,649.02","121,998,103.20","68,306,440.10","43,646,230.28","56,508,513.45","102,292,682.73","62,991,444.00","46,031,000.88"
应付账款,"37,682,658.93","29,656,549.04","27,363,586.12","40,740,714.48","53,974,763.73","37,790,780.31","44,141,573.96","30,199,325.08","34,154,318.92","20,599,744.34","19,154,100.16","16,675,482.68","31,076,523.36","18,968,101.51","17,906,510.85","60,708,025.65","46,761,158.95","33,682,197.36","55,264,752.07","70,669,750.14","56,718,505.43","53,060,450.80","81,775,162.30","82,315,136.97","71,571,427.33","50,758,250.42"
预付款项,"4,369,222.99","9,446,452.84","21,745,143.71","39,757,993.65","50,216,529.74","25,079,455.67","38,283,377.98","41,572,320.05","36,569,608.66","33,389,410.28","36,155,605.13","32,393,791.90","54,364,576.78","47,596,600.67","46,680,205.49","64,075,472.30","65,860,209.14","58,584,926.80","63,792,409.89","59,982,932.29","63,013,796.05","64,543,336.81","57,551,638.38","36,000,856.96","59,728,309.88","60,808,892.98"
预收款项,"941,725.65","1,502,731.39","3,162,252.10","1,526,067.95","2,046,574.01","1,511,341.14","954,837.43","574,688.11","17,389,595.63","1,163,231.04","24,124,606.59","390,449.59","2,910,337.54","2,491,464.79","1,945,429.91","13,057,940.09","4,688,146.20","2,240,744.93","7,451,286.61","10,191,207.44","3,944,903.37","4,857,640.11","12,346,877.69","30,387,219.94","13,296,690.12","5,390,311.57"
其他应收款,"5,426,772.52","3,753,677.86","6,944,971.09","8,606,378.78","8,383,817.76","6,884,164.66","7,896,584.02","7,912,369.55","8,018,320.10","9,172,968.14","10,993,776.68","13,098,417.58","15,187,997.59","8,980,775.95","11,422,267.05","13,122,526.90","14,907,631.48","14,206,893.56","21,845,288.62","9,253,943.68","13,116,397.92","13,338,416.01","17,726,027.11","16,650,623.93","17,261,388.74","8,980,403.35"
应付职工薪酬,"255,031.78","356,549.92","519,506.84","671,771.96","741,619.63","766,236.10","1,061,573.68","815,432.29","966,031.07","1,015,016.11","1,049,564.98","938,981.09","978,866.90","770,447.88","856,568.68","1,519,326.92","1,253,564.87","1,136,569.63","607,012.76","3,306,742.41","754,474.64","913,921.21","5,084,475.21","867,968.05","783,965.93","12,069,180.86"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,246,981.54","10,356,010.20","15,922,227.02","8,323,565.76","8,458,918.55","4,448,109.59","4,386,886.16","5,134,815.70","13,226,281.69","-6,672,442.97","-3,066,975.14","-2,744,022.80","-3,501,090.09","3,522,246.83","7,800,985.75","14,737,282.09","12,527,374.03","10,340,775.32","12,690,091.07","26,872,560.83","22,145,922.64","15,969,883.57","16,150,772.19","25,802,266.14","19,562,373.75","16,154,473.79"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,"120,132.18",,"142,893.59","209,020.40","138,564.87","147,412.10","138,576.55","180,948.71","115,571.57","128,210.47","141,224.03"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,"742,767.30","742,767.30","742,767.30","742,767.30","806,194.61","806,194.61","806,194.61","806,194.61","999,814.85","999,814.85",,,,,
