科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"182,765,576.92","368,924,979.67","619,303,313.26","832,254,700.50","127,255,092.01","207,468,279.40","294,573,534.78","476,763,792.47","141,940,289.35","347,899,664.18","548,666,534.29","747,379,115.75","296,353,595.99","506,397,985.55","766,105,882.24","1,004,140,026.48","302,637,705.35","720,457,197.76","1,220,330,238.89","1,501,264,153.93","276,080,868.77","566,326,522.83","841,846,476.96","1,519,210,168.37","289,140,393.21","573,760,132.96","854,022,566.39","2,052,231,934.32","457,257,874.42","732,340,949.50","1,492,181,663.80","1,771,780,508.26","325,363,108.81","674,171,619.80","1,147,148,876.91","1,518,473,415.22","357,206,556.31","705,053,135.99","1,138,865,561.23","1,664,832,961.69","373,154,991.46","858,453,922.34","1,267,760,784.39"
二、营业利润,"5,905,673.44","22,034,811.94","40,080,306.04","51,043,774.55","3,903,646.31","9,024,495.92","2,784,573.90","-116,809,044.56","-51,168,039.17","-42,592,200.38","-12,490,776.06","1,634,980.02","-2,114,718.77","7,706,614.66","23,358,312.14","46,517,332.63","15,266,764.75","15,731,077.62","2,917,073.28","55,121,655.22","-24,061,861.19","-28,909,903.45","-15,858,004.38","59,977,451.59","16,717,224.12","13,372,061.03","1,661,354.25","142,902,583.70","-12,424,121.93","9,822,347.35","23,649,009.05","63,392,281.80","-514,681.03","4,001,612.41","512,429,328.08","525,629,772.67","7,787,118.53","17,300,505.29","61,194,835.90","108,158,959.08","27,309,721.38","50,301,438.59","83,410,154.84"
减:营业成本,"155,549,842.35","288,173,920.66","488,164,423.97","653,889,800.30","116,447,133.31","197,145,093.11","272,855,877.13","474,031,576.09","147,347,004.37","321,660,800.67","470,905,895.94","640,113,724.28","272,347,490.87","450,057,156.76","697,740,869.09","895,777,322.51","274,051,939.31","656,220,209.17","1,111,252,786.06","1,281,430,924.49","252,489,502.22","491,537,367.79","721,023,002.74","1,217,890,740.15","230,880,020.81","474,896,327.78","727,362,262.65","1,569,989,300.34","404,391,306.93","627,887,371.67","1,295,835,992.69","1,440,379,817.96","291,085,789.78","583,553,484.03","984,229,767.78","1,312,770,741.86","309,598,846.27","614,622,950.22","980,415,551.22","1,432,272,432.06","309,746,867.39","756,940,821.16","1,115,464,192.33"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"854,350.80","1,677,592.85","2,320,231.60","2,920,454.99","334,718.80","477,200.13","591,820.65","1,095,800.31","150,970.12","683,158.00","1,162,479.52","1,815,884.82","744,658.88","1,171,867.92","1,448,043.27","2,310,613.59","938,599.87","15,401,496.77","32,490,978.82","40,216,765.90","919,640.36","2,604,699.38","4,295,827.89","58,563,951.96","1,653,094.05","3,205,300.90","4,274,045.18","104,867,806.14","15,056,105.42","15,459,868.04","59,049,758.34","61,083,061.03","996,970.59","2,977,703.24","4,071,354.95","8,416,828.16","1,286,234.06","2,189,658.93","4,329,978.61","12,569,319.95","3,217,386.57","5,772,174.87","9,330,129.60"
营业外收入,"2,041.50","4,932.00","178,012.63","218,480.63","3,860.00","10,848.36","16,123.36","119,128,970.54","103,504,065.37","103,507,452.37","103,512,184.40","69,373,912.61","13,788,968.00","14,035,815.90","14,044,755.40","62,128,417.48","13,549.50","17,747,548.00","35,879,616.00","5,623,083.53","104,938.00","989,981.60","1,703,919.60","3,279,292.01","505,717.00","1,160,797.00","1,164,697.00","1,690,062.96","34,189.51","1,652,288.57","1,900,909.38","8,724,839.76","4,727.50","30,736.50","278,811.50","1,530,381.89","21,320.50","988,147.83","3,000,072.30","2,170,178.56","841,120.60","1,254,598.29","1,662,223.92"
销售费用,"1,770,149.25","4,222,350.78","6,364,694.89","8,250,075.90","790,131.63","1,168,558.83","1,617,451.05","3,649,076.51","1,931,316.74","4,130,883.45","6,341,851.03","8,105,696.65","1,971,112.39","4,447,640.38","6,683,600.95","8,725,841.09","2,619,940.56","5,502,894.26","10,406,371.95","6,905,124.39","2,038,473.61","5,749,432.83","7,406,714.21","8,208,222.31","4,446,566.39","9,642,203.12","9,228,176.34","20,183,477.25","4,004,253.87","8,354,075.27","11,072,748.24","14,171,705.40","2,690,861.05","6,953,381.60","12,281,247.60","16,421,708.09","3,495,352.03","7,369,524.61","10,943,761.79","15,878,724.68","3,909,013.66","8,101,104.86","11,945,803.95"
减:营业外支出,"16,971.56","97,971.56","358,057.20","903,256.44","126,400.00","191,400.00","205,726.44","213,426.44","20,150.00","20,150.00","1,144,626.29","1,597,240.83","505,394.68","1,587,602.17","3,104,488.45","4,589,933.96","4,538.00","460,214.39","636,771.29","2,969,959.04","237,900.64","915,718.00","1,305,811.22","2,013,678.63","49,193.30","874,047.70","1,327,855.85","4,903,536.64","372,019.74","387,764.07","1,356,186.64","2,312,398.06","179,359.33","384,920.91","720,806.80","9,658,845.69","435,586.75","764,301.56","2,760,762.67","6,920,307.51","85,000.00","167,000.00","902,710.66"
管理费用,"9,525,433.15","36,001,272.05","52,905,746.39","70,370,971.33","6,812,207.02","6,283,019.77","9,235,687.64","28,457,190.46","17,210,069.38","29,458,330.69","44,488,723.85","64,310,051.09","14,236,902.94","33,793,833.59","47,684,264.73","66,241,795.78","20,022,978.68","39,732,164.04","62,341,935.60","86,040,399.52","22,891,755.80","40,531,844.08","57,366,753.81","80,269,280.74","21,573,728.52","42,458,800.90","65,294,668.87","101,228,626.59","28,561,937.72","46,520,935.83","66,246,160.40","121,473,485.38","26,820,843.07","60,904,298.56","101,384,917.85","126,586,975.75","32,523,075.48","57,333,968.78","85,229,774.69","124,358,317.23","28,540,632.84","50,397,949.85","78,806,490.43"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"19,585.14",,,,,,,,,,,,"2,232,831.25",,,,"673,671.23",,,,"911,267.31",,,,"4,045.49",,,
