科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"87,761,709.46","72,208,716.41","26,037,985.60","19,858,826.14","43,035,367.79","281,177,554.70","245,730,399.04","211,676,481.71","238,977,816.19","185,801,376.93","109,522,268.97","74,325,579.67","184,833,748.53","146,658,985.04","1,626,765,091.38","85,302,882.87","264,654,041.76","118,992,829.40","192,720,287.16","321,843,515.00","494,246,688.16","372,945,674.79","451,436,919.59"
短期借款,,,,"30,000,000.00","56,912,418.46","40,050,307.67","18,578,436.40",,"42,396,232.54","70,500,000.00","54,503,767.46","71,522,406.88","130,999,908.40","145,268,920.48","20,000,000.00","20,000,000.00","60,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","80,000,000.00","80,000,000.00","209,868,544.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,"200,000.00",,"70,000.00","70,000.00",,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"6,386,392.67","11,433,603.84","23,343,927.95","36,691,799.63","26,234,509.89","37,768,136.82","50,151,813.09","56,651,263.35","43,948,945.46","77,379,614.48","98,871,573.70","86,484,366.63","84,405,140.21","268,669,549.27","377,852,238.97","644,091,296.77","560,111,605.56","844,673,977.24","961,399,483.90","1,076,896,866.91","986,724,852.84","1,424,926,409.32","1,618,293,893.50"
应付账款,"8,335,680.16","4,566,356.80","20,000,241.47","21,053,218.15","22,853,989.35","25,959,897.36","25,452,973.04","26,955,247.76","54,869,590.27","48,251,238.75","60,810,995.78","69,491,216.61","103,798,815.44","190,641,054.48","247,243,955.96","388,500,282.25","555,767,307.07","603,390,057.62","650,755,084.21","774,556,814.79","919,349,828.70","967,624,505.67","1,040,626,686.29"
预付款项,"1,925,326.00","20,762,555.00","45,848,324.67","60,679,393.00","53,500,769.49","100,416,719.65","87,613,432.55","94,710,121.70","2,564,139.47","14,833,987.73","9,941,336.46","8,765,852.22","9,176,921.88","61,675,759.94","76,655,192.83","163,764,349.61","218,635,928.65","341,883,825.10","252,508,319.53","226,888,282.06","228,258,731.46","178,073,487.28","447,947,993.99"
预收款项,"12,062,743.87","17,168,160.77","27,344,324.27","36,983,561.92","50,321,068.09","42,607,847.52","38,798,670.45","47,360,733.39","50,248,171.62","46,806,295.19","45,220,931.48","49,168,223.69","55,179,698.42","118,805,817.28","139,964,854.12","203,229,912.63","243,730,598.84","234,888,973.20","239,510,780.38","275,370,574.93","141,282,094.75","149,721,827.22","134,742,164.70"
其他应收款,"2,373,230.10","2,509,740.76","2,626,275.26","4,199,491.70","4,872,344.97","2,672,390.97","2,932,245.69","28,424,743.22","3,040,686.28","42,721,340.61","88,177,045.63","115,223,466.49","83,945,444.14","129,068,583.38","77,322,986.85","81,413,392.10","87,197,314.78","81,619,872.95","136,485,185.03","130,436,517.10","134,649,620.57","129,939,240.82","176,135,638.13"
应付职工薪酬,"1,934,910.97","2,617,315.02","3,387,072.28","2,247,925.06","4,614,462.63","2,494,623.74","2,814,469.28","3,212,035.77","5,206,353.25","3,626,254.41","3,702,149.41","3,995,391.08","6,864,365.06","6,531,526.67","6,649,095.36","7,617,891.07","11,978,127.84","8,589,321.99","7,896,066.59","8,694,237.39","15,823,531.56","8,790,139.80","8,997,844.11"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,501,758.60","3,801,937.90","4,205,432.49","3,785,613.21","4,403,905.33","4,964,999.30","5,308,538.57","4,087,702.17","3,467,169.06","4,233,733.76","5,213,493.28","5,003,720.53","6,175,798.66","26,914,235.28","54,974,687.28","70,363,052.59","56,449,763.30","55,570,086.64","64,106,318.06","73,418,472.38","102,928,888.80","85,419,996.09","72,020,178.52"
应收利息,,,,,,,,,,,,,,,"2,316,369.83","8,736,495.31","11,338,527.91","14,921,211.49","5,715,337.97","6,410,330.72","5,955,157.91","5,167,203.93","2,393,202.37"
应付利息,,,,,,,,,,,,,,"122,506.44","2,025,040.19","2,224,762.42","2,221,777.80","1,870,708.36","1,686,277.80","1,648,847.22","2,376,927.21","1,785,444.50","2,093,648.92"
应收股利,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,"145,538.30"
存货,"253,616.24","266,493.20","257,789.34","447,876.86","792,312.00","833,466.45","1,136,072.35","905,077.45","1,146,459.61","1,524,034.48","792,831.86","1,639,528.73","1,305,634.38","2,076,802.77","1,849,878.86","1,937,330.35","3,115,655.78","3,284,486.56","2,936,549.59","3,526,829.70","4,732,138.88","5,928,041.09","8,814,160.29"
