科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"270,413,775.57","399,849,117.72","465,117,399.15","143,758,775.36","285,649,358.77","387,880,282.88","525,377,536.67","104,113,771.10","207,829,847.01","276,863,247.00","367,307,194.07","106,351,688.07","243,509,043.48","380,448,416.41","520,008,661.69","138,561,816.13","311,469,256.68","429,130,929.12","579,655,630.15","209,895,429.11","675,037,343.02","1,085,502,629.05","1,258,801,585.35","532,152,242.20","929,358,309.60","1,369,443,771.70","2,086,927,541.18","631,330,854.15","1,101,791,217.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"51,344,200.00","51,344,200.00","35,836,454.34",,,,,,"31,099,431.25","31,099,431.25","74,099,426.71","-14,568,183.07","198,730,058.16","209,329,754.04","306,816,349.06",,"-34,094,032.45","-34,641,529.23","47,892,316.73",,
收到的税费返还,,,,,,,,,,,,,,,,,465.21,"1,316,735.50","1,312,706.88","51,183.21","537,397.60","771,465.36","1,210,372.84","201,366.66","1,920,722.27","9,313,351.48","10,056,620.47","4,339,514.23","20,456,000.46"
支付其他与投资活动有关的现金,,,,,,,,,,,"299,879.33",,,,,,,,,"150,431.46","15,079,626.88","15,428,454.02",,"16,731,251.06","114,898,089.80","206,380,830.10","306,402.00",,
收到其他与经营活动有关的现金,"4,411,830.22","16,116,276.77","4,808,993.61","1,378,447.26","6,339,078.71","12,935,250.63","13,899,652.59","397,337.94","1,379,592.03","3,335,120.38","20,153,661.72","2,871,772.70","3,174,974.92","3,906,646.19","93,522,392.70","8,452,336.31","2,710,916.14","3,125,888.28","37,857,959.95","61,616,714.42","325,507,898.55","306,896,064.90","216,609,069.14","323,921,052.89","192,815,230.89","358,246,071.00","395,987,068.81","184,197,364.56","223,035,484.81"
投资活动现金流出小计,"36,915,174.89","112,522,472.23","75,191,086.42","36,510,174.60","43,430,445.81","141,038,323.29","166,130,916.21","59,736,477.12","140,055,094.60","182,645,902.91","162,228,698.10","22,220,929.64","40,182,905.38","52,903,569.40","75,897,968.78","29,384,481.65","139,394,621.17","197,163,237.20","338,350,924.32","185,356,550.41","405,496,768.71","626,222,398.95","915,115,706.37","324,066,238.87","731,267,723.21","994,703,368.31","1,375,374,073.20","284,281,591.21","359,185,354.50"
经营活动现金流入小计,"274,825,605.79","415,965,394.49","469,926,392.76","145,137,222.62","291,988,437.48","400,815,533.51","539,277,189.26","104,511,109.04","209,209,439.04","280,198,367.38","387,460,855.79","109,223,460.77","246,684,018.40","384,355,062.60","613,531,054.39","147,014,152.44","314,180,638.03","433,573,552.90","618,826,296.98","271,563,326.74","1,001,082,639.17","1,393,170,159.31","1,476,621,027.33","856,274,661.75","1,124,094,262.76","1,737,003,194.18","2,492,971,230.46","819,867,732.94","1,345,282,702.50"
投资活动产生的现金流量净额,"-36,915,174.89","-112,522,472.23","-75,191,086.42","-35,305,402.92","-42,225,674.13","-139,833,551.61","-164,904,557.69","-59,736,477.12","-140,055,094.60","-182,645,902.91","-106,348,065.10","-22,220,929.64","-39,986,440.38","-52,694,269.40","-70,294,468.78","-29,384,481.65","-109,146,730.76","-166,915,346.79","-338,100,924.32","-185,341,050.41","-247,406,088.07","-468,080,965.83","-753,881,859.37","-289,225,995.51","-696,299,259.07","-925,535,229.58","-1,098,977,838.71","-273,758,012.29","-280,128,673.45"
购买商品、接受劳务支付的现金,"212,550,181.01","280,555,613.56","301,227,863.51","104,502,912.76","233,852,562.08","348,208,517.73","437,670,037.39","84,891,388.33","117,209,004.32","210,906,914.05","255,949,363.91","94,288,120.92","186,093,882.02","249,284,677.61","410,763,734.49","95,063,922.32","243,950,402.54","331,119,720.84","407,819,797.05","164,919,429.22","357,194,430.60","954,777,831.30","1,159,153,184.31","579,727,207.94","1,163,494,124.19","1,632,679,152.77","2,639,685,266.45","692,804,503.37","1,010,811,239.76"
吸收投资收到的现金,"25,188,000.00",,,,"261,600,000.00","261,600,000.00","261,600,000.00",,,,,,,,,,"314,841,600.00","314,841,600.00","326,480,000.00",,,,"12,000,000.00","1,280,499,954.87","1,280,549,516.44","1,278,650,393.30","1,278,650,393.30",,"71,537.92"
支付给职工以及为职工支付的现金,"18,276,144.73","27,073,012.04","37,757,986.95","14,391,730.18","29,118,176.49","53,545,039.68","57,057,247.37","16,441,086.09","33,525,667.94","50,619,198.48","71,032,368.98","22,539,361.86","48,329,818.78","73,639,414.33","93,216,724.85","23,665,833.94","54,463,534.16","82,958,633.52","104,161,082.22","41,155,792.53","100,009,395.79","158,412,879.72","244,452,539.18","88,460,106.43","178,118,953.02","272,449,187.29","381,801,422.01","107,600,644.40","199,712,684.22"
