科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"436,652,766.50","518,558,747.16","841,139,373.00","261,273,200.99","431,051,633.08","728,826,928.97","155,383,340.85","328,062,154.86","517,111,120.18","793,098,897.47","92,154,088.48","234,788,388.51"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,"2,065,661.29","1,176.57","33,681.71","33,681.71","33,681.71",,"149,182.36","152,960.85","150,823.49",,
支付其他与投资活动有关的现金,,,,,,,"25,500,000.00",,,"25,500,000.00",,
收到其他与经营活动有关的现金,"4,939,478.04","1,510,379.01","2,158,729.55","8,327,950.32","8,918,306.45","9,746,108.94","322,366.19","673,736.34","1,193,999.19","15,616,333.33","5,791,765.92","16,206,246.93"
投资活动现金流出小计,"8,406,594.29","44,972,923.73","13,900,694.40","8,908,210.55","9,300,497.33","12,447,801.12","392,762,520.53","674,489,897.73","1,009,094,406.93","1,470,255,901.19","442,603,275.87","972,865,364.33"
经营活动现金流入小计,"441,592,244.54","522,134,787.46","843,299,279.12","269,634,833.02","440,003,621.24","738,606,719.62","155,705,707.04","328,885,073.56","518,458,080.22","808,866,054.29","97,945,854.40","250,994,635.44"
投资活动产生的现金流量净额,"-8,394,594.29","-44,972,636.73","-7,492,804.16","-7,818,210.55","-8,203,897.33","-8,357,801.12","-292,919,013.68","-269,355,740.32","-342,239,607.88","-397,445,546.68","44,324,134.02","104,573,202.64"
购买商品、接受劳务支付的现金,"293,565,700.30","329,105,346.24","633,377,087.53","278,096,396.47","373,390,633.97","526,037,117.47","110,306,334.75","215,191,415.96","309,683,058.57","415,517,589.50","128,763,256.04","242,982,145.61"
吸收投资收到的现金,,,,,,"318,230,000.00",,,,,,
支付给职工以及为职工支付的现金,"58,341,084.66","69,453,900.07","83,205,456.05","35,788,660.53","59,792,457.25","82,838,385.33","19,849,701.85","41,342,084.49","72,411,476.16","92,971,198.24","20,730,509.57","43,817,016.61"
取得借款收到的现金,"70,510,000.00","75,000,000.00","100,000,000.00","116,000,000.00","151,000,000.00","161,000,000.00",,,,,,
