科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"285,319,734.35","302,790,925.78","330,706,873.02","248,399,750.13","350,643,963.42","842,016,659.23","805,112,338.49","714,941,227.46","817,234,347.40","739,586,469.45","648,359,705.06","536,739,189.27","545,141,328.17","532,516,763.91","455,584,094.60","383,016,277.10","368,657,371.45","347,713,634.08","374,791,414.03","335,773,196.04","373,772,550.82","466,100,861.91","300,482,065.66","265,128,834.00","813,313,493.90","592,242,378.27"
短期借款,,,"53,925,000.00","20,510,000.00","50,900,000.00","70,565,074.14","72,597,359.18","41,243,731.19","48,225,000.00","68,409,596.44","129,197,921.74","117,909,987.67","88,380,000.00","177,208,672.09","161,396,203.31","168,105,726.87","171,920,000.00","220,999,351.07","234,948,905.11","235,978,120.34","218,900,000.00","323,764,906.30","343,017,731.68","306,741,463.41","600,677,000.00","583,486,880.47"
交易性金融资产,,,,,,,,,"92,249.55",,"125,947.96","312,942.03",,,,,,,,,,,,,,"325,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"46,367,302.90","52,077,231.74","65,017,235.37","44,332,001.77","70,854,594.87","34,796,389.81","42,311,523.31","43,485,101.47","65,413,488.62","44,879,881.46","46,611,669.83","48,318,809.39","63,421,292.79","39,306,113.92","57,205,062.69","56,146,170.18","97,307,031.96","60,405,974.49","61,592,779.29","71,974,303.63","102,689,331.63","55,710,378.98","82,763,169.89","87,609,601.79","118,336,813.22","83,037,485.21"
应付票据,"1,360,769.03","1,578,316.69","1,307,621.50","608,429.15","2,247,856.39","586,660.08","156,367.66",,"19,290.00","4,397.76","4,472.23","59,246.81",,,,,,,"1,105,653.73","703,028.20","337,307.83","221,731.69","220,234.75",,"114,695.81",
应收账款,"135,598,593.69","169,238,429.64","243,740,865.25","324,719,367.90","314,601,396.03","325,554,298.34","373,212,651.38","328,216,561.77","313,747,501.26","313,593,223.88","310,377,528.09","285,840,904.31","245,343,436.26","270,570,024.27","277,584,580.97","273,711,130.70","212,708,515.02","215,086,797.95","218,224,542.93","189,313,300.49","143,786,597.33","164,210,224.73","171,423,138.27","169,415,705.83","155,652,809.36","195,488,050.00"
应付账款,"51,702,525.81","61,060,174.43","71,359,908.89","72,812,053.77","73,045,478.00","67,298,443.35","76,688,709.76","72,601,418.26","67,631,580.28","59,285,382.96","71,851,974.79","82,386,163.74","65,232,262.46","51,689,234.61","75,721,863.35","68,730,128.39","75,923,759.19","63,917,907.08","88,747,247.67","66,585,857.76","88,018,270.02","64,887,764.09","80,327,823.44",,"96,063,385.42",
预付款项,"7,554,340.51","14,391,233.96","15,007,392.59","9,989,226.55","9,759,236.98","15,475,461.99","34,217,984.89","33,039,426.44","13,202,316.97","19,641,006.01","30,179,971.05","34,315,151.39","18,071,766.06","21,018,486.88","20,020,258.93","26,569,118.75","6,494,662.99","9,923,208.78","22,820,205.73","18,409,141.15","13,182,912.19","20,495,565.22","26,153,727.18","28,253,330.23","19,351,666.29","27,556,506.59"
预收款项,"81,391,243.65","75,003,191.81","88,126,312.24","81,329,993.94","83,747,650.75","74,317,176.93","69,608,081.32","39,322,029.70","76,625,192.77","66,905,051.65","45,126,687.97","45,740,362.10","92,599,974.95","97,947,814.89","103,725,999.53","112,071,363.91","111,635,695.75","113,606,000.64","119,804,392.63","120,377,804.47","142,905,380.23","131,421,311.82","130,946,409.96","131,530,704.07","159,341,095.45","168,345,040.97"
