科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"53,598,057.10","109,865,037.45","167,555,694.83","280,765,729.75","71,405,640.99","139,333,813.72","202,669,893.52","253,949,974.26","61,833,830.18","150,374,512.06","228,935,939.14","306,537,215.61","87,927,638.49","186,381,139.82","266,670,447.04","353,068,308.64","92,077,318.27","185,277,813.86","263,325,965.83","339,757,165.14","120,069,559.47","225,223,877.30","332,821,391.62","427,260,132.94","92,731,262.75","204,633,825.95","292,915,246.78","388,492,901.55","98,499,253.15","208,276,959.37","303,008,175.56","405,008,346.48","94,852,829.09","180,973,304.68","1,702,600,415.19","5,271,291,350.28","2,748,970,145.23","6,816,529,630.94","11,084,767,648.42","15,704,089,646.39","2,695,979,917.09","6,531,409,251.01","9,692,182,423.03","15,437,428,994.30","4,436,371,444.08"
二、营业利润,"2,806,428.80","4,389,869.43","6,002,656.67","7,712,721.08","4,772,349.27","7,381,714.86","8,491,909.27","-57,080,960.44","4,470,560.46","8,031,684.79","9,467,062.05","-6,398,561.93","4,639,044.37","24,284,619.34","30,248,665.81","16,018,686.99","11,428,892.03","26,507,802.78","36,989,607.49","35,426,926.94","9,622,453.23","17,198,759.11","24,229,128.83","35,642,605.24","7,550,794.75","27,387,222.88","40,494,913.75","57,791,013.94","15,194,619.33","30,832,005.32","42,290,729.73","44,792,376.04","13,921,180.71","44,844,059.98","147,681,930.36","303,752,014.57","132,902,614.46","377,198,341.52","652,779,607.74","920,077,912.29","283,274,132.15","574,618,782.55","902,657,564.38","1,191,949,343.79","274,566,182.56"
减:营业成本,"39,374,349.47","78,745,829.40","119,255,828.91","197,505,902.37","52,055,243.15","96,434,890.94","138,943,417.21","165,782,842.88","43,571,823.23","104,111,273.54","166,732,628.70","211,554,963.88","65,557,781.13","124,218,418.63","177,163,146.09","239,212,380.62","64,074,067.84","126,403,603.44","179,686,807.22","234,365,066.05","94,334,448.58","164,534,866.99","248,000,507.68","312,640,473.59","68,972,091.73","149,461,275.04","210,951,671.83","275,573,330.25","71,337,995.83","149,285,731.85","217,553,467.01","299,318,467.33","73,395,407.60","144,072,868.47","1,595,388,173.74","5,060,460,924.20","2,650,743,015.19","6,375,187,326.67","10,327,172,985.54","15,009,802,778.00","2,505,010,772.38","6,084,115,713.64","8,985,763,992.87","14,404,315,034.70","4,159,525,266.82"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"817,866.32","1,414,062.54","2,106,911.17","3,241,082.46","960,313.92","1,831,011.71","2,463,147.28","3,947,772.22","790,788.19","2,221,404.86","3,111,351.44","4,741,420.26","775,376.71","1,301,138.79","2,144,744.36","3,402,050.41","501,636.20","1,262,492.46","2,048,084.34","2,934,170.13","845,706.98","1,467,821.79","1,979,352.00","2,383,310.64","348,290.81","1,339,131.11","1,824,678.99","2,134,399.65","832,758.24","1,045,442.11","1,111,537.07","1,754,870.36","424,922.70","663,587.60","9,311,751.05","17,650,423.00","5,293,118.91","9,943,764.41","12,191,867.79","22,547,762.14","1,418,396.90","5,071,572.52","6,438,025.81","18,145,630.25","3,983,534.81"
营业外收入,"10,000.00","896,619.99","905,480.49","1,034,627.70","23,030.00","80,454.00","135,454.00","7,980,934.34",200.00,"14,634,866.71","14,654,866.71","20,588,867.71","25,000.00","28,000.00","86,310.00","836,635.21",,,,"591,551.45","365,600.00","814,438.42","2,195,938.42","1,824,601.92",,"36,000.00","1,689,047.78","8,503,254.46",,"270,000.00","-485,356.46","304,643.54","69,158.30","69,158.30","6,863,777.92","153,071,141.71","349,601.00","1,935,798.80","2,521,098.20","67,713,376.25",,0.06,"182,575.18","403,023.11","5,000,000.00"
销售费用,"3,234,683.45","6,793,613.07","10,180,711.70","19,782,825.23","5,149,912.66","10,428,604.54","15,383,290.30","21,199,708.09","4,291,067.63","10,677,749.42","14,305,075.27","24,369,221.77","4,940,375.72","13,556,912.71","24,303,653.06","28,776,623.60","5,666,170.33","9,500,571.93","13,833,719.86","16,097,797.13","4,336,869.82","9,485,261.03","13,328,540.85","18,056,923.02","3,587,346.64","7,590,594.49","11,016,911.44","14,990,015.81","3,159,624.96","7,013,628.04","10,793,299.21","14,483,044.76","3,661,209.88","6,442,102.87","9,144,691.16","14,323,172.13","3,272,670.29","7,441,008.16","9,999,245.65","26,079,020.73","455,006.59","1,204,724.38","5,497,377.35","7,032,404.09","1,701,014.34"
减:营业外支出,10.00,110.00,"3,562.00","264,519.30","26,126.93","126,834.66","129,352.73","264,963.81","318,260.45","320,863.86","344,054.01","1,953,849.28","2,849.14","7,182.83","399,131.05","7,671,292.99",,"516,896.17","1,282,863.17","1,649,586.81",895.50,"1,387,711.43","1,405,470.50","9,091,646.11","357,513.61","967,927.40","958,703.66","1,680,905.49",,"5,777.20","11,177.20","788,160.61","1,000.00","1,000.00","240,384.94","556,325.89","291,808.56","374,215.76","376,592.96","684,612.19","500,363.74","560,212.31","500,446.48","2,746,477.19","39,843.86"
管理费用,"5,600,089.36","14,844,323.38","22,536,378.87","16,627,361.12","5,566,393.20","12,413,672.88","19,608,076.92","28,619,125.43","5,892,693.12","15,917,498.42","23,428,677.28","34,685,332.47","10,460,352.01","19,961,702.09","28,762,959.78","36,552,715.28","8,617,887.08","15,939,278.75","22,449,706.97","30,978,728.46","7,548,609.34","22,529,750.69","31,581,801.63","41,159,121.70","8,903,125.29","19,786,252.78","27,566,242.17","37,437,698.36","7,166,307.31","18,286,808.26","28,522,317.32","35,436,164.97","7,831,703.28","16,220,493.93","28,512,910.10","54,138,919.95","12,526,872.73","29,030,240.74","50,224,117.08","70,243,347.00","5,938,671.24","22,190,528.42","35,369,471.40","67,514,077.06","15,878,383.88"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"103,597.38",,,,"82,738.90",,"1,312,415.19","1,259,069.73",,,,,"646,979.77",,,,"5,777.20",,,,"7,703.47",,,"84,784.40","95,702.85",,,,,
