科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"62,732,361.25","137,177,611.88","79,206,410.55","175,687,794.44","86,222,006.57","132,783,078.42","200,562,643.97","46,980,986.35","91,452,630.55","142,130,850.62","197,530,631.21","61,482,013.56","119,727,898.61","146,779,252.03","202,292,724.29","46,907,653.80","85,703,121.51","164,154,669.18","260,801,413.67","41,827,813.90","173,355,901.69","250,173,004.61","407,197,357.59","105,326,434.19","239,067,141.01","367,467,556.15","535,150,030.13","124,870,059.76","249,701,325.27","379,590,508.38","436,578,527.14","103,298,588.56","202,536,374.61","268,840,933.60","441,185,432.22","103,259,569.52"
二、营业利润,"18,237,295.45","44,122,400.14","19,948,437.07","58,778,000.92","25,554,550.47","45,590,696.69","74,176,638.00","9,384,269.14","25,727,740.85","41,923,752.32","56,348,549.15","17,041,452.51","34,489,431.97","29,370,849.44","31,132,187.39","4,383,504.84","-12,374,765.10","8,398,768.52","-13,523,269.99","-13,707,132.39","16,954,613.45","40,126,700.41","67,784,404.93","25,229,219.98","58,713,581.12","91,111,419.38","98,598,150.75","29,544,814.69","61,257,009.94","87,351,869.48","40,832,035.71","19,592,596.54","38,935,879.48","40,986,575.49","45,927,639.75","37,502,936.19"
减:营业成本,"41,244,316.34","45,316,554.74","30,222,195.11","63,839,045.35","32,869,085.81","49,362,122.83","71,195,410.06","24,032,618.13","42,944,200.02","63,937,781.93","93,736,997.09","30,541,442.73","53,461,270.60","70,396,421.25","86,940,214.30","16,000,067.80","41,020,454.04","69,328,725.48","142,098,445.12","26,719,824.07","97,905,501.08","114,287,016.64","186,535,009.76","50,842,722.86","118,498,659.74","182,845,332.20","249,038,110.50","63,320,356.79","110,453,415.91","174,886,573.62","203,710,516.51","46,511,574.66","88,691,519.48","113,966,848.90","220,847,577.78","46,690,933.07"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"93,003.07","1,001,048.99","339,618.31","655,406.12","396,010.54","541,327.85","699,430.85","23,023.47","174,527.87","345,405.91","671,113.10","30,940.87","246,548.49","394,723.01","929,920.46","37,427.83","64,737.96","485,992.79","1,461,031.29","131,947.68","531,919.82","686,725.76","1,449,931.99","37,015.53","500,712.94","577,952.47","2,132,018.66","64,575.02","471,451.72","486,888.72","2,072,533.57","403,012.09","836,121.61","2,174,577.37","3,405,597.49","381,983.15"
营业外收入,"16,858.58","1,471,980.28","2,500,000.00","2,504,000.00","120,000.00","120,042.71","3,529,386.00","10,000.00","15,000.00","515,000.00","3,530,179.27","362,688.99","362,688.99","373,588.99","1,210,316.90","4,000.00","30,700.00","482,740.00","2,229,966.79","47,565.66","244,995.66","307,718.76","9,386,769.77","61,194.70","1,333,852.37","1,517,697.37","19,967,747.81","6,815,660.07","8,109,529.13","11,305,464.94","25,549,816.88","2,073,151.73","1,475,672.76","1,788,600.69","4,085,449.86","118,490.50"
销售费用,"322,310.31","9,807,990.54","5,058,256.99","11,397,974.96","4,221,596.43","6,267,128.47","9,042,318.46","2,898,012.37","4,511,203.23","7,752,916.79","10,275,688.55","3,073,103.22","6,549,352.27","9,917,984.77","15,549,801.27","4,708,543.13","10,597,359.61","16,321,042.90","24,015,873.48","5,577,363.43","10,268,872.13","16,145,866.13","24,659,992.85","6,891,588.19","13,212,120.62","19,770,816.63","40,917,974.87","5,823,032.64","13,378,044.07","20,718,854.36","32,079,597.14","5,472,588.41","14,316,974.61","22,294,718.85","35,611,314.03","2,944,579.37"
减:营业外支出,,491.63,,"3,010.57",,,460.72,"4,366.42","4,366.42","80,285.35","80,285.35","1,108.75","1,985.96","11,490.86","11,490.86",19.32,19.32,19.32,"2,053.51","1,480.28","1,480.28","1,980.28","421,863.96","22,210.23","22,483.73","22,870.73","34,491.03","8,208.78","8,208.78","8,963.52","146,055.27",613.72,"45,287.10","78,918.78","53,777.80",
管理费用,"1,963,944.83","37,120,556.19","23,042,511.92","39,116,288.96","20,711,650.37","27,625,437.22","45,972,741.34","11,015,945.02","20,452,970.50","31,380,953.71","43,101,374.29","13,763,223.77","25,467,187.98","39,048,946.84","70,389,485.15","22,183,377.65","46,019,494.55","67,732,552.23","102,764,475.20","24,091,329.54","48,399,584.63","76,162,286.78","121,763,127.90","22,095,531.47","45,754,871.00","69,830,043.89","137,519,760.93","26,983,404.53","59,224,702.94","86,400,285.37","139,869,366.70","28,149,374.57","56,171,657.39","85,509,747.34","128,508,418.00","28,649,167.87"
其中:非流动资产处置净损失,,,,,,,459.89,,"4,366.42",,"60,285.35","1,108.75","1,108.75","10,613.65","10,613.65",,,,,,,,,,273.50,660.50,"12,280.80","8,208.78","8,208.78","8,963.52","35,939.51",613.72,"25,287.10","35,197.50",,
