科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"216,886,575.65","195,979,497.71","313,309,184.63","69,270,041.82","170,792,704.26","251,876,164.09","363,270,967.86","87,780,962.26","169,914,049.41","268,260,247.74"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"65,000,000.00","34,080,017.17"
收到的税费返还,"8,530,577.93","8,964,741.64","10,870,414.60","1,057,733.05","5,044,716.92","8,180,804.14","11,853,114.22","1,503,061.95","5,819,481.46","12,832,762.02"
支付其他与投资活动有关的现金,"1,080,000.00",691.49,"600,000.00",,,"95,000,000.00","156,001,560.00","75,000,000.00","105,000,000.00","280,000,000.00"
收到其他与经营活动有关的现金,"7,901,646.13","7,759,627.28","17,802,080.05","1,635,196.54","5,468,515.62","7,164,432.91","14,467,531.67","1,848,916.12","6,365,034.42","9,732,435.52"
投资活动现金流出小计,"4,263,582.26","7,258,994.46","5,902,653.76","1,163,758.29","1,587,203.04","98,006,169.52","162,386,350.70","140,918,520.54","173,213,466.70","328,929,840.77"
经营活动现金流入小计,"233,318,799.71","212,703,866.63","341,981,679.28","71,962,971.41","181,305,936.79","267,221,401.14","389,591,613.75","91,132,940.33","182,098,565.29","290,825,445.28"
投资活动产生的现金流量净额,"1,886,417.74","-2,455,293.63","-4,842,653.76","-1,163,758.29","-1,586,103.04","-98,005,069.52","-130,424,360.00","-14,399,212.31","33,785,567.56","-53,280,965.41"
购买商品、接受劳务支付的现金,"153,362,656.39","155,299,454.28","215,101,067.51","74,883,086.37","125,159,697.24","195,201,945.14","254,474,993.59","60,924,330.02","142,694,403.10","210,328,479.54"
吸收投资收到的现金,"400,000.00","1,000,000.00",,,,"226,816,294.34","241,700,000.00",,,
支付给职工以及为职工支付的现金,"24,352,973.70","31,689,671.36","33,657,975.68","11,857,819.23","20,232,722.78","30,451,888.85","43,223,809.56","14,626,014.63","25,199,788.26","39,167,965.28"
取得借款收到的现金,"7,000,000.00","25,000,000.00","28,500,000.00",,"10,000,000.00","12,500,000.00","12,500,000.00",,,"56,334,120.00"
支付的各项税费,"20,601,633.77","18,814,441.48","19,731,867.70","5,649,693.43","10,942,858.41","17,007,097.02","22,129,721.36","6,525,596.09","13,473,712.00","21,752,200.77"
收到其他与筹资活动有关的现金,,,,,"1,114,559.44","41,498,265.10","204,778.54","378,752.00","378,752.00","4,178,752.00"
支付其他与经营活动有关的现金,"28,786,610.49","25,659,796.77","26,581,063.26","6,229,418.33","16,626,926.12","34,819,085.98","38,101,415.31","10,151,518.95","30,195,466.23","51,385,785.41"
筹资活动现金流入小计,"7,400,000.00","26,000,000.00","28,500,000.00",,"11,114,559.44","280,814,559.44","254,404,778.54","378,752.00","378,752.00","60,512,872.00"
经营活动现金流出小计,"227,103,874.35","231,463,363.89","295,071,974.15","98,620,017.36","172,962,204.56","277,480,016.99","357,929,939.82","92,227,459.69","211,563,369.59","322,634,431.00"
偿还债务支付的现金,"6,100,000.00","5,750,000.00","26,200,000.00","15,450,000.00","26,550,000.00","26,550,000.00","26,550,000.00",,"10,000,000.00","12,500,000.00"
经营活动产生的现金流量净额,"6,214,925.36","-18,759,497.26","46,909,705.13","-26,657,045.95","8,343,732.24","-10,258,615.85","31,661,673.93","-1,094,519.36","-29,464,804.30","-31,808,985.72"
分配股利、利润或偿还利息支付的现金,"256,995.81","10,857,612.76","2,121,203.37","346,993.70","565,374.50","716,933.60","870,742.17","152,793.76","12,198,387.95","12,203,704.62"
