科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"541,440,474.25","370,270,549.45","727,807,694.76","455,254,637.06","675,453,758.53","838,331,857.85","137,433,502.61","343,834,032.43","526,886,508.75","759,883,190.20","225,880,062.73","488,581,898.78","721,943,336.62","983,713,246.06","215,608,725.70","435,723,810.61","731,066,760.69","1,048,135,260.59","403,182,544.54","734,399,973.87","1,190,075,144.31","1,674,998,666.66","455,359,540.66","915,875,965.85","1,423,140,723.12","1,892,641,802.06","633,299,706.84","1,227,179,259.36","1,838,587,599.73","2,489,562,200.36","623,842,872.51"
取得子公司及其他营业单位支付的现金净额,,,"13,414,505.08","35,607,731.29","35,607,731.29","35,607,731.29",,,,,,,,,,,,,,,,,"906,764,353.40","896,988,543.84","891,869,702.52","891,869,702.13",,,,,
收到的税费返还,"3,482,022.34","3,058,585.25","12,303,324.10","9,604,024.34","11,413,050.98","15,189,857.19","3,519,149.44","6,059,358.18","7,855,676.59","17,994,515.14","19,426,136.21","23,786,767.22","27,509,461.76","28,605,412.30","7,448,425.63","11,955,281.30","12,615,783.91","16,508,113.08","8,170,555.82","12,504,257.53","16,338,576.38","22,733,672.65","15,217,112.16","20,930,244.48","25,273,092.41","29,510,947.00","9,589,512.29","11,581,656.92","17,914,912.80","22,358,031.19","6,020,330.30"
支付其他与投资活动有关的现金,,,"20,295,909.30",,,,,,,,,,,,,,,,,,,"1,025,261,600.00","370,000,000.00","870,000,000.00","1,300,031,268.00","1,680,000,000.00","280,000,000.00","560,000,000.00","910,000,000.00","1,260,000,000.00",
收到其他与经营活动有关的现金,"4,510,110.59","3,047,555.55","4,502,476.57","7,498,986.60","14,087,972.63","15,278,139.11","5,183,978.75","7,147,520.08","9,896,101.55","19,723,875.60","6,082,605.28","9,675,322.43","19,690,520.62","22,398,287.27","2,419,497.76","3,926,409.30","8,698,485.66","20,886,532.35","2,360,047.24","6,437,917.71","8,369,375.03","20,897,343.89","3,574,443.62","14,271,849.66","17,958,870.43","21,797,862.16","29,900,940.21","32,968,165.29","41,604,647.35","53,075,452.51","2,198,865.62"
投资活动现金流出小计,"37,084,603.77","39,015,549.15","116,049,479.30","110,756,538.35","136,698,447.06","162,870,220.56","26,177,655.39","90,616,778.06","172,122,744.43","244,190,255.53","50,144,035.41","80,028,428.14","129,631,786.99","190,463,988.17","42,901,551.72","84,986,028.73","130,049,784.46","189,462,606.18","106,473,734.16","702,616,698.78","1,284,935,839.25","1,388,840,234.00","1,336,320,107.68","1,931,761,994.08","2,514,745,823.63","3,016,155,191.04","383,896,644.69","776,983,104.26","1,185,734,020.55","1,643,482,606.78","103,997,142.14"
经营活动现金流入小计,"549,432,607.18","376,376,690.25","744,613,495.43","472,357,648.00","700,954,782.14","868,799,854.15","146,136,630.80","357,040,910.69","544,638,286.89","797,601,580.94","251,388,804.22","522,043,988.43","769,143,319.00","1,034,716,945.63","225,476,649.09","451,605,501.21","752,381,030.26","1,085,529,906.02","413,713,147.60","753,342,149.11","1,214,783,095.72","1,718,629,683.20","474,151,096.44","951,078,059.99","1,466,372,685.96","1,943,950,611.22","672,790,159.34","1,271,729,081.57","1,898,107,159.88","2,564,995,684.06","632,062,068.43"
投资活动产生的现金流量净额,"-35,632,246.77","-37,454,793.87","-114,585,639.16","-110,174,470.19","-135,915,115.89","-160,839,176.95","-26,137,344.39","-89,488,946.92","-170,967,857.69","-242,983,712.52","-50,117,139.41","-79,025,812.95","-128,587,664.01","-189,312,919.08","-42,866,405.99","-83,821,309.51","-128,748,128.62","-187,754,423.98","-106,417,918.26","-701,133,637.30","-776,876,543.52","-879,686,334.60","-827,155,232.26","-1,018,664,627.32","-1,097,685,018.94","-1,168,864,895.64","-1,085,146.72","-108,631,336.02","-234,301,972.31","-338,043,572.05","248,805,360.86"
购买商品、接受劳务支付的现金,"343,892,052.47","197,307,762.20","437,170,485.64","211,258,065.16","308,902,899.95","442,559,102.08","87,800,254.32","205,883,625.25","301,155,917.61","479,195,758.54","159,682,846.50","326,353,073.56","448,603,807.58","557,865,131.53","122,442,118.84","254,757,898.32","404,166,157.34","616,488,817.43","184,052,871.40","389,469,548.67","620,991,183.94","868,983,590.24","273,597,225.42","571,192,503.84","827,331,652.34","1,080,398,728.66","240,075,390.89","501,812,262.51","771,127,965.15","1,046,759,094.41","307,181,791.18"
吸收投资收到的现金,,,,,,"815,170,000.00",,,,,,"2,367,600.00","2,367,600.00","2,367,600.00",,,,,"1,010,229,100.00","1,010,229,100.00","1,010,229,100.00","1,010,229,100.00",,,"1,004,999,979.16","1,004,999,979.16",,,,,
