科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"133,124,247.47","202,856,445.87","155,565,238.29","48,601,692.25","74,764,621.13","194,958,438.95","40,920,027.82","76,958,614.89","123,845,662.99","192,947,064.90","43,662,785.14","139,949,353.82","210,805,745.56","308,703,790.81","62,134,273.96","158,569,461.90","232,142,203.71","321,578,499.38","80,557,807.46","163,097,820.13"
取得子公司及其他营业单位支付的现金净额,,,,,,,"82,391,400.00","82,391,400.00","82,391,400.00","91,365,500.00",,"1,213,906.44","1,213,906.44","1,076,927.30",,,,,,
收到的税费返还,"4,143,133.54","1,270,152.77","475,191.63","202,692.97","2,376,360.62","2,376,360.62",,"216,147.87","1,799,966.27","1,824,240.53",,"314,813.39","316,881.04","400,001.80","46,575.51","513,188.54","261,558.21","942,836.88","411,865.06","411,865.06"
支付其他与投资活动有关的现金,,,,,,,,"3,000,000.00","3,000,000.00","3,000,000.00",,,,,,,,,,
收到其他与经营活动有关的现金,"2,202,992.46","8,972,084.94","4,234,190.79","603,685.57","787,378.09","992,721.68","10,825,761.34","1,425,316.87","4,040,172.29","126,123,927.43","7,294,664.07","46,365,983.78","81,970,616.08","96,484,217.62","45,568,849.59","77,192,566.91","116,495,845.77","180,184,573.88","34,419,569.29","58,553,996.82"
投资活动现金流出小计,"10,040,812.06","36,886,508.51","203,703,951.70","160,099,025.00","250,155,165.00","344,918,789.60","211,410,100.00","236,057,230.00","327,326,529.00","530,880,629.00","70,415,534.06","145,753,140.50","339,800,311.69","553,273,534.69","42,177,387.17","121,317,663.77","182,370,457.77","405,090,845.13","40,868,423.00","200,776,145.00"
经营活动现金流入小计,"139,470,373.47","213,098,683.58","160,274,620.71","49,408,070.79","77,928,359.84","198,327,521.25","51,745,789.16","78,600,079.63","129,685,801.55","320,895,232.86","50,957,449.21","186,630,150.99","293,093,242.68","405,588,010.23","107,749,699.06","236,275,217.35","348,899,607.69","502,705,910.14","115,389,241.81","222,063,682.01"
投资活动产生的现金流量净额,"-9,101,647.65","-36,876,891.81","-98,447,080.22","-28,784,551.95","4,456,399.68","-49,801,872.24","-80,688,079.58","-72,177,565.60","-73,858,243.99","-177,740,485.08","25,424,342.66","65,852,895.13","-41,454,840.44","-53,467,443.71","24,353,131.55","8,579,637.22","18,259,402.12","-1,965,858.52","35,634,563.30","38,560,647.21"
购买商品、接受劳务支付的现金,"29,842,809.69","69,057,947.20","68,769,011.35","24,083,801.20","34,448,908.68","53,459,615.55","16,940,590.90","37,988,205.26","63,257,652.03","94,299,606.42","37,891,164.86","87,887,323.21","135,602,922.00","166,359,637.08","45,461,624.13","93,546,327.79","140,723,349.01","219,200,325.36","61,029,762.73","117,137,436.51"
吸收投资收到的现金,"10,920,000.00",,,,"178,800,000.00","178,800,000.00",,"1,200,000.00","1,200,000.00","1,200,000.00",,"600,000.00","600,000.00","1,400,000.00",,,,,,
支付给职工以及为职工支付的现金,"41,835,505.31","45,978,166.90","52,882,519.42","24,140,659.90","37,773,438.29","48,462,266.41","10,613,506.73","25,293,488.75","40,684,943.32","51,028,788.81","17,101,660.09","32,007,889.97","50,238,593.56","62,843,289.43","17,599,087.03","37,861,721.87","59,037,210.77","73,545,828.81","21,608,122.89","40,442,551.50"
取得借款收到的现金,,,,,,,,,,,,"8,237,302.23","8,237,302.23","8,237,302.23",,,,,,
支付的各项税费,"13,557,157.21","16,520,968.93","15,001,829.03","10,200,743.52","13,774,422.53","17,128,636.90","4,457,416.73","8,061,435.54","12,043,918.74","14,684,516.03","5,200,812.27","12,671,284.49","18,965,360.42","22,579,349.07","3,552,148.87","9,771,156.56","11,295,970.69","13,171,842.48","3,823,812.94","5,671,238.27"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"18,039,835.23","15,420,592.59","10,267,195.67","4,063,381.94","5,359,096.28","7,743,542.81","13,886,912.16","5,626,101.94","7,753,249.35","127,752,513.16","9,740,591.27","46,895,416.67","84,131,679.40","121,869,907.12","60,041,170.80","106,325,996.10","155,514,726.30","196,461,724.95","60,110,637.81","120,682,455.38"
筹资活动现金流入小计,"10,920,000.00",,,,"178,800,000.00","178,800,000.00",,"1,200,000.00","1,200,000.00","1,200,000.00",,"8,837,302.23","8,837,302.23","9,637,302.23",,,,,,
经营活动现金流出小计,"103,275,307.44","146,977,675.62","146,920,555.47","62,488,586.56","91,355,865.78","126,794,061.67","45,898,426.52","76,969,231.49","123,739,763.44","287,765,424.42","69,934,228.49","179,461,914.34","288,938,555.38","373,652,182.70","126,654,030.83","247,505,202.32","366,571,256.77","502,379,721.60","146,572,336.37","283,933,681.66"
偿还债务支付的现金,,,,,,,,,,,,"237,302.23","237,302.23","4,237,302.23","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00",,
经营活动产生的现金流量净额,"36,195,066.03","66,121,007.96","13,354,065.24","-13,080,515.77","-13,427,505.94","71,533,459.58","5,847,362.64","1,630,848.14","5,946,038.11","33,129,808.44","-18,976,779.28","7,168,236.65","4,154,687.30","31,935,827.53","-18,904,331.77","-11,229,984.97","-17,671,649.08","326,188.54","-31,183,094.56","-61,869,999.65"
分配股利、利润或偿还利息支付的现金,,,"6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,"6,957,744.47","7,471,919.11","7,471,919.11",,"6,105,304.62","6,530,091.83","6,603,993.50","10,101.67","5,778,601.37","6,089,992.37","6,089,992.37",,"4,000,000.00"
收回投资收到的现金,,,"104,000,000.00","129,000,000.00","249,000,000.00","289,001,614.47","128,257,830.13","161,257,830.13","249,257,830.13","345,757,830.13","94,000,000.00","208,000,000.00","294,000,000.00","491,500,000.00","65,500,000.00","123,500,000.00","192,500,000.00","390,500,000.00","75,000,000.00","230,400,000.00"
支付其他与筹资活动有关的现金,"1,550,000.00","1,377,304.75","897,771.60","455,507.50","1,124,992.69","5,223,084.30",,,,,,,,,,,,,,
取得投资收益收到的现金,"92,806.43",,"1,250,461.78","2,314,473.05","5,607,964.68","6,111,662.89","2,464,190.29","2,621,034.27","4,209,654.88","7,381,513.79","1,839,876.72","3,606,035.63","4,345,471.25","8,200,790.98","1,030,518.72","5,397,300.99","7,129,859.89","11,624,986.61","1,502,986.30","5,520,813.29"
筹资活动现金流出小计,"1,550,000.00","1,377,304.75","6,897,771.60","6,455,507.50","7,124,992.69","11,223,084.30",,"6,957,744.47","7,471,919.11","7,471,919.11",,"6,342,606.85","6,767,394.06","10,841,295.73","4,010,101.67","9,778,601.37","10,089,992.37","10,089,992.37",,"4,000,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,481.89,"9,616.70","6,409.70",,"3,600.00","3,640.00",,800.00,800.00,800.00,,,,"105,300.00",,"1,000,000.00","1,000,000.00","1,000,000.00",,538.55
