科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"34,931,824.13","33,669,525.83","26,182,160.58","25,024,149.70","460,673,333.99","456,390,662.74","349,157,994.03","212,767,677.02","241,497,040.42","133,107,842.79","204,471,013.69","136,934,004.15","193,913,046.18","249,627,548.13","220,652,497.51","561,794,763.59","601,553,862.35","576,277,605.46","506,371,951.16","310,827,497.97","2,314,477,951.00","525,179,556.69","345,526,035.82","262,382,129.97","286,633,142.43","321,383,890.44","463,254,985.60","879,983,076.32"
短期借款,"23,000,000.00","32,000,000.00","20,000,000.00","41,000,000.00",,,,,,,,,,,,,,,"225,000.00","225,000.00",,,,"308,000,000.00","450,000,000.00","450,000,000.00","540,000,000.00","620,000,000.00"
交易性金融资产,,"89,800.00",,,,,"467,572.18","458,571.44","1,070,885.26","2,553,350.00",,,,"20,117,601.26",,"1,050,858.00",,"7,723,488.68","7,723,488.68",,,"308,139,809.05",,,,"206,838,764.25","246,969,942.34","5,655,202.61"
交易性金融负债,,,"373,498.45","566,875.49","81,448.00","1,259,897.05",,,,,"1,206,823.50","1,588,745.00","21,403.00","3,013,804.78","1,342,568.00",,"1,665,730.00","52,450.00",,,,"821,650.68","817,185.31","802,391.57","786,105.43",,,
应收票据,,,,,,,,,,,,,,,,,,,"1,110,000.00",,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,"400,000.00","400,000.00",
应收账款,"13,245,117.79","40,154,656.94","37,686,780.20","54,589,355.74","80,990,349.36","33,942,628.66","26,034,375.94","64,797,331.31","77,475,579.52","33,049,820.99","33,649,776.28","104,314,575.98","69,306,743.92","60,208,835.73","19,302,394.58","62,248,335.00","77,367,292.93","71,175,185.98","102,135,624.93","108,950,307.16","159,693,282.09","122,241,341.29","99,598,764.36","281,707,650.68","380,581,091.79","241,982,425.20","259,770,760.03","328,929,103.31"
应付账款,"8,830,616.25","6,674,268.50","11,121,343.72","45,267,817.00","28,873,667.44","8,078,751.03","14,637,451.92","48,011,819.04","44,760,211.61","23,055,276.99","24,055,277.47","82,641,965.59","75,989,396.15","60,068,472.50","32,033,382.88","64,084,203.96","57,650,934.58","60,661,529.50","64,413,260.31","84,424,590.08","97,475,285.68","53,835,288.33","58,219,614.81","140,990,050.64","164,428,468.90","134,768,933.27","130,168,093.30","158,083,121.21"
预付款项,"2,189,811.66","6,912,773.92","3,234,267.21","2,525,324.85","3,724,498.22","1,485,467.23","3,842,476.51","3,614,318.75","27,378,349.55","5,976,527.51","19,788,674.55","8,992,708.39","25,679,396.78","13,900,707.88","16,571,750.53","18,646,342.79","20,572,055.76","8,348,920.67","15,432,851.89","31,513,218.97","29,722,264.29","9,499,378.17","15,550,284.02","33,677,077.41","30,526,106.78","22,052,412.76","26,519,469.12","55,589,766.57"
预收款项,641.90,"9,223.22","15,815.26","84,617.83","24,372.59","3,600,276.34","203,133.35","333,270.79","747,907.26","540,495.17","643,669.60","554,438.16","205,883.39","258,753.40","2,382,800.78","412,886.00","758,435.00","1,762,584.37","5,358,282.89","7,028,589.19","11,579,331.85","19,780,816.41","19,332,453.83","21,558,964.31","22,191,032.96","11,447,131.52","14,462,273.57","12,441,394.04"
其他应收款,"4,259,774.34","2,509,381.25","5,358,602.82","7,853,141.03","944,164.02","1,228,631.29","846,311.27","2,921,941.33","1,735,376.58","2,949,001.48","3,484,187.56","4,072,724.72","5,102,595.51","7,977,632.87","4,122,273.21","3,848,026.51","3,327,566.23","1,491,028.78","5,380,446.77","5,704,997.05","121,511,853.80","11,641,324.86","7,992,584.67","21,333,782.14","184,806,051.81","7,200,267.28","28,310,705.29","20,962,182.17"
应付职工薪酬,"350,720.54","1,302,336.57","1,549,087.54","2,669,275.58","2,227,740.70","4,113,113.29","1,896,123.60","4,501,227.53","2,999,089.04","5,723,112.04","1,943,237.35","5,886,389.85","7,243,105.33","5,310,650.53","2,456,397.09","3,103,472.74","3,716,411.41","7,204,707.73","3,360,521.58","3,667,133.39","4,283,669.27","7,777,247.15","4,250,791.88","5,674,329.42","5,655,036.88","11,310,505.51","8,967,762.79","7,227,963.25"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"9,134,693.13","14,687,908.53","1,410,722.11","1,899,728.24","5,605,722.78","6,886,949.49","2,592,887.08","2,301,450.91","9,088,986.52","10,995,593.43","12,379,368.02","8,403,815.19","17,060,585.86","8,519,754.81","6,091,143.40","6,691,878.97","14,280,960.63","22,216,950.95","13,039,507.62","5,081,084.05","35,349,662.23","39,587,485.92","34,430,243.76","27,578,720.12","59,405,102.45","44,945,101.45","43,173,888.40","30,073,547.25"
应收利息,,,,,,"2,488,310.95","2,840,583.33","4,189,791.67","557,333.33",,,,,,,,,,,,,"3,499,755.65","8,689,989.04","5,421,402.74","9,881,050.68","9,699,030.68","4,986,417.26","6,589,319.14"
应付利息,,,,,,,,,,"282,539.18","666,660.86","267,653.44","272,426.04","319,397.12","357,959.33","276,708.15","294,453.06","445,261.48","405,901.24","287,714.73",,,,"435,000.00","1,211,468.56","894,390.41","679,919.18","1,045,479.46"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
