科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"68,909,739.49","68,344,650.16","122,856,048.52","128,701,401.68",,"572,682,494.90","422,931,325.65","501,130,444.96","462,597,160.97","536,511,174.01","541,771,047.87","529,432,917.31","349,244,616.22","504,775,482.84","538,850,938.76","404,490,428.31","530,257,215.27","1,154,687,030.86"
短期借款,"46,015,879.74","49,182,272.53","89,908,925.80","91,621,735.75",,"91,627,692.86","60,533,785.47","54,921,097.45","55,633,514.58","29,359,280.00","29,090,320.00","30,057,920.00","30,237,500.00","30,700,800.00","29,957,880.00","30,225,610.00","31,773,360.00","32,075,530.00"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"27,784,522.62","39,867,195.29","34,112,417.87","28,929,350.30",,"46,676,448.93","23,361,120.16","51,940,373.44","83,355,249.92","58,459,967.38","61,866,301.34","42,513,830.08","98,790,385.10","63,973,790.06","120,214,145.42","144,649,527.17","131,715,838.25","88,262,972.22"
应付票据,,,,,,,,,,,,,,,,,,
应收账款,"64,246,250.83","83,209,444.44","110,283,430.56","110,147,363.34",,"122,918,919.52","153,905,009.50","165,992,004.20","152,333,364.30","141,476,379.62","208,944,877.83","245,950,769.71","176,926,163.14","211,867,703.95","307,647,409.13","239,400,145.19","196,571,664.52","232,650,252.87"
应付账款,"32,534,476.13","40,968,248.98","47,118,399.45","40,739,539.08",,"59,331,204.65","62,329,280.54","71,978,193.24","65,951,608.12","71,192,136.94","78,465,616.75","74,533,152.55","56,488,399.76","84,464,089.19","136,537,480.09","82,267,576.91","94,927,279.82","101,980,978.74"
预付款项,"55,382.53","287,190.11","1,152,518.31","757,250.90",,"683,037.43","681,551.35","578,769.64","992,748.60","1,954,813.41","470,680.50","574,554.56","1,615,860.60","810,933.07","1,524,333.80","2,043,430.13","1,646,611.04","2,273,922.46"
预收款项,"684,770.89","515,672.26","934,763.69","103,787.65",,"561,682.18","1,000,738.59","514,161.94","953,237.83","23,454.69","619,654.98","822,309.07","708,181.98","630,469.67","1,238,343.58","528,195.48","689,596.63","633,940.78"
其他应收款,"141,456.02","710,739.61","1,795,482.82","1,798,747.56",,"542,325.69","498,577.41","490,636.86","571,835.73","350,516.35","625,049.51","661,478.41","2,628,964.35","2,619,521.96","2,703,855.16","2,645,896.05","2,653,767.99","2,615,714.29"
应付职工薪酬,"8,247,483.81","9,661,500.52","13,221,407.81","6,576,366.00",,"14,562,623.32","19,307,908.94","12,513,232.44","15,767,203.08","22,275,164.75","29,987,018.86","16,233,168.73","19,280,501.30","30,265,060.09","50,264,516.19","18,287,776.14","26,985,673.44","39,243,621.79"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"1,611,637.84","9,704,296.09","7,166,377.05","8,640,787.07",,"9,574,585.63","14,726,608.54","20,337,519.06","12,322,060.94","16,319,725.52","6,456,834.06","22,163,410.05","11,146,740.63","19,225,706.02","16,102,664.87","18,765,575.35","7,775,638.21","17,461,533.50"
应收利息,,,,,,,,,,,,,,,,,,
应付利息,"180,375.30","524,687.50","745,093.51","187,238.26",,"360,822.55","155,647.42","96,643.84","93,241.64","25,346.88","27,757.01","12,858.12","66,438.51","12,536.17","65,824.11","45,338.43","50,307.79","50,903.58"
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,
存货,"53,919,238.36","41,294,997.39","48,967,561.92","55,754,642.30",,"54,192,789.05","54,996,310.42","64,881,803.40","71,732,355.67","69,292,608.76","66,329,604.66","68,426,169.26","69,499,733.36","67,125,258.33","90,581,006.14","82,047,525.65","91,231,689.68","92,103,783.24"
其他应付款,"14,166,465.43","14,472,354.94","14,994,712.95","15,205,331.13",,"14,913,986.80","15,577,331.12","16,618,620.76","15,146,227.00","15,546,428.42","52,123,177.91","52,116,466.74","52,402,694.71","52,010,005.58","36,812,919.95","37,087,627.59","24,696,877.78","24,469,978.64"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"4,668,417.81","4,606,619.34","4,640,646.90",,"12,669,756.94","12,538,780.86",,,,,,,,,,,
其他流动资产,,,,,,,"150,000,000.00","30,000,000.00","40,000,000.00","20,000,000.00","42,858,651.81","92,858,651.81","185,000,000.00","120,005,348.98","40,732,321.04","200,000,000.00","4,356,810.00","164,356,800.00"
其他流动负债,,,,,,,,,,,,,,,,,,
流动资产合计,"215,056,589.85","233,714,217.00","319,167,460.00","326,088,756.08","352,948,756.43","797,696,015.52","806,373,894.49","815,014,032.50","811,582,715.19","828,045,459.53","922,866,213.52","980,418,371.14","883,705,722.77","971,178,039.19","1,102,254,009.45","1,075,276,952.50","958,433,596.75","1,736,950,475.94"
流动负债合计,"103,441,089.14","129,697,450.63","178,696,299.60","167,715,431.84","183,601,003.15","203,602,354.93","186,170,081.48","176,979,468.73","165,867,093.19","154,741,537.20","196,770,379.57","195,939,285.26","170,330,456.89","217,308,666.72","270,979,628.79","187,207,699.90","186,898,733.67","215,916,487.03"
可供出售金融资产,,,,,,,,,,,,,,,,,,
长期借款,"11,278,611.00","14,005,253.43","9,213,238.66","9,281,293.84",,"18,852,937.03","12,567,082.51",,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,"3,283,189.53","3,176,592.72","3,069,995.91"
预计负债,,,,,,,,,,,,,,,,,,
固定资产,"46,544,039.34","179,148,748.98","202,863,064.11","220,018,717.39",,"247,926,809.01","249,803,846.01","283,140,956.56","285,825,777.70","289,440,714.00","289,019,974.94","285,576,393.33","282,537,264.54","315,506,019.71","396,990,456.36","393,481,158.44","404,491,361.92","445,594,828.59"
递延所得税负债,,,,,,,,,,,"78,860.76","292,019.46","300,978.54","568,927.30","883,285.40","1,359,614.45","1,723,198.68","2,144,439.00"
在建工程,"79,542,795.31","14,717,288.78","33,070,137.90","27,801,800.41",,"26,991,297.44","30,385,746.53","2,258,320.74","11,884,672.17","11,829,720.85","24,697,098.29","35,212,055.82","74,611,230.82","68,448,155.25","22,736,535.46","32,756,711.12","64,962,750.05","36,098,870.40"
其他非流动负债,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,
非流动负债合计,"11,278,611.00","14,005,253.43","9,213,238.66","9,281,293.84","18,212,197.93","18,852,937.03","12,567,082.51",,,,"78,860.76","292,019.46","300,978.54","568,927.30","883,285.40","1,359,614.45","14,644,236.98","15,259,131.86"
固定资产清理,,,,,,,,,,,,,,,,,,
负债合计,"114,719,700.14","143,702,704.06","187,909,538.26","176,996,725.68","201,813,201.08","222,455,291.96","198,737,163.99","176,979,468.73","165,867,093.19","154,741,537.20","196,849,240.33","196,231,304.72","170,631,435.43","217,877,594.02","271,862,914.19","188,567,314.35","201,542,970.65","231,175,618.89"
生产性生物资产,,,,,,,,,,,,,,,,,,
实收资本(或股本),"75,000,000.00","105,000,000.00","105,000,000.00","105,000,000.00",,"140,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","142,600,000.00","142,600,000.00","213,900,000.00","213,900,000.00","213,900,000.00","213,900,000.00","213,900,000.00","236,169,004.00"
油气资产,,,,,,,,,,,,,,,,,,
资本公积,"88,297,714.94","58,297,714.94","58,297,714.94","58,297,714.94",,"423,698,044.68","423,917,554.13","423,917,554.13","423,917,554.13","423,917,554.13","461,805,006.39","464,239,429.62","398,954,967.46","402,898,965.82","405,753,991.23","406,914,577.18","407,343,262.66","1,088,217,542.63"
无形资产,"28,514,971.32","27,933,269.42","27,499,954.05","27,333,471.36",,"27,149,899.86","27,328,415.60","27,218,497.90","26,937,827.78","26,801,231.34","26,600,500.81","26,401,248.92","36,532,505.52","36,277,536.11","36,036,841.52","35,910,262.28","35,661,919.27","35,741,136.25"
盈余公积,"2,889,114.18","9,964,912.58","15,109,548.02","15,109,548.02",,"24,009,536.46","35,860,123.07","35,860,123.07","35,860,123.07","35,860,123.07","53,327,303.74","53,327,303.74","53,327,303.74","53,327,303.74","79,575,706.53","79,575,706.53","79,575,706.53","79,575,706.53"
开发支出,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,"38,038,000.00","38,038,000.00","38,038,000.00","38,038,000.00","22,822,800.00","22,822,800.00","22,822,800.00","22,822,800.00"
商誉,,,,,,,,,,,,,,,,,,
未分配利润,"96,760,011.62","141,130,567.62","224,985,816.54","248,428,482.99",,"292,360,773.86","322,741,107.59","362,844,935.14","375,263,954.66","407,100,556.54","458,525,733.65","527,192,919.54","504,655,020.29","567,473,536.98","623,461,358.73","695,747,966.66","598,271,719.81","660,364,914.23"
长期待摊费用,"9,993.98","366,676.58","1,012,145.08","1,076,680.95",,"1,160,250.12","1,084,969.44","1,056,328.68","1,033,862.79","937,147.83","720,696.65","623,131.50","529,109.29","438,278.89","350,290.61","266,546.57","182,802.53","110,169.60"
少数股东权益,,,,,,,,,,,,,,,,,,
递延所得税资产,"973,833.19","768,400.11","1,088,638.35","1,110,265.44",,"1,104,856.55","3,483,285.14","3,599,630.66","3,481,476.26","3,503,077.51","5,387,902.55","6,271,311.92","9,738,427.74","12,208,645.92","9,109,620.47","9,226,122.43","9,008,162.44","9,875,569.27"
外币报表折算价差,,,,,,,,,,,,,,,,,,
其他非流动资产,"7,024,317.89","1,447,298.33","6,601,218.27","402,780.00",,"494,518.46","2,795,791.57","7,314,314.03","162,393.16","1,062,419.88","5,776,897.35","11,050,444.99","15,776,466.24","13,382,725.49","4,253,416.81","11,681,821.85","1,893,673.97","5,238,940.32"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,
非流动资产合计,"162,609,951.03","224,381,682.20","272,135,157.76","277,743,715.55","304,305,596.58","304,827,631.44","314,882,054.29","324,588,048.57","329,326,009.86","333,574,311.41","352,203,070.59","365,134,586.48","419,725,004.15","446,261,361.37","469,477,161.23","486,605,812.22","519,377,262.90","535,729,510.34"
