科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"203,479,070.92","287,026,592.85","387,159,153.56","134,096,884.01","199,260,496.08","316,305,295.50","72,277,907.94","120,184,765.54","183,682,855.20","306,711,930.97","138,645,727.50","255,668,121.91","381,786,333.65","560,650,103.12","93,298,286.09","187,894,856.62","286,122,313.36","411,791,812.28","82,567,560.48","198,027,450.04","359,699,638.52","437,926,794.86","155,388,791.36","235,328,607.55","366,117,650.28","543,657,394.80","202,343,101.72","356,536,381.93","547,846,986.97"
取得子公司及其他营业单位支付的现金净额,,"2,000,000.00",,,,,,,,,,,,,,,,,"459,642,675.52","447,681,625.20","447,681,625.20","456,642,675.52",,,,,,,
收到的税费返还,,,,"1,546,481.55","1,841,564.62","1,841,564.62",,"1,128,821.12","1,448,410.47","1,448,410.47","463,268.43","638,145.91","638,145.91","1,380,682.16",,,"485,754.41","485,754.41","17,117.74","16,946.57","37,419.53","1,551,334.61",,"375,993.81","678,730.49","2,504,855.26","1,109,098.69","1,175,267.69","2,554,878.79"
支付其他与投资活动有关的现金,"800,000.00",,,,,,,,,,,,,,,,,,,,,"25,346,061.80",,,,"2,134,430.42",,,
收到其他与经营活动有关的现金,"8,205,841.93","7,706,400.72","9,929,249.44","22,983,643.51","29,064,175.49","30,463,067.62","8,874,292.84","21,053,225.69","30,886,503.96","25,641,578.82","16,315,628.83","21,369,234.55","40,077,907.53","37,374,193.17","4,278,203.58","17,600,921.58","45,718,842.26","20,548,454.01","84,779,281.18","19,116,702.89","56,540,773.49","39,850,437.16","21,706,957.22","27,818,052.80","58,032,871.15","16,335,686.85","13,355,146.24","23,876,175.97","47,088,000.03"
投资活动现金流出小计,"76,301,503.28","44,868,576.68","70,686,790.26","26,580,664.51","32,522,929.16","72,593,621.63","10,781,273.03","16,689,851.40","26,736,333.69","67,213,593.20","34,490,958.37","47,527,571.22","54,276,181.34","86,077,148.29","12,076,694.52","42,606,589.62","54,012,501.51","84,234,595.15","468,113,175.77","466,666,377.36","472,954,953.09","713,223,562.76","65,536,590.36","299,790,948.28","312,842,999.87","465,270,442.80","16,711,964.33","31,614,958.62","86,455,867.00"
经营活动现金流入小计,"211,684,912.85","294,732,993.57","397,088,403.00","158,627,009.07","230,166,236.19","348,609,927.74","81,152,200.78","142,366,812.35","216,017,769.63","333,801,920.26","155,424,624.76","277,675,502.37","422,502,387.09","599,404,978.45","97,576,489.67","205,495,778.20","332,326,910.03","432,826,020.70","167,363,959.40","217,161,099.50","416,277,831.54","479,328,566.63","177,095,748.58","263,522,654.16","424,829,251.92","562,497,936.91","216,807,346.65","381,587,825.59","597,489,865.79"
投资活动产生的现金流量净额,"-20,598,630.71","-27,129,229.19","-70,538,200.53","-26,495,664.51","-32,437,929.16","-72,510,352.40","-10,781,273.03","-4,689,851.40","-14,736,333.69","-54,349,210.20","-34,490,958.37","-47,527,571.22","-54,276,181.34","-69,534,894.58","-12,076,694.52","-37,356,589.62","-47,485,197.51","-76,522,291.15","-449,047,497.79","-456,641,667.78","-459,891,259.95","-507,636,164.05","-15,536,590.36","-24,319,674.32","-37,371,725.91","-57,573,498.41","-16,711,379.33","19,385,626.38","49,544,718.00"
购买商品、接受劳务支付的现金,"124,970,565.67","136,995,090.26","226,323,281.90","127,945,594.60","196,190,249.72","257,828,552.23","75,471,292.81","130,002,943.01","174,220,492.95","232,227,526.84","83,521,569.80","157,660,796.92","247,608,746.22","355,389,251.80","74,200,333.29","117,904,242.66","181,874,465.52","212,243,568.41","82,894,400.16","126,186,574.55","204,237,197.49","184,347,447.55","49,660,721.15","91,264,814.96","137,091,476.45","116,749,890.62","66,684,144.17","119,797,173.70","186,840,064.83"
吸收投资收到的现金,,"44,640,000.00",,,"352,614,925.00","340,601,425.00",,,,,"12,000,000.00","12,000,000.00","12,000,000.00","12,000,000.00",,,,,"583,762,000.00","583,762,000.00",,"577,000,967.81",,,,,,,"50,000.00"
