科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"3,851,867,933.77","5,033,247,880.90","7,241,015,482.37","1,836,819,149.18","3,364,797,069.23","5,741,140,770.91","8,515,394,184.39","1,858,158,068.98","3,342,146,511.56","5,586,948,293.12","8,414,693,793.51","2,094,704,641.48","3,578,031,929.29","5,854,831,660.57","8,744,561,190.59","1,996,452,099.69","3,578,606,271.57","6,013,756,769.25","9,373,849,408.79","2,600,145,199.62","4,347,355,081.36","6,981,587,787.25","10,815,344,678.28","2,801,940,488.64","4,653,314,334.34","7,236,478,832.41","12,373,704,430.74","2,943,398,145.62","5,120,008,251.63","8,451,105,260.15","14,358,916,138.27","4,076,102,662.58"
取得子公司及其他营业单位支付的现金净额,,"-556,145.40",,,,,,,"40,022,895.89","40,022,895.89","40,022,895.89",,"50,000,000.00","50,000,000.00",,,"-50,000,000.00","-50,000,000.00",,,,,,,,,,,,,,
收到的税费返还,,,,,,,"289,242.65",,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"266,464,856.09","7,704,600.00","526,000.00",,,,,,,,,,"560,000,000.00","1,014,000,000.00",,"1,800,000,000.00","2,134,000,000.00","2,785,000,000.00",,"344,000,000.00",,"1,949,500,650.00",,"568,995,302.00",,"3,569,995,302.00",,"2,471,700,500.00",,"9,640,992,620.00",,"4,790,860,000.00"
收到其他与经营活动有关的现金,"33,136,913.23","16,864,308.56","45,617,404.03","11,771,903.39","27,910,441.23","53,660,174.50","200,673,053.64","32,074,982.07","91,491,649.65","189,523,356.29","276,628,350.15","41,668,578.53","190,785,014.40","238,893,157.62","305,060,548.51","44,720,163.51","99,119,603.33","135,238,130.43","298,106,582.85","58,202,666.25","133,429,984.11","142,939,360.07","301,787,499.18","39,854,302.97","91,632,001.76","140,966,293.24","233,020,628.88","40,838,353.33","107,348,219.99","157,520,398.12","283,440,476.51","100,266,182.16"
投资活动现金流出小计,"572,387,361.78","323,187,900.97","507,636,605.22","150,506,507.28","540,975,483.15","879,889,228.36","930,023,128.03","147,873,727.50","317,074,284.71","364,580,313.07","417,730,620.89","68,774,978.05","855,137,424.37","1,342,684,105.93","1,666,901,287.31","1,809,353,461.53","2,104,197,031.90","2,788,944,343.32","3,234,491,389.31","390,580,096.51","1,347,050,148.13","2,303,637,373.71","4,394,573,631.54","746,709,073.53","1,903,025,315.35","3,996,907,553.37","8,065,245,097.79","2,589,507,425.51","6,922,685,377.20","10,221,311,471.29","17,088,160,599.79","4,971,761,292.26"
经营活动现金流入小计,"3,885,004,847.00","5,050,112,189.46","7,286,632,886.40","1,848,591,052.57","3,392,707,510.46","5,794,800,945.41","8,716,356,480.68","1,890,233,051.05","3,433,638,161.21","5,776,471,649.41","8,691,322,143.66","2,136,373,220.01","3,768,816,943.69","6,093,724,818.19","9,049,621,739.10","2,041,172,263.20","3,677,725,874.90","6,148,994,899.68","9,671,955,991.64","2,658,347,865.87","4,480,785,065.47","7,124,527,147.32","11,117,132,177.46","2,841,794,791.61","4,744,946,336.10","7,377,445,125.65","12,606,725,059.62","2,984,236,498.95","5,227,356,471.62","8,608,625,658.27","14,642,356,614.78","4,176,368,844.74"
投资活动产生的现金流量净额,"-568,563,161.78","-342,277,094.00","-499,067,327.03","-149,980,107.28","-540,441,863.15","-879,159,428.36","-925,329,265.09","-147,869,227.50","-317,045,222.21","-364,494,828.57","-416,434,482.10","-68,773,691.00","-399,026,117.31","-826,169,248.87","-652,268,456.59","-1,006,658,240.26","-1,115,818,212.64","-1,131,064,067.55","-1,131,672,652.04","-113,632,661.35","-662,890,816.66","-742,612,211.64","-2,057,147,773.51","-212,032,102.52","103,202,930.15","501,247,937.69","-337,517,624.81","213,314,495.45","560,361,669.64","128,183,676.91","-1,859,485,838.63","-431,567,486.76"
购买商品、接受劳务支付的现金,"2,789,587,417.61","3,108,709,955.23","4,912,620,142.20","1,672,387,970.65","2,624,956,252.46","4,117,979,224.61","6,286,906,589.38","1,422,798,684.04","2,502,944,249.39","3,945,286,735.96","5,690,644,373.98","1,320,311,477.60","2,297,986,967.89","3,771,681,805.10","5,589,514,125.24","1,353,221,982.22","2,461,832,198.93","4,123,644,543.41","6,708,969,931.62","1,688,364,133.56","3,028,970,886.88","5,360,023,664.81","7,844,749,755.44","2,069,698,069.24","3,526,150,146.97","5,699,473,447.02","8,777,025,309.62","2,084,877,069.90","3,261,670,760.47","5,630,662,111.06","9,052,391,704.78","2,880,181,977.46"
吸收投资收到的现金,"206,240,000.00","19,700,000.00",,"4,537,303,000.00","4,539,920,000.00","4,539,920,000.00","4,533,313,000.00",,,,,,,,"3,703,109.70",,,"3,625,204.56","3,625,204.56",,"17,692,888.03","103,772,056.03","114,824,056.03","-950,752.00",,"3,100,000.00","5,050,000.00",,"2,000,000.00","7,280,000.00","2,080,000.00","710,000.00"
支付给职工以及为职工支付的现金,"75,906,801.53","124,414,485.75","235,407,537.61","87,443,844.56","154,436,683.27","237,767,421.00","320,959,285.00","118,885,860.20","209,783,180.27","311,867,598.12","429,165,260.72","140,353,333.40","244,171,995.50","353,738,779.55","484,985,707.08","153,614,042.95","272,904,222.11","394,600,544.23","547,863,463.22","176,221,617.00","323,324,868.93","474,553,570.70","643,214,064.20","205,938,479.63","384,808,912.07","564,393,005.07","781,855,320.00","253,642,382.74","468,990,945.57","674,497,928.67","942,167,261.92","291,034,674.98"
取得借款收到的现金,"283,800,000.00","20,000,000.00",,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,,,,,,"6,000,000.00","22,000,000.00","30,000,000.00",,"2,500,000.00","8,000,000.00","20,500,000.00","4,000,000.00"
支付的各项税费,"277,919,406.46","444,569,394.34","692,796,011.14","205,200,578.33","467,854,358.93","588,263,162.86","913,919,232.23","195,728,107.56","381,246,899.21","501,434,752.28","749,999,553.54","192,012,233.53","404,957,271.80","604,347,155.12","949,389,505.69","193,359,363.95","449,996,202.56","611,961,321.51","985,515,116.48","215,410,928.22","514,296,026.43","688,565,447.10","1,062,683,541.46","222,888,763.01","558,516,333.93","725,931,917.53","1,101,180,735.75","311,767,594.88","616,774,066.65","848,972,447.19","1,211,709,329.11","167,694,925.41"
收到其他与筹资活动有关的现金,,"10,800,000.00","567,600.00",,,,,,,,,,,,"16,871,110.00","1,515,000.00","1,515,000.00","1,515,000.00","1,515,000.00",,,,,,,,,,,,,
支付其他与经营活动有关的现金,"347,437,928.97","334,296,894.18","631,660,229.03","179,670,282.03","313,723,290.98","603,177,228.41","816,245,938.83","170,239,860.73","451,070,106.70","662,328,120.33","787,112,600.20","134,924,795.75","344,107,323.43","528,330,040.91","633,309,775.93","182,604,246.22","371,827,881.10","538,747,186.99","667,615,970.62","161,555,788.19","335,415,651.23","421,335,677.38","694,902,674.42","199,278,722.32","387,541,072.18","639,937,436.97","1,089,352,501.77","376,026,731.11","562,251,103.53","825,856,219.67","1,245,357,180.87","460,075,609.67"
筹资活动现金流入小计,"490,040,000.00","50,500,000.00","567,600.00","4,587,303,000.00","4,589,920,000.00","4,589,920,000.00","4,583,313,000.00",,,,,,,,"20,574,219.70","1,515,000.00","1,515,000.00","5,140,204.56","5,140,204.56",,"17,692,888.03","103,772,056.03","114,824,056.03","-950,752.00","6,000,000.00","25,100,000.00","35,050,000.00",,"4,500,000.00","15,280,000.00","22,580,000.00","4,710,000.00"
经营活动现金流出小计,"3,490,851,554.57","4,011,990,729.50","6,472,483,919.98","2,144,702,675.57","3,560,970,585.64","5,547,187,036.88","8,338,031,045.44","1,907,652,512.53","3,545,044,435.57","5,420,917,206.69","7,656,921,788.44","1,787,601,840.28","3,291,223,558.62","5,258,097,780.68","7,657,199,113.94","1,882,799,635.34","3,556,560,504.70","5,668,953,596.14","8,909,964,481.94","2,241,552,466.97","4,202,007,433.47","6,944,478,359.99","10,245,550,035.52","2,697,804,034.20","4,857,016,465.15","7,629,735,806.59","11,749,413,867.14","3,026,313,778.63","4,909,686,876.22","7,979,988,706.59","12,451,625,476.68","3,798,987,187.52"
