科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"19,998,272.18","32,632,151.27","35,565,820.55","8,584,505.62","17,052,511.95","26,186,183.00","43,636,137.14","9,064,086.91","19,893,685.72","30,915,879.83","52,800,000.23","10,891,128.93","24,838,464.50","39,629,634.48","58,621,522.40","23,183,373.63","39,780,477.83","58,484,845.26","82,137,233.55","28,165,248.66","50,079,722.94","73,612,877.68","101,381,488.18","34,848,585.89","62,579,497.82","92,473,813.92","125,957,805.08","39,091,661.24","73,222,020.58","108,224,533.76","148,417,299.15","44,656,228.90","80,923,774.61","119,860,059.28","161,808,592.16","48,999,020.44","89,463,920.75","131,592,688.88","175,827,883.61","68,693,141.33"
取得借款收到的现金,"385,860,000.00","246,400,000.00","183,000,000.00",,,,,,,,,,,,"60,000,000.00","158,000,000.00","178,000,000.00","208,000,000.00","278,000,000.00","50,000,000.00","130,000,000.00","130,000,000.00","170,000,000.00","19,000,000.00","49,000,000.00","109,000,000.00","309,000,000.00","140,000,000.00","447,629,593.47","467,649,890.45","823,649,890.45","188,649,078.97","418,649,078.97","418,649,078.97","563,649,078.97","313,000,000.00","463,000,000.00","590,851,300.00","771,851,300.00","50,000,000.00"
支付的各项税费,"20,647,519.41","7,109,279.75","18,259,824.31","3,955,001.11","23,519,561.51","26,372,003.59","28,740,872.38","3,723,843.96","16,660,777.67","20,945,505.05","23,888,084.07","3,338,506.90","18,183,853.26","22,545,929.71","32,752,533.67","4,933,146.84","20,719,854.08","38,802,387.22","49,316,468.11","13,231,073.25","28,665,701.21","49,898,867.82","57,314,600.38","15,493,781.84","42,373,048.77","48,811,682.14","75,236,792.39","4,381,839.31","8,761,143.98","14,538,393.59","33,542,508.51","5,580,232.90","27,354,184.80","38,430,195.56","53,091,932.57","6,958,936.75","47,942,676.49","47,241,619.03","65,868,573.49","16,912,333.91"
收到其他与筹资活动有关的现金,"1,100,000.00","8,270,000.00","14,570,000.00",,"868,854.84","4,799,156.49","14,557,879.51","1,172,211.80","7,817,658.28","8,689,908.35","21,092,560.32","2,724,274.31","6,998,876.31","11,950,615.17","15,010,280.21","778,853.89","1,907,385.52","2,343,300.61","12,803,060.44","7,284.56","74,551.59","7,130,286.96","4,821,641.64","3,964,701.87","4,377,269.72","6,850,006.23","7,129,367.37","32,227.51","56,950.07","1,083,297.41","1,100,474.40","1,583,571.02","1,595,038.63","1,611,320.66","1,633,619.82","1,559,793.85","1,560,487.26","26,487.53","26,487.53",
支付其他与经营活动有关的现金,"38,771,464.67","50,416,291.31","52,506,697.31","21,153,216.28","20,706,691.11","32,052,755.22","51,328,154.20","29,297,774.08","41,211,068.44","53,301,046.65","73,798,034.07","44,957,822.09","74,305,632.71","69,278,117.12","92,168,141.54","41,433,862.02","51,996,663.54","63,546,447.67","78,846,645.22","29,810,189.01","44,252,922.97","60,511,661.95","82,575,379.99","31,955,308.84","59,879,146.64","78,147,264.73","109,478,101.56","42,255,801.40","81,531,175.74","99,737,266.63","106,987,880.18","29,593,297.98","70,125,611.38","106,887,166.06","137,807,871.50","54,490,720.28","80,052,681.47","104,599,768.46","133,519,632.18","40,688,670.82"
筹资活动现金流入小计,"386,960,000.00","254,670,000.00","197,570,000.00",,"1,219,868,854.84","1,223,799,156.49","1,233,557,879.51","1,172,211.80","7,817,658.28","8,689,908.35","21,092,560.32","2,724,274.31","6,998,876.31","11,950,615.17","75,010,280.21","158,778,853.89","226,098,385.52","256,534,300.61","336,994,060.44","50,007,284.56","747,771,375.59","754,827,110.96","792,518,465.64","22,964,701.87","53,377,269.72","115,850,006.23","316,129,367.37","140,032,227.51","447,686,543.54","468,733,187.86","824,750,364.85","190,232,649.99","420,244,117.60","420,260,399.63","565,282,698.79","314,559,793.85","468,560,487.26","594,877,787.53","775,877,787.53","954,524,000.00"
经营活动现金流出小计,"317,420,840.18","459,831,362.23","461,443,272.66","119,192,799.99","287,759,590.93","408,689,985.21","551,155,900.31","183,304,758.54","386,485,687.95","602,789,661.04","825,358,714.04","234,984,926.10","487,154,741.08","719,465,397.73","1,003,434,773.29","257,096,298.49","529,857,026.16","800,190,199.74","1,040,974,145.52","221,490,337.24","543,008,522.15","865,477,297.73","1,165,698,609.08","207,516,821.74","633,339,564.12","917,754,540.58","1,115,116,882.73","282,159,153.74","700,134,095.20","1,057,622,294.21","1,151,694,930.44","371,783,834.51","678,416,892.38","963,425,291.05","1,395,178,932.55","414,300,970.07","879,847,772.99","1,298,184,267.64","1,752,908,583.12","424,416,697.88"
偿还债务支付的现金,"357,849,654.00","272,501,000.00","160,856,000.00",,"160,000,000.00","160,000,000.00","160,000,000.00",,,,,"14,500,000.00","16,000,000.00","16,000,000.00","20,500,000.00","60,000,000.00","121,000,000.00","151,000,000.00","177,500,000.00",,"50,000,000.00","200,000,000.00","220,000,025.24","18,002,017.28","20,029,480.36","20,029,480.36","120,029,480.36","109,000,000.00","221,000,000.00","268,649,890.45","412,649,890.45","210,000,000.00","458,649,078.97","602,649,078.97","923,649,078.97","157,000,000.00","427,000,000.00","582,000,000.00","762,000,000.00","168,000,000.00"
经营活动产生的现金流量净额,"36,538,437.06","163,744,467.13","25,120,958.76","27,071,748.89","2,662,367.92","40,466,108.20","-32,336.92","-14,336,193.77","40,170,541.71","32,065,997.02","4,945,195.42","15,651,596.75","102,259,566.08","145,352,968.42","164,152,783.63","20,195,623.61","112,293,989.86","118,965,885.36","205,124,973.78","35,168,734.78","79,075,706.85","137,923,109.25","225,446,946.43","152,758,324.21","163,326,511.71","195,767,697.39","182,576,373.15","91,084,496.72","134,823,421.54","183,040,824.58","194,177,456.39","-21,378,266.27","188,697,058.23","350,544,816.54","515,069,727.27","-23,501,066.42","212,293,574.46","383,298,426.80","608,574,446.58","64,572,543.19"
分配股利、利润或偿还利息支付的现金,"16,054,988.32","33,360,371.38","30,962,629.68","2,483,945.00","3,181,491.19","42,749,491.19","42,804,761.19",,"47,481,600.00","47,481,600.00","47,481,600.00","109,958.34","60,709,243.69","62,379,413.74","62,589,221.39","1,110,536.35","65,275,838.59","67,348,549.71","70,131,666.37","3,017,880.25","68,323,626.89","71,094,682.45","72,711,386.88","2,082,684.94","112,292,729.42","114,659,212.69","118,569,951.78","4,184,998.49","119,507,331.06","125,584,973.01","133,723,195.65","7,872,166.75","124,090,933.54","131,737,498.78","138,035,066.68","6,219,906.21","120,612,853.11","126,840,430.31","132,621,035.91","6,199,526.32"
