科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"126,156,116.97","162,829,416.46","143,295,603.86","29,349,219.57","72,464,191.81","112,153,948.69","161,495,087.97","44,925,405.52","102,817,094.70","150,149,079.66","218,924,436.21","49,335,696.79","119,913,007.71"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"3,965,718.69","3,352,684.91","14,896,648.37","3,884,183.37","10,744,050.24","11,878,176.61","16,584,456.52","1,760,850.05","4,223,932.29","7,237,579.99","10,990,228.80","979,155.01","4,012,143.31"
支付其他与投资活动有关的现金,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,412,162.95","6,472,596.39","5,375,343.31","24,000.00","644,291.73","2,160,138.07","4,725,559.19","6,411.73","3,926,764.69","3,960,660.37","10,009,471.37","566,211.54","5,367,363.51"
投资活动现金流出小计,"17,405,175.75","39,505,822.60","23,021,323.59","317,888.91","1,678,529.17","9,203,415.44","296,677,104.07","54,870,532.56","166,095,764.74","187,131,027.38","207,928,012.82","121,053,359.26","181,888,078.97"
经营活动现金流入小计,"132,533,998.61","172,654,697.76","163,567,595.54","33,257,402.94","83,852,533.78","126,192,263.37","182,805,103.68","46,692,667.30","110,967,791.68","161,347,320.02","239,924,136.38","50,881,063.34","129,292,514.53"
投资活动产生的现金流量净额,"-16,268,199.83","-37,185,544.59","-21,851,360.36","-85,118.12","-1,019,975.56","-7,962,187.84","-225,667,992.48","7,073,339.23","-59,709,340.94","-61,313,029.66","-53,360,930.92","-7,391,353.55","-35,590,485.10"
购买商品、接受劳务支付的现金,"40,057,227.04","47,587,085.86","42,099,907.57","17,302,336.00","31,226,021.77","51,406,437.02","66,707,840.68","17,042,791.63","27,165,742.45","38,086,580.75","66,542,889.51","12,414,174.23","32,742,067.16"
吸收投资收到的现金,,,,,"217,220,200.00","217,220,200.00","209,717,200.00",,,,,,
支付给职工以及为职工支付的现金,"24,379,522.91","34,363,136.71","39,629,410.65","11,533,778.16","22,586,504.57","32,760,544.37","50,870,380.36","21,671,460.10","38,006,589.52","57,154,169.41","74,784,831.47","32,086,313.09","52,867,661.76"
取得借款收到的现金,,,,,,,,,,,,,
