科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"307,321,187.44","459,171,879.40","479,391,143.93","283,375,753.85","495,042,656.80","725,213,315.07","160,301,059.82","397,283,401.13","676,620,123.10","987,936,229.99","208,694,335.69","484,739,700.60","810,667,946.57","1,210,603,036.48","247,462,461.05","616,912,313.40","1,067,870,285.80","1,283,734,114.48","227,913,740.32","560,053,968.38","936,076,569.85","1,413,063,766.29","251,927,533.00","581,375,444.10","997,856,362.96","1,646,777,447.68","336,572,788.84","897,725,874.61","1,425,165,668.24","2,509,043,067.82","590,961,258.29","1,331,227,966.04","2,251,279,726.63","3,617,509,637.18","849,524,577.19","1,401,549,391.42","2,790,469,273.76","3,219,368,017.10","865,832,192.46"
取得子公司及其他营业单位支付的现金净额,"10,000,000.00",,"4,113,820.39",,,,,"3,800,000.00","3,800,000.00",,,,,,,,,,,,,,,,"4,623,777.29","4,623,777.29",,"793,383,697.77","866,428,171.67","971,756,045.18","59,579,165.05","172,271,813.17","283,616,173.18","205,020,232.72","363,192,320.26","413,512,320.26","436,642,200.51","424,121,431.20",
收到的税费返还,"3,721,217.75","3,354,410.85","2,701,904.50","1,606,133.29","3,157,863.01","4,005,041.95","408,497.03","2,171,148.61","3,199,194.13","4,110,351.81","454,266.06","814,636.11","1,022,420.42","1,678,497.72","1,265,592.57","1,645,404.43","2,152,422.76","4,563,936.82","554,244.57","1,008,014.54","1,182,561.68","4,119,037.46","212,196.15","872,588.08","1,106,271.33","4,656,689.59","425,843.87","507,433.11","3,343,504.26","5,555,044.15","707,729.10",,"1,749,372.90","1,865,501.61","4,540,179.90","9,905,778.35","26,294,286.03","12,655,639.55","17,696,479.24"
支付其他与投资活动有关的现金,"7,740,000.00",,,,,"5,000,000.00",,,,,,,,,,"672,000.00","672,000.00","125,000,000.00","25,000,000.00","90,000,000.00","70,000,000.00","260,231,000.00","60,000,000.00","104,000,000.00","140,000,000.00",,,430.44,430.44,"60,539.79",,"360,000,000.00","628,536,000.00",,"500,000.00",,"14,852,318.94",,
收到其他与经营活动有关的现金,"11,863,598.24","51,894,194.88","58,684,959.69","902,110.95","4,553,463.68","13,073,525.16","11,980,353.75","6,767,238.72","15,811,569.20","15,569,210.20","11,103,405.17","20,759,630.41","21,053,433.91","41,378,142.27","8,162,469.37","33,398,345.92","57,088,392.53","39,640,598.29","6,941,117.38","22,497,743.13","32,819,441.56","55,044,272.21","10,277,309.29","8,520,125.72","117,714,263.51","33,832,530.15","3,206,727.80","37,588,817.87","43,236,948.54","799,320,564.18","58,253,389.20","112,198,474.39","207,855,288.96","220,331,990.46","224,148,479.71","78,287,317.80","160,690,887.32","233,857,717.63","43,787,639.83"
投资活动现金流出小计,"61,128,157.57","34,021,820.61","33,233,756.70","20,274,865.13","29,130,749.04","43,827,378.00","15,745,125.32","21,576,857.29","109,054,434.86","148,826,751.87","78,182,474.61","103,544,369.79","157,994,626.37","213,259,564.29","125,862,181.07","165,141,785.21","233,131,047.18","445,747,684.38","55,236,187.85","167,710,050.96","173,255,371.07","435,725,199.01","83,350,087.19","186,863,083.97","248,026,369.42","363,036,809.62","44,857,502.41","914,139,279.67","994,707,181.78","1,354,038,739.12","114,267,079.53","703,810,987.28","1,150,601,116.53","2,529,373,396.41","478,958,559.59","682,081,333.02","1,129,382,739.28","1,097,054,649.02","226,689,817.75"
经营活动现金流入小计,"322,906,003.43","514,420,485.13","540,778,008.12","285,883,998.09","502,753,983.49","742,291,882.18","172,689,910.60","406,221,788.46","695,630,886.43","1,007,615,792.00","220,252,006.92","506,313,967.12","832,743,800.90","1,253,659,676.47","256,890,522.99","651,956,063.75","1,127,111,101.09","1,327,938,649.59","235,409,102.27","583,559,726.05","970,078,573.09","1,472,227,075.96","262,417,038.44","590,768,157.90","1,116,676,897.80","1,685,266,667.42","340,205,360.51","935,822,125.59","1,471,746,121.04","3,313,918,676.15","649,922,376.59","1,443,426,440.43","2,460,884,388.49","3,839,707,129.25","1,078,213,236.80","1,489,742,487.57","2,977,454,447.11","3,465,881,374.28","927,316,311.53"
投资活动产生的现金流量净额,"-25,227,565.95","-15,552,060.61","-4,987,299.05","-16,575,065.13","-25,350,949.04","-37,183,644.73","-15,643,405.32","-21,534,437.29","-109,012,014.86","-143,788,031.87","-65,190,691.63","-90,546,920.61","-144,997,177.19","-199,138,975.95","-122,744,617.11","-162,601,802.32","-230,587,590.08","-433,507,201.84","-53,853,347.53","-147,352,648.46","-126,667,471.24","-200,306,240.24","-62,583,338.57","-85,557,423.71","-60,530,787.92","-83,070,110.57","-43,960,023.41","-882,761,551.56","-961,220,993.08","-1,347,744,025.65","-102,021,501.56","-702,514,297.64","-790,943,282.66","-1,215,595,540.66","-460,078,502.18","-679,342,058.07","-1,102,994,771.75","-1,046,363,129.47","-216,823,997.02"
购买商品、接受劳务支付的现金,"234,703,733.28","375,506,161.59","332,837,501.45","209,517,912.00","367,763,991.02","498,113,906.54","100,178,423.52","249,397,412.69","479,823,486.51","647,925,270.13","152,631,885.82","341,824,579.32","492,954,269.26","751,281,459.58","205,869,134.44","434,846,535.57","704,100,820.17","677,349,057.97","162,094,260.17","318,972,148.68","564,158,504.57","721,261,331.70","177,769,311.43","281,271,570.55","508,718,266.73","815,922,052.65","216,975,478.24","421,695,222.74","584,876,301.98","1,021,901,138.55","433,318,010.80","820,112,850.71","1,287,820,963.47","1,622,343,742.49","439,723,452.19","514,765,766.15","1,642,070,277.24","1,283,087,626.38","516,440,643.71"
吸收投资收到的现金,,,,,,"703,500,000.00",,,"3,000,000.00","6,520,000.00","25,000,000.00","25,000,000.00","25,000,000.00","27,160,000.00",,,"20,281,190.00","23,431,190.00",,"13,605,349.20","16,605,349.20","17,361,269.88",,"10,677,090.60","13,417,090.60","52,117,073.75",,"10,068,656.40","10,068,656.40","10,387,287.00","582,305.87","15,915,205.00","18,586,012.01","21,129,205.00","2,895,200.00","2,925,200.00","1,470,000.00","7,287,405.47",
