科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,220,566,319.40","1,548,087,535.23","1,749,064,421.43","442,022,471.09","928,037,988.81","1,530,731,504.44","2,052,235,836.80","626,541,814.78","1,348,257,384.13","2,149,514,057.51","2,950,216,758.39","821,311,199.23","1,666,823,326.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"8,426,310.51",,
收到的税费返还,"83,110,269.88","76,770,668.04","109,083,410.89","27,759,322.88","57,109,636.70","96,277,852.03","138,484,656.72","82,917,115.73","131,078,107.91","188,201,296.58","220,519,084.29","49,693,507.22","93,291,314.37"
支付其他与投资活动有关的现金,,,,"49,060.00","49,060.00",,,,,,,,
收到其他与经营活动有关的现金,"20,167,954.04","24,180,045.89","25,026,349.59","6,563,302.19","14,630,026.13","17,005,632.28","31,062,297.05","21,225,070.13","25,527,090.81","32,039,344.16","85,258,707.25","9,980,021.19","42,902,104.38"
投资活动现金流出小计,"189,308,315.32","221,021,231.91","429,236,876.45","95,227,599.42","258,399,193.37","412,188,361.84","1,141,739,675.35","178,962,801.35","336,331,930.94","521,114,966.14","787,319,794.79","1,013,884,317.06","1,631,218,973.04"
经营活动现金流入小计,"1,323,844,543.32","1,649,038,249.16","1,883,174,181.91","476,345,096.16","999,777,651.64","1,644,014,988.75","2,221,782,790.57","730,684,000.64","1,504,862,582.85","2,369,754,698.25","3,255,994,549.93","880,984,727.64","1,803,016,744.80"
投资活动产生的现金流量净额,"-187,267,775.32","-216,036,048.68","-426,959,121.45","-95,227,599.42","-254,086,810.18","-410,442,371.84","-1,141,262,434.89","-67,704,426.00","-151,616,603.30","-172,196,552.89","-355,312,581.54","-742,266,049.93","-774,894,344.25"
购买商品、接受劳务支付的现金,"662,394,530.65","778,200,604.96","857,049,217.14","206,874,495.95","468,740,535.82","791,196,238.67","1,123,471,790.84","384,306,999.19","793,333,379.14","1,269,534,388.78","1,778,645,446.71","487,772,094.18","968,542,048.75"
吸收投资收到的现金,,,,,,"758,415,000.00","758,415,000.00",,,,,,
支付给职工以及为职工支付的现金,"265,983,061.18","293,199,238.44","371,836,421.98","111,457,598.46","209,311,115.79","315,919,621.00","423,990,147.71","145,757,415.68","261,631,013.67","375,297,721.44","496,792,969.62","143,562,218.68","267,165,386.70"
取得借款收到的现金,"377,686,581.95","335,348,907.84","418,601,106.84","138,106,811.41","338,055,172.99","480,407,796.20","531,055,716.34","229,644,437.75","398,741,245.23","611,103,040.05","749,414,273.16","206,928,590.07","313,058,342.39"
支付的各项税费,"55,355,294.64","90,442,850.88","113,062,759.27","11,554,044.78","34,735,782.10","91,294,515.95","98,609,716.87","19,151,522.07","61,442,564.08","102,003,751.10","111,738,733.72","40,188,816.82","91,697,167.12"
收到其他与筹资活动有关的现金,"5,000,744.28","15,668,301.53","5,676,995.62","15,832,799.56","15,832,799.56",,"16,232,799.56","26,884,787.74","26,884,787.74","26,884,787.74","26,884,787.74","10,028,684.63","85,573,414.63"
支付其他与经营活动有关的现金,"71,867,781.13","82,383,299.52","86,595,176.39","25,943,505.74","65,369,023.53","105,870,704.59","122,020,885.16","37,490,681.18","80,864,870.25","165,115,504.37","167,954,685.80","70,644,870.07","142,353,691.73"
筹资活动现金流入小计,"382,687,326.23","351,017,209.37","424,278,102.46","153,939,610.97","353,887,972.55","1,238,822,796.20","1,305,703,515.90","256,529,225.49","425,626,032.97","637,987,827.79","1,567,819,060.90","216,957,274.70","398,631,757.02"
经营活动现金流出小计,"1,055,600,667.60","1,244,225,993.80","1,428,543,574.78","355,829,644.93","778,156,457.24","1,304,281,080.21","1,768,092,540.58","586,706,618.12","1,197,271,827.14","1,911,951,365.69","2,555,131,835.85","742,167,999.75","1,469,758,294.30"
偿还债务支付的现金,"370,887,262.45","416,633,867.04","286,724,631.61","78,445,036.82","205,462,432.84","324,387,249.24","535,838,524.50","86,136,760.07","144,848,827.97","235,348,827.97","415,508,489.93","347,875,691.79","538,446,804.51"
经营活动产生的现金流量净额,"268,243,875.72","404,812,255.36","454,630,607.13","120,515,451.23","221,621,194.40","339,733,908.54","453,690,249.99","143,977,382.52","307,590,755.71","457,803,332.56","700,862,714.08","138,816,727.89","333,258,450.50"
分配股利、利润或偿还利息支付的现金,"59,921,010.35","54,354,898.56","133,042,607.35","56,611,683.52","61,010,019.40","58,176,918.58","71,178,650.28","5,052,317.46","196,328,794.39","203,680,255.66","230,775,734.62","5,997,547.16","232,039,300.79"
收回投资收到的现金,,,,,,,,"110,000,000.00","180,000,000.00","340,000,000.00","420,000,000.00","269,971,000.00","701,439,000.02"
支付其他与筹资活动有关的现金,"16,800,376.98","6,243,033.34","16,434,675.28","40,767,117.34","43,054,084.22",,"37,275,862.09","46,573,693.68","40,404,044.84","16,178,209.37","13,413,084.63","5,208,830.47","5,251,102.46"
取得投资收益收到的现金,,,,,,,,"786,575.35","1,763,890.42","5,327,726.03","7,807,726.03","1,101,767.13","3,136,945.20"
筹资活动现金流出小计,"447,608,649.78","477,231,798.94","436,201,914.24","175,823,837.68","309,526,536.46","382,564,167.82","644,293,036.87","137,762,771.21","381,581,667.20","455,207,293.00","659,697,309.18","359,082,069.42","775,737,207.76"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,040,540.00","4,985,183.23","2,277,755.00",,"4,312,383.19","1,745,990.00","477,240.46","471,800.00","2,951,437.22","3,590,687.22","4,199,487.22","545,500.00","656,300.00"
筹资活动产生的现金流量净额,"-64,921,323.55","-126,214,589.57","-11,923,811.78","-21,884,226.71","44,361,436.09","856,258,628.38","661,410,479.03","118,766,454.28","44,044,365.77","182,780,534.79","908,121,751.72","-142,124,794.72","-377,105,450.74"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-8,040,231.12","2,586,893.68","3,658,231.47","497,870.77","3,170,316.23","4,085,411.87","7,539,988.74","173,553.68","-3,826,809.44","-10,086,707.10","-13,095,413.13","-9,809,910.67","-1,040,825.51"
收到其他与投资活动有关的现金,,,,,,,,,,,,,"151,092,383.57"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"2,040,540.00","4,985,183.23","2,277,755.00",,"4,312,383.19","1,745,990.00","477,240.46","111,258,375.35","184,715,327.64","348,918,413.25","432,007,213.25","271,618,267.13","856,324,628.79"
五、现金及现金等价物净增加额,"8,014,545.73","65,148,510.79","19,405,905.37","3,901,495.87","15,066,136.54","789,635,576.95","-18,621,717.13","195,212,964.48","196,191,708.74","458,300,607.36","1,240,576,471.13","-755,384,027.43","-819,782,170.00"
购建固定资产、无形资产和其他长期资产支付的现金,"189,308,315.32","221,021,231.91","429,236,876.45","95,178,539.42","258,350,133.37","412,188,361.84","721,739,675.35","178,962,801.35","336,331,930.94","521,114,966.14","763,293,484.28","163,499,917.06","292,882,934.09"
期初现金及现金等价物余额,"65,410,407.03","73,424,952.76","138,573,463.55","157,979,368.92","157,979,368.92","174,212,168.48","157,979,368.92","139,357,651.79","139,357,651.79","166,242,439.53","139,357,651.79","1,379,934,122.92","1,379,934,122.92"
投资支付的现金,,,,,,,"420,000,000.00",,,,"15,600,000.00","850,384,400.00","1,338,336,038.95"
期末现金及现金等价物余额,"73,424,952.76","138,573,463.55","157,979,368.92","161,880,864.79","173,045,505.46","963,847,745.43","139,357,651.79","334,570,616.27","335,549,360.53","624,543,046.89","1,379,934,122.92","624,550,095.49","560,151,952.92"
