科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"69,263,101.20","96,049,260.74","131,446,503.34","90,473,771.26","301,421,867.40","362,512,354.37","271,820,517.99","290,987,664.14","292,263,191.04","338,444,723.87","304,452,224.73","276,040,523.24","359,473,971.47","344,895,901.50","240,186,086.36","130,679,239.20","135,710,604.53","293,262,644.20","178,261,364.47","126,672,396.55","166,969,792.16","292,700,126.98","355,614,831.29","254,411,383.86","266,921,491.53"
短期借款,"20,000,000.00",,,,,,,,,,,,,,,,,"350,000.00","10,810,440.00","66,939,776.00","61,020,416.00","41,449,600.00",,,"100,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,"1,300,000.00",,,,,,,,,,,,,,,
应收账款,"17,496,158.50","11,993,287.60","20,888,578.06","52,229,455.60","71,359,111.94","43,065,764.62","67,209,463.78","84,347,640.83","82,341,387.15","68,599,118.94","85,145,621.61","107,803,182.11","116,015,987.17","103,757,342.74","144,700,656.83","170,334,753.97","186,509,801.60","221,380,565.40","278,754,095.80","319,283,280.18","375,019,290.61","371,243,378.23","483,683,011.82","549,702,808.48","545,820,354.42"
应付账款,"3,632,503.68","3,149,232.00","2,900,802.00","250,000.00","2,239,909.00","8,230,000.00",,,"462,000.00",,,"10,130,000.00","7,800,000.00","141,400.00","2,618,000.00","4,305,900.00","24,209,267.00","6,112,996.50","5,274,089.66","1,292,567.12","518,845.57","1,243,816.65","415,489.63","6,997,561.77","4,963,125.58"
预付款项,"119,104.67","9,596,769.59","3,675,008.33","7,280,184.00","6,184,683.73","2,588,133.02","4,244,856.00","4,239,856.00","5,750,972.60","5,498,300.00","7,924,418.78","3,123,947.64","1,659,088.69","1,075,193.99","6,186,337.17","3,463,223.43","4,543,018.61","1,816,274.42","1,757,800.65","3,698,240.57","3,213,945.58","2,468,244.89","3,257,918.57","3,959,268.00","2,270,840.94"
预收款项,"17,391,150.67","18,183,767.00","16,356,441.67","1,039,187.50","2,438,899.99","2,274,725.00","491,799.67","3,270,799.66","583,099.69","6,946,329.84","4,240,726.67","4,175,783.28","5,193,619.96","5,718,879.95","5,983,816.65","9,961,972.11","32,297,926.75","11,371,246.56","25,402,000.86","12,769,776.37","28,737,865.29","8,641,752.42","52,151,707.62","42,246,193.86","60,581,129.57"
其他应收款,"6,377,597.59","1,437,452.07","1,814,735.06","2,175,751.90","5,059,453.80","3,313,845.61","6,007,606.73","4,594,117.48","6,031,094.27","3,633,192.72","6,657,847.99","5,048,689.68","6,552,609.47","5,316,669.64","11,382,302.50","10,464,864.54","19,376,930.47","11,642,030.39","26,166,168.30","19,710,343.61","26,306,213.82","47,384,975.69","23,164,051.56","17,695,082.44","56,736,962.61"
应付职工薪酬,"1,630,000.00","3,536,448.64","4,784,268.70","851,105.34","791,105.34","5,299,905.25","1,758,170.79","75,000.00",,"8,545,676.75","6,803,424.06","75,000.00","5,236.78","8,175,000.00","20,090,400.00","84,000.00","-2,151,351.98","24,492,880.57","21,869,812.09",,,"41,696,210.24","38,159,562.50","7,054,638.16","5,159,918.85"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"2,655,252.92","1,007,608.94","6,219,868.34","2,894,591.98","1,415,279.05","1,746,035.68","2,795,136.55","1,828,587.24","1,973,295.38","1,231,693.44","259,522.68","593,736.30","2,511,947.33","4,281,511.32","1,277,525.88","2,925,203.56","3,829,192.53","31,364,365.22","14,138,186.29","17,992,661.48","16,357,711.39","34,411,871.19","36,171,644.29","34,355,637.84","34,379,121.04"
应收利息,,,"612,969.44","1,162,275.00","288,555.55","3,175,143.61","5,203,769.99","6,338,058.80","939,997.06","3,039,634.57","3,520,838.84","4,831,522.39","920,385.65","2,381,443.14","2,990,392.52","3,158,526.59","403,346.96",,"203,550.10","485,558.73","162,046.88",,,,
应付利息,,,,,,,,,,,,,,,,,,,,,"71,110.66",,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,"656,996.25","417,570.00","429,541.31","427,047.56","1,079,912.52","1,079,912.52","664,221.58","664,221.58","14,518,251.58","1,468,891.23"
存货,"352,991.48","2,774,302.26","3,400,534.57","3,334,160.38","3,572,329.46","3,156,897.82","3,007,372.17","3,007,372.17","3,289,423.45","1,603,418.87","1,433,333.40","2,464,957.34","1,193,162.47","1,022,222.30","755,555.63","622,222.30","496,563.97","1,485,913.86","2,468,559.94","2,589,406.10","2,594,727.10","2,180,557.17","1,698,255.96","1,509,849.75","1,121,113.18"
其他应付款,"1,216,363.06","737,268.66","132,421.00","15,953.00","1,121,494.80","1,120,094.80","516,667.00","43,568.79","40,727.11","761,998.22","425,516.45","651,660.43","288,076.31","65,239,922.44","65,187,951.54","544,960.96","991,617.39","43,048,168.95","32,189,792.14","70,664,664.78","71,442,400.76","48,908,413.40","44,994,675.87","11,167,690.84","10,893,067.17"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,
