科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"162,627,137.39","191,805,655.68","480,099,187.01","97,809,434.27","182,823,233.78","259,009,621.82","403,416,070.47","88,394,721.16","194,699,508.94","369,747,337.17","689,573,315.20","197,131,544.62","319,008,054.57","480,562,756.24","753,706,395.55","130,378,137.40","270,275,767.08","452,031,606.63","677,132,536.04","119,279,523.54","269,854,939.01","411,444,063.34","652,447,421.96","134,573,800.88","237,827,945.33","363,078,427.72","533,896,939.20","150,214,195.21","271,748,695.36","397,186,822.46","619,117,287.32","54,355,968.05","70,517,658.70","70,511,807.07","89,307,698.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"8,718,882.67","6,634,989.42","14,368,358.06","2,938,630.87","2,938,630.87","9,590,280.40","16,589,219.62","212,260.00","5,381,656.11","5,381,656.11","8,514,086.91","9,667,489.15","16,639,103.39","19,781,174.13","24,750,163.54","58,082.14","2,781,547.36","5,946,040.60","10,594,641.37","8,283.24","1,485,559.59","2,011,241.91","4,192,733.97",,,,"630,646.21","2,007,680.84","2,019,739.42","2,019,739.42","2,253,205.60",,"7,633.94","7,633.94","53,236.24"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000.00","50,000.00","4,346,200.00"
收到其他与经营活动有关的现金,"4,902,375.54","4,429,178.84","11,403,072.09","2,281,834.31","4,865,789.01","6,297,038.72","9,099,990.23","1,764,245.96","2,187,874.08","7,168,444.12","13,735,158.73","1,344,137.90","5,408,832.86","11,485,557.25","9,548,369.41","1,288,006.76","1,709,028.88","3,695,169.72","5,719,713.26","1,254,950.54","2,309,126.82","3,676,581.56","8,538,848.09","18,950,278.04","21,989,669.21","23,722,201.88","50,660,673.25","711,678.43","1,050,241.76","2,484,387.65","12,341,210.84","182,330,050.10","401,817,971.69","432,239,669.17","716,224,341.75"
投资活动现金流出小计,"11,751,896.08","18,518,225.72","29,396,579.84","2,773,679.35","6,387,705.15","20,000,005.36","39,399,874.88","6,379,067.55","22,479,616.50","39,594,140.66","85,079,111.98","2,339,958.32","20,027,708.44","38,573,787.13","80,104,552.02","4,605,088.90","51,123,053.77","97,107,157.15","18,484,535.99","4,449,897.20","12,761,922.71","19,680,940.82","18,056,281.80","349,938.40","4,028,591.97","34,787,018.10","8,931,334.84","1,247,819.79","2,016,715.11","3,735,773.34","3,931,232.34","861,251.53","1,214,723.03","21,276,741.03","43,237,478.40"
经营活动现金流入小计,"176,248,395.60","202,869,823.94","505,870,617.16","103,029,899.45","190,627,653.66","274,896,940.94","429,105,280.32","90,371,227.12","202,269,039.13","382,297,437.40","711,822,560.84","208,143,171.67","341,055,990.82","511,829,487.62","788,004,928.50","131,724,226.30","274,766,343.32","461,672,816.95","693,446,890.67","120,542,757.32","273,649,625.42","417,131,886.81","665,179,004.02","153,524,078.92","259,817,614.54","386,800,629.60","585,188,258.66","152,933,554.48","274,818,676.54","401,690,949.53","633,711,703.76","242,697,443.19","482,834,903.63","519,387,862.49","805,585,276.41"
投资活动产生的现金流量净额,"-11,737,041.89","-17,712,238.67","-29,341,550.25","11,576,320.65","7,963,706.05","-19,998,200.25","-22,174,804.16","-6,379,067.55","-22,395,847.10","-39,510,371.26","-84,912,875.42","-2,339,958.32","-20,027,708.44","-38,493,987.13","23,164,751.69","-4,605,088.90","-14,240,356.53","-18,060,939.15","15,433,806.39","-4,425,897.20","-12,568,787.71","23,333,612.04","20,724,988.33","7,460,705.76","5,443,154.29","72,948,926.81","133,076,414.59","-1,247,429.79","-2,014,724.11","-3,733,082.34","15,221,246.16","-861,251.53","-16,522,404.20","-26,552,588.86","12,426,960.02"
购买商品、接受劳务支付的现金,"90,899,834.65","127,761,265.51","299,302,077.73","110,063,886.31","185,014,893.19","262,692,994.91","334,848,651.01","107,287,449.28","238,967,239.35","354,884,161.06","595,402,608.96","161,919,044.87","311,613,733.45","448,992,228.88","645,310,525.09","97,693,323.76","195,236,132.67","299,318,996.03","369,497,083.39","98,298,798.68","179,172,589.38","269,887,220.34","384,881,868.77","144,800,352.56","208,236,996.23","298,469,479.11","481,644,518.70","123,546,519.99","191,636,342.72","271,506,527.50","377,763,652.51","82,915,215.29","115,143,414.44","115,143,414.44","111,826,989.85"
吸收投资收到的现金,"56,200,000.00",,"250,000.00","1,850,000.00","562,350,000.00","576,700,000.00","561,000,000.00",,,,"10,219,079.00",,,"2,434,000.00","2,434,000.00",,,,,,,,,,,,,"1,800,000.00","1,800,000.00",,,,,,
