科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,"102,832,076.75","301,682,339.16","566,434,722.88","645,987,415.55","90,947,966.00","202,853,529.18","310,561,866.64","389,476,919.81","46,404,729.86","108,122,145.26","172,041,207.28","228,427,266.33","38,001,958.17","81,567,291.00","94,542,068.49","78,111,674.54","8,951,439.83","27,016,957.49","67,203,878.27","84,778,125.44","13,581,742.40","26,398,147.46","42,497,974.41","55,329,530.13","2,421,683.08","17,665,664.11","24,763,810.61","21,955,439.07","5,245,888.66","36,328,943.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"533,663.38","533,663.38","533,663.38","2,384,013.15","143,507.39","1,723,602.52","1,919,324.98",,"5,966.94","669,666.33","669,666.33","1,542,480.72",,"4,281,717.47","6,730,496.11","8,660,991.09",,"1,325,172.88","3,235,359.60","8,869,763.72","2,608,235.28","5,121,143.93","6,208,692.10","9,095,673.63","1,176,555.71","1,176,555.71","1,176,555.71","1,321,415.22","109,429.70",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"65,695,181.71","101,671,371.32","130,454,376.29","157,502,699.32","9,502,964.00","24,692,374.84","28,577,092.85","36,629,023.81","12,104,214.45","13,765,681.18","13,739,103.78","19,812,403.20","5,486,332.42","6,475,446.27","23,233,721.05","29,869,511.64","5,878,776.55","15,128,487.99","27,746,967.32","63,508,154.03","6,308,001.26","8,684,482.36","10,955,353.76","20,954,342.79","28,460,370.37","16,808,313.17","19,663,405.50","39,990,213.42","4,751,858.73","564,368.38"
投资活动现金流出小计,"494,784.78","650,171.77","989,146.48","1,521,632.16","305,146.00","1,077,133.00","1,267,981.01",,"45,854.74","195,697.84","1,065,271.71","1,386,645.68","263,012.61","347,736.94","367,536.94","367,536.94",,"39,316.24","39,316.24",,,,,"795,427.00",,"3,000.00","3,000.00","3,000.00",,"1,834,310.52"
经营活动现金流入小计,"169,060,921.84","403,887,373.86","697,422,762.55","805,874,128.02","100,594,437.39","229,269,506.54","341,058,284.47","428,481,704.25","58,514,911.25","122,557,492.77","186,449,977.39","249,782,150.25","43,488,290.59","92,324,454.74","124,506,285.65","116,642,177.27","14,830,216.38","43,470,618.36","98,186,205.19","157,156,043.19","22,497,978.94","40,203,773.75","59,662,020.27","85,379,546.55","32,058,609.16","35,650,532.99","45,603,771.82","63,267,067.71","10,107,177.09","36,893,311.61"
投资活动产生的现金流量净额,"-494,784.78","-348,926.82","-510,203.85","-1,445,935.17","-293,512.93","30,054,500.07","30,246,213.17","30,525,566.30","-33,736.96","-43,586.66","1,335,276.65","2,405,951.65","207,405.64","122,681.31","102,881.31","417,619.11",,"440,683.76","2,730,683.76",,,,,"-795,427.00",,"-3,000.00","-3,000.00","-3,000.00","12,501.00","-1,834,310.52"
购买商品、接受劳务支付的现金,"144,921,179.53","325,737,061.99","578,438,063.90","663,132,859.09","84,039,166.18","203,227,340.82","293,398,843.68","357,488,503.13","46,110,052.84","99,518,869.28","159,218,296.65","213,764,318.17","36,924,478.60","78,298,095.33","78,628,270.13","77,376,614.89","6,173,807.56","34,711,500.18","71,336,191.17","91,523,594.99","14,128,022.34","28,215,796.29","33,958,250.30","62,768,011.87","5,162,469.97","18,892,436.94","27,485,827.28","25,269,789.72","6,494,870.05","32,114,421.73"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"1,230,717.99","6,232,863.60","10,062,800.70","12,104,897.18","4,082,146.24","7,217,197.81","11,505,269.14","15,740,463.04","3,430,771.57","6,993,568.41","9,168,801.80","11,307,057.79","3,419,589.87","7,784,751.09","9,433,983.64","11,911,917.70","341,605.19","584,592.75","935,377.06","1,300,409.27","360,198.48","718,779.52","1,071,923.04","1,474,754.61","370,178.02","708,887.84","1,018,354.72","1,481,440.17","321,077.92","1,796,492.28"
取得借款收到的现金,"275,000,000.00","413,360,000.00","413,360,000.00","413,360,000.00",,"59,399,884.00","59,399,884.00","59,399,884.00",,"16,550,000.00","16,660,000.00","9,320,000.00",,,,,,,,,,,,,,,,,,
支付的各项税费,"3,485.24","32,219.59","674,928.95","1,162,445.89","450,193.64","1,654,920.16","2,107,213.48",,"534,380.53","2,392,098.62","5,361,931.78","7,981,196.42","1,256,741.42","2,283,327.85","7,148,088.61","7,530,277.54","238,518.57","709,542.09","937,902.83","1,962,052.16","133,609.59","217,849.65","289,718.34","519,336.65","17,601.66","42,590.80","161,961.90","161,427.37","6,871.07","498,720.43"
收到其他与筹资活动有关的现金,"2,002,940.46","2,332,928.63","4,736,846.11","6,116,303.17","4,681.20","1,149,509.24","397,666.18",,"3,805.28","9,013.42","13,672.72","9,185.80","1,328.04","2,231.34",895.68,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"59,662,335.02","93,733,337.54","121,850,396.72","133,407,687.22","7,109,912.96","32,525,106.34","45,438,986.75","52,419,052.13","3,826,154.22","8,150,659.66","8,217,143.11","9,323,662.76","4,128,380.11","3,228,202.90","32,395,805.13","17,176,441.14","7,693,506.22","12,514,481.53","31,541,263.63","68,114,590.12","4,485,582.87","10,800,419.99","16,384,047.33","19,960,361.25","26,929,570.93","16,158,840.94","17,420,881.83","36,730,314.85","2,944,675.03","1,698,300.43"
筹资活动现金流入小计,"277,002,940.46","415,692,928.63","418,096,846.11","419,476,303.17","4,681.20","60,549,393.24","59,797,550.18","59,804,479.68","3,805.28","16,559,013.42","16,673,672.72","9,329,185.80","1,328.04","2,231.34",895.68,,,,,,,,,,,,,,,
经营活动现金流出小计,"205,817,717.78","425,735,482.72","711,026,190.27","809,807,889.38","95,681,419.02","244,624,565.13","352,450,313.05","431,846,719.79","53,901,359.16","117,055,195.97","181,966,173.34","242,376,235.14","45,729,190.00","91,594,377.17","127,606,147.51","113,995,251.27","14,447,437.54","48,520,116.55","104,750,734.69","162,900,646.54","19,107,413.28","39,952,845.45","51,703,939.01","84,722,464.38","32,479,820.58","35,802,756.52","46,087,025.73","63,642,972.11","9,767,494.07","36,107,934.87"
偿还债务支付的现金,"237,332,357.60","381,871,359.10","376,264,159.10","381,233,309.69","800,000.02","61,000,000.02","61,400,000.02","64,903,714.02",150.00,"10,000,150.00","12,078,950.00","11,386,950.00","92,500.00","92,500.00","92,500.00","92,500.00",,,,,,,,,,"251,931.93","251,931.93","251,931.93",,
经营活动产生的现金流量净额,"-36,756,795.94","-21,848,108.86","-13,603,427.72","-3,933,761.36","4,913,018.37","-15,355,058.59","-11,392,028.58","-3,365,015.54","4,613,552.09","5,502,296.80","4,483,804.05","7,405,915.11","-2,240,899.41","730,077.57","-3,099,861.86","2,646,926.00","382,778.84","-5,049,498.19","-6,564,529.50","-5,744,603.35","3,390,565.66","250,928.30","7,958,081.26","657,082.17","-421,211.42","-152,223.53","-483,253.91","-375,904.40","339,683.02","785,376.74"
分配股利、利润或偿还利息支付的现金,"4,775,169.35","13,846,069.79","27,018,563.44","35,943,687.05","7,003,939.41","13,896,279.59","19,163,570.12","23,779,155.39","3,867,339.22","7,716,707.10","7,865,461.29","7,840,018.44","2,617.00","2,723.65","2,888.27",,,,,,,,,,,,,,,
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,13.50,"176,348.00","176,943.62",741.13,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,501.00",
筹资活动现金流出小计,"242,107,540.45","395,893,776.89","403,459,666.16","417,177,737.87","7,803,939.43","74,896,279.61","80,563,570.14","88,682,869.41","3,867,339.22","17,716,857.10","19,944,411.29","19,226,968.44","95,117.00","95,223.65","95,388.27","92,500.00",,,,,,,,,,"251,931.93","251,931.93","251,931.93",,
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"375,941.99","75,696.99","11,633.07","31,131,633.07","31,514,194.18",,"12,117.78","152,111.18","2,400,548.36","3,792,597.33","470,418.25","470,418.25","470,418.25","785,156.05",,"480,000.00","2,770,000.00",,,,,,,,,,,
筹资活动产生的现金流量净额,"34,895,400.01","19,799,151.74","14,637,179.95","2,298,565.30","-7,799,258.23","-14,346,886.37","-20,766,019.96","-28,878,389.73","-3,863,533.94","-1,157,843.68","-3,270,738.57","-9,897,782.64","-93,788.96","-92,992.31","-94,492.59","-92,500.00",,,,,,,,,,"-251,931.93","-251,931.93","-251,931.93",,
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,"301,244.95","103,000.64",,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"301,244.95","478,942.63","75,696.99","11,633.07","31,131,633.07","31,514,194.18","32,906,194.18","12,117.78","152,111.18","2,400,548.36","3,792,597.33","470,418.25","470,418.25","470,418.25","785,156.05",,"480,000.00","2,770,000.00",,,,,,,,,,"12,501.00",
