科目,2013年度,2014年度,2015年1-6月,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"152,086,517.32","213,611,663.37","106,979,253.20","302,220,255.98","155,792,723.81","255,313,250.51","433,085,305.72","137,353,704.88","318,717,664.52","507,811,315.75","764,422,959.92","178,754,968.04","523,118,870.95"
二、营业利润,"37,699,085.14","53,972,107.88","21,153,184.28","69,163,915.01","19,974,922.56","39,771,294.41","72,334,453.67","23,626,907.37","61,319,620.52","115,853,591.99","155,951,194.01","37,524,795.58","86,485,356.95"
减:营业成本,"80,314,508.96","109,021,391.98","52,841,032.22","156,458,170.33","92,103,903.05",,"252,649,753.55","83,672,775.26","188,867,391.59","308,077,122.34","483,230,826.32","107,192,899.40","351,535,371.98"
加:补贴收入,,,,,,,,,,,,,
营业税金及附加,"1,207,317.96","1,791,109.69","908,703.20","2,311,709.12","1,140,569.56",,"3,255,592.75","616,886.31","1,185,202.34","1,965,602.91","3,692,533.78","1,719,271.41","2,946,775.83"
营业外收入,"553,008.55","534,692.74","471,120.53","3,534,398.72","15,416,591.56",,"17,805,599.58","2,062,720.94","2,668,101.48","3,779,920.39","2,084,086.31","1,050,348.00","1,238,833.00"
销售费用,"15,477,109.95","29,251,634.33","16,909,031.29","41,869,334.61","27,309,874.92",,"61,701,157.31","14,298,021.32","37,390,883.21","58,561,983.56","83,491,710.27","18,838,452.09","46,713,328.93"
减:营业外支出,"81,391.21","52,883.00","28,116.80","102,001.53","41,960.38",,"101,902.03","40,041.21","183,191.12","187,981.83","425,723.13","114,033.26","189,905.93"
管理费用,"16,604,969.02","18,809,544.20","14,511,005.24","28,814,018.02","14,991,361.34",,"38,419,174.32","15,843,355.16","33,038,483.78","50,893,194.43","66,737,257.62","23,531,691.40","50,908,614.96"
其中:非流动资产处置净损失,,,,"16,596.95",,,,,"16,055.26","16,055.26",,,
堪探费用,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,
财务费用,"-92,586.87","-350,087.16","-523,752.46","-2,455,902.89","-2,006,155.01",,"-3,135,607.03","-1,253,739.57","-2,298,086.45","-2,607,915.28","-2,746,169.08","14,620.56","104,737.30"
三、利润总额,"38,170,702.48","54,453,917.62","21,596,188.01","72,596,312.20","35,349,553.74","55,569,206.68","90,038,151.22","25,649,587.10","63,804,530.88","119,445,530.55","157,609,557.19","38,461,110.32","87,534,284.02"
资产减值损失,"876,113.16","2,488,369.37","1,730,273.55","6,788,431.75","2,544,087.95",,"8,824,292.94","1,071,499.03","2,567,237.18","1,287,045.90","7,102,907.69","3,102,739.78","5,139,880.70"
减:所得税,"5,794,660.91","7,740,886.87","3,529,656.73","10,254,254.45","5,393,558.70",,"12,464,047.78","4,351,910.34","9,122,245.13","16,186,366.60","20,235,488.42","4,963,917.92","11,228,898.95"
加:公允价值变动净收益,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,
投资收益,,"1,372,406.92","550,224.12","729,419.97","265,840.56",,"963,511.79","522,000.00","950,865.75","2,841,813.69","6,182,123.29","2,886,997.29","1,503,220.39"
四、净利润,"32,376,041.57","46,713,030.75","18,066,531.28","62,342,057.75","29,955,995.04","47,000,213.34","77,574,103.44","21,297,676.76","54,682,285.75","103,259,163.95","137,374,068.77","33,497,192.40","76,305,385.07"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,"989,137.84","574,261.44","-1,097,295.24"
归属于母公司所有者的净利润,"32,376,041.57","46,713,030.75","18,066,531.28","62,342,057.75","29,955,995.04","47,000,213.34","77,574,103.44","21,297,676.76","54,682,285.75","103,674,430.48","138,021,877.16","33,687,766.07","76,725,384.66"
影响营业利润的其他科目,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,"-415,266.53","-647,808.39","-190,573.67","-419,999.59"
