科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他应收款,"2,536,926.70","2,795,744.69","4,424,783.85","4,908,349.39","5,177,755.71","5,228,305.39","5,083,930.20","4,068,792.09","4,822,471.57","4,346,657.13","4,727,731.49","3,018,478.10","4,170,770.47","3,934,516.54","5,057,786.73","3,973,408.51","4,573,289.75","36,203,025.42","6,031,309.33","4,244,894.52","13,729,352.97","5,412,812.49","8,147,210.37","4,832,476.19","8,454,409.78","8,321,715.64","9,352,026.79","24,478,936.12","37,245,473.95","48,004,139.36","59,889,727.94","91,732,839.65","103,409,418.08","104,706,712.67","130,098,200.80","92,849,803.17","114,608,751.15","132,004,160.26","373,243,631.35","95,652,417.11","104,245,895.04","108,585,085.00","161,220,424.31","155,063,859.38","475,144,617.99"
应付职工薪酬,"9,270,146.55","6,964,111.60","6,903,571.71","5,874,964.67","5,913,104.30","5,182,471.51","5,643,681.24","4,400,740.30","4,742,731.21","4,421,548.61","3,971,138.01","4,987,616.01","3,850,136.45","2,096,213.23","2,376,669.30","5,187,097.89","3,645,853.12","2,369,033.18","2,974,741.76","8,012,170.10","4,550,730.08","2,859,126.06","4,414,895.72","11,069,626.18","5,778,322.58","4,660,244.82","3,902,447.58","28,173,404.49","25,598,204.21","18,994,901.07","18,734,414.28","32,700,370.93","29,871,756.51","20,052,083.70","21,783,853.58","34,229,791.14","32,439,966.31","26,137,907.58","29,998,553.17","42,311,610.01","37,162,952.09","25,779,231.06","26,271,428.49","52,071,588.95","49,337,103.82"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,023,638.65","4,754,520.62","-13,889,191.72","12,701,453.35","6,052,681.05","11,316,500.38","17,946,547.96","28,452,956.82","23,951,485.78","10,308,780.88","19,354,995.36","4,427,148.54","573,908.05","1,602,586.54","2,338,162.73","25,146,139.64","23,897,891.33","5,569,143.85","9,138,628.55","13,366,908.23","14,631,820.70","4,204,061.54","11,525,326.27","22,058,601.62","21,096,242.80","28,644,211.52","30,507,914.28","29,214,993.01","1,565,845.44","15,407,497.24","6,806,075.18","76,096,654.76","41,988,339.62","54,283,388.48","53,473,701.89","101,686,918.00","70,712,465.96","76,016,931.09","75,824,844.78","100,034,855.13","86,864,429.15","51,972,336.10","45,291,159.00","113,505,298.62","80,636,268.20"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,"585,576.28","625,000.00","687,500.00","137,500.00",,,,,,,,,,,,,,,,
应付利息,"61,200.00","183,335.00","78,840.00","113,962.50","226,012.50","175,623.75","215,313.75","216,862.50","190,475.00","91,597.50","91,597.50","106,200.00","111,362.50","104,208.75","104,208.75","73,750.00","44,250.00","59,102.78","74,164.44","82,182.14","82,182.14","42,417.22","57,327.48","171,101.92","80,666.67","792,041.09","201,958.34","673,136.94","717,920.90","1,165,930.49","1,146,856.96","1,011,406.41","1,004,166.65","3,628,681.92","8,811,855.21","14,445,583.33","20,253,333.34","2,095,555.56","8,268,370.38","14,171,458.35","20,220,368.21","3,255,336.62","11,074,045.44","14,846,712.61","23,365,397.86"
应收股利,,,,,,,,,,"195,308.73",,,,"54,625.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,"719,680.31","719,680.31","25,469,680.31","705,286.70","17,460.00","17,460.00","17,460.00","17,460.00","17,460.00","17,460.00","83,734.22","17,460.00","17,460.00","17,460.00","17,460.00","17,460.00","17,460.00","10,767,460.00","6,051,087.00","6,051,087.00","17,460.00","17,460.00","7,553,435.00","17,460.00","15,472,535.01","15,472,535.01","26,908,711.36","15,920,338.06","15,472,535.01","15,472,535.01","17,035,020.77","16,315,020.77","15,472,535.01","15,472,535.01","24,916,779.96","24,916,779.96","14,633,311.52","8,817,918.65","23,433,770.17","17,618,377.29","16,099,179.45","16,099,179.45"
存货,"399,280,118.44","431,785,339.19","490,479,345.20","493,733,449.25","555,822,553.81","551,062,347.65","576,448,020.12","518,135,463.94","590,928,185.83","608,661,886.91","609,956,861.20","647,175,468.60","676,809,976.55","659,277,371.37","670,238,357.78","539,027,474.08","577,986,796.11","559,843,630.38","562,627,036.09","498,461,707.45","524,567,679.12","546,791,918.60","492,427,609.32","471,866,654.32","509,052,215.65","512,077,383.37","529,598,896.47","576,486,554.65","673,622,928.99","725,228,302.35","833,069,650.94","1,125,497,413.60","1,158,653,061.23","1,326,658,139.38","1,491,280,538.25","1,418,043,501.56","1,422,148,579.96","1,582,684,267.01","1,638,729,289.92","1,580,939,336.66","1,552,061,210.56","1,757,540,888.68","1,824,112,885.13","1,877,381,647.27","1,890,906,528.33"
其他应付款,"38,276,027.27","38,313,261.36","34,537,036.87","37,185,777.17","27,795,174.65","45,003,331.88","30,132,673.23","27,088,250.09","36,289,898.96","33,067,893.14","30,056,718.01","25,967,246.15","27,717,746.68","29,998,675.88","26,804,144.40","36,419,497.63","29,534,489.82","32,524,586.06","35,102,208.25","28,600,110.64","27,807,327.81","28,278,002.12","40,482,854.64","39,908,396.82","48,089,089.62","44,955,163.05","43,472,033.11","174,727,968.16","173,130,944.53","189,300,749.53","215,732,451.99","424,419,172.13","267,684,017.70","270,440,705.37","294,377,303.31","255,439,358.58","256,756,552.52","245,720,561.29","377,163,612.38","362,592,396.89","335,898,934.61","334,122,444.65","218,422,149.79","229,405,855.55","235,031,190.80"
