科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"63,033,365.84","106,400,479.01","105,736,646.47","129,919,119.94","2,410,206,468.22","1,744,463,827.34","1,440,526,595.11","1,012,809,239.87","619,705,454.09","602,539,446.66","427,700,674.24","401,211,742.20","364,044,017.12","305,042,230.17","224,037,084.93","166,436,851.96","274,543,550.90","1,534,118,827.99","1,084,997,476.38","902,658,210.31","1,241,776,195.98","929,122,058.00","488,120,046.69","208,251,986.09","345,741,688.27","367,439,846.74","1,133,611,239.39","2,658,891,398.34","953,171,898.19","887,852,966.11","825,623,745.22","441,781,846.89","502,610,960.78"
短期借款,"67,000,000.00","82,000,000.00","115,750,000.00","165,218,400.00","50,000,000.00","12,000,000.00",,,,"15,106,440.55","26,144,552.96","9,703,768.46",,"9,092,221.61","20,609,467.20",,"41,638,850.00","239,438,916.76",,,"300,000,000.00","305,000,000.00","1,000,000.00",,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,060,664.26",,"9,553,239.91","16,216,788.30","15,358,694.76","79,707,114.93","200,066,294.22","347,970,147.50","228,337,861.88","235,183,447.66","199,788,935.68","221,920,218.48","272,310,844.35","296,337,056.05","293,191,886.17","248,182,999.15","232,504,759.39","167,952,109.37","188,446,751.67","160,495,854.38","146,785,718.46","92,032,009.63","60,433,979.53","83,814,507.03","103,757,996.71","135,319,131.61","198,864,016.00","112,785,542.53","144,206,934.56","207,054,504.40","270,566,884.89","260,480,779.12","198,654,147.27"
应付票据,"100,469,500.00","127,061,110.00","176,740,000.00","255,440,000.00","251,100,000.00","188,000,000.00","314,525,500.00","440,098,300.00","254,211,520.00","393,065,584.80","380,239,710.85","513,064,828.24","588,975,124.30","634,443,916.64","514,436,420.00","477,697,310.00","617,311,970.00","413,349,430.00","497,210,100.00","188,326,515.00","383,991,175.00","420,196,690.00","411,372,520.00","278,712,430.00","423,678,618.50","404,943,095.00","317,768,632.00","456,163,825.00","371,539,945.00","424,734,175.50","422,264,680.00","470,005,284.00","554,600,200.00"
应收账款,"21,801,361.49","22,321,302.81","46,956,110.57","32,558,658.77","32,276,413.78","39,994,611.50","22,887,807.04","67,103,921.21","78,402,934.70","46,386,047.29","75,598,665.71","90,257,445.44","84,956,696.37","47,894,185.07","72,501,267.80","62,250,575.68","89,393,171.80","104,518,494.86","86,005,458.54","104,159,515.73","204,721,544.96","422,882,686.96","573,599,651.76","674,979,758.05","640,885,592.69","688,747,269.23","641,094,837.33","796,281,497.36","765,530,891.67","815,071,238.97","908,896,334.12","978,336,218.31","921,983,168.20"
应付账款,"27,779,902.35","34,199,014.14","36,057,396.27","58,617,495.76","38,791,607.66","47,464,536.74","26,958,345.23","142,153,392.04","140,284,157.98","97,526,967.22","38,684,436.54","60,874,532.35","70,260,220.19","55,383,939.73","49,032,192.93","54,179,068.40","65,718,969.86","85,568,328.51","30,859,432.28","39,440,174.93","34,785,752.49","60,361,201.27","53,871,913.80","58,004,196.43","56,453,488.80","49,491,628.73","71,205,814.14","73,902,847.07","81,046,279.68","88,348,986.87","85,232,460.25","126,979,058.53","80,679,381.49"
预付款项,"153,955,486.12","73,360,292.38","87,105,113.23","164,974,147.68","492,419,358.67","852,390,548.19","535,119,217.03","665,327,970.24","760,036,494.82","916,308,843.51","906,998,592.33","835,694,112.57","520,386,370.43","519,942,792.57","235,682,991.33","238,363,005.98","578,531,834.41","541,420,841.64","504,998,927.77","203,029,053.20","358,910,067.36","404,708,501.12","395,015,934.23","375,101,988.55","399,665,226.53","436,001,978.75","459,688,202.28","859,263,030.71","708,305,864.02","717,719,121.95","614,292,381.77","628,738,384.59","879,760,556.65"
预收款项,"24,622,058.12","44,341,210.38","135,372,713.67","35,010,841.54","54,683,625.87","61,208,695.13","29,044,580.77","33,456,420.77","23,271,950.32","48,543,860.91","27,812,746.81","45,924,493.75","27,761,679.50","41,652,998.78","22,068,532.26","30,071,376.94","32,152,193.21","33,077,955.77","23,300,054.95","57,069,785.33","25,116,402.90","24,983,423.01","18,343,633.91","14,882,723.05","15,264,377.66","33,516,488.06","19,860,634.53","24,355,675.06","23,941,612.55","50,263,343.42","27,968,348.32","42,293,687.42","82,301,662.12"
