科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"74,512,324.40","123,560,615.09","82,163,396.51","142,431,656.99","74,851,385.05","117,438,093.78","215,358,406.24","22,282,587.93","61,648,652.14","120,383,734.81","237,593,303.02","32,172,176.10","86,634,959.01","164,866,845.90","324,600,914.42","28,736,779.20","91,375,660.31","174,247,224.45","411,682,041.44","40,398,897.44","126,754,254.78","228,471,861.23","544,307,809.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"4,505,165.73",,,,,,,"-1,256,797.56","924,098.44",,,,
收到的税费返还,,,,,,,"128,628.25",,,,,,,,,,,,"1,728,026.86","314,542.93","513,218.48","631,155.10","1,728,148.91"
支付其他与投资活动有关的现金,"4,739,747.57",,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"7,251,000.20","7,234,491.88","8,510,563.08","13,710,803.93","1,565,650.34","2,572,115.43","3,682,264.77","1,743,529.74","5,612,767.35","10,401,851.93","14,862,306.88","2,587,595.52","5,728,854.09","12,682,193.23","14,134,747.30","5,376,323.06","8,219,913.72","9,814,119.51","13,742,805.75","3,944,882.22","7,324,727.83","13,707,410.00","9,085,224.26"
投资活动现金流出小计,"6,381,284.40","785,281.27","2,431,853.51","3,452,748.18","1,310,479.16","1,683,061.08","3,112,332.92","10,047,067.67","10,602,428.67","11,672,083.80","29,274,019.62","7,950,758.51","11,127,817.92","20,589,943.26","25,739,619.47","29,506,984.00","38,113,733.82","50,465,342.60","52,529,771.74","3,008,758.00","28,485,976.00","29,185,476.00","31,267,911.11"
经营活动现金流入小计,"81,763,324.60","130,795,106.97","90,673,959.59","156,142,460.92","76,417,035.39","120,010,209.21","219,169,299.26","24,026,117.67","67,261,419.49","130,785,586.74","252,455,609.90","34,759,771.62","92,363,813.10","177,549,039.13","338,735,661.72","34,113,102.26","99,595,574.03","184,061,343.96","427,152,874.05","44,658,322.59","134,592,201.09","242,810,426.33","555,121,182.76"
投资活动产生的现金流量净额,"-5,862,986.56","14,817,709.46","-2,431,853.51","-3,452,748.18","-1,310,479.16","-1,683,061.08","-3,112,332.92","-10,047,067.67","-10,602,428.67","-11,672,083.80","-29,244,719.62","-7,950,758.51","-10,323,017.92","-19,384,443.26","-24,028,047.57","-29,506,984.00","-38,078,403.82","-50,389,412.60","-52,443,201.74","-3,008,758.00","-28,475,129.43","-28,871,341.75","-20,588,454.35"
购买商品、接受劳务支付的现金,"17,761,345.03","13,886,905.34","5,355,655.89","5,682,255.89","17,501,113.79","19,206,717.16","21,189,603.16","1,640,000.00","3,813,745.00","9,795,857.00","12,852,670.83","15,564,149.29","16,113,801.55","21,885,338.95","24,298,028.40","2,354,736.00","22,067,004.29","34,474,039.95","21,894,084.10","5,106,763.84","15,591,538.48","27,040,415.95","11,777,639.03"
吸收投资收到的现金,,"58,918,927.00",,,,,,"180,618,000.00","180,618,000.00","180,618,000.00","180,618,000.00",,,,"16,664,900.00","4,900,000.00","6,370,000.00","10,755,424.00","7,938,000.00",,"2,450,000.00","2,450,000.00","3,940,000.00"
