科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"5,028,446,053.00","6,628,650,526.00","5,959,513,520.00","7,970,518,622.00","3,859,506,555.00","6,471,284,161.00","8,761,419,298.00","2,120,725,400.00","4,484,149,280.00","7,678,461,763.00","9,588,910,416.00","2,303,046,855.00","5,039,218,853.00","8,456,684,152.00","11,220,111,597.00","2,829,703,817.00","6,777,383,764.00","10,845,416,892.00","13,694,633,522.00","3,914,779,522.00","7,997,021,015.00","12,775,373,107.00","15,986,037,989.00","3,875,413,748.00"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"23,285,581.00","23,625,535.00","12,650,873.00","100,000,000.00","221,186,562.00","364,513,413.00","366,951,786.00","3,248,300.00","199,828,209.00","201,267,953.00","419,828,209.00","724,735.00","375,808,174.00","481,712,527.00","1,086,111,703.00","3,648,485.00","1,419,551,152.00","3,714,087,831.00","1,401,073,679.00","3,396,895,945.00","3,355,538,212.00","3,172,385,225.00","3,044,783,904.00","1,526,188,910.00"
收到其他与经营活动有关的现金,"437,915,664.00","548,508,099.00","476,947,811.00","553,358,070.00","329,427,217.00","464,553,539.00","545,078,275.00","56,956,200.00","232,812,376.00","341,923,253.00","724,431,473.00","124,323,791.00","450,745,077.00","671,338,583.00","1,232,891,039.00","114,219,252.00","595,826,950.00","780,420,986.00","1,090,290,765.00","216,681,543.00","598,988,239.00","916,551,052.00","1,281,313,929.00","441,402,856.00"
投资活动现金流出小计,"720,805,887.00","1,204,049,690.00","485,182,846.00","913,143,663.00","1,580,752,034.00","2,255,657,903.00","2,919,005,741.00","641,502,700.00","2,293,597,701.00","3,456,961,157.00","5,001,023,658.00","849,057,844.00","3,287,274,310.00","4,674,892,865.00","5,971,400,205.00","724,670,894.00","2,880,718,920.00","5,854,180,599.00","3,967,517,919.00","4,595,401,786.00","4,655,769,680.00","6,179,002,687.00","7,078,210,998.00","2,338,009,078.00"
经营活动现金流入小计,"5,466,361,717.00","7,177,158,625.00","6,436,461,331.00","8,523,876,692.00","4,188,933,772.00","6,935,837,700.00","9,306,497,573.00","2,177,681,600.00","4,716,961,656.00","8,020,385,016.00","10,313,341,889.00","2,427,370,646.00","5,489,963,930.00","9,128,022,735.00","12,453,002,636.00","2,943,923,069.00","7,373,210,714.00","11,625,837,878.00","14,784,924,287.00","4,131,461,065.00","8,596,009,254.00","13,691,924,159.00","17,267,351,918.00","4,316,816,604.00"
投资活动产生的现金流量净额,"-702,878,904.00","-1,185,137,996.00","-466,749,796.00","-832,164,403.00","-1,563,329,844.00","-2,017,088,735.00","-2,404,157,376.00","-628,173,800.00","-2,264,368,291.00","-2,670,738,160.00","-3,392,560,682.00","-644,665,646.00","-2,680,614,529.00","-3,583,098,847.00","-5,091,766,369.00","212,258,883.00","-1,310,007,017.00","-2,960,609,789.00","-2,730,143,970.00","-3,207,377,003.00","-3,210,411,446.00","-4,665,332,043.00","-5,513,139,670.00","-354,701,583.00"
购买商品、接受劳务支付的现金,"3,281,230,147.00","4,299,160,804.00","3,567,540,159.00","4,894,356,485.00","2,916,734,829.00","4,344,258,113.00","5,666,924,226.00","1,207,262,800.00","2,538,256,593.00","3,847,443,687.00","5,294,864,596.00","1,242,254,808.00","2,686,639,004.00","3,766,544,795.00","5,712,566,353.00","1,647,265,724.00","3,627,807,058.00","5,792,963,711.00","7,352,775,702.00","2,186,071,288.00","4,337,764,217.00","6,926,941,877.00","9,712,083,052.00","2,377,933,201.00"
吸收投资收到的现金,,,,,,,,"1,770,625,000.00","1,754,630,200.00","1,754,630,200.00","1,754,630,200.00",,,,"14,088,200.00",,,,,"3,459,432,498.00","3,459,432,498.00","3,459,432,498.00","3,456,998,449.00",
