科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"12,959,029,768.75","17,290,343,723.52","18,834,641,816.78","787,443,207.75","3,812,877,615.62","2,349,087,421.65","10,207,281,186.08","3,647,836,140.76","1,627,194,189.48","3,210,747,764.82","86,508,675,000.00","14,164,038,000.00","15,312,992,000.00","22,540,726,000.00","453,852,133,000.00","6,189,379,000.00","11,932,677,000.00","18,565,139,000.00","744,369,916,000.00","3,832,956,000.00","10,259,570,000.00","11,845,459,000.00","894,308,981,000.00","19,308,298,000.00","30,516,443,000.00","39,168,857,000.00","490,506,396,000.00","41,777,624,000.00","43,742,792,000.00","24,335,489,000.00","707,696,130,000.00","67,904,933,000.00","405,482,000.00","469,700,000.00","1,841,489,805,000.00","62,599,406,000.00","164,779,018,000.00","207,642,635,000.00","3,714,977,795,000.00","77,367,787,000.00","179,724,939,000.00","264,144,139,000.00","3,195,637,198,000.00"
客户存款和同业存放款项净增加额,"5,299,227,217.93","6,280,660,155.62","10,872,910,841.61","3,097,275,759.59","8,272,614,028.48","14,606,931,640.60","19,612,869,780.08","8,415,693,840.59","21,436,768,479.87","32,922,110,432.72","52,715,626,000.00","3,097,469,000.00","16,434,206,000.00","20,977,803,000.00",,"9,659,288,000.00","28,530,834,000.00","30,745,055,000.00","40,354,485,000.00","7,659,471,000.00","23,358,323,000.00","42,932,557,000.00","60,644,634,000.00","46,775,324,000.00","60,108,400,000.00","62,315,247,000.00","104,102,078,000.00","47,098,212,000.00","42,559,109,000.00","47,884,035,000.00","59,584,332,000.00","38,283,168,000.00","58,422,840,000.00","31,668,168,000.00","46,288,142,000.00","104,857,978,000.00","158,488,864,000.00","124,651,871,000.00","141,847,059,000.00","19,814,675,000.00","31,404,849,000.00","31,422,744,000.00","53,376,188,000.00"
取得投资收益收到的现金,"511,114,781.31","697,310,370.54","421,227,508.86","451,991,246.00","141,197,371.33","357,311,276.70","666,699,857.53","68,126,647.60","216,802,121.85","483,080,670.32","660,906,000.00","83,828,000.00","228,094,000.00","506,668,000.00","1,346,903,000.00","76,043,000.00","197,395,000.00","181,242,000.00","1,838,602,000.00","645,391,000.00","1,407,677,000.00","2,308,626,000.00","2,652,051,000.00","1,528,611,000.00","3,174,918,000.00","5,001,232,000.00","5,736,879,000.00","2,248,433,000.00","4,828,272,000.00","7,528,618,000.00","10,277,215,000.00","3,483,467,000.00","7,031,549,000.00","11,145,807,000.00","15,070,243,000.00","4,334,398,000.00","8,216,803,000.00","12,822,367,000.00","37,231,350,000.00","4,621,515,000.00","8,845,287,000.00","12,914,882,000.00","21,433,806,000.00"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000.00",,,,,,,,"1,700,000,000.00","4,000,000,000.00","5,800,000,000.00",,"24,300,000,000.00","1,500,000,000.00",,,
收到其他与投资活动有关的现金,"6,076,000.00","6,005,680.92","7,173,425.31","1,204,124.21","19,789,917.40","74,875,693.40","3,624,100.56","71,702,366.97","105,574,322.13","10,551,400.70","258,000.00",,"242,411,000.00","294,425,000.00","411,447,000.00","164,401,000.00","215,836,000.00","241,021,000.00","270,083,000.00","259,000.00","22,232,000.00","31,175,000.00","150,204,000.00","166,000.00","595,000.00","758,000.00","14,119,000.00","107,000.00","1,154,000.00","3,419,000.00","17,045,000.00","-156,000.00","373,000.00","377,000.00","1,510,000.00","82,397,000.00","3,000.00","245,000.00","617,000.00",,"81,821,000.00",,"203,944,000.00"
向其他金融机构拆入资金净增加额,"4,961,407,300.94","9,424,917,386.13","5,879,583,491.96","3,375,952,695.45","2,535,150,925.88","7,315,852,623.54","2,386,619,732.94","4,960,141,618.00",,"2,630,087,745.63",,,,,"61,391,075,000.00",,,"9,176,850,000.00",,,,,"8,404,464,000.00",,,"1,420,255,000.00",,,"11,225,444,000.00","19,845,175,000.00","13,906,254,000.00",,,,"8,572,397,000.00","6,625,626,000.00",,"12,831,462,000.00","2,817,143,000.00","8,958,769,000.00",,,"29,961,600,000.00"
投资活动现金流入小计,"13,476,220,550.06","17,993,659,774.98","19,263,042,750.95","1,240,638,577.96","3,973,864,904.35","2,781,274,391.75","10,877,605,144.17","3,787,665,155.33","1,949,570,633.46","3,704,379,835.84","87,169,839,000.00","14,247,866,000.00","15,783,497,000.00","23,341,820,000.00","455,610,483,000.00","6,429,823,000.00","12,345,908,000.00","18,987,402,000.00","746,478,601,000.00","4,478,606,000.00","11,689,479,000.00","14,185,260,000.00","897,111,236,000.00","20,837,075,000.00","33,691,956,000.00","44,170,847,000.00","496,257,394,000.00","44,026,164,000.00","48,572,218,000.00","31,867,526,000.00","717,990,390,000.00","71,388,244,000.00","7,437,404,000.00","11,615,884,000.00","1,856,561,558,000.00","67,016,201,000.00","172,995,824,000.00","220,465,247,000.00","3,752,209,762,000.00","81,989,302,000.00","188,652,047,000.00","277,059,021,000.00","3,217,274,948,000.00"
收取利息、手续费及佣金的现金,"1,193,216,930.63","1,897,015,397.24","2,797,823,243.09","967,545,240.93","2,139,533,418.31","3,537,287,953.81","4,639,636,214.83","1,068,454,833.61","2,180,717,916.19","3,470,264,776.36","5,025,257,000.00","1,600,734,000.00","3,515,343,000.00","5,846,313,000.00","8,143,598,000.00","2,835,630,000.00","6,571,685,000.00","10,467,607,000.00","13,227,599,000.00","3,755,925,000.00","7,344,969,000.00","11,134,080,000.00","15,520,228,000.00","4,902,447,000.00","9,086,069,000.00","13,485,641,000.00","18,104,020,000.00","4,923,682,000.00","10,000,657,000.00","14,751,501,000.00","19,877,814,000.00","4,975,599,000.00","10,756,160,000.00","16,500,906,000.00","22,144,156,000.00","5,971,060,000.00","11,779,304,000.00","17,577,836,000.00","23,080,931,000.00","6,206,899,000.00","12,784,458,000.00","19,215,252,000.00","27,080,750,000.00"
投资支付的现金,"16,479,734,664.08","20,475,061,954.44","20,475,061,954.44","319,884,500.00","3,729,983,748.00","2,200,925,646.00","11,820,327,773.80","4,046,768,590.92","945,324,458.27","10,860,940,718.27","109,314,442,000.00","15,175,451,000.00","16,655,700,000.00","21,796,379,000.00","447,799,498,000.00","10,306,433,000.00","20,943,738,000.00","32,547,117,000.00","758,338,372,000.00","16,119,489,000.00","27,292,249,000.00","47,530,477,000.00","944,094,716,000.00","53,670,063,000.00","72,276,723,000.00","86,650,150,000.00","536,373,316,000.00","86,531,455,000.00","86,482,372,000.00","86,500,307,000.00","779,485,868,000.00","86,622,983,000.00","103,769,517,000.00","102,740,679,000.00","1,986,626,267,000.00","126,856,306,000.00","231,504,866,000.00","276,211,863,000.00","3,797,323,274,000.00","119,836,036,000.00","230,028,215,000.00","318,331,059,000.00","3,296,144,269,000.00"
