科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付其他与筹资活动有关的现金,,,,,,"3,855,000.00",,,,"1,769,000.00",,"118,749.78","118,749.78",,,,,,,"180,751.99","1,210,751.99",,,"1,750.00","1,750.00",,,,,"338,600.00",,,,"11,065,000.00",,"3,000,000.00","3,000,000.00","14,226,038.18","150,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"1,423,894.11","1,423,894.11",,,,"6,118,132.99","916,200.00","2,560,700.00","2,357,412.33",,"52,286.57","53,055.77","53,073.88",,
筹资活动现金流出小计,"37,766,635.47","56,059,975.33","62,186,944.19","15,172,827.24","30,862,073.21","40,286,643.22","9,460,318.19","58,808,290.03","58,808,290.03","51,739,222.83",,"18,248,677.04","18,248,677.04","20,000,000.00",,"9,434,753.31","9,434,753.31","10,000,000.00",,"20,421,977.49","24,009,607.35","26,838,086.18","18,982,370.69","189,900,653.32","300,176,229.64","303,031,786.66","42,062,881.58","142,410,195.93","210,330,752.02","304,599,838.75","4,804,041.99","176,471,592.16","410,344,129.82","496,327,294.10","59,777,928.72","70,658,319.53","97,912,114.72","322,096,765.38","138,413,998.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,"89,220.00",,,,,,,,,"15,000,000.00",,,,,,,,,,,"8,029.62",,,,,
筹资活动产生的现金流量净额,"27,033,364.53","-10,259,975.33","1,713,055.81","-6,272,827.24","3,037,926.79","475,173,356.78","-560,318.19","-49,908,290.03","-49,908,290.03","-51,739,222.83",,"-18,248,677.04","-18,248,677.04","-20,000,000.00",,"-9,434,753.31","-9,434,753.31","-10,000,000.00","13,777,070.00","610,146,639.83","631,989,794.97","660,805,997.48","-1,982,370.69","-23,900,653.32","-131,176,229.64","-77,233,439.99","-13,062,881.58","29,589,804.07","178,174,708.02","1,212,924,377.25","30,195,958.01","-141,471,592.16","-353,344,129.82","-232,581,494.10","195,522,071.28","187,141,680.47","159,887,885.28","-28,786,765.38","18,366,002.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,"14,393,264.28",,"15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,,"2,560,000.00",,,,,
四、汇率变动对现金的影响,,,,,,,,,,-3.78,,,,,,,,,,,,"-290,160.00",,"-2,553,600.00",,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"43,411,548.11","5,283,469.05","6,000,000.00",,,,,,,,,"5,000,000.00","70,000,000.00","182,992,144.18","88,000,000.00","88,000,000.00","88,000,000.00","82,539,562.17","40,334,404.02","40,334,404.02","40,334,404.02","46,645,282.15","52,194,208.49","222,811,496.54","423,805,240.93","423,143,074.01","61,730,354.89","203,000,667.89","312,639,240.10","343,290,719.81","262,108,401.10","741,376,488.55","1,436,654,976.04","845,340,942.00","188,033,368.78","352,457,960.48","352,458,029.02","221,253,054.89",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"43,411,548.11","5,283,469.05","6,000,000.00",,,,,,,,,"5,000,000.00","70,000,000.00","183,081,364.18","88,000,000.00","88,000,000.00","88,000,000.00","82,539,562.17","40,334,404.02","40,334,404.02","40,334,404.02","61,038,546.43","67,194,208.49","237,811,496.54","441,619,135.04","439,566,968.12","61,730,354.89","203,000,667.89","312,639,240.10","349,408,852.80","263,024,601.10","745,937,188.55","1,439,012,388.37","847,908,971.62","188,085,655.35","352,511,016.25","352,511,102.90","221,253,054.89",
五、现金及现金等价物净增加额,"21,209,798.82","27,632,643.57","21,820,465.42","-18,767,772.13","-27,609,052.32","494,570,116.32","-20,929,157.90","-109,579,646.23","-126,078,955.12","-287,340,105.35","-191,226,642.90","-35,847,590.57","-148,411,005.73","-82,369,633.48","-31,056,215.57","-30,098,235.34","-60,829,686.81","-15,353,145.75","-57,672,881.70","403,966,072.18","-5,819,199.51","150,153,182.34","-148,063,437.94","-58,354,738.54","-235,090,764.28","-32,926,986.39","-124,988,263.17","-91,958,996.52","169,668,408.47","278,655,388.42","7,384,319.06","-166,739,838.26","-491,970,510.25","-290,850,221.90","-131,810,349.66","-214,265,356.41","-228,519,547.85","-156,374,779.68","-71,849,600.85"
购建固定资产、无形资产和其他长期资产支付的现金,"3,046,858.44","8,623,552.90","15,344,555.55","6,050,448.74","7,250,448.74","16,893,021.54","4,075,346.00","6,490,395.00","38,419,410.56","52,470,388.98","1,694,330.68","10,508,031.72","28,792,322.62","62,105,003.60","20,445,122.80","29,768,755.80","41,296,533.85","72,003,150.07","19,745,888.00","52,516,744.79","65,706,089.56","103,248,819.69","23,069,227.27","47,625,608.06","79,119,279.86","131,330,847.55","29,824,660.98","108,161,732.57","166,467,165.02","124,338,712.57","16,557,554.53","40,528,445.38","59,247,589.05","100,774,341.57","20,707,614.82","28,806,518.40","34,539,145.12","44,511,766.72","7,836,877.50"
期初现金及现金等价物余额,"6,330,683.06","27,540,481.88","55,173,125.45","76,993,590.87","76,993,590.87","76,993,590.87","571,563,707.19","571,563,707.19","571,563,707.19","571,563,707.19","459,223,601.84","284,223,601.84","284,849,054.17","284,223,601.84","201,853,968.36","201,853,968.36","201,853,968.36","201,853,968.36","186,500,822.61","186,500,822.61","186,500,822.61","186,500,822.61","336,654,004.95","336,654,004.95","336,654,004.95","336,654,004.95","303,727,018.56","303,727,018.56","303,727,018.56","303,727,018.56","582,382,406.98","582,382,406.98","582,382,406.98","582,382,406.98","291,532,185.08","291,532,185.08","291,532,185.08","291,532,185.08","135,157,405.40"
投资支付的现金,,,,,,,,,,,,,"159,452,000.00","42,930,000.00",,,,,,,"89,700,000.00","91,700,000.00",,,,,,,"11,505,460.04",,"18,900,000.00","20,860,000.00","86,333,759.00","36,860,000.00",,,,,
期末现金及现金等价物余额,"27,540,481.88","55,173,125.45","76,993,590.87","58,225,818.74","49,384,538.55","571,563,707.19","550,634,549.29","461,984,060.96","445,484,752.07","284,223,601.84","267,996,958.94","248,376,011.27","136,438,048.44","201,853,968.36","170,797,752.79","171,755,733.02","141,024,281.55","186,500,822.61","128,827,940.91","590,466,894.79","180,681,623.10","336,654,004.95","188,590,567.01","278,299,266.41","101,563,240.67","303,727,018.56","178,738,755.39","211,768,022.04","473,395,427.03","582,382,406.98","589,766,726.04","415,642,568.72","90,411,896.73","291,532,185.08","159,721,835.42","77,266,828.67","63,012,637.23","135,157,405.40","63,307,804.55"
