科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,646,278.19","4,922,771.55","11,260,565.52","17,924,696.34","5,140,738.83","10,565,947.81","28,064,945.02","50,220,351.74","9,469,343.22","20,315,490.90","34,485,546.62","52,977,588.59","17,156,086.56","47,306,442.49","53,445,014.27","96,470,985.37","17,463,750.03","55,861,666.92","113,070,164.73","174,501,387.12","67,581,771.71","170,039,594.28","233,528,003.73","297,863,439.46","30,787,838.66","48,602,375.35","59,871,543.77","91,420,707.00","16,626,692.96","46,100,098.44","100,665,029.33","160,877,006.90","66,875,745.22","77,520,905.38","108,644,573.85","167,383,001.99","40,813,533.42","93,944,850.85","148,810,666.76","207,075,242.78","34,453,408.85","72,978,847.76","117,183,698.37","167,390,879.08","73,434,748.70","59,299,451.15"
三、利润总额,"21,578,047.16","88,889,384.14","100,418,670.91","67,246,296.56","8,890,863.79","76,224,467.99","82,358,483.84","45,987,962.52","-15,387,549.35","37,832,372.58","58,285,640.96","112,625,818.90","35,595,995.50","102,234,916.05","144,358,377.89","167,650,179.00","50,935,545.92","51,177,540.91","94,370,926.33","-78,006,820.91","-149,169,602.84","-438,991,867.37","-704,548,067.59","-1,239,549,423.00","51,201,742.97","194,228,842.67","237,415,867.05","197,540,994.98","45,382,313.88","42,720,561.01","39,482,316.92","72,197,342.52","-87,356,409.15","-21,612,933.25","20,433,385.48","195,650,868.34","45,651,738.33","94,722,438.42","98,499,746.77","250,066,381.42","-129,497,867.79","-200,732,691.50","-239,277,525.08","-320,663,540.65","-135,935,322.32","-149,939,422.41"
资产减值损失,,"869,249.79","396,626.70","54,356,444.33","-66,303.84","881,349.11","1,110,036.69","33,137,888.40","-180,145.51","1,609,263.40","1,626,597.73","13,781,293.29","-74,151.87","85,325.78","47,690.78","37,969,246.34","-80,138.87","26,400.45","-2,365,929.50","63,679,784.26",,"36,179,549.08","171,866,260.82","226,535,226.85",,"6,396,144.98","6,571,005.48","10,467,206.98","-148,605.87","4,464,384.83","3,693,858.54","257,912,422.36","-574,704.14","8,365,511.42","8,031,867.37","90,377,406.64","-809,364.60","64,496,101.41","49,356,318.91","74,631,852.29","19,402,155.75","19,467,541.05","17,829,370.26","180,991,161.39","795,205.59","16,936,890.64"
减:所得税,"1,213,510.24","8,867,320.37","10,928,044.52","10,174,044.50","1,467,291.06","2,807,629.76","5,469,648.57","9,238,833.01","1,354,753.85","5,729,227.48","9,576,626.52","18,833,608.69","4,539,990.37","15,262,826.99","23,607,368.78","33,983,668.52","15,551,217.69","25,000,349.59","32,595,258.78","31,120,382.85","362,634.43","-784,116.93","345,172.35","1,869,336.50","926,551.97","2,079,859.43","3,052,192.52","9,979,868.44","1,692,491.56","4,170,209.61","7,610,067.28","24,211,613.78","2,482,099.38","-385,510.95","1,411,737.53","15,477,595.94","2,671,050.29","5,244,708.60","9,926,534.90","36,804,798.94","641,794.33","8,854,882.34","13,683,269.27","27,624,424.78","3,538,671.68","20,189,024.11"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"277,238.00","2,247,987.20","-6,406,563.67"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"21,671,553.70","81,981,437.69","105,383,942.57","129,780,192.62","7,430,550.81","50,619,090.97","61,284,664.01","76,179,001.12","4,980,533.75","38,286,382.32","56,994,102.14","141,787,534.63","25,935,277.66","117,253,599.63","205,344,130.68","304,825,874.28","165,759,567.58","279,665,037.93","377,276,679.48","400,166,291.89","14,946,956.49","39,312,508.48","56,628,251.74","79,210,079.52","64,330,724.80","147,435,101.78","176,394,133.62","209,553,076.45","47,569,513.02","73,793,082.87","100,150,796.49","212,995,676.42","18,781,435.58","85,818,058.27","130,736,657.94","254,143,446.05","58,435,240.84","78,669,778.79","87,577,006.89","331,141,344.88","2,002,842.08","2,829,453.63","3,401,679.51","217,989,151.58","3,555,891.97","6,213,930.16"
四、净利润,"20,364,536.92","80,022,063.77","89,490,626.39","57,072,252.06","7,423,572.73","73,416,838.23","76,888,835.27","36,749,129.51","-16,742,303.20","32,103,145.10","48,709,014.44","93,792,210.21","31,056,005.13","86,972,089.06","120,751,009.11","133,666,510.48","35,384,328.23","26,177,191.32","61,775,667.55","-109,127,203.76","-149,532,237.27","-438,207,750.44","-704,893,239.94","-1,241,418,759.50","50,275,191.00","192,148,983.24","234,363,674.53","187,561,126.54","43,689,822.32","38,550,351.40","31,872,249.64","47,985,728.74","-89,838,508.53","-21,227,422.30","19,021,647.95","180,173,272.40","42,980,688.04","89,477,729.82","88,573,211.87","213,261,582.48","-130,139,662.12","-209,587,573.84","-252,960,794.35","-348,287,965.43","-139,473,994.00","-170,128,446.52"
其中:对联营企业和合营企业的投资权益,"18,131,177.88","15,838,356.62","23,399,550.77","89,120,869.34","7,430,550.81","31,455,276.34","43,672,290.82","56,747,911.84","4,980,533.75","27,862,952.22","46,570,672.06","62,533,702.24","25,935,277.66","48,718,196.74","69,815,301.60","94,357,447.85","28,031,794.36","57,183,883.46","75,859,903.10","97,620,346.97","11,142,420.49","31,862,626.04","49,178,369.31","68,150,992.96","12,703,469.14","39,272,167.27","65,991,927.60","83,703,345.81","25,544,914.95","51,253,241.20","72,545,832.08","102,924,688.57","17,172,815.96","36,452,989.65","46,429,059.87","61,071,149.09","-1,243,359.90","-710,577.12","-1,765,561.00","-5,512,570.15","419,049.38","366,570.65","938,796.53","-869,084.78","3,508,891.97","3,840,104.88"
归属于母公司所有者的净利润,"14,571,373.37","68,478,831.67","77,439,788.79","54,135,320.72","4,970,488.57","58,600,099.86","59,267,901.05","29,483,372.96","-17,233,859.32","15,938,182.89","21,251,231.26","77,482,391.20","13,708,334.04","69,429,453.48","110,713,714.80","138,554,590.81","60,196,797.03","74,478,696.22","137,787,415.72","14,791,489.79","-110,001,348.77","-301,758,825.74","-470,215,933.53","-889,259,651.34","49,506,092.94","170,494,586.68","200,365,092.36","144,255,216.03","42,896,081.88","33,939,835.90","36,206,011.96","22,393,156.89","-86,247,732.68","-18,034,086.80","23,221,282.44","172,615,475.77","46,348,316.26","96,372,152.41","93,470,235.97","202,086,074.08","-125,572,932.51","-198,522,547.78","-243,992,705.66","-309,103,270.66","-134,573,569.02","-174,662,709.20"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"5,793,163.55","11,543,232.10","12,050,837.60","2,936,931.34","2,453,084.16","14,816,738.37","17,620,934.22","7,265,756.55","491,556.12","16,164,962.21","27,457,783.18","16,309,819.01","17,347,671.09","17,542,635.58","10,037,294.31","-4,888,080.33","-24,812,468.80","-48,301,504.90","-76,011,748.17","-123,918,693.55","-39,530,888.50","-136,448,924.70","-234,677,306.41","-352,159,108.16","769,098.06","21,654,396.56","33,998,582.17","43,305,910.51","793,740.44","4,610,515.50","-4,333,762.32","25,592,571.85","-3,590,775.85","-3,193,335.50","-4,199,634.49","7,557,796.63","-3,367,628.22","-6,894,422.59","-4,897,024.10","11,175,508.40","-4,566,729.61","-11,065,026.06","-8,968,088.69","-39,184,694.77","-4,900,424.98","4,534,262.68"
