科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
其他应收款,"215,167,683.90","229,597,789.84","211,180,594.25","159,664,575.29","122,163,059.13","175,597,653.82","160,969,733.08","160,568,680.12","152,074,712.80","188,183,192.46","204,543,417.82","295,000,344.13","294,980,087.45","368,496,482.35","380,801,062.43","230,815,251.72","265,065,106.16","205,145,083.48","237,325,212.17","189,124,218.75","218,919,318.17","214,264,103.60","220,513,155.07","213,521,784.49","216,386,392.62","272,920,398.76","236,408,689.62","167,452,340.58","220,993,007.05","194,423,245.90","200,123,570.75","152,223,172.55","183,161,505.07","195,692,441.98","175,950,537.95","219,090,302.14","242,741,237.65","159,147,944.70","168,499,520.55","182,306,739.12","217,077,619.40","234,076,856.33","205,125,951.54","116,884,315.49"
应付职工薪酬,"30,627,804.56","41,905,646.43","41,404,922.78","33,538,104.35","35,070,260.33","34,683,601.10","35,171,636.27","41,014,708.65","46,272,610.27","49,455,597.96","49,140,185.60","73,786,522.13","72,078,721.18","94,028,749.06","72,543,192.45","29,257,525.86","28,185,076.13","29,390,509.78","25,993,344.49","33,935,995.59","28,768,541.67","24,931,241.13","20,629,883.89","34,428,139.19","32,453,563.36","29,595,588.12","29,126,334.91","43,320,150.62","51,669,361.34","40,389,409.32","35,381,662.78","51,592,081.54","47,333,131.80","45,241,855.77","42,292,842.12","59,578,824.11","52,755,915.20","43,874,550.46","40,948,109.93","59,815,503.79","47,186,916.64","44,551,447.02","41,562,638.67","61,440,134.56"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"50,811,066.03","55,792,238.39","54,328,182.65","58,997,487.06","57,916,230.46","56,261,091.20","54,828,284.12","56,672,585.18","57,643,696.75","57,810,238.43","58,498,346.88","60,521,498.86","59,978,977.35","63,078,117.90","61,434,418.04","43,419,225.07","40,556,874.49","42,678,582.92","42,737,600.99","38,512,524.84","37,810,703.41","38,430,224.91","42,085,876.18","42,733,044.05","41,122,658.32","39,567,767.90","36,577,067.12","35,964,426.67","44,071,390.57","43,314,739.76","39,553,086.49","31,453,696.40","28,190,230.55","36,362,237.41","41,772,720.20","43,182,735.10","40,624,560.69","37,094,353.16","34,530,324.33","51,512,495.28","52,872,864.58","43,812,311.78","33,201,318.49","61,885,581.87"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,"8,521,575.34","11,583,467.12","1,228,365.28","1,467,304.17",,,,,,,,,,,,,,,,,
应付利息,"3,401,289.87",,,"12,050,836.71","13,289,494.75","15,476,609.88","17,431,927.53","11,353,267.52","14,194,787.98","11,796,793.72","11,439,982.48","23,987,897.83","23,708,580.87","23,086,251.65","23,086,251.65","28,303,835.52","27,881,610.08","38,188,504.66","42,999,540.53","51,457,855.41","1,549,188.88","6,958,633.32","12,427,522.21","18,558,821.26","1,887,011.10","7,374,455.56","13,119,594.45","20,346,889.14","1,119,350.00","3,793,844.46","22,523,554.12","42,616,962.05","61,103,600.01","3,714,711.10","23,188,044.45","42,426,768.71","60,958,184.05","3,911,767.07","22,697,625.56","43,140,775.30","60,970,256.96","3,530,348.70","22,715,156.59","43,284,907.70"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,"795,922.65","795,922.65","795,922.65","795,922.65","796,146.60","796,146.60","796,146.60","796,146.60","796,146.60","796,146.60","796,146.60","796,146.60",,,,,,,,,"904,400.00","904,400.00","49,577,278.03","904,400.00","1,400,900.00","1,400,900.00","1,400,900.00","719,900.00","1,392,780.00","1,392,780.00","1,392,780.00","1,462,880.00","1,503,000.00","1,503,000.00","1,503,000.00","1,503,000.00","1,503,000.00","1,503,000.00","1,503,000.00","1,503,000.00","1,503,000.00"
存货,"280,408,755.87","277,120,060.36","296,984,047.75","398,705,635.76","422,560,581.18","390,584,405.37","402,859,936.56","400,174,740.64","368,266,630.05","338,474,482.55","400,961,531.46","503,185,990.88","492,143,769.47","419,791,538.66","437,007,877.41","320,192,854.63","289,860,542.38","254,308,667.81","311,467,959.69","421,211,351.78","340,885,664.76","377,619,647.02","478,369,036.44","476,435,158.68","401,470,816.22","431,127,638.25","541,223,761.54","667,336,070.62","510,057,867.49","563,252,305.46","810,961,581.71","854,129,952.17","699,652,166.33","622,918,801.61","699,875,395.00","835,260,497.39","787,009,577.82","624,831,143.76","539,631,671.72","774,386,268.97","722,550,741.14","635,656,776.20","736,062,534.88","872,982,832.50"
其他应付款,"263,551,383.95","441,274,465.71","577,333,912.21","319,240,568.60","311,678,174.75","327,301,638.24","336,479,187.24","297,971,801.37","232,319,570.08","200,002,088.97","208,896,079.79","582,728,181.81","562,036,237.37","519,954,425.50","509,262,851.78","671,594,249.97","602,905,858.20","463,386,647.42","518,641,988.95","425,980,539.62","413,522,322.15","385,722,948.81","391,707,404.54","575,415,580.89","500,763,752.40","467,197,930.37","499,063,741.37","448,628,507.99","986,766,393.39","659,836,620.38","640,737,745.08","442,224,286.06","420,410,654.29","376,719,957.92","363,140,418.43","469,540,251.40","447,051,352.28","640,744,542.65","458,824,538.96","510,971,415.88","505,816,429.42","474,808,700.54","449,548,539.54","396,524,524.55"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"282,680,000.00","282,680,000.00","273,130,000.00","269,043,729.07","269,043,729.07","269,043,729.07","223,502,291.88","175,228,727.44","98,710,000.00","99,803,729.07","99,803,729.07","130,383,729.07","130,383,729.07","130,383,729.07","129,290,000.00","26,680,000.00","26,680,000.00","26,680,000.00","26,680,000.00","26,280,000.00",,,,,,"397,354,757.84","398,841,784.74","399,476,045.47",,,,"2,000,000.00","2,000,000.00",,,"58,500,000.00","36,500,000.00","35,000,000.00","30,000,000.00","33,550,000.00","33,550,000.00","31,550,000.00","31,550,000.00","77,110,000.00"
其他流动资产,"1,720,862.80","1,931,639.39","7,731,626.02","39,134.16","39,134.16","39,134.16","39,134.16","44,830.16","177,502.18","36,884.30","49,761.01","72,924.75","59,924.75","47,544.75","34,544.75",,,,,,"96,020.65",,,,,"100,000,000.00","60,000,000.00","30,000,000.00",,"100,000,000.00","480,000,000.00","363,000,000.00","383,000,000.00","210,000,000.00","210,000,000.00","317,542,894.14","353,984,186.86","2,927,663.18","3,528,266.13","17,155,932.65","19,337,954.23","9,327,399.02","4,598,632.40","24,504,765.99"
其他流动负债,"35,134,082.50","41,076,368.01","17,879,342.77","1,190,995.78","3,532,868.63","3,468,290.85","1,416,068.37","1,388,199.94","1,506,882.56","1,439,523.98","1,767,174.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"826,577,758.39","924,128,212.19","983,612,650.08","1,053,744,499.31","1,103,193,455.10","1,083,144,541.63","1,084,863,969.03","1,048,586,635.63","1,029,093,313.79","1,005,341,915.13","1,186,268,451.87","1,713,345,060.88","1,723,281,464.06","1,838,884,366.91","1,783,878,008.74","1,287,501,352.04","1,391,690,957.82","1,241,162,085.27","1,422,774,126.31","1,450,433,165.70","1,421,679,976.27","2,535,029,630.55","2,695,039,853.40","2,870,926,445.39","2,909,212,056.40","2,757,338,916.37","2,837,964,684.28","2,766,883,014.77","2,638,445,034.30","3,507,456,425.64","3,243,168,083.12","3,153,527,391.29","3,093,610,167.68","3,021,422,872.64","3,050,381,755.24","3,262,458,376.82","3,293,596,750.21","2,535,667,275.01","2,553,385,651.50","2,779,410,300.10","2,940,186,963.45","2,866,357,977.01","3,042,098,771.83","3,246,790,988.11"
流动负债合计,"1,372,229,368.59","1,432,539,416.05","1,491,202,511.21","1,287,046,754.53","1,306,679,673.25","1,259,177,277.13","1,244,647,667.43","1,181,677,781.35","1,134,360,974.72","1,092,370,667.27","1,245,920,415.84","1,785,781,378.66","1,764,390,993.72","1,801,556,252.91","1,728,959,295.44","1,505,103,151.89","1,187,461,358.91","985,333,192.10","1,123,923,710.06","1,184,491,440.31","1,017,537,647.20","975,288,605.73","1,042,558,374.98","1,267,797,798.47","1,194,582,915.22","1,496,860,820.07","1,502,588,380.83","1,626,283,680.92","1,930,822,250.29","1,648,067,517.24","1,304,118,422.91","1,346,522,451.39","1,254,986,911.05","1,099,841,267.14","1,109,265,009.58","1,444,607,341.60","1,390,648,400.80","1,430,078,524.91","1,412,353,552.56","1,660,669,014.15","1,659,001,678.31","1,549,585,848.95","1,606,401,560.96","1,784,326,993.19"
可供出售金融资产,,,,,,,,,,,,"404,487,000.00","347,829,000.00","259,647,000.00","261,777,000.00","247,719,000.00","252,831,000.00","252,831,000.00","226,206,000.00","183,819,000.00","182,115,000.00","240,903,000.00","203,415,000.00","190,209,000.00","183,606,000.00","163,371,000.00","192,126,000.00","211,509,000.00","178,281,000.00","182,115,000.00","229,144,500.00","479,419,500.00","466,213,500.00","358,996,845.00","269,935,039.52","361,489,801.80","311,386,998.82","266,330,521.32","264,528,262.22","257,002,147.66","223,840,580.22","202,213,471.02","209,782,959.24","166,889,192.66"
长期借款,"43,575,547.67","43,575,547.67","43,575,547.67","19,861,818.60","19,861,818.60","19,861,818.60","19,861,818.60","19,861,818.60","20,955,547.67","19,861,818.60","19,861,818.60","28,861,818.60","26,457,618.60","26,457,618.60","26,457,618.60","26,457,618.60","26,457,618.60","25,957,618.60","25,957,618.60","25,348,506.60","25,348,506.60","25,348,506.60","24,648,506.60","24,239,394.60","74,239,394.60","71,239,394.60","71,239,394.60","71,649,780.98","146,649,780.98","106,649,780.98","106,649,780.98","134,069,401.05","134,069,401.05","133,069,401.05","129,569,401.05","67,546,136.08","107,546,136.08","105,546,136.08","112,046,136.08","64,996,136.08","164,996,136.08","164,996,136.08","224,996,136.08","190,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,"400,000,000.00","385,759,273.53","387,025,725.43","389,026,319.54","390,352,973.88","391,702,599.61","393,090,682.34","394,503,064.23","395,908,929.20",,,,,"1,189,067,873.33","1,189,587,093.22","1,190,119,649.81","1,190,610,644.57","1,191,098,928.21","1,191,584,366.85","1,192,282,155.69","1,192,843,654.57","1,193,420,636.34","1,194,007,187.47","1,194,462,221.39","1,195,053,016.59","1,194,294,273.62","1,194,917,179.61","1,195,557,401.21"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,"25,000,000.00","25,000,000.00","20,000,000.00","15,000,000.00","15,000,000.00",,,,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,,,,,,,,,,,,,,,,
长期股权投资,"111,971,399.72","113,531,399.72","113,606,399.72","89,902,440.00","89,902,440.00","89,902,440.00","89,902,440.00","89,902,440.00","89,902,440.00","89,902,440.00","89,902,440.00","35,876,902.83","35,876,902.83","5,269,615.98","8,055,115.98","6,933,416.50","6,933,416.50","5,668,344.64","4,642,500.00","11,628,567.47","11,628,567.47","11,532,863.74","11,496,263.33","11,088,866.77","11,088,866.77","14,589,064.42","14,370,210.92","14,292,095.35","14,159,596.20","14,881,277.37","10,108,068.35","7,449,500.36",,,,,,,,,,,,
专项应付款,"24,417,500.00","24,417,500.00","24,525,000.00",,,,,,,,,,,,,"1,538,470.00","2,508,470.00","2,508,470.00","2,508,470.00","2,558,470.00","2,508,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00","2,558,470.00"
投资性房地产,"112,105,937.03","111,407,928.93","110,709,920.83","65,502,107.80","65,082,720.35","64,663,332.89","64,243,945.43","63,824,557.97","63,405,170.51","62,985,783.05","62,566,395.59","67,658,936.84","67,194,135.48","66,820,161.94","66,400,774.48","65,828,355.99","65,370,710.77","59,630,683.37","59,211,295.91","58,791,908.45","58,372,520.99","57,953,133.53","57,533,746.07","57,114,358.61","56,694,971.15","56,275,583.69","55,856,196.23","56,630,908.77","56,451,900.26","56,023,915.31","55,595,930.36","112,976,586.95","117,398,456.30","109,357,580.50","107,548,077.27","100,889,337.44","100,102,590.88","99,682,590.28","99,864,479.11","87,828,541.40","86,916,884.53","85,978,164.98","88,530,118.11","84,568,204.16"
预计负债,,,,,,,,,,,,,,,,,,,"89,574,816.67","89,574,816.67","89,574,816.67","89,574,816.67",,,,,,,,,,,,,,,,,,,,,,
固定资产,"826,803,871.54","798,952,800.54","801,738,228.39","833,836,088.61","818,791,604.21","806,097,879.26","787,957,728.20","805,400,593.53","789,161,625.66","775,779,632.26","764,264,112.21","872,079,197.32","870,142,144.14","842,760,257.42","804,981,415.73","502,795,363.72","493,377,013.78","483,865,722.04","499,324,357.47","558,632,031.34","553,720,296.79","538,188,249.44","542,995,705.93","588,139,721.40","582,556,469.27","620,567,766.89","652,419,795.12","818,775,439.78","865,964,262.24","862,507,090.14","878,635,668.60","1,403,474,942.04","1,401,025,302.51","1,395,378,548.88","1,379,357,268.13","1,432,995,131.36","1,412,455,951.96","1,303,993,749.69","1,284,370,902.81","1,347,864,220.79","1,326,330,645.54","1,305,321,997.40","1,282,701,411.78","1,333,937,862.89"
递延所得税负债,,,,"19,057.50","27,945.00",,,,,,,"84,621,750.00","70,457,250.00","48,411,750.00","65,444,250.00","45,429,750.00","46,660,520.74","46,707,750.00","40,051,500.00","29,454,750.00","29,028,750.00","43,725,750.00","34,353,750.00","31,052,250.00","29,401,500.00","24,342,750.00","31,531,500.00","36,377,250.00","28,070,250.00","29,028,750.00","39,625,500.00","102,194,250.00","98,892,750.00","78,157,349.74","55,877,965.72","80,328,608.60","67,782,819.65","54,961,378.24","54,510,813.47","53,730,270.57","45,439,878.71","40,003,281.79","41,880,744.02","31,142,392.55"
在建工程,"148,893,577.92","159,684,138.76","165,416,871.09","97,054,612.79","98,851,054.27","103,443,301.92","129,457,618.84","100,268,090.92","104,588,319.21","109,613,647.70","111,144,089.52","133,873,958.50","142,887,333.51","136,686,270.86","158,573,934.35","33,416,665.35","36,064,083.22","70,748,991.23","87,658,204.03","88,621,308.49","94,242,026.67","126,064,290.90","143,069,682.26","290,204,769.38","329,224,928.01","338,722,339.94","353,495,151.23","472,450,727.66","487,892,658.82","520,848,416.85","505,605,189.73","99,764,231.98","100,948,296.39","112,026,165.53","112,634,854.26","81,799,463.29","91,845,909.23","99,003,367.25","108,290,016.68","85,526,358.48","88,440,504.23","102,396,722.84","111,114,206.92","37,732,342.14"
其他非流动负债,,,,"42,830,000.00","42,880,000.00","42,880,000.00","38,550,000.00","35,090,000.00","35,090,000.00","35,090,000.00","35,090,000.00","35,860,000.00","35,944,900.00","35,990,000.00","35,990,000.00","19,540,000.00","19,540,000.00","19,540,000.00","19,540,000.00","17,420,000.00","17,420,000.00","17,420,000.00","17,420,000.00","32,820,000.00","49,905,000.00","48,990,000.00","48,075,000.00","52,460,000.00","51,545,000.00","52,786,000.00","52,771,000.00",,,,,,,,,"1,287,962.29","1,287,962.29","1,287,962.29","1,962,962.29","1,216,408.83"
工程物资,"40,207,524.88","40,585,074.43","42,750,301.04","44,110,301.04","44,110,301.04","45,892,845.43","34,041,235.84","34,041,235.84","34,041,235.84","34,041,235.84","34,041,235.84","32,791,235.84","32,791,235.84","32,791,235.84","32,791,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84","32,681,235.84",,,,,,,
非流动负债合计,"67,993,047.67","67,993,047.67","68,100,547.67","62,710,876.10","62,769,763.60","62,741,818.60","58,411,818.60","54,951,818.60","56,045,547.67","54,951,818.60","54,951,818.60","174,343,568.60","157,859,768.60","130,859,368.60","142,891,868.60","107,965,838.60","495,166,609.34","480,473,112.13","564,658,130.70","554,382,862.81","555,233,517.15","571,330,142.88","473,071,408.94","486,173,178.83","553,013,293.80","148,130,614.60","154,404,364.60","163,045,500.98","228,823,500.98","1,380,090,874.31","1,391,191,844.20","1,504,167,275.90","1,500,111,359.92","1,480,873,832.56","1,454,086,976.44","1,421,073,948.86","1,447,598,106.25","1,436,182,046.61","1,440,843,850.59","1,397,891,095.33","1,487,896,034.30","1,481,615,230.04","1,545,435,133.89","1,495,907,515.44"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"1,440,222,416.26","1,500,532,463.72","1,559,303,058.88","1,349,757,630.63","1,369,449,436.85","1,321,919,095.73","1,303,059,486.03","1,236,629,599.95","1,190,406,522.39","1,147,322,485.87","1,300,872,234.44","1,960,124,947.26","1,922,250,762.32","1,932,415,621.51","1,871,851,164.04","1,613,068,990.49","1,682,627,968.25","1,465,806,304.23","1,688,581,840.76","1,738,874,303.12","1,572,771,164.35","1,546,618,748.61","1,515,629,783.92","1,753,970,977.30","1,747,596,209.02","1,644,991,434.67","1,656,992,745.43","1,789,329,181.90","2,159,645,751.27","3,028,158,391.55","2,695,310,267.11","2,850,689,727.29","2,755,098,270.97","2,580,715,099.70","2,563,351,986.02","2,865,681,290.46","2,838,246,507.05","2,866,260,571.52","2,853,197,403.15","3,058,560,109.48","3,146,897,712.61","3,031,201,078.99","3,151,836,694.85","3,280,234,508.63"
生产性生物资产,"24,731,025.74","23,795,870.70","27,711,469.02","7,201,652.09","6,921,930.69","6,637,021.29","6,352,111.89","10,166,360.08","9,771,515.06","9,376,670.04","8,981,825.02","9,409,712.55","9,028,124.03","7,786,844.60","7,408,065.72","11,424,796.70","11,033,848.27","8,195,807.84","7,751,722.41","7,248,521.13","6,856,190.85","6,463,860.57","6,760,656.23","5,692,000.01","5,326,377.58","4,960,754.65","4,595,131.96","4,229,509.29","7,109,394.82","9,846,977.71","9,471,557.45","27,159,558.76","27,813,706.43","28,908,945.56","29,653,804.22","71,630,764.94","71,458,275.27","76,341,866.03","79,395,654.58","83,870,219.31","83,574,380.83","85,059,634.71","87,769,797.35","92,384,359.85"
实收资本(或股本),"1,441,190,556.00","1,441,190,556.00","1,441,190,556.00","1,441,190,556.00","1,441,190,556.00","1,441,190,556.00","1,441,190,556.00","1,441,190,556.00","1,441,190,556.00","1,441,190,556.00","1,441,190,556.00","1,736,991,221.00","1,736,991,221.00","1,736,991,221.00","1,736,991,221.00","1,736,991,221.00","1,736,991,221.00","1,736,991,221.00","1,736,991,221.00","1,736,991,221.00","1,736,991,221.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00","1,946,915,121.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"8,161,702.36","8,161,702.36","8,161,702.36","8,161,702.36","8,161,702.36","8,161,702.36","8,161,702.36","11,916,225.86","11,916,225.86","11,916,225.86","11,916,225.86","265,032,525.29","222,539,025.29","156,402,525.29","141,500,025.29","143,294,786.69","147,128,786.69","147,128,786.69","127,160,036.69","97,563,485.62","171,156,261.45","1,096,111,842.54","1,067,995,842.54","1,058,094,493.32","1,053,142,243.32","1,038,755,376.88","1,062,069,547.62","1,078,354,718.38","636,027,035.97","640,583,218.24","674,195,008.24","550,386,429.05","552,134,349.80","539,109,520.99","539,109,520.98","537,606,064.96","538,959,045.82","538,959,045.82","538,959,045.82","530,947,516.05","530,947,516.05","530,947,516.05","530,947,516.05","530,947,516.05"
