科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"8,486,775.64","52,686,477.48","46,843,208.22","33,471,386.63","36,242,899.98","45,928,375.92","151,859,638.93","128,408,004.87","104,781,573.24","83,743,196.49","112,994,293.00","77,330,065.53","189,975,273.15","185,502,041.12","146,014,880.61","171,752,689.88","336,709,903.33","217,140,700.58","319,611,945.94","241,014,347.95","309,707,299.31"
短期借款,"17,000,000.00","21,850,000.00","2,000,000.00",,,,,,,,,"5,989,692.61","4,243,959.57","12,987,200.00","12,987,200.00",,,"50,000,000.00","335,000,000.00","335,000,000.00","335,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,239,227.50","21,402,936.10","16,605,337.46","37,341,151.33","38,840,600.66","41,429,038.51","41,877,521.23","60,387,842.26","69,531,190.25","71,742,705.45","50,967,085.12","73,754,919.64","80,127,834.23","100,372,014.14","83,363,420.96","92,885,213.77","109,347,482.37","96,242,431.59","83,918,142.97","135,298,518.23","185,350,661.31"
应付票据,,,"4,821,500.00","1,730,000.00",,,"899,800.00","4,564,870.00","5,900,070.00","3,344,227.77","2,403,916.63","1,676,888.86","866,453.26","666,753.71","604,457.08","547,433.23","1,469,281.34","1,502,030.19","3,450,397.24","69,899,427.44","174,910,869.02"
应收账款,"73,270,309.82","96,368,284.48","136,680,069.54","152,995,651.60","158,484,379.65","158,398,606.96","189,425,905.45","201,052,530.02","200,801,234.54","212,312,034.93","236,256,735.07","254,237,439.24","326,436,874.82","332,864,223.88","342,065,371.51","359,458,549.76","339,497,909.18","362,979,256.05","369,092,576.86","424,114,251.19","486,020,940.81"
应付账款,"78,780,050.78","73,845,872.45","75,021,795.60","92,341,439.12","105,232,042.84","116,070,974.78","129,312,534.87","118,421,992.52","120,054,577.23","121,442,029.11","106,339,853.74","115,930,799.65","231,064,247.37","225,260,741.31","217,447,956.46","232,227,859.62","230,775,024.85","222,754,584.17","244,118,191.32","260,376,907.88","290,599,843.24"
预付款项,"5,456,471.74","3,796,930.83","973,079.35","2,048,261.91","2,238,736.67","2,919,338.66","6,150,335.76","3,943,189.13","3,974,146.99","1,200,172.84","2,140,673.33","1,859,106.06","51,839,313.55","2,392,277.88","3,982,187.57","3,128,747.66","2,386,077.21","6,027,865.29","16,097,404.75","16,318,867.55","12,635,251.22"
预收款项,"4,001,940.98","1,300,168.63","1,312,815.40","1,276,394.30","1,338,847.53","1,802,672.85","1,463,963.87","1,947,832.56","1,339,014.77","2,065,054.65","1,664,503.85","1,280,360.75","4,959,721.62","13,811,960.50","28,498,117.39","41,474,389.24","45,929,801.99","3,087,431.54","4,556,000.39","8,055,846.56","14,413,185.71"
其他应收款,"2,307,313.99","873,205.06","1,527,849.25","2,502,493.66","3,209,390.57","2,906,585.86","2,143,493.11","3,894,499.85","2,286,930.31","2,626,200.79","2,532,209.66","3,218,775.20","10,185,940.45","7,189,181.51","8,459,392.21","10,145,072.25","10,800,504.03","10,174,945.00","12,583,597.79","12,572,330.09","11,534,664.80"
应付职工薪酬,"7,162,257.06","6,393,643.69","8,476,998.50","7,463,696.32","8,702,260.98","12,349,441.03","6,898,479.43","9,554,614.48","10,856,445.02","15,261,621.62","10,237,599.97","13,718,902.11","13,100,758.52","25,559,212.82","14,732,810.33","19,452,040.45","20,422,698.43","32,280,391.77","14,913,731.85","22,735,465.02","26,580,302.60"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,984,932.22","4,282,372.78","4,204,725.95","7,587,808.44","6,580,784.97","4,445,178.15","7,715,261.67","8,909,264.41","6,778,562.08","8,363,007.07","9,023,889.67","10,539,699.24","8,335,741.43","11,232,697.69","12,142,989.14","12,639,663.91","8,577,185.44","20,204,889.37","21,260,783.86","24,007,816.53","23,074,620.30"
应收利息,,,,,,,,,,,,,,"1,433,250.00","1,433,250.00","3,583,125.00","4,658,062.50","5,733,000.00","6,807,937.50","7,882,875.00","8,957,812.50"
应付利息,"66,811.86","40,088.89","3,666.67",,,,,,,,,,,"110,591.59","110,039.79",,,"224,344.94","223,043.06","221,431.65","216,467.68"
应收股利,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,
存货,"59,587,353.35","52,915,032.92","45,952,433.83","50,581,682.75","63,927,869.76","75,365,213.10","75,790,256.34","73,227,289.11","79,740,413.92","72,308,636.38","77,122,827.63","72,916,240.23","124,873,182.51","113,070,852.71","118,838,762.99","123,166,691.79","116,354,913.01","123,823,186.00","145,581,442.37","148,115,998.92","160,276,233.83"
其他应付款,"3,192,810.79","1,173,233.81","2,536,098.03","2,802,844.22","2,812,953.99","2,896,906.61","7,209,276.28","5,373,514.91","3,093,955.77","3,389,750.93","2,178,684.37","3,029,499.83","64,423,442.98","77,280,010.57","75,442,418.86","86,553,061.80","66,548,303.15","72,050,607.82","80,797,041.01","69,285,983.12","68,806,228.99"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"10,000,000.00",,,,,,,,,,,,,,,,,,,,
其他流动资产,,,"1,668,278.69","2,067,995.61","2,099,356.29","2,036,913.86","112,072,080.16","102,033,840.17","114,975,906.03","158,325,465.07","151,969,512.97","129,193,744.08","59,982,876.08","3,235,295.26","31,981,171.33","2,129,448.78","751,334,571.07","936,158,247.79","896,861,832.34","896,572,158.69","854,314,457.60"
其他流动负债,,,,,,,,,,,,"36,309,000.00",,,,,,,,,
流动资产合计,"150,347,452.04","228,042,866.87","250,250,256.34","281,008,623.49","305,043,233.58","328,984,072.87","579,319,230.98","572,947,195.41","576,091,395.28","602,258,411.95","633,983,336.78","612,510,289.98","843,421,294.79","746,059,136.50","736,138,437.18","766,249,538.89","1,671,089,422.70","1,758,279,632.30","1,850,554,880.52","1,881,889,347.62","2,028,797,321.38"
流动负债合计,"126,188,803.69","108,885,380.25","98,377,600.15","113,202,182.40","124,666,890.31","137,565,173.42","153,499,316.12","148,772,088.88","148,022,624.87","153,865,691.15","131,848,448.23","188,474,843.05","326,994,324.75","366,909,168.19","361,965,989.05","392,894,448.25","373,722,295.20","402,104,279.80","704,319,188.73","789,582,878.20","933,601,517.54"
可供出售金融资产,,,,,,,,,,,,,,,,,,,"234,000,000.00","234,000,000.00","234,000,000.00"
长期借款,"10,000,000.00",,,,,,,,,,,,"95,419,500.00","97,404,000.00","96,918,000.00","99,468,000.00","60,100,200.00","41,622,000.00","41,278,800.00","20,427,000.00","19,772,700.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,"17,637,641.80","17,432,618.10","17,814,652.38","16,864,571.49","17,836,849.48","18,019,764.24","18,573,923.85","17,989,697.91","18,315,113.41","19,038,091.37"
专项应付款,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,
固定资产,"61,789,256.73","69,076,243.69","101,123,332.72","102,370,637.05","107,855,429.44","167,647,635.24","173,478,376.36","184,961,000.80","185,960,859.92","202,869,428.39","220,747,271.25","229,666,284.50","224,865,619.18","265,790,058.04","310,176,998.88","318,690,125.74","330,202,869.06","419,865,869.72","426,086,684.51","429,873,500.08","499,451,231.43"
递延所得税负债,,,,,,,,,,,,,,"2,172,682.58","2,664,529.13","3,543,178.41","4,351,037.39","6,216,159.94","7,075,998.88","8,318,917.80","9,880,125.55"
在建工程,"6,452,269.48","17,014,992.08","36,419,600.62","62,778,653.53","71,738,971.58","25,564,417.46","44,596,003.47","44,480,001.70","68,627,569.96","59,079,240.27","55,450,459.03","80,465,734.84","73,440,725.76","149,623,612.53","153,324,552.15","180,506,010.16","234,388,642.71","129,841,694.73","158,491,180.97","206,936,784.25","195,756,461.07"
其他非流动负债,"1,839,473.69","6,568,333.34","14,144,117.66","12,390,569.52","11,503,596.92","10,123,879.52","8,787,175.10","7,400,410.27","6,158,140.27",,"36,309,000.00",,"36,309,000.00",,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"11,839,473.69","6,568,333.34","14,144,117.66","12,390,569.52","11,503,596.92","10,123,879.52","8,787,175.10","7,400,410.27","6,158,140.27","11,438,074.21","46,727,315.76","10,415,910.19","140,844,862.03","113,917,127.36","113,336,825.01","116,209,184.29","77,101,968.56","61,525,391.51","61,507,858.64","41,370,294.55","41,054,482.96"
固定资产清理,,,,,,,,,,,,,,,,,,,,,
负债合计,"138,028,277.38","115,453,713.59","112,521,717.81","125,592,751.92","136,170,487.23","147,689,052.94","162,286,491.22","156,172,499.15","154,180,765.14","165,303,765.36","178,575,763.99","198,890,753.24","467,839,186.78","480,826,295.55","475,302,814.06","509,103,632.54","450,824,263.76","463,629,671.31","765,827,047.37","830,953,172.75","974,656,000.50"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"32,000,000.00","69,000,000.00","69,000,000.00","69,000,000.00","69,000,000.00","69,000,000.00","82,400,000.00","164,800,000.00","164,800,000.00","164,800,000.00","167,530,000.00","167,530,000.00","167,530,000.00","419,325,000.00","419,325,000.00","422,062,200.00","472,490,843.00","472,490,843.00","472,490,843.00","472,490,843.00","472,490,843.00"
油气资产,,,,,,,,,,,,,,,,,,,,,
资本公积,"12,133.04","89,295,263.46","89,295,263.46","89,295,263.46","89,295,263.46","89,295,263.46","312,556,488.97","234,461,624.68","234,461,624.68","234,461,624.68","268,040,624.68","273,426,213.22","278,441,633.78","33,641,524.68","37,243,447.37","57,411,899.95","986,730,234.67","991,616,130.56","994,858,438.89","997,125,080.55","999,879,555.54"
无形资产,"17,396,429.98","16,955,174.72","16,834,632.59","16,877,596.82","17,011,450.08","16,894,829.93","16,705,418.46","16,618,398.81","16,666,405.19","16,519,470.18","16,205,894.37","16,174,772.70","15,873,035.04","33,331,767.65","33,547,717.15","48,636,760.33","50,865,715.65","42,430,253.37","42,183,502.07","41,925,260.42","46,438,294.27"
