科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"104,754,035.98","44,914,419.16","34,717,586.87","25,944,378.69","37,836,604.31","338,093,998.27","87,060,096.49","63,298,496.59","152,372,174.53","143,014,134.98","114,540,982.37","108,929,259.93","64,754,007.06","51,851,598.06","56,870,512.75","35,566,084.64","41,229,680.78","67,841,442.03"
短期借款,"110,000,000.00","40,000,000.00","50,000,000.00",,,"30,000,000.00","30,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"40,000.00",,,,,,,,,,,,,,,,,
应付票据,,,"506,619.00","2,540,500.00","345,500.00",,,"11,378,700.00","11,378,700.00",,,,,,,,,
应收账款,"3,581,462.30","2,886,577.03","2,508,045.54","22,830,010.61","2,459,682.93","11,739,361.25","15,621,123.23","19,678,043.74","1,860,411.65","11,253,713.21","15,399,004.77","19,095,337.34","2,219,331.83","13,398,165.97","15,859,882.47","20,219,679.34","2,312,855.77","11,427,158.14"
应付账款,"56,780,225.88","36,156,105.18","40,067,520.98","34,231,587.12","38,246,077.24","26,664,706.94","27,224,632.15","28,733,444.85","47,665,778.04","33,647,179.23","35,646,268.29","35,475,548.12","40,282,081.34","35,602,966.73","45,019,389.86","46,053,847.14","56,197,896.90","37,262,155.15"
预付款项,"24,166,803.65","11,374,565.29","11,194,238.77","13,443,875.50","3,828,169.39","7,205,102.68","10,460,024.65","12,974,773.62","2,914,665.02","3,601,584.65","6,021,423.37","6,052,295.23","5,047,377.87","6,995,758.58","7,856,503.93","7,872,044.26","3,975,616.44","4,393,978.45"
预收款项,"3,873,608.27","4,076,160.95","3,953,733.15","6,693,361.24","6,384,882.44","5,791,912.27","6,300,183.07","6,162,538.42","6,711,210.37","6,475,160.18","6,612,513.54","7,229,925.01","7,846,680.94","7,116,475.02","6,832,659.70","7,438,007.56","7,745,977.07","7,430,073.61"
