科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,036,116,229.95","1,119,964,164.83","1,341,975,645.95","665,683,318.27","1,090,428,014.10","1,583,415,065.63","371,179,534.44","766,819,318.86","1,137,723,402.37","1,632,383,609.83","474,889,939.54","1,026,160,618.03","1,474,945,397.71","2,015,649,955.14","486,504,759.43","1,051,576,137.71","1,695,947,374.63","1,291,802,008.15","369,514,286.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,"3,197,200.00","1,242,035.00","6,582,800.00","8,614,086.00","8,614,086.00","8,614,086.00",,"12,093,300.00","12,093,300.00","12,093,300.00","12,069,000.00","12,773,556.22","20,034,300.49","20,127,677.14","13,647,000.00","17,069,061.52","20,489,950.15","20,910,178.66","8,316,805.71"
支付其他与投资活动有关的现金,,,,,,"1,254,100,000.00","701,000,000.00","1,675,500,000.00","2,372,700,190.00","2,905,107,090.00","307,300,000.00","307,300,000.00","315,500,000.00","307,300,000.00","370,000,000.00","1,747,061,200.00","2,106,961,200.00","2,556,961,200.00","595,000,000.00"
收到其他与经营活动有关的现金,"31,002,822.47","10,725,476.62","22,916,025.50","4,770,000.11","6,441,513.63","31,558,803.68","7,167,423.66","9,902,787.42","10,163,548.36","10,233,771.19","460,104.78","3,587,711.08","4,753,460.25","11,833,778.58","4,535,172.49","9,861,513.96","9,881,721.48","17,199,370.05","5,381,505.25"
投资活动现金流出小计,"75,444,420.63","81,481,803.52","96,056,920.37","32,495,299.43","645,630,613.21","1,344,028,806.83","716,832,296.32","1,740,390,064.78","2,461,147,939.59","3,043,727,941.94","336,759,392.15","369,233,071.44","447,881,306.14","519,307,763.32","391,290,833.20","1,856,915,609.35","2,262,492,707.05","2,696,775,272.26","615,155,308.72"
经营活动现金流入小计,"1,070,316,252.42","1,131,931,676.45","1,371,474,471.45","679,067,404.38","1,105,483,613.73","1,623,587,955.31","378,346,958.10","788,815,406.28","1,159,980,250.73","1,654,710,681.02","487,419,044.32","1,042,521,885.33","1,499,733,158.45","2,047,611,410.86","504,686,931.92","1,078,506,713.19","1,726,319,046.26","1,329,911,556.86","383,212,597.80"
投资活动产生的现金流量净额,"-75,201,726.33","-80,026,235.76","-94,202,994.44","-32,253,241.63","-644,019,141.77","-830,259,081.78","-48,250,371.32","93,110,795.96","7,733,009.57","-68,258,643.89","65,907,895.06","383,725,559.84","552,012,759.67","503,844,287.39","-175,769,402.77","-909,594,004.16","-1,047,545,083.03","-1,001,312,863.08","-19,245,264.08"
购买商品、接受劳务支付的现金,"651,281,045.31","619,356,237.44","760,690,506.37","362,266,097.11","615,106,165.83","920,697,880.23","186,115,545.62","367,153,695.59","542,398,525.60","806,692,813.85","310,953,755.12","647,003,467.55","986,161,436.65","1,333,172,973.55","272,877,474.40","644,516,463.77","1,091,597,287.17","508,833,069.95","213,104,791.69"
吸收投资收到的现金,,"32,000,005.89",,"987,665,384.92","987,665,384.92","987,665,384.92",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"137,895,996.25","142,764,124.83","169,349,980.96","107,175,956.05","157,789,600.49","194,933,291.05","73,977,060.11","126,809,114.33","189,179,212.36","238,351,075.17","71,948,287.83","126,418,088.54","196,947,968.80","260,935,547.50","80,623,991.05","161,185,410.71","239,920,137.08","317,787,320.76","86,407,988.34"
取得借款收到的现金,"242,924,984.80","220,634,207.43","226,744,978.21","70,000,000.00","70,000,000.00","70,000,000.00",,,,,,,,,,,,,
支付的各项税费,"57,961,635.74","64,061,618.89","112,581,704.29","67,165,232.10","85,525,654.12","133,358,890.82","17,930,232.25","66,518,281.51","69,310,860.73","119,013,028.07","18,231,623.32","71,065,839.16","84,038,657.47","139,750,360.51","15,850,605.83","75,063,681.99","52,586,201.43","105,639,151.32","23,909,710.82"
收到其他与筹资活动有关的现金,"88,750,000.00","100,100,000.00","31,500,000.00",,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"61,815,850.92","95,576,779.46","91,495,375.52","54,282,530.86","88,981,530.19","123,981,077.95","32,336,682.29","74,414,505.45","97,888,581.14","134,021,711.81","38,507,964.83","80,852,243.54","122,850,599.07","143,560,877.57","53,540,949.08","77,113,350.83","130,234,826.18","167,190,324.03","39,902,932.87"
筹资活动现金流入小计,"331,674,984.80","352,734,213.32","258,244,978.21","1,057,665,384.92","1,057,665,384.92","1,057,665,384.92",,,,,,,,,"677,069,716.98","678,562,000.00","678,562,000.00","678,562,000.00",
经营活动现金流出小计,"908,954,528.22","921,758,760.62","1,134,117,567.14","590,889,816.12","947,402,950.63","1,372,971,140.05","310,359,520.27","634,895,596.88","898,777,179.83","1,298,078,628.90","439,641,631.10","925,339,638.79","1,389,998,661.99","1,877,419,759.13","422,893,020.36","957,878,907.30","1,514,338,451.86","1,099,449,866.06","363,325,423.72"
偿还债务支付的现金,"314,963,737.40","298,486,390.17","236,922,479.27","208,095,301.00","208,095,301.00","208,095,301.00",,,,,,,,,,,,,
经营活动产生的现金流量净额,"161,361,724.20","210,172,915.83","237,356,904.31","88,177,588.26","158,080,663.10","250,616,815.26","67,987,437.83","153,919,809.40","261,203,070.90","356,632,052.12","47,777,413.22","117,182,246.54","109,734,496.46","170,191,651.73","81,793,911.56","120,627,805.89","211,980,594.40","230,461,690.80","19,887,174.08"
分配股利、利润或偿还利息支付的现金,"19,728,659.92","59,214,508.67","99,305,136.75","65,577,334.96","66,450,743.17","266,449,613.17","2,000,000.00","212,072,765.67","212,072,765.67","212,000,000.00",,"237,242,315.97","239,984,014.41","236,647,235.97",,"242,940,282.32","244,046,596.98","243,894,161.29","2,072,887.58"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"88,750,000.00","96,200,000.00","42,500,000.00",,,,,,,,,,,,,,"500,000.00",,
取得投资收益收到的现金,"20,800.00","21,426.00","40,491.00","60,861.23","1,388,148.90","3,527,737.88","9,265,305.09","16,037,858.55","21,887,212.64","25,661,042.13","8,020,968.15","16,260,686.37","21,556,576.40","22,280,162.58","740,001.53","3,865,615.23","7,243,666.71","23,177,856.43","9,004,688.73"
筹资活动现金流出小计,"423,442,397.32","453,900,898.84","378,727,616.02","273,672,635.96","274,546,044.17","474,544,914.17","2,000,000.00","212,072,765.67","212,072,765.67","212,000,000.00",,"237,242,315.97","239,984,014.41","236,647,235.97",,"242,940,282.32","244,546,596.98","243,894,161.29","2,072,887.58"
处置固定资产、无形资产和其他长期资产收回的现金净额,"221,894.30","1,434,141.76","1,813,434.93","181,196.57","223,322.54","241,987.17","216,619.91","863,002.19","4,393,736.52","3,638,065.92","599,419.06","1,361,044.91","1,300,589.41","7,534,988.13","7,781,428.90","6,444,789.96","6,692,757.31","6,273,352.75","5,355.91"
筹资活动产生的现金流量净额,"-91,767,412.52","-101,166,685.52","-120,482,637.81","783,992,748.96","783,119,340.75","583,120,470.75","-2,000,000.00","-212,072,765.67","-212,072,765.67","-212,000,000.00",,"-237,242,315.97","-239,984,014.41","-236,647,235.97","677,069,716.98","435,621,717.68","434,015,403.02","434,667,838.71","-2,072,887.58"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,"2,176,180.47","-39,192.12","-2,102,934.63","-4,983,846.17","-7,490,634.86","-5,933,714.76","-3,871,883.33","1,753,126.21","-5,926,927.43","-295,510.75"
收到其他与投资活动有关的现金,,,,,,"510,000,000.00","659,100,000.00","1,816,600,000.00","2,442,600,000.00","2,946,170,190.00","394,046,900.00","735,336,900.00","977,036,900.00","993,336,900.00","207,000,000.00","937,011,200.00","1,201,011,200.00","1,666,011,200.00","586,900,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"242,694.30","1,455,567.76","1,853,925.93","242,057.80","1,611,471.44","513,769,725.05","668,581,925.00","1,833,500,860.74","2,468,880,949.16","2,975,469,298.05","402,667,287.21","752,958,631.28","999,894,065.81","1,023,152,050.71","215,521,430.43","947,321,605.19","1,214,947,624.02","1,695,462,409.18","595,910,044.64"
五、现金及现金等价物净增加额,"-5,607,414.65","28,979,994.55","22,671,272.06","839,917,095.59","297,180,862.08","3,478,204.23","17,737,066.51","34,957,839.69","56,863,314.80","78,549,588.70","113,646,116.16","261,562,555.78","416,779,395.55","429,898,068.29","577,160,511.01","-357,216,363.92","-399,795,959.40","-342,110,261.00","-1,726,488.33"
购建固定资产、无形资产和其他长期资产支付的现金,"75,444,420.63","81,481,803.52","96,056,920.37","32,495,299.43","56,630,613.21","89,928,806.83","15,832,296.32","64,890,064.78","88,447,749.59","138,620,851.94","29,459,392.15","60,885,358.44","131,068,610.07","210,960,050.32","17,290,833.20","105,854,409.35","151,531,507.05","134,734,072.26","10,155,308.72"
期初现金及现金等价物余额,"18,999,694.79","13,392,280.14","42,372,274.69","65,043,546.75","65,043,546.75","65,043,546.75","68,521,750.98","68,521,750.98","68,521,750.98","68,521,750.98","147,071,339.68","147,071,339.68","147,071,339.68","147,071,339.68","576,969,407.97","576,969,407.97","576,969,407.97","576,969,407.97","234,859,146.97"
