科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"79,092,107.90","141,684,467.94","422,740,697.25","117,616,875.30","248,108,927.42","380,513,780.27","555,704,920.19","211,931,562.96","431,658,748.24","694,012,057.50","1,011,422,959.77","279,544,396.44","552,051,017.67","890,841,967.63","1,237,824,496.59","365,989,550.30","800,939,029.83","1,281,326,477.56","1,755,241,139.66","277,976,119.31","641,552,211.57","1,080,658,289.26","1,559,839,301.80","425,349,571.61","910,332,419.59","1,371,734,146.00","3,250,056,298.06","718,533,178.68","1,550,435,147.09","2,530,790,657.60","3,452,979,898.84","740,873,786.53","1,517,073,793.41","2,641,196,155.68"
二、营业利润,"19,270,148.08","28,234,205.17","34,337,538.81","8,621,614.22","15,542,635.38","22,059,940.69","35,174,602.72","9,785,206.57","17,346,347.85","24,992,280.31","47,100,552.35","11,259,339.95","19,425,080.17","38,691,880.00","55,105,358.95","14,812,486.99","39,172,801.24","58,012,681.14","88,377,719.93","6,583,613.76","20,118,059.33","53,581,552.99","83,024,196.72","25,510,968.46","63,238,675.68","98,801,673.37","182,169,011.00","22,002,961.54","65,957,087.75","133,649,628.04","176,118,416.56","21,403,111.08","28,438,185.84","151,258,269.67"
减:营业成本,"43,051,093.59","89,685,414.73","349,271,860.28","97,854,226.76","210,448,551.77","327,257,668.63","473,342,540.51","189,459,768.87","389,750,830.90","630,468,224.27","906,455,341.14","247,839,770.28","492,790,156.30","789,551,675.24","1,103,916,995.00","330,482,940.21","715,343,478.02","1,149,397,136.27","1,563,855,393.58","247,206,373.50","568,028,629.08","946,121,462.87","1,360,181,012.83","349,468,175.85","742,778,858.82","1,109,312,778.00","2,670,247,071.98","605,463,393.55","1,288,373,599.68","2,084,761,930.89","2,807,951,639.43","604,600,883.52","1,232,374,121.52","2,096,702,456.73"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"525,847.19","2,195,100.31","11,735,764.57","2,741,329.43","6,391,581.90","8,098,599.36","14,810,979.02","3,272,897.93","6,510,497.96","9,459,294.41","15,861,468.49","1,670,642.00","5,508,275.01","9,934,738.91","13,018,142.17","1,357,379.95","2,564,721.03","5,110,351.73","8,385,725.67","1,807,703.39","3,827,086.40","6,094,244.81","9,098,545.62","2,496,898.92","5,284,074.75","7,846,030.90","13,299,040.12","2,198,410.11","4,986,156.03","8,090,574.00","13,096,541.81","2,454,069.92","5,310,606.35","9,411,150.63"
营业外收入,,"1,580.00","118,294.97","1,110.00","3,624,670.00","3,624,810.00","3,654,870.00",300.00,"4,318,860.00","4,319,520.00","4,531,753.76","4,407.01","4,597.01","165,808.07","6,210,154.33","3,096,140.00","4,111,013.75","4,430,545.75","12,596,296.53","48,420.00","1,726,396.62","2,627,802.62","10,657,247.71","2,524.86","6,472,059.21","6,633,390.18","25,941,449.28","5,439,296.37","11,651,515.60","21,860,514.03","22,081,394.36","7,608,399.79","25,130,390.58","24,514,828.64"
销售费用,"1,235,170.69","2,862,919.13","1,125,206.77","93,894.35","612,025.44","745,834.61","1,152,406.51","135,267.80","544,806.15","1,492,706.43","1,448,251.05","302,408.60","954,470.20","2,061,797.80","2,710,600.80","228,190.23","1,152,182.32","2,483,377.42","5,188,691.95","1,494,035.21","3,610,067.28","5,366,714.20","7,416,364.06","5,364,211.72","2,300,013.34","4,101,780.85","164,861,440.26","12,900,217.99","32,017,534.17","54,028,240.16","169,319,607.63","20,272,956.50","43,676,566.48","66,449,635.28"
减:营业外支出,"44,000.00","35,334.16","29,403.58",,,,,"20,390.90","30,852.17","85,785.14","93,930.52","11,634.80","17,359.22","26,573.95","38,741.19",697.20,"2,649.06","8,404.75","1,005,307.53",,"18,842.79","23,759.54","105,310.06","856,254.57","858,611.32","880,676.44","17,723,577.33","2,397.68","45,139.19","589,088.49","24,524,326.76","27,720.45","1,718,919.45","2,202,633.27"
管理费用,"13,673,326.77","20,583,564.26","25,599,521.83","8,093,378.56","15,809,424.15","24,180,075.52","33,395,560.09","10,414,329.52","19,235,045.37","29,513,658.81","42,139,698.28","18,404,429.83","33,348,379.70","49,211,799.49","63,718,758.22","18,834,249.14","40,327,915.70","60,858,930.35","81,734,137.73","21,248,365.21","45,083,477.81","67,950,412.52","93,694,255.55","42,232,034.01","90,867,793.67","139,483,907.89","169,955,159.77","68,470,180.16","145,331,312.09","228,002,269.20","230,436,843.38","80,703,294.89","170,535,258.34","259,044,197.53"
其中:非流动资产处置净损失,,"26,158.55","18,986.71",,,,,,,"85,785.14",,,"17,359.22","26,573.95","37,741.19",,"2,649.06","8,404.75","389,723.65",,"18,842.79","23,759.54","104,809.06","197,804.57","199,161.26","217,454.92","588,040.33","2,397.68","44,199.18","47,348.48","47,824.76","27,720.45","28,897.23","112,820.84"
