科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"233,963,835.60","242,408,284.81","371,824,472.55","52,944,346.55","182,989,963.26","263,772,712.40","371,349,671.39","53,135,575.62","154,258,714.06","259,084,913.42","359,529,211.87","77,700,603.95","153,982,574.79","225,776,589.10","288,657,404.77","87,603,522.11","154,325,787.54","242,179,021.13","629,106,617.18","992,537,623.16","2,188,269,460.48","3,502,839,496.26","4,843,918,448.28","1,212,773,881.59","2,655,850,365.67","3,960,253,847.72","5,123,965,167.21","1,748,182,973.73","3,406,760,557.65","4,929,283,456.06"
取得子公司及其他营业单位支付的现金净额,,,"10,000,000.00",,,,,,,,,,,,,,,,"186,805,235.65",,"31,543,488.38","292,543,488.38",,,,,,,"-33,452,562.16","539,189,937.84"
收到的税费返还,"1,362,505.16",,"665,600.00","6,813.89","18,773.76","18,773.76",,,"14,605.50","51,452.28",,,,,,,,,,"19,840,779.72","30,749,090.27","56,262,640.07","65,582,906.59","32,434,520.34","46,154,891.17","67,215,032.86","92,618,857.31","4,793,139.01","21,837,951.79","57,722,142.32"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"113,500,000.00","173,800,000.00","320,300,000.00","467,800,000.00","955,800,000.00","100,000,000.01","1,100,000,000.00","1,400,000,000.00"
收到其他与经营活动有关的现金,"2,521,693.15","9,367,525.44","1,920,524.56","517,237.48","14,626,292.08","25,730,638.23","19,234,615.09","16,538.33","2,556,835.25","2,541,800.37","1,847,117.38","1,642,544.63","2,291,349.06","3,591,569.80","5,267,429.36","1,737,408.95","2,299,431.82","8,216,918.95","12,558,493.72","6,461,540.37","22,161,086.87","54,643,386.92","83,915,126.37","36,043,667.60","53,218,899.46","69,442,082.57","87,462,581.79","16,490,973.79","25,950,170.88","45,671,603.24"
投资活动现金流出小计,"18,269,213.68","27,781,773.74","148,978,248.13","50,434,415.11","83,522,821.61","129,736,344.86","126,629,682.60","20,104,343.58","43,671,397.99","44,708,650.02","49,089,646.88","6,405,218.39","12,016,443.84","20,459,989.85","19,640,598.88","13,446,854.74","16,707,989.65","22,838,541.53","266,536,226.69","31,613,339.65","107,856,304.85","522,594,499.28","3,375,880,500.99","749,543,025.56","1,182,116,515.78","1,587,097,759.51","2,390,119,798.33","506,243,320.58","1,864,082,244.16","3,276,169,041.57"
经营活动现金流入小计,"237,848,033.91","251,775,810.25","374,410,597.11","53,468,397.92","197,635,029.10","289,522,124.39","390,584,286.48","53,152,113.95","156,830,154.81","261,678,166.07","361,376,329.25","79,343,148.58","156,273,923.85","229,368,158.90","293,924,834.13","89,340,931.06","156,625,219.36","250,395,940.08","641,665,110.90","1,018,839,943.25","2,241,179,637.62","3,613,745,523.25","4,993,416,481.24","1,281,252,069.53","2,755,224,156.30","4,096,910,963.15","5,304,046,606.31","1,769,467,086.53","3,454,548,680.32","5,032,677,201.62"
投资活动产生的现金流量净额,"-18,239,213.68","-17,714,832.46","-148,978,248.13","-50,424,415.11","-83,512,821.61","-129,726,344.86","-126,619,682.60","-20,104,343.58","-43,671,397.99","-42,401,650.02","-48,139,646.88","-6,160,080.64","-11,767,243.84","-20,186,463.16","-18,566,540.82","-13,446,854.74","-16,707,989.65","-22,838,541.53","-238,515,899.92","61,273,600.90","-13,983,308.48","-428,359,828.44","-3,249,588,017.36","-737,380,760.06","-932,905,161.77","-1,320,061,989.65","-1,517,533,243.31","-209,026,014.94","-680,083,625.22","-1,460,714,513.48"
购买商品、接受劳务支付的现金,"134,822,335.50","170,493,505.25","259,233,419.23","47,617,903.07","134,585,161.54","196,483,679.72","293,432,394.31","54,841,291.81","132,905,077.60","190,987,561.26","277,353,144.86","46,142,091.22","104,653,334.62","157,746,058.61","183,032,737.18","58,013,301.75","101,831,351.23","180,917,561.82","334,471,712.46","352,055,070.38","893,738,913.28","1,385,363,721.98","1,883,775,170.63","507,830,331.55","1,094,314,996.48","1,619,465,078.35","1,847,381,195.05","449,908,298.42","1,048,871,934.37","1,629,459,389.60"
吸收投资收到的现金,,,,"555,616,142.55","555,616,142.55","555,616,142.55","561,825,000.00",,,,,,,,,,,,"473,499,973.26","16,200,000.36","157,736,379.81","158,510,064.38","2,822,102,594.27","23,095.57","23,095.57","173,095.57","16,002,903.80","122,147.52","426,940,196.27","431,484,776.05"
