科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"100,324,332.90","350,656,257.02","474,000,896.43","104,084,879.67","187,717,459.10","258,745,802.73","330,018,959.99","43,515,750.90","111,840,220.97","205,464,743.80","316,202,545.08","109,177,978.94","304,419,560.09","519,997,989.18","706,081,569.48","171,182,568.47","434,235,248.16","698,930,278.26","955,393,578.07","240,341,301.75","612,952,839.44","1,070,903,976.78","1,582,306,970.16","506,414,841.03","1,193,033,482.16","1,871,708,239.36","2,629,903,384.19","709,853,875.13","1,622,113,248.94","2,334,932,501.27","2,731,588,112.04","549,855,886.65"
二、营业利润,"12,240,308.83","125,581,264.62","134,549,490.20","20,641,632.31","23,443,572.66","28,596,905.94","32,359,161.20","-15,620,355.71","-44,719,819.69","-73,857,500.99","-124,333,428.30","-11,428,531.54","-7,325,868.02","9,312,604.42","11,603,230.77","-23,468,612.95","454,854.63","-59,649,106.13","-199,746,370.00","-43,827,967.70","-29,202,589.70","-7,022,146.21","47,107,187.18","54,559,649.78","146,329,571.66","247,564,153.16","364,253,044.27","131,526,888.71","302,665,207.24","484,122,110.15","396,334,073.49","-150,899,852.53"
减:营业成本,"58,760,340.66","167,559,029.04","255,953,568.99","63,584,954.10","120,243,874.20","173,200,754.66","228,493,887.83","43,358,642.73","117,739,518.38","208,221,429.41","306,553,976.05","88,696,472.22","226,785,378.94","372,322,659.72","499,840,598.89","126,634,420.10","315,455,355.39","533,013,326.68","795,399,150.34","221,495,256.16","503,900,009.74","842,961,046.00","1,203,469,391.19","338,092,065.57","790,769,287.86","1,239,058,849.76","1,756,159,501.81","476,545,481.43","1,048,693,879.57","1,515,600,945.94","1,940,416,887.16","574,011,083.15"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"112,395.57","187,889.76",,,,,,"21,226.41","21,226.41","21,226.41","21,226.41",,336.00,"64,902.88","251,670.02","324,193.99","342,985.07","342,985.07","605,730.71",,"458,088.08","856,471.32","8,101,177.44","2,911,218.70","6,239,219.82","10,256,517.50","14,800,241.80","6,996,406.13","12,648,389.00","15,973,287.74","20,568,524.72","3,319,667.43"
营业外收入,"2,769,000.00","4,482,877.43","9,943,885.62","11,743,312.98","20,199,763.96","20,938,714.94","75,460,199.55","40,981,225.22","72,700,106.08","102,325,884.26","134,643,129.35","31,178,476.62","60,680,990.85","80,476,691.32","95,661,648.91","9,435,198.10","13,099,028.28","89,459,069.88","108,073,418.90","35,455,831.77","93,642,247.23","174,376,776.76","263,374,138.57","54,789,405.45","123,596,414.58","211,482,540.42","223,591,720.36","38,121,227.30","51,767,556.04","52,488,376.61","50,704,189.40","2,332,477.17"
销售费用,"2,337,144.12","6,772,572.28","5,234,791.26","1,821,949.79","3,490,330.52","5,029,962.72","6,558,286.82","1,503,174.19","3,543,622.40","5,339,261.18","7,500,198.21","3,613,702.91","5,914,301.84","9,893,785.81","13,656,272.99","2,679,615.70","4,938,791.89","7,151,291.36","9,636,992.19","2,167,143.16","5,847,102.36","10,644,086.05","15,899,769.69","4,157,896.59","8,555,161.29","14,350,484.36","21,910,163.53","5,007,189.55","13,006,269.03","22,022,387.36","34,871,875.33","9,513,088.20"
减:营业外支出,,"4,312.55","11,916.33","7,536.21","7,536.21","15,297.90","64,354.23",,200.00,"11,502.75","40,160.15","114,380.74","136,318.14","145,631.89","195,299.28","34,765.08","89,465.29","99,455.77","101,195.42","42,073.78","99,566.88","172,292.88","616,590.32","5,200,679.02","6,563,595.71","12,200,627.78","9,268,591.37","876,793.47","5,355,913.30","12,338,115.38","167,105,802.66","1,302,324.09"
管理费用,"16,137,538.83","43,673,799.52","53,875,795.47","9,960,304.93","23,967,215.01","35,739,708.02","46,754,120.71","13,643,453.59","31,270,312.07","55,461,617.22","105,820,519.77","17,861,966.15","41,556,813.69","69,056,667.96","102,026,555.84","36,660,377.25","70,657,950.25","104,298,555.08","138,333,479.13","24,611,407.49","54,611,580.48","91,014,842.17","123,424,982.72","43,769,329.71","104,004,545.31","165,215,781.69","265,075,617.12","81,075,900.90","171,569,953.75","189,582,299.46","233,847,445.47","57,876,689.26"
其中:非流动资产处置净损失,,,,,,"13,047.90","62,104.23",,,,,,,,,205.00,"54,905.21","63,519.80",,,,,,"12,947.12","295,738.49","3,295,510.07",,,,,,
