科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"152,758,429.86","138,345,361.32","158,564,925.23",,"74,425,535.96","116,773,373.12","173,414,608.14","40,860,594.77","88,016,122.75","141,245,195.27","190,947,541.22","53,518,086.38","117,023,545.58","170,294,816.90","247,273,751.95","74,959,469.61","133,365,145.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"32,695,091.23","32,868,839.39","32,696,039.39","32,696,039.39",,
收到的税费返还,"1,548,734.45","1,298,064.36","1,331,951.99",,"648,560.90","1,597,879.08","1,679,329.76","236,654.31","683,564.00","1,444,729.32","1,855,588.47","417,845.65","1,197,639.13","1,784,481.79","2,196,642.10","673,434.65","1,144,823.63"
支付其他与投资活动有关的现金,"1,728,847.00",,,,,"147,000,000.00","217,000,000.00",,"285,000,000.00","460,000,000.00","589,400,000.00","173,000,000.00","268,157,000.00","388,999,478.94","519,800,000.00","210,000,000.00","384,350,000.00"
收到其他与经营活动有关的现金,"4,965,379.67","5,378,588.61","4,372,643.36",,"2,131,162.11","5,217,578.74","4,821,980.45","429,699.31","1,314,933.06","2,137,712.81","3,161,299.43","1,163,578.37","2,212,319.35","8,096,876.16","16,944,251.65","891,126.64","1,726,614.24"
投资活动现金流出小计,"20,977,413.10","45,998,347.24","31,781,775.00",,"16,307,082.08","177,908,815.21","258,860,243.57","185,272,405.37","320,764,131.95","503,846,485.30","638,074,581.35","223,785,567.58","349,600,415.30","517,783,239.10","687,576,954.87","248,427,390.74","453,547,037.25"
经营活动现金流入小计,"159,272,543.98","145,022,014.29","164,269,520.58",,"77,205,258.97","123,588,830.94","179,915,918.35","41,526,948.39","90,014,619.81","144,827,637.40","195,964,429.12","55,099,510.40","120,433,504.06","180,176,174.85","266,414,645.70","76,524,030.90","136,236,583.13"
投资活动产生的现金流量净额,"-20,134,604.29","-45,118,069.17","-31,481,075.00","-10,213,000.00","-16,277,082.08","-177,878,815.21","-209,636,397.51","-10,271,046.48","35,587,514.61","-61,763,879.83","-39,512,366.99","-46,530,081.27","-56,312,545.42","-128,192,585.71","-151,287,860.64","-29,885,340.06","-67,390,361.76"
购买商品、接受劳务支付的现金,"20,378,620.28","18,664,006.03","19,602,018.30",,"10,385,471.45","16,545,697.83","26,562,479.86","6,253,454.79","11,793,803.38","19,328,903.42","31,321,784.14","9,321,709.64","17,721,208.07","28,856,777.80","40,806,130.56","11,938,311.84","23,560,051.82"
吸收投资收到的现金,,,,,"226,576,100.00","226,576,100.00","226,576,100.00",,,,,,,"28,921,030.00","28,686,030.00",,
支付给职工以及为职工支付的现金,"25,755,347.62","28,295,010.42","31,664,422.18",,"22,020,129.45","34,836,468.72","38,883,402.17","14,867,790.44","24,749,444.01","34,301,659.68","44,749,311.00","19,041,864.80","32,384,543.78","47,967,949.44","64,812,677.31","22,558,743.48","37,759,961.18"
取得借款收到的现金,"84,400,076.00","25,160,000.00","110,000,000.00",,,,,,,,,,"13,108,868.80","37,108,868.80","60,704,168.64","22,350,190.40","27,126,564.00"
支付的各项税费,"27,308,078.80","32,801,583.41","33,105,021.84",,"16,366,987.90","24,107,850.30","32,780,129.70","8,905,351.21","16,362,074.95","27,728,677.89","35,805,625.95","9,943,595.41","23,292,273.62","36,204,887.41","46,645,099.07","14,635,595.50","20,095,220.26"
收到其他与筹资活动有关的现金,"4,000,000.00",,,,"57,743,200.00","57,743,200.00","57,743,200.00",,,,,,"9,000,000.00","9,100,000.00","3,000,000.00",,
支付其他与经营活动有关的现金,"6,515,756.94","7,082,823.54","7,901,084.82",,"5,086,545.45","8,169,747.12","10,705,473.80","2,248,800.81","4,536,762.96","6,816,159.42","14,010,645.48","4,436,369.63","8,525,945.52","10,927,261.07","34,348,025.73","3,676,190.70","7,485,003.16"
筹资活动现金流入小计,"88,400,076.00","25,160,000.00","110,000,000.00",,"284,319,300.00","284,319,300.00","284,319,300.00",,,,,,"22,108,868.80","75,129,898.80","92,390,198.64","22,350,190.40","27,126,564.00"
经营活动现金流出小计,"79,957,803.64","86,843,423.40","92,272,547.14",,"53,859,134.25","83,659,763.97","108,931,485.53","32,275,397.25","57,442,085.30","88,175,400.41","125,887,366.57","42,743,539.48","81,923,970.99","123,956,875.72","186,611,932.67","52,808,841.52","88,900,236.42"
偿还债务支付的现金,"137,400,076.00","33,000,000.00","63,160,000.00",,"53,200,000.00","66,000,000.00","66,000,000.00",,,,,"14,011,745.00","33,090,000.00","43,324,716.00","60,008,868.80","6,000,000.00","11,507,482.62"
经营活动产生的现金流量净额,"79,314,740.34","58,178,590.89","71,996,973.44","21,756,000.00","23,346,124.72","39,929,066.97","70,984,432.82","9,251,551.14","32,572,534.51","56,652,236.99","70,077,062.55","12,355,970.92","38,509,533.07","56,219,299.13","79,802,713.03","23,715,189.38","47,336,346.71"
分配股利、利润或偿还利息支付的现金,"3,938,346.98","1,146,175.88","27,781,849.81",,"7,944,396.45","7,983,291.56","8,465,683.23",,"13,752,200.00","13,752,200.00","13,676,137.78","209,571.28","16,184,088.49","16,889,928.33","17,361,473.15","461,305.42","1,272,104.98"
收回投资收到的现金,,,,,,,,"172,000,000.00",,,,,,,,,
支付其他与筹资活动有关的现金,"4,900,000.00","650,000.00","400,000.00",,"359,415.20","65,275,379.65","69,184,633.95",,,,,,"5,200,000.00","6,435,000.00","3,324,716.00",,"422,915.00"
取得投资收益收到的现金,,,,,,,"668,058.59","2,926,358.89","4,276,646.56","5,007,605.47","6,365,399.99","2,185,486.31","3,167,869.88","4,445,653.39","6,267,009.36","2,461,050.68","4,652,427.72"
筹资活动现金流出小计,"146,238,422.98","34,796,175.88","91,341,849.81",,"61,503,811.65","139,258,671.21","143,650,317.18",,"13,752,200.00","13,752,200.00","13,676,137.78","14,221,316.28","54,474,088.49","66,649,644.33","80,695,057.95","6,461,305.42","13,202,502.60"
