科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度
销售商品、提供劳务收到的现金,"162,797,955.14","385,508,161.88","616,354,627.70","806,947,879.28","112,639,628.50","387,004,955.31","585,999,626.52","631,659,376.35","172,262,778.92","339,445,902.39","596,028,256.92","768,977,894.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,,,,,,,,"6,204.53",,,,
支付其他与投资活动有关的现金,,,,,"40,110.00","57,136.33",,,,,,
收到其他与经营活动有关的现金,"23,785,479.29","32,335,635.41","37,605,721.58","50,606,591.83","11,604,609.26","11,189,056.10","14,400,923.75","3,750,732.84","3,855,657.48","17,423,444.40","26,399,999.27","57,054,504.40"
投资活动现金流出小计,"20,650,216.01","59,214,285.47","88,723,268.83","132,077,956.73","72,520,480.67","109,907,181.16","148,854,891.66","681,988,313.44","32,325,502.25","137,530,717.22","596,416,114.32","161,673,936.07"
经营活动现金流入小计,"186,583,434.43","417,843,797.29","653,960,349.28","857,554,471.11","124,244,237.76","398,194,011.41","600,400,550.27","635,416,313.72","176,118,436.40","356,869,346.79","622,428,256.19","826,032,398.70"
投资活动产生的现金流量净额,"-11,745,448.65","-22,549,676.30","-17,578,411.15","-21,652,646.59","-17,481,819.99","-28,473,421.57","-26,205,753.33","-527,973,504.65","3,702,919.21","-60,895,169.07","-106,148,066.49","-149,667,746.07"
购买商品、接受劳务支付的现金,"27,099,283.55","75,189,765.27","157,296,458.91","202,021,438.00","37,405,583.94","257,936,564.29","253,412,747.17","134,246,422.31","36,674,294.12","96,510,685.45","164,668,664.95","183,864,520.40"
吸收投资收到的现金,,,,"1,840,000.00",,,,"810,000.00",,,,
支付给职工以及为职工支付的现金,"13,131,665.99","28,080,486.11","39,644,974.92","64,433,121.82","16,221,783.00","32,051,562.74","43,612,088.17","77,543,305.69","16,486,395.23","33,461,382.52","55,036,268.29","85,397,818.97"
取得借款收到的现金,"2,000,000.00","5,000,000.00","6,500,000.00","6,500,000.00",,,"1,500,000.00","261,692,720.00",,,,
支付的各项税费,"20,325,979.22","93,078,137.55","128,485,694.79","202,226,617.96","24,501,865.06","71,954,414.91","100,365,877.28","104,993,260.33","15,491,662.94","35,572,212.39","71,172,137.44","89,912,209.72"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"17,957,047.65","38,843,297.99","53,473,376.87","75,053,837.00","30,836,839.09","120,774,787.89","169,934,721.65","28,214,773.60","413,579.13","46,623,563.67","36,453,667.51","64,378,932.92"
筹资活动现金流入小计,"2,000,000.00","5,000,000.00","6,500,000.00","8,340,000.00",,,"1,500,000.00","262,502,720.00",,,,
经营活动现金流出小计,"78,513,976.41","235,191,686.92","378,900,505.49","543,735,014.78","108,966,071.09","482,717,329.83","567,325,434.27","344,997,761.93","69,065,931.42","212,167,844.03","327,330,738.19","423,553,482.01"
偿还债务支付的现金,"24,000,000.00","27,000,000.00","477,000,000.00","477,000,000.00","5,000,000.00","6,500,000.00","6,500,000.00","106,650,000.00",,"200,000.00","1,500,000.00","1,500,000.00"
经营活动产生的现金流量净额,"108,069,458.02","182,652,110.37","275,059,843.79","313,819,456.33","15,278,166.67","-84,523,318.42","33,075,116.00","290,418,551.79","107,052,504.98","144,701,502.76","295,097,518.00","402,478,916.69"
分配股利、利润或偿还利息支付的现金,"36,243,761.98","36,320,228.68","36,590,068.16","29,074,691.50","22,477,296.72","22,507,275.85","22,560,877.56","73,117,384.09","24,708.46","73,326.00","92,096.98","88,737.08"
收回投资收到的现金,"7,278,798.99","31,874,730.20","62,674,048.29","99,281,641.46","52,790,184.37","70,473,730.80","112,091,541.18","137,322,814.30","35,694,506.38","70,635,548.15","484,268,047.83","3,105,190.00"
支付其他与筹资活动有关的现金,,,,"6,050,000.00",,,,,,,,"1,856,036.33"
取得投资收益收到的现金,"1,610,968.37","4,768,698.97","8,449,629.39","10,815,768.68","2,248,476.31","1,545,050.00","534,272.15","644,169.49","333,915.08",,,
筹资活动现金流出小计,"60,243,761.98","63,320,228.68","513,590,068.16","512,124,691.50","27,477,296.72","29,007,275.85","29,060,877.56","179,767,384.09","24,708.46","273,326.00","1,592,096.98","3,444,773.41"
处置固定资产、无形资产和其他长期资产收回的现金净额,"15,000.00","21,180.00","21,180.00","327,900.00",,"9,400,514.00","10,023,325.00","16,047,825.00",,"6,000,000.00","6,000,000.00","8,901,000.00"
筹资活动产生的现金流量净额,"-58,243,761.98","-58,320,228.68","-507,090,068.16","-503,784,691.50","-27,477,296.72","-29,007,275.85","-27,560,877.56","82,735,335.91","-24,708.46","-273,326.00","-1,592,096.98","-3,444,773.41"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,"14,464.79",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"8,904,767.36","36,664,609.17","71,144,857.68","110,425,310.14","55,038,660.68","81,433,759.59","122,649,138.33","154,014,808.79","36,028,421.46","76,635,548.15","490,268,047.83","12,006,190.00"
五、现金及现金等价物净增加额,"38,080,247.39","101,782,205.39","-249,608,635.52","-211,617,881.76","-29,680,950.04","-142,004,015.84","-20,691,514.89","-154,819,616.95","110,730,715.73","83,533,007.69","187,357,354.53","249,366,397.21"
购建固定资产、无形资产和其他长期资产支付的现金,"4,365,201.80","7,732,563.90","7,738,521.96","12,792,193.26","3,714,183.20","6,872,876.10","7,411,807.10","492,403,205.16","908,430.10","100,498,064.00","119,882,038.78","161,673,936.07"
期初现金及现金等价物余额,"974,768,173.19","974,768,173.19","974,768,173.19","974,768,173.19","763,150,291.43","763,150,291.43","763,150,291.43","763,150,291.43","608,330,674.48","608,330,674.48","608,330,674.48","608,330,674.48"
投资支付的现金,"16,285,014.21","51,481,721.57","80,984,746.87","119,285,763.47","68,766,187.47","102,977,168.73","141,443,084.56","189,585,108.28","31,417,072.15","37,032,653.22","476,534,075.54",
期末现金及现金等价物余额,"1,012,848,420.58","1,076,550,378.58","725,159,537.67","763,150,291.43","733,469,341.39","621,146,275.59","742,458,776.54","608,330,674.48","719,061,390.21","691,863,682.17","795,688,029.01","857,697,071.69"
