科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"277,000,292.51","295,140,719.90","305,948,681.20","89,314,497.56","166,733,802.88","252,466,147.88","398,284,563.80","138,131,858.59","270,945,943.12","411,707,734.73","585,579,973.76","150,194,666.21","293,171,651.87","442,934,604.73","617,399,844.48","157,035,705.46","297,962,288.09","449,446,137.20","660,601,761.08","156,348,813.95","297,803,174.66","449,016,149.19","701,923,114.59","252,488,512.39","619,199,747.03","887,465,383.83","1,357,490,739.39","360,620,350.58","755,952,472.83","1,160,854,028.28","1,748,926,892.58","276,743,912.65","794,918,284.00","1,286,579,376.02","1,857,817,488.80","358,247,496.28","708,345,418.05","969,245,484.38","1,247,889,350.41","294,983,649.79"
二、营业利润,"32,238,059.37","32,759,253.68","43,292,792.77","13,675,035.85","20,971,822.23","31,177,618.08","42,961,134.83","12,948,015.21","28,660,087.68","36,088,571.96","48,827,278.09","14,116,045.83","29,525,715.97","40,329,719.26","52,215,504.86","12,586,325.73","22,418,898.61","27,535,138.75","46,028,650.86","10,313,096.38","19,930,829.94","22,694,951.72","39,494,668.89","18,388,372.21","57,970,148.30","79,664,308.42","136,762,035.66","26,815,097.72","66,129,689.20","104,570,360.37","181,788,610.49","998,648.31","64,195,072.65","120,736,962.04","106,299,959.48","16,849,724.42","47,962,121.75","29,131,482.35","-781,945,986.60","31,332,594.81"
减:营业成本,"221,744,236.91","232,387,308.41","229,988,789.45","65,267,156.73","127,688,431.64","194,555,830.28","309,076,524.12","108,899,988.41","214,795,310.93","330,360,567.06","469,627,386.11","117,509,780.32","225,964,230.07","345,678,301.28","484,072,877.89","120,449,272.79","234,431,159.27","359,024,217.92","518,506,282.09","122,083,410.15","231,916,252.46","356,930,038.83","556,738,783.34","198,397,480.10","484,116,614.86","705,539,933.51","1,065,833,077.38","274,445,072.80","591,604,772.52","925,965,164.58","1,412,074,528.63","234,571,158.67","664,352,731.67","1,081,334,415.98","1,589,227,081.39","307,909,796.15","610,203,915.77","836,622,804.45","1,115,398,370.52","245,507,455.28"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"813,875.12","1,239,185.69","1,633,830.64","362,409.10","700,490.30","946,633.44","1,759,155.94","569,351.92","1,570,448.36","2,353,527.54","2,822,915.53","537,839.90","1,743,693.80","2,403,652.49","3,349,338.80","400,213.94","889,503.88","1,604,816.67","2,987,934.91","384,691.16","790,664.08","1,021,681.31","3,420,546.94","3,754,402.65","11,849,190.02","16,668,075.08","27,357,120.11","7,882,856.73","15,460,295.31","15,935,032.43","15,232,130.54","2,037,226.14","4,340,482.95","6,832,801.62","11,299,282.64","3,366,084.67","6,695,078.92","9,786,155.21","14,289,707.23","3,473,224.13"
营业外收入,"918,641.27","908,757.81","1,635,898.99","882,565.22","1,325,120.54","1,498,705.25","2,381,931.51","198,988.66","270,911.07","528,704.67","1,054,787.38","989,626.43","1,122,822.43","1,904,638.03","6,627,684.26","1,919,452.69","2,812,708.07","7,691,175.28","8,695,255.40","1,849,634.89","2,709,790.36","5,918,404.55","9,702,450.02","926,058.95","2,986,273.00","4,439,346.40","5,975,625.38","1,110,788.57","1,850,903.12","5,462,156.67","7,281,733.66","662,635.98","8,874,202.33","11,142,103.68","991,945.73","24,781.02","31,248.98","46,189.19","273,299.71","44,402.32"
销售费用,"4,573,163.95","7,580,516.31","8,794,130.45","2,597,721.67","6,194,756.96","9,656,788.70","11,612,029.27","4,489,306.39","7,399,225.96","10,258,350.09","16,016,429.75","3,669,432.79","7,891,825.67","12,577,448.41","19,273,902.64","4,929,124.51","9,754,336.30","15,514,475.56","24,202,734.09","5,682,343.01","11,612,416.35","18,724,913.50","25,751,167.52","6,234,342.32","11,024,769.66","17,347,067.52","26,564,459.70","5,146,032.67","13,150,129.40","18,007,020.32","25,352,776.85","5,955,953.67","12,240,584.55","21,239,392.32","26,539,693.64","6,826,892.58","13,148,532.28","19,303,378.57","45,565,996.08","6,786,166.88"
减:营业外支出,"138,833.39","326,995.22","247,354.62","272,140.54","517,598.34","584,029.60","703,539.34","481,991.62","29,033,785.11","29,278,108.84","27,070,942.50","159,941.89","348,378.45","623,345.54","1,155,152.80","85,120.81","205,347.08","425,161.06","2,638,396.38","352,360.00","588,658.75","1,059,680.53","1,683,290.62","415,528.16","530,248.11","700,522.04","1,354,659.99","1,164,244.65","2,114,665.28","2,800,147.76","3,034,966.06","286,510.42","562,939.41","2,130,351.19","2,647,552.77","983,958.14","1,128,836.18","1,493,248.41","1,158,277.77","477,650.01"
管理费用,"11,969,181.59","12,655,272.20","14,819,292.13","5,564,184.14","8,996,332.27","13,853,829.35","29,654,886.74","9,249,163.44","16,536,662.70","26,350,478.02","36,846,060.00","10,839,508.82","20,001,427.37","29,626,922.27","39,114,660.99","13,748,089.87","23,518,509.21","34,461,700.88","47,181,736.28","14,284,699.80","26,703,549.44","38,485,031.30","57,025,411.01","22,569,533.80","44,688,355.32","67,145,465.84","93,140,662.92","24,196,774.15","50,309,375.26","75,874,885.88","98,802,445.65","25,411,161.48","49,812,576.70","74,370,835.78","102,557,840.96","24,224,586.23","47,457,480.03","78,164,587.68","105,926,943.99","20,882,009.03"
其中:非流动资产处置净损失,"91,336.41",,"52,449.13","104,840.54","111,063.11","116,156.34","336,084.09","230,663.48","23,581,291.35","23,586,673.90","1,341,694.49","4,191.89","100,504.53","100,504.53","442,903.79",,8.22,"89,307.87","2,067,031.71",,"84,050.10","500,414.67","557,035.72","8,990.16","59,595.91","59,730.64","315,172.90","176,449.06","816,334.71","822,582.30","736,553.61","174,258.13","253,029.24","1,291,148.75",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,911,215.11","8,274,819.23","6,896,939.61","1,474,875.67","1,954,535.58","1,767,034.76","2,363,058.91","753,073.02","2,527,859.84","5,801,359.06","10,481,344.61","3,478,624.01","7,193,788.60","11,260,965.72","16,244,833.93","4,173,978.99","6,764,861.70","10,930,760.87","18,040,450.46","3,646,547.61","6,967,355.74","10,915,433.71","15,935,423.96","6,052,829.73","1,389,538.41","-7,706,159.75","-5,577,932.53","10,112,128.84","2,842,574.14","6,858,902.54","-18,093,105.17","-1,240,095.74","-5,513,860.07","-24,108,745.74","-14,310,821.54","2,910,011.22","-13,462,754.84","-6,872,562.15","-1,565,896.49","-43,667.14"
