科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月
一、营业收入,"353,519,246.40","480,454,302.70","534,934,376.87","419,434,957.54","615,761,095.03","145,558,217.92","293,422,545.20","477,678,154.91","715,631,708.33","194,243,982.41","363,199,884.07","596,067,562.22","847,432,022.51","246,268,530.98","435,405,539.79","682,207,583.82","1,076,824,198.02","210,756,175.39","410,375,509.88","692,379,170.88","1,018,047,987.70","281,298,687.59","570,947,708.38","980,386,996.04"
二、营业利润,"91,666,952.70","104,867,968.71","132,751,572.02","108,837,350.27","161,778,151.25","33,377,382.76","54,283,336.65","104,244,797.39","187,878,409.26","44,523,070.94","72,197,992.63","137,457,781.12","212,301,573.37","55,147,191.18","81,177,772.92","147,859,882.97","263,636,565.95","39,635,694.38","33,688,241.95","75,676,960.56","131,091,645.72","63,534,949.49","70,269,571.43","144,768,728.83"
减:营业成本,"210,017,431.05","276,705,302.00","268,570,164.42","193,810,216.59","295,659,475.86","61,895,158.47","141,487,770.92","239,169,245.59","353,884,355.49","96,192,521.76","184,438,722.47","295,173,221.95","430,098,968.12","115,269,990.25","206,172,377.50","319,978,625.56","522,396,178.91","105,592,939.12","232,410,612.61","394,445,740.66","588,597,425.08","144,816,379.43","326,019,632.72","556,563,167.21"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,648,295.30","2,576,481.39","2,738,605.34","2,317,691.79","3,348,831.99","800,698.95","1,989,568.69","2,998,440.48","4,435,917.36","1,140,246.47","2,528,147.58","4,179,554.40","6,037,699.67","1,455,802.22","2,619,117.79","4,412,229.61","7,550,111.19","1,075,564.20","2,087,905.84","3,257,102.76","5,206,976.02","929,757.94","1,781,567.55","3,138,048.59"
营业外收入,"465,235.00","1,881,208.67","3,386,879.92","1,261,906.58","1,554,427.25",,"7,467,188.83","7,721,766.42","10,492,347.56","124,062.38","396,470.28","618,641.04","3,872,482.37","136,341.30","632,430.43","1,009,170.19","2,891,745.05","736,752.01","2,272,505.24","2,966,436.67","7,414,500.42","1,946,682.67","4,262,862.70","4,984,965.16"
销售费用,"18,438,182.49","37,211,611.01","53,077,613.27","46,417,625.05","69,571,850.11","18,807,257.93","43,009,826.83","65,721,095.01","97,514,066.36","30,089,261.94","61,324,365.75","87,598,703.35","121,961,545.29","43,605,750.66","68,148,454.91","92,814,691.48","132,829,871.30","32,413,952.16","62,975,726.12","88,527,520.74","126,466,343.14","31,590,571.65","71,266,560.69","103,672,332.09"
减:营业外支出,"846,629.72","4,920,551.44","1,309,459.09","1,301,813.02","1,568,057.76","149,641.38","540,984.01","1,292,207.08","5,279,452.04","105,791.93","1,135,817.49","2,376,703.55","5,796,372.70","320,715.28","1,152,739.77","1,876,762.27","3,117,474.40","756,006.09","866,833.35","1,371,074.70","2,040,322.58","4,827,694.59","4,940,624.83","6,089,937.43"
管理费用,"28,468,195.20","48,349,127.37","72,337,000.16","56,764,297.31","78,753,050.68","28,300,236.50","50,029,519.06","73,664,145.44","94,484,389.24","28,975,508.76","59,956,047.80","93,630,018.57","112,824,477.69","34,452,234.79","88,708,786.76","131,864,209.55","170,814,592.18","40,500,538.58","97,555,746.80","154,036,675.15","200,389,020.55","40,759,392.68","108,736,385.14","178,163,846.14"
其中:非流动资产处置净损失,"237,228.05","4,119,771.10","753,441.71","10,008.12","32,072.33",,"471,036.35","630,077.67","4,643,200.94","55,791.93","59,941.56","628,949.82","3,383,718.97","81,820.82","95,075.91","252,098.41","804,012.45","168,163.19","244,907.34","332,248.69","449,459.53","3,639,094.41","3,637,724.65","3,638,876.08"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"3,164,722.35","6,851,422.96","5,303,177.62","2,652,661.07","3,728,433.57","568,089.80","-5,395,791.60","-16,328,230.33","-24,674,015.65","-10,638,497.24","-19,978,490.05","-29,087,131.65","-36,836,582.65","-7,575,200.67","-15,822,259.81","-24,598,659.14","-30,013,723.67","-6,000,876.84","-12,964,712.89","-19,237,315.23","-25,080,584.34","-4,748,841.09","-11,021,312.06","-16,088,782.64"
三、利润总额,"91,285,557.98","101,828,625.94","134,828,992.85","108,797,443.83","161,764,520.74","33,227,741.38","61,209,541.47","110,674,356.73","193,091,304.78","44,541,341.39","71,458,645.42","135,699,718.61","210,377,683.04","54,962,817.20","80,657,463.58","146,992,290.89","263,410,836.60","39,616,440.30","35,093,913.84","77,272,322.53","136,465,823.56","60,653,937.57","69,591,809.30","143,663,756.56"
资产减值损失,"115,467.31","3,892,389.26","156,244.04","8,635,115.46","2,921,301.57","1,809,393.51","8,018,314.65","8,208,661.33","2,108,586.27","3,961,869.78","2,733,097.89","7,115,414.48","1,044,341.02","3,912,762.55","4,401,289.72","9,876,603.79","9,610,602.16","2,075,350.09","-841,024.25","210,942.54","-4,084,382.17","4,416,477.49","3,897,507.91","10,171,860.82"
