科目,2005年度
一、营业收入,"19,517,219,000.00"
二、营业利润,"2,665,237,000.00"
减:营业成本,"15,572,136,000.00"
加:补贴收入,
营业税金及附加,"96,666,000.00"
营业外收入,"14,671,000.00"
销售费用,"553,943,000.00"
减:营业外支出,"43,487,000.00"
管理费用,"545,127,000.00"
其中:非流动资产处置净损失,
堪探费用,
加:影响利润总额的其他科目,
财务费用,"101,837,000.00"
三、利润总额,"2,636,421,000.00"
资产减值损失,
减:所得税,"798,284,000.00"
加:公允价值变动净收益,
加:影响净利润的其他科目,
投资收益,"857,000.00"
四、净利润,"1,838,137,000.00"
其中:对联营企业和合营企业的投资权益,
归属于母公司所有者的净利润,"1,838,137,000.00"
影响营业利润的其他科目,"16,870,000.00"
少数股东损益,
