科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,104,510,349.28","1,916,750,366.20","2,198,251,817.50","1,186,571,184.36","2,458,060,288.43","601,475,946.87","1,247,164,710.33","1,933,796,590.06","2,734,278,822.59","499,335,286.78","1,238,217,977.32","1,687,289,541.48","2,149,882,618.34","500,251,768.19","1,072,214,247.73","1,501,869,643.86","2,045,455,489.83","521,579,606.13","1,169,714,935.06","1,743,512,860.43","2,395,169,023.57","594,911,977.00"
二、营业利润,"134,445,262.62","240,143,807.26","363,005,681.91","259,442,696.47","566,722,041.64","151,038,628.36","309,278,110.72","481,799,743.35","675,100,458.90","146,724,252.03","269,879,522.35","324,713,033.28","365,626,439.54","74,518,583.92","159,193,578.54","217,997,116.93","242,259,104.15","58,191,018.34","124,277,923.63","187,950,250.99","256,690,577.54","50,371,831.80"
减:营业成本,"692,878,879.97","1,300,392,287.93","1,372,675,439.69","638,601,681.64","1,352,520,779.01","349,967,962.22","696,791,194.49","1,080,355,317.46","1,499,797,037.85","262,096,782.95","724,537,278.40","1,005,157,772.46","1,255,197,445.35","307,737,883.84","680,723,109.52","973,820,296.19","1,321,303,319.80","354,429,560.82","793,179,047.49","1,197,743,807.04","1,645,016,338.34","417,643,636.22"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"16,539,844.47","17,539,191.15","30,026,962.81","14,777,590.79","24,686,324.13","5,771,559.38","11,472,656.30","17,214,001.78","24,245,999.60","3,805,257.35","11,762,437.43","15,764,023.44","20,996,355.29","2,741,207.70","5,104,783.69","10,942,129.75","21,778,110.73","7,859,899.11","14,445,077.56","21,234,586.31","29,297,325.08","8,867,931.38"
营业外收入,"2,804,600.46","6,911,830.55","9,598,456.91","4,151,626.90","15,794,059.50","3,172,931.31","4,246,046.33","12,057,233.12","12,546,081.56","2,507,785.67","19,725,857.18","79,816,678.66","86,249,550.07","1,953,178.04","5,946,420.11","12,108,258.23","21,230,953.94","2,521,221.81","3,305,965.73","1,964,230.48","2,650,099.93","190,756.63"
销售费用,"102,502,044.19","150,146,897.34","197,862,703.51","131,623,739.51","249,190,954.23","41,530,569.68","111,896,827.32","176,631,831.27","263,144,513.70","46,096,681.76","124,836,331.36","186,595,669.22","263,419,132.60","75,333,039.97","144,856,021.36","159,876,974.95","233,272,463.24","58,315,774.50","121,493,491.02","175,646,243.07","239,364,587.27","63,444,034.75"
减:营业外支出,"4,353,078.51","2,121,660.86","5,319,212.19","462,863.61","2,554,498.55","57,702.72","363,450.77","598,294.42","2,868,063.34","26,124.36","15,042,762.15","16,448,343.86","32,116,168.66","44,196.30","600,064.98","899,951.24","3,544,105.39","1,793,721.06","3,122,362.06","3,705,793.84","1,650,934.77","371,607.30"
管理费用,"133,394,717.39","161,660,691.69","178,297,439.06","96,335,458.56","215,091,327.82","58,094,235.61","118,430,334.06","179,254,640.87","243,939,871.79","54,525,405.79","126,405,401.40","180,563,977.69","237,736,676.62","44,640,966.50","94,066,009.74","152,077,401.84","209,612,783.30","47,059,893.34","97,122,105.04","156,891,628.97","213,286,936.32","55,510,501.97"
其中:非流动资产处置净损失,"2,165,105.86","348,536.98","3,369,531.63","167,101.06","265,807.10",,,"102,379.93","456,461.15","3,497.27","14,534,188.48","14,611,886.51","28,881,825.65",950.84,"351,582.79","514,706.24","1,920,959.89","-1,802,968.02","2,084,465.77","2,119,086.05",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,
财务费用,"17,206,040.68","35,949,021.41","36,437,746.41","17,755,381.93","13,536,769.33","507,356.61","-2,137,750.04","12,534,737.41","12,988,233.39","-1,659,321.77","-3,360,571.97","1,002,892.36","-8,212,537.61","2,232,758.96","-11,631,127.69","-11,345,860.09","-14,649,094.76","2,129,261.32","11,783,583.55","12,299,020.75","16,175,499.60","16,137,657.20"
