科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"51,397,058.58","57,333,270.61","56,385,254.29","58,196,183.00","22,105,426.92","102,193,732.34","38,602,620.35","29,221,713.12","13,138,504.92","15,126,300.08","22,930,396.17","33,288,584.22","21,587,987.52","24,462,733.60","31,118,457.79"
短期借款,"32,499,579.00","38,210,000.00","47,970,000.00","72,331,000.00","78,595,000.00","48,566,000.00","33,783,000.00","51,392,000.00","64,232,000.00","55,174,000.00","52,669,000.00","50,481,800.00","59,703,800.00","64,367,800.00","90,567,800.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"12,557,187.60","22,894,025.80","11,488,478.02","7,493,278.85","4,897,504.40","24,236,215.55","7,882,651.66","42,626,894.80","41,937,988.07","34,614,855.02","27,739,560.63","27,520,162.68","14,413,569.57","33,606,063.83","28,024,010.40"
应付票据,"10,976,000.00","13,066,098.30","4,930,000.00","16,970,000.00","16,280,000.00","16,180,000.00","5,390,000.00","6,149,724.66","6,149,724.66",,"7,200,000.00","18,865,364.78",,"33,680,877.07",
应收账款,"134,521,424.91","176,379,478.03","232,821,462.06","272,196,237.11","322,024,107.45","325,283,683.78","343,910,456.50","360,106,198.59","366,569,945.41","374,214,913.76","378,142,469.75","414,568,484.97","425,399,816.40","390,206,340.70","383,591,846.94"
应付账款,"52,138,450.19","65,350,393.31","85,622,844.69","69,340,128.62","81,291,271.89","105,850,870.97","88,873,520.00","78,941,405.24","67,468,339.81","96,116,656.68","107,687,962.28","80,855,520.09",,"59,102,483.22",
预付款项,"470,782.87","817,583.38","511,020.55","1,119,296.70","5,083,521.01","826,651.54","2,490,421.62","2,174,370.64","2,924,106.14","6,609,427.45","4,348,582.09","4,640,494.33","8,828,346.38","1,696,407.27","3,785,102.84"
预收款项,"2,017,744.42","524,203.90","413,489.99","1,085,979.95","3,123,986.41","435,689.19","969,997.63","1,747,677.25","2,781,437.00","2,231,600.43","4,601,282.89","5,614,919.86","10,250,335.06","6,991,326.46","10,828,646.66"
