科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"200,114,674.28","277,858,034.93","49,993,164.51","320,686,926.96","47,565,164.82","128,255,678.33","221,705,243.66","330,170,106.86","56,256,120.58","148,825,838.42","311,996,345.52","397,639,336.88","102,328,702.83","219,632,966.42","354,771,898.68","534,637,714.57","145,832,017.27","313,659,919.56","558,970,014.06","862,799,748.28","193,016,856.21","503,721,988.67","930,265,054.14","1,279,886,847.96","356,797,630.47","941,999,610.38","1,833,199,584.80","2,636,838,536.95","647,474,694.06","1,419,154,845.43","2,438,497,880.12","3,338,093,729.31","922,487,872.68","1,819,710,731.53","2,611,504,820.13","3,241,374,703.93"
取得子公司及其他营业单位支付的现金净额,"10,016,136.97","4,927,533.15",,,,,,,,,,"193,650,468.87","27,090,000.00","27,090,000.00","27,090,000.00","33,416,332.16",,,,"59,821,170.17","13,000,000.00","11,823,862.14","11,823,862.14","246,983,529.78",,,,,,,,,,,,
收到的税费返还,,"382,634.28","644,238.00","911,924.24",,"712,860.00","712,860.00","712,860.00",,,,,,,"5,000.00",,,,,,,,,"90,000.00",,,,,,,,,,,,"2,029.59"
支付其他与投资活动有关的现金,,"5,090,467.50",,,,,,"8,570,000.00",,"481,990.36",,"170,398.42","12,500.00",,,,,,,"6,800,000.00",,,,,,,,,,,,,,,,"45,000,000.00"
收到其他与经营活动有关的现金,"1,697,087.80","2,194,580.55","270,405.36","4,435,954.25","477,132.13","1,833,021.29","3,627,339.79","6,063,500.06","3,410,240.69","42,661,997.44","26,754,606.65","13,678,451.45","687,168.09","2,113,313.20","10,899,629.72","26,898,870.00","729,239.53","5,606,296.65","5,860,375.21","7,035,781.91","727,910.29","2,414,190.05","5,245,823.43","9,041,230.63","447,462.28","2,605,166.39","3,474,697.91","36,114,976.89","22,171,731.71","63,286,084.38","63,862,687.34","17,922,270.57","8,594,192.70","8,719,525.42","10,944,111.90","28,116,565.50"
投资活动现金流出小计,"22,015,287.61","62,509,213.69","16,811,300.80","35,390,611.78","6,161,383.00","28,393,321.00","143,896,222.95","191,249,602.38","41,059,799.00","71,674,426.56","93,522,243.84","311,415,217.56","97,416,213.00","145,545,440.32","219,964,975.02","300,482,025.71","110,147,075.29","138,731,998.39","159,284,559.39","406,827,961.16","66,667,700.51","112,825,976.26","745,339,921.81","1,190,124,661.38","51,180,487.47","122,979,294.79","237,313,138.66","359,789,898.66","42,650,433.31","202,011,639.90","260,413,575.63","576,495,410.40","380,874,194.80","559,398,627.81","996,666,403.01","1,101,994,504.00"
经营活动现金流入小计,"201,811,762.08","280,435,249.76","50,907,807.87","326,034,805.45","48,042,296.95","130,801,559.62","226,045,443.45","336,946,466.92","59,666,361.27","191,487,835.86","338,750,952.17","411,317,788.33","103,015,870.92","221,746,279.62","365,676,528.40","561,536,584.57","146,561,256.80","319,266,216.21","564,830,389.27","869,835,530.19","193,744,766.50","506,136,178.72","935,510,877.57","1,289,018,078.59","357,245,092.75","944,604,776.77","1,836,674,282.71","2,672,953,513.84","669,646,425.77","1,482,440,929.81","2,502,360,567.46","3,356,015,999.88","931,082,065.38","1,828,430,256.95","2,622,448,932.03","3,269,493,299.02"
投资活动产生的现金流量净额,"-22,015,287.61","-58,047,645.19","-16,811,300.80","-34,746,373.78","-6,161,383.00","-28,350,821.00","-143,853,722.95","-191,207,102.38","-41,059,799.00","-71,674,426.56","-84,952,243.84","-302,845,217.56","-97,410,594.20","-145,539,821.52","-219,953,737.42","-300,470,788.11","-110,147,075.29","-138,731,998.39","-159,284,559.39","-406,822,342.36","-66,667,700.51","-112,825,976.26","-737,999,921.81","-701,797,293.27","222,572,625.23","150,773,817.91","36,445,592.84","-86,026,637.16","-42,650,433.31","-202,010,599.90","-256,966,276.83","-576,484,075.60","-379,243,515.80","-557,763,333.43","-995,030,445.63","-1,039,642,874.03"
购买商品、接受劳务支付的现金,"135,041,665.83","186,744,672.71","59,383,084.77","213,443,168.81","63,127,524.02","112,094,165.79","186,318,889.51","289,330,649.77","94,589,964.93","250,593,446.27","388,234,880.68","405,493,697.83","34,477,766.65","113,565,519.06","216,499,161.33","358,035,215.67","129,503,268.68","280,768,705.99","564,597,466.30","791,134,274.98","169,658,068.12","469,721,202.63","818,147,210.68","1,262,354,085.28","369,375,314.31","983,658,367.83","1,848,551,853.49","3,442,946,871.39","620,897,498.94","1,422,196,238.73","2,335,585,559.60","2,744,630,455.31","700,841,305.12","1,445,970,962.70","2,014,686,261.09","2,521,577,037.12"
吸收投资收到的现金,"41,000,000.00",,,,,"706,225,000.00","706,225,000.00","706,225,000.00",,,,,,,,"771,450,000.00",,,,,,,"1,565,992,000.00","1,565,992,000.00","34,218,620.00","34,218,620.00","94,218,620.00","588,217,952.00","4,745,990.00","4,745,990.01","4,745,990.01","4,842,500.00",,"569,260.07","569,260.07","6,000,000.00"
