科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"21,091,737.95","61,896,888.88","101,443,103.50","62,386,205.14","864,508,660.09","830,643,043.09","797,689,174.62","665,763,130.96","540,956,329.38","487,715,732.93","398,783,962.32","340,983,520.82","407,182,809.24","397,033,460.07","451,153,359.29","484,107,313.93","566,175,619.75","611,824,666.83","471,028,442.38","408,079,225.94","260,494,313.50","266,419,143.80","214,064,412.98","755,783,050.75","441,263,001.39","136,055,105.48","1,562,324,768.18","983,900,269.88","836,275,334.71","1,090,829,360.25","897,712,147.91","723,866,708.63","752,391,885.70","993,287,012.53","701,094,468.54","706,330,034.36","592,055,167.66","747,377,633.69","470,643,753.31","766,763,748.42"
短期借款,"25,317,233.92","58,093,961.81","63,997,030.94","26,080,229.93","7,557,011.84","6,765,980.65","3,247,430.62","3,247,430.62","14,000,000.00","10,000,000.00","22,173,550.00","28,087,500.00","66,087,500.00","39,090,996.43",,"10,000,000.00","11,731,522.20","21,731,522.20","20,000,000.00","206,039,123.46","295,916,003.32","517,122,888.14","533,102,011.28","439,604,838.13","529,495,976.05","494,695,668.19","436,056,760.75","303,582,897.76","519,157,651.29","752,778,224.25","589,923,940.29","686,240,609.33","757,615,720.04","889,785,118.65","968,747,794.94","1,104,285,680.83","989,006,549.67","1,348,039,776.08","1,072,208,960.16","935,606,748.37"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,226,515.31",,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"24,387,391.19","24,757,315.80","44,774,924.66","19,347,277.78","10,534,166.60","12,658,138.30","15,793,484.49","10,287,409.46","4,466,412.75","40,304,662.83","96,555,756.65","93,314,593.70","114,722,818.08","145,132,426.88","99,773,083.48","136,478,568.60","130,936,303.09","159,775,518.48","172,418,720.07","221,029,819.27","229,697,533.32","247,845,711.92","180,282,788.31","154,167,492.94","83,385,207.34","130,496,224.04","327,411,232.34","301,456,090.27","241,207,167.06","336,925,557.36","290,682,483.62","388,703,197.87","408,942,239.04","546,032,605.24","469,715,079.12","403,821,015.95","402,968,312.51","298,539,904.16","239,505,452.72","264,220,030.64"
应付票据,,"30,786,429.70","2,330,014.97","710,890.49","489,199.84","4,252,351.15","10,026,209.78","4,929,712.67","8,246,159.22","9,491,508.24","5,847,732.64","13,141,214.45","38,035,506.50","87,313,787.42","118,576,716.29","179,288,564.93","315,216,516.31","380,629,785.71","416,201,521.76","362,750,373.11","358,293,536.01","395,223,786.16","408,305,858.88","375,090,878.45","414,231,242.42","401,995,893.05","713,613,802.24","666,202,828.44","984,470,466.24","1,287,684,617.32","1,246,992,544.61","1,241,232,105.95","1,374,217,516.17","1,529,676,097.49","1,439,288,558.51","1,453,192,623.88","1,493,948,485.57",,"1,346,199,779.76",
应收账款,"49,926,512.91","57,766,161.09","41,416,334.48","60,512,564.86","69,866,446.04","83,146,124.15","80,513,018.39","79,235,150.00","121,723,061.76","136,737,407.44","188,988,804.23","121,380,658.41","161,020,511.28","186,687,948.63","317,157,520.32","167,363,643.13","260,118,706.09","222,837,573.43","391,700,101.00","461,541,927.61","642,519,188.80","538,789,501.10","669,277,375.85","531,088,469.26","480,777,553.80","711,807,963.85","1,116,131,009.28","1,076,744,872.83","1,189,064,578.92","975,939,819.04","1,192,002,402.65","1,387,810,548.18","1,504,950,018.71","1,206,336,523.34","1,611,429,686.96","1,425,645,876.28","1,864,921,208.08","1,690,467,060.10","1,639,691,694.88","1,540,728,333.57"
应付账款,"72,418,540.29","121,287,290.92","123,475,248.24","151,608,096.06","176,106,402.14","202,521,886.98","212,888,932.62","280,958,669.31","227,799,486.57","375,187,733.16","329,041,035.66","313,182,572.26","389,873,040.84","384,529,935.44","576,240,037.87","630,381,416.80","848,010,072.67","691,225,274.25","726,703,631.16","731,373,917.27","938,190,711.93","945,410,170.12","1,086,147,842.62","1,117,404,335.27","907,924,141.75","1,139,265,701.49","1,435,693,666.44","1,555,667,918.52","1,469,853,875.11","1,393,603,608.28","1,291,601,639.94","1,448,548,124.88","1,604,857,708.73","1,615,573,022.21","1,574,722,476.59","1,378,216,329.67","1,556,634,557.77",,"1,713,577,153.45",
预付款项,"3,211,770.00","10,960,378.21","9,759,593.97","18,008,092.32","35,009,118.97","33,677,407.53","32,248,526.01","76,590,398.50","29,375,421.93","51,935,133.58","24,561,309.45","27,935,371.28","27,208,351.46","18,221,318.51","16,456,934.03","80,872,712.09","111,629,186.09","87,467,329.54","101,017,589.23","175,369,710.01","162,455,932.89","275,476,879.82","161,588,280.46","186,687,710.37","188,217,433.08","229,482,784.29","114,687,012.94","147,540,598.97","38,806,967.53","89,596,748.43","52,566,707.94","121,343,472.74","108,518,446.69","87,069,584.03","108,608,484.70","129,392,658.97","136,330,771.82","215,545,848.51","89,335,918.12","233,975,838.00"
预收款项,"3,313,033.93","5,559,719.13","844,269.64","745,051.04","1,387,557.50","480,337.64","821,383.03","1,991,877.65","3,200,909.18","3,136,461.28","1,231,638.95","891,942.13","1,832,770.96","3,509,747.19","1,229,012.91","5,920,972.08","6,617,724.90","3,728,322.54","3,547,902.25","12,868,098.93","9,464,152.95","18,425,131.54","13,632,343.74","16,154,083.19","10,636,519.65","10,932,412.93","72,125,573.11","35,984,926.09","63,677,455.54","130,499,330.46","146,443,602.75","185,859,236.01","277,791,726.85","393,241,172.76","295,277,527.66","357,452,638.50","361,435,225.07","429,570,453.48","332,390,436.94","271,536,552.46"
