科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"178,489,529.39","228,106,473.56","99,973,920.46","185,667,023.69","253,741,714.10","54,908,623.49","111,103,729.77","171,445,970.51","305,553,499.87","63,486,567.89","134,514,717.77","213,435,444.86","500,490,632.83","123,420,273.50","245,969,213.36","413,915,963.91","670,652,759.15","131,289,551.92","303,897,433.13","520,378,988.06","827,472,299.43","183,558,410.72","295,114,536.34","423,086,783.12","736,858,137.04","235,197,470.07","359,616,538.73","638,615,289.48","1,058,468,893.83","299,946,547.22","484,247,431.03","673,537,307.41","1,029,445,500.87","231,459,103.75","386,492,661.95","523,431,185.74","1,003,329,858.48"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"789,374.73","1,652,052.78"
收到的税费返还,"95,666.66","154,904.13","89,743.60","89,743.60","89,743.60","153,897.44","110,597.44","213,709.41","303,709.41",,,"91,930.42","385,390.14","287,683.67","2,521,066.36","2,960,778.43","3,820,369.87","265,103.11","497,394.66","1,812,743.70","3,526,496.36","807,700.69","1,601,672.93","4,346,181.16","4,680,686.04","114,506.86","1,594,263.88","1,755,539.03","3,278,965.80","997,195.13","2,749,961.78","3,141,885.65","4,302,468.91","242,864.16","1,805,009.46","2,221,096.51","4,259,478.90"
支付其他与投资活动有关的现金,,,,,,,,,,,,"870,000.00",,"1,000,000.00","1,000,000.00","1,000,000.00",,,"2,453,952.21","2,453,952.21","566,634.74",,,,"121,000,000.00","197,000,000.00","197,000,000.00","629,000,000.00",,,"165,000,000.00","165,000,000.00",,,,,
收到其他与经营活动有关的现金,"775,000.00","2,016,691.64","1,290,322.02","5,723,175.86","3,833,743.96","1,450,002.97","1,643,353.12","1,764,253.12","2,809,189.64","103,631.02","444,389.92","7,255,614.21","9,177,174.75","1,323,136.94","4,979,311.31","10,692,108.84","13,285,647.72","30,197,359.53","22,233,263.84","15,442,873.95","134,426,753.14","37,889,350.72","100,775,712.04","120,351,486.68","151,238,629.63","40,784,342.75","90,164,156.70","132,131,732.40","185,803,745.67","21,241,756.82","85,545,901.45","146,516,041.70","150,176,616.67","32,929,971.39","92,525,093.74","209,998,211.84","168,363,772.29"
投资活动现金流出小计,"3,904,163.36","9,073,648.11","359,098.88","612,590.79","704,615.46","1,283,344.66","6,390,105.67","8,267,034.65","31,252,977.34","43,530,624.04","45,048,253.40","83,418,475.15","66,441,647.44","21,110,578.78","32,631,610.40","47,203,204.95","46,451,889.34","3,960,186.72","24,447,885.94","36,089,991.33","39,849,319.84","8,303,342.09","423,325,971.58","524,973,924.53","715,106,309.93","348,951,229.53","525,806,815.17","1,034,290,469.37","446,281,195.22","66,545,315.53","192,833,107.17","235,587,853.56","1,387,975,624.87","8,454,798.71","30,324,688.34","73,828,247.52","619,801,078.19"
经营活动现金流入小计,"179,360,196.05","230,278,069.33","101,353,986.08","191,479,943.15","257,665,201.66","56,512,523.90","112,857,680.33","173,423,933.04","308,666,398.92","63,590,198.91","134,959,107.69","220,782,989.49","510,053,197.72","125,031,094.11","253,469,591.03","427,568,851.18","687,758,776.74","161,752,014.56","326,628,091.63","537,634,605.71","965,425,548.93","222,255,462.13","397,491,921.31","547,784,450.96","892,777,452.71","276,096,319.68","451,374,959.31","772,502,560.91","1,247,551,605.30","322,185,499.17","572,543,294.26","823,195,234.76","1,183,924,586.45","264,631,939.30","480,822,765.15","735,650,494.09","1,175,953,109.67"
投资活动产生的现金流量净额,"-2,984,566.02","-9,060,148.11","1,753,837.86","-612,590.79","1,408,321.28","-1,267,560.57","-6,366,321.58","-8,201,069.90","-30,713,345.30","-43,530,624.04","-45,048,253.40","-80,972,770.15","-56,928,283.50","-21,110,578.78","-32,631,610.40","-47,203,204.95","-22,242,940.12","-6,712,975.05","-24,132,452.67","-35,777,258.06","-39,564,564.39","-8,289,342.09","-89,825,764.63","-103,586,737.31","-143,302,275.31","-152,648,352.82","-82,794,044.26","-86,771,378.40","69,079,752.49","-66,289,316.89","-57,354,711.27","-62,625,430.26","-105,393,056.90","-8,349,798.71","-29,833,928.89","-73,043,776.63","-87,427,186.57"
购买商品、接受劳务支付的现金,"123,173,062.11","164,653,229.26","81,197,250.00","197,896,968.75","171,686,497.83","74,004,958.29","128,655,652.07","187,063,942.76","272,521,901.22","61,326,174.17","108,182,137.10","177,077,582.36","336,026,788.28","136,803,704.05","244,474,344.36","341,224,044.40","469,179,671.00","149,566,324.15","300,771,705.47","478,688,248.89","703,659,857.15","197,356,551.67","313,433,364.75","462,506,613.00","640,185,615.09","161,748,580.48","297,753,437.83","521,125,775.44","770,716,728.56","233,334,250.56","400,809,222.81","561,758,115.42","760,455,678.60","220,526,881.61","359,648,451.31","541,302,175.66","776,735,167.02"
吸收投资收到的现金,,,,,"355,113,848.00",,,,"4,000,000.00",,"1,942,241.00","1,942,241.00","1,942,241.00",,,,,,"4,900,000.00","4,900,000.00","4,900,000.00","5,000,000.00",,"363,629,014.58","363,629,014.58",,,,"1,500,000.00",,,,,,,"300,000.00","300,000.00"
支付给职工以及为职工支付的现金,"9,990,921.25","13,100,627.64","9,496,351.24","12,767,566.99","16,108,996.12","5,941,612.54","10,067,842.88","15,194,017.62","19,950,880.23","9,303,968.71","9,391,109.42","14,217,040.60","29,164,194.53","21,001,762.17","23,036,977.53","35,522,441.43","59,364,036.15","24,894,779.41","23,775,908.56","40,902,933.61","70,196,076.97","23,885,062.71","39,795,286.97","52,737,101.17","72,779,817.61","30,048,729.48","41,505,361.16","56,085,370.30","89,021,947.36","34,355,733.71","58,059,184.93","70,086,661.60","93,208,418.91","42,818,434.40","62,018,834.41","76,579,338.47","138,515,767.44"
取得借款收到的现金,"52,000,000.00","42,000,000.00","30,000,000.00","30,400,000.00","35,400,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,"5,000,000.00","5,000,000.00","5,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,"5,000,000.00","5,000,000.00","10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00"
支付的各项税费,"4,206,815.56","10,105,328.16","1,966,176.96","3,680,956.51","5,625,772.17","4,825,175.03","6,216,225.77","9,961,877.80","12,968,994.35","5,783,316.53","8,192,504.21","12,773,482.61","19,647,210.13","8,782,822.20","13,811,430.59","20,138,071.85","31,557,763.41","10,790,312.72","17,197,247.98","24,977,314.99","38,263,702.00","9,728,365.97","16,398,389.74","24,966,785.00","36,388,157.61","12,634,475.34","21,157,031.11","27,829,075.77","42,326,555.80","13,869,867.26","23,214,239.27","32,325,721.81","53,392,642.66","15,523,802.89","28,993,572.28","39,997,471.41","43,440,044.08"
收到其他与筹资活动有关的现金,"2,089,514.40","2,132,703.73","102,320.03","115,145.89","337,744.88","367,051.50","610,440.66","1,003,830.64","1,872,684.87","142,526.88","2,556,675.38","3,141,793.26","4,457,231.00","659,067.68","3,216,434.59","3,278,443.49","8,540,267.59","3,622,023.74","5,277,978.75","7,408,114.20","4,953,593.19","5,805,669.75","5,745,396.62","2,787,343.14","1,090,034.35","3,437,309.87","4,737,650.76","4,290,355.94","12,081,044.12","341,028.04","6,009,945.89","5,816,604.89","7,814,907.99","17,633,121.57","20,508,084.85","18,810,365.40","32,692,131.97"
支付其他与经营活动有关的现金,"17,115,023.54","21,223,900.23","8,556,020.00","10,639,932.47","25,403,214.12","12,993,822.91","16,703,240.97","25,691,363.91","38,401,835.50","10,220,809.57","19,392,213.59","18,061,626.60","43,051,532.57","26,111,472.35","46,932,447.19","53,407,723.51","86,654,877.71","8,360,631.88","20,523,936.08","24,333,825.23","98,436,301.15","43,909,786.93","101,339,121.30","140,337,498.86","152,516,448.82","56,909,714.95","122,677,139.12","173,005,418.62","221,558,199.14","46,606,860.36","89,884,860.15","138,162,052.18","166,481,823.63","64,080,584.61","137,620,078.75","259,274,833.63","187,353,144.31"
筹资活动现金流入小计,"54,089,514.40","44,132,703.73","30,102,320.03","30,515,145.89","390,851,592.88","10,367,051.50","10,610,440.66","11,003,830.64","15,872,684.87","142,526.88","4,498,916.38","5,084,034.26","6,399,472.00","659,067.68","8,216,434.59","8,278,443.49","13,540,267.59","3,622,023.74","15,177,978.75","17,308,114.20","14,853,593.19","10,805,669.75","15,745,396.62","376,416,357.72","374,719,048.93","3,437,309.87","14,737,650.76","14,290,355.94","23,581,044.12","341,028.04","11,009,945.89","10,816,604.89","17,814,907.99","17,633,121.57","30,508,084.85","29,110,365.40","42,992,131.97"
经营活动现金流出小计,"154,485,822.46","209,083,085.29","101,215,798.20","224,985,424.72","218,824,480.24","97,765,568.77","161,642,961.69","237,911,202.09","343,843,611.30","86,634,268.98","145,157,964.32","222,129,732.17","427,889,725.51","192,699,760.77","328,255,199.67","450,292,281.19","646,756,348.27","193,612,048.16","362,268,798.09","568,902,322.72","910,555,937.27","274,879,767.28","470,966,162.76","680,547,998.03","901,870,039.13","261,341,500.25","483,092,969.22","778,045,640.13","1,123,623,430.86","328,166,711.89","571,967,507.16","802,332,551.01","1,073,538,563.80","342,949,703.51","588,280,936.75","917,153,819.17","1,146,044,122.85"
偿还债务支付的现金,"47,000,000.00","40,000,000.00","30,000,000.00","30,000,000.00","32,000,000.00",,"45,400,000.00","45,400,000.00","45,400,000.00",,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","5,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00"
经营活动产生的现金流量净额,"24,874,373.59","21,194,984.04","138,187.88","-33,505,481.57","38,840,721.42","-41,253,044.87","-48,785,281.36","-64,487,269.05","-35,177,212.38","-23,044,070.07","-10,198,856.63","-1,346,742.68","82,163,472.21","-67,668,666.66","-74,785,608.64","-22,723,430.01","41,002,428.47","-31,860,033.60","-35,640,706.46","-31,267,717.01","54,869,611.66","-52,624,305.15","-73,474,241.45","-132,763,547.07","-9,092,586.42","14,754,819.43","-31,718,009.91","-5,543,079.22","123,928,174.44","-5,981,212.72","575,787.10","20,862,683.75","110,386,022.65","-78,317,764.21","-107,458,171.60","-181,503,325.08","29,908,986.82"
分配股利、利润或偿还利息支付的现金,"1,786,597.50","2,540,834.50","882,580.00","1,310,380.00","1,761,612.00","468,675.00","28,062,638.00","28,062,638.00","28,063,051.00",,"14,282,320.00","14,282,320.00","14,282,320.00",,"20,114,403.49","20,214,904.23","20,313,487.56","97,499.99","13,588,205.45","13,683,702.07","13,786,470.94","97,499.99","4,524,549.05","4,723,882.39","5,605,721.06","12,359,133.91","12,545,792.25","12,983,976.72","13,151,568.39","132,600.01","15,121,193.68","15,190,672.85","16,914,396.93","120,833.33","22,740,248.59","22,879,206.93","23,358,526.17"
收回投资收到的现金,"403,390.00",,,,,,,,"437,137.95",,,,,,,,,,,,,,"333,486,206.95","421,353,187.22","567,340,000.00","75,000,000.00","253,211,090.91","338,317,410.97","379,895,550.44",,,"6,000,000.00","1,269,000,000.00",,,"208,755.61","527,500,000.00"
支付其他与筹资活动有关的现金,"613,532.31","605,260.14","4,523,048.16","1,473,951.72","4,558,549.59","6,580,764.34","10,811,922.76","10,151,583.83","8,385,268.86","997,006.30","2,684,939.52","1,017,301.33","12,588,099.97",,,"2,408,674.26",,,,,,,,"429,026.06","11,028,781.08",,,,,,,,"31,538,016.88",,,,"14,988,072.70"
取得投资收益收到的现金,"507,707.34",,"2,112,936.74",,"2,112,936.74",,,,,,,,,,,,,,,,"3,221.60",,,,"4,329,434.70","234,876.71",,,"13,258,624.24","255,698.64","443,095.90","717,123.30","6,475,538.39",,"64,417.18","148,773.01","3,536,742.32"
