科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"270,679,985.18","306,119,890.85","337,332,771.27","198,532,298.09","450,433,205.85","135,287,730.58","271,575,637.21","419,054,912.90","615,810,322.31","170,569,774.79","304,333,407.61","452,008,611.78","575,718,355.28","122,568,246.49","238,405,394.70","350,437,333.54","512,390,368.91","132,015,188.41","309,268,486.62","453,599,446.10","628,779,607.76","141,256,966.07","278,095,257.36"
二、营业利润,"93,924,138.80","126,253,354.61","154,724,420.00","83,794,571.76","171,527,672.97","46,587,266.50","94,167,245.22","147,095,668.26","195,563,715.11","50,084,602.04","69,734,950.68","91,526,323.37","107,157,203.70","13,885,476.64","20,978,115.30","25,119,818.92","42,239,715.45","22,185,782.48","61,341,972.22","76,813,002.06","106,687,714.69","12,444,597.70","26,882,303.15"
减:营业成本,"127,740,605.25","134,063,064.54","146,909,252.78","88,038,857.76","196,946,069.66","65,767,176.43","125,707,915.72","187,109,014.00","294,256,013.45","79,284,398.56","166,194,592.87","264,639,295.32","369,504,345.05","85,284,796.34","173,280,322.62","246,631,082.73","347,293,071.10","78,237,906.62","178,978,444.02","278,895,639.28","394,901,634.40","98,539,873.98","198,331,977.21"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"752,999.69","1,654,054.19","243,696.65",,"2,498,781.71","335,560.30","335,560.30","335,560.30","1,618,152.92","1,794,506.24","4,628,356.58","6,001,507.07","7,431,123.71","1,174,200.49","2,458,521.79","3,741,676.87","7,278,708.50","2,135,939.88","4,407,854.04","6,389,970.06","8,825,826.11","2,054,602.29","4,530,476.34"
营业外收入,"6,506,921.67","3,461,163.46","10,901,287.79","967,741.92","9,710,190.55","2,921,470.96","7,091,707.71","11,606,814.81","27,844,270.33","8,231,617.53","23,775,679.89","33,579,619.89","49,512,927.19","4,560,577.62","9,146,649.42","14,598,745.20","18,597,543.91","5,180,593.95","931,845.41","1,128,154.26","19,969.72",,
销售费用,"2,564,081.56","1,602,900.34","2,259,702.32","722,283.41","1,703,091.50","426,129.57","595,685.64","993,501.86","1,971,619.02","362,417.44","1,277,121.01","2,076,983.31","2,523,065.73","524,944.35","1,070,405.96","1,697,849.44","2,405,754.22","426,774.00","920,030.22","1,690,862.56","2,137,404.91","441,676.10","791,214.05"
减:营业外支出,,760.00,"5,568.00","13,658.77","13,658.77",,"2,768.70","13,130.42","13,130.42",,"13,455,898.03","13,462,945.71","23,712,977.73",,,"3,854,761.10","3,854,761.10",,,"1,147,761.95","1,147,761.95",,"36,019.48"
管理费用,"45,405,495.95","40,130,252.18","37,445,470.08","24,252,352.39","73,985,784.13","24,657,694.82","55,001,194.89","92,494,962.02","132,718,524.73","52,179,586.16","88,385,536.68","121,149,822.15","131,613,224.49","22,892,229.88","51,368,694.16","89,461,560.30","139,521,920.89","33,613,099.11","73,461,694.29","108,050,797.84","149,174,771.10","33,153,335.04","73,833,309.02"
其中:非流动资产处置净损失,,760.00,"5,568.00","13,658.77","13,658.77",,"2,718.79","13,080.51","13,080.51",,"13,355,898.03","13,362,945.71","23,268,811.06",,,"3,854,745.70","3,854,745.70",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"260,879.13","2,249,892.05","-4,646,861.75","1,686,880.70","1,503,726.59","-2,550,679.77","-4,599,447.73","-9,217,948.94","-7,924,590.80","-11,574,374.52","-19,611,464.36","-26,730,710.61","-32,104,163.87","-108,754.28","-8,259,516.22","-12,013,365.42","-22,955,647.07","-2,207,407.34","-238,894.72","2,527,429.89","-1,330,986.10","529,057.51","-13,091,310.84"
三、利润总额,"100,431,060.47","129,713,758.07","165,620,139.79","84,748,654.91","181,224,204.75","49,508,737.46","101,256,184.23","158,689,352.65","223,394,855.02","58,316,219.57","80,054,732.54","111,642,997.55","132,957,153.16","18,446,054.26","30,124,764.72","35,863,803.02","56,982,498.26","27,366,376.43","62,273,817.63","76,793,394.37","105,559,922.46","12,444,597.70","26,846,283.67"
资产减值损失,"31,784.80","166,372.94","397,091.19","37,352.07","2,268,079.29","64,582.73","367,483.17","244,155.40","867,846.79","-446,265.24","-1,925,795.44","-2,056,581.43","-2,931,895.57","143,983.20","58,074.37","217,043.56","1,450,028.00","-1,025,495.38","-110,014.59","-383,421.05","-363,890.51","-142,945.60","143,455.96"
减:所得税,"9,688,691.14","15,030,307.39","27,708,370.91","12,315,074.80","27,492,044.01","7,602,985.77","14,952,305.29","23,119,487.65","27,083,977.03","8,915,442.21","11,009,935.29","15,989,067.16","19,681,849.57","2,356,515.81","4,201,791.07","5,601,329.41","4,229,226.51","4,082,624.41","9,753,900.53","12,116,715.50","9,868,185.47","1,987,138.89","2,628,100.45"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,"3,260,958.91","1,115,095.89","4,349,890.41","4,598,027.40","7,474,547.96","1,228,630.13","2,549,223.28","4,418,332.86","4,843,182.18","1,351,410.96","1,351,410.96","1,611,074.18","2,596,549.53","1,589,286.61","2,385,635.49"
四、净利润,"90,742,369.33","114,683,450.68","137,911,768.88","72,433,580.11","153,732,160.74","41,905,751.69","86,303,878.94","135,569,865.00","196,310,877.99","49,400,777.36","69,044,797.25","95,653,930.39","113,275,303.59","16,089,538.45","25,922,973.65","30,262,473.61","52,753,271.75","23,283,752.02","52,519,917.10","64,676,678.87","95,691,736.99","10,457,458.81","24,218,183.22"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"90,742,369.33","114,683,450.68","137,911,768.88","72,433,580.11","153,732,160.74","41,905,751.69","86,303,878.94","135,569,865.00","196,310,877.99","49,400,777.36","69,044,797.25","95,653,930.39","113,275,303.59","16,089,538.45","25,922,973.65","30,262,473.61","52,753,271.75","23,283,752.02","52,519,917.10","64,676,678.87","95,691,736.99","10,457,458.81","24,218,183.22"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,
