科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"712,312,283.01","751,302,193.86","734,996,037.46","198,085,437.22","403,403,839.40","617,725,823.59","873,937,513.62","286,108,139.27","543,642,794.38","784,605,486.57"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,
收到其他与经营活动有关的现金,"11,735,185.73","7,084,339.69","5,395,538.64","1,757,252.83","8,680,540.46","12,905,803.82","19,165,909.60","4,412,794.49","4,721,158.84","7,697,885.78"
投资活动现金流出小计,"93,393,791.34","118,585,103.46","60,960,512.43","16,982,539.17","31,211,544.51","237,967,194.77","422,191,528.18","125,675,403.29","312,834,202.75","613,505,093.72"
经营活动现金流入小计,"724,047,468.74","758,386,533.55","740,391,576.10","199,842,690.05","412,084,379.86","630,631,627.41","893,103,423.22","290,520,933.76","548,363,953.22","792,303,372.35"
投资活动产生的现金流量净额,"-83,584,125.94","-112,704,938.85","-60,553,535.94","-15,359,675.04","-29,439,650.38","-215,754,606.12","-217,970,010.51","-94,026,421.95","-128,268,363.23","-254,943,937.02"
购买商品、接受劳务支付的现金,"459,064,416.74","467,088,059.87","457,302,516.34","129,322,380.67","246,664,889.86","352,322,269.99","525,430,597.62","136,449,769.12","276,410,533.60","398,173,261.35"
吸收投资收到的现金,,,,"338,834,100.06","338,834,100.06","338,834,100.06","344,151,835.88",,,
支付给职工以及为职工支付的现金,"65,066,606.94","80,346,132.48","81,980,148.36","30,115,402.35","55,576,459.88","82,041,220.65","111,671,877.91","36,118,360.18","69,304,650.96","100,358,472.31"
取得借款收到的现金,"90,000,000.00","130,000,000.00","174,500,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,"50,000,000.00","80,000,000.00"
支付的各项税费,"58,290,109.08","46,015,612.72","55,098,664.26","15,535,048.60","35,515,014.98","51,806,851.97","77,953,886.02","17,105,826.42","42,526,470.40","60,534,362.94"
收到其他与筹资活动有关的现金,,,,"18,241,737.64","19,226,006.53","21,586,006.53","16,900,388.56",,,
支付其他与经营活动有关的现金,"51,494,170.29","65,712,048.41","72,976,310.57","23,542,166.56","45,478,734.93","69,812,341.95","108,555,055.78","26,440,997.40","60,110,516.16","87,584,666.18"
筹资活动现金流入小计,"90,000,000.00","130,000,000.00","174,500,000.00","377,075,837.70","378,060,106.59","380,420,106.59","381,052,224.44",,"50,000,000.00","80,000,000.00"
经营活动现金流出小计,"633,915,303.05","659,161,853.48","667,357,639.53","198,514,998.18","383,235,099.65","555,982,684.56","823,611,417.33","216,114,953.12","448,352,171.12","646,650,762.78"
偿还债务支付的现金,"88,000,000.00","80,000,000.00","170,000,000.00","135,000,000.00","154,500,000.00","154,500,000.00","154,500,000.00",,,
经营活动产生的现金流量净额,"90,132,165.69","99,224,680.07","73,033,936.57","1,327,691.87","28,849,280.21","74,648,942.85","69,492,005.89","74,405,980.64","100,011,782.10","145,652,609.57"
分配股利、利润或偿还利息支付的现金,"15,998,200.00","20,105,541.67","7,485,892.85","1,381,782.53","17,544,490.66","17,544,490.66","17,544,490.66",,"30,331,333.33","31,166,291.65"
收回投资收到的现金,,,,,,"20,000,000.00","199,811,980.71","30,000,000.00","180,000,000.00","351,637,500.00"
支付其他与筹资活动有关的现金,"900,000.00","6,362,115.70","12,488,272.86",,,,,,"1,691,518.00","1,691,518.00"
取得投资收益收到的现金,,,,,,"355,194.52","1,741,004.85","1,147,064.94","2,800,963.12","5,096,458.57"
筹资活动现金流出小计,"104,898,200.00","106,467,657.37","189,974,165.71","136,381,782.53","172,044,490.66","172,044,490.66","172,044,490.66",,"32,022,851.33","32,857,809.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,642,375.40","2,087,454.61","406,976.49","272,864.13","281,894.13","367,394.13","1,178,532.11","501,916.40","564,876.40","627,198.13"
筹资活动产生的现金流量净额,"-14,898,200.00","23,532,342.63","-15,474,165.71","240,694,055.17","206,015,615.93","208,375,615.93","209,007,733.78",,"17,977,148.67","47,142,190.35"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"34,096.68",,,,,,,,,
收到其他与投资活动有关的现金,"8,167,290.00","3,792,710.00",,"1,350,000.00","1,490,000.00","1,490,000.00","1,490,000.00",,"1,200,000.00","1,200,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"9,809,665.40","5,880,164.61","406,976.49","1,622,864.13","1,771,894.13","22,212,588.65","204,221,517.67","31,648,981.34","184,565,839.52","358,561,156.70"
五、现金及现金等价物净增加额,"-8,316,063.57","10,052,083.85","-2,993,765.08","226,662,072.00","205,425,245.76","67,269,952.66","60,529,729.16","-19,620,441.31","-10,279,432.46","-62,149,137.10"
购建固定资产、无形资产和其他长期资产支付的现金,"93,393,791.34","118,585,103.46","60,960,512.43","16,982,539.17","31,211,544.51","68,467,194.77","112,379,547.47","22,675,403.29","69,834,202.75","124,505,093.72"
期初现金及现金等价物余额,"32,775,486.44","24,459,422.87","34,511,506.72","31,517,741.64","31,517,741.64","31,517,741.64","31,517,741.64","92,047,470.80","92,047,470.80","92,047,470.80"
投资支付的现金,,,,,,"169,500,000.00","309,811,980.71","103,000,000.00","243,000,000.00","489,000,000.00"
期末现金及现金等价物余额,"24,459,422.87","34,511,506.72","31,517,741.64","258,179,813.64","236,942,987.40","98,787,694.30","92,047,470.80","72,427,029.49","81,768,038.34","29,898,333.70"
