科目,2007-12-31,2008-12-31,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"19,195,127.28","39,155,507.04","40,683,519.09","51,263,709.89","399,739,625.33","384,006,473.34","358,971,204.80","358,067,839.88","299,528,229.75","335,604,830.97","309,021,970.71","290,910,709.16","297,142,331.08","285,626,109.40","291,021,583.79","324,456,201.81","277,790,662.59","259,712,677.22","248,475,096.74","428,563,844.31","246,929,256.08","244,435,754.93","250,356,523.88","219,108,376.10","149,636,635.55","203,992,633.34","195,076,030.55","231,207,493.37","90,758,321.17","124,849,337.40","134,343,516.23","256,481,986.12","245,206,203.20","251,303,714.38","267,322,086.38","522,471,249.48","420,458,957.45","462,865,451.29","366,478,407.14","434,898,605.86","316,989,296.86"
短期借款,,,"16,000,000.00","35,000,000.00",,,,"10,000,000.00","10,000,000.00","28,000,000.00","8,000,000.00",,,,,,,,,"143,000,000.00",,,,,,"58,690,220.00","55,816,780.00","53,896,160.00","64,876,720.00","195,000,000.00","320,000,000.00","434,000,000.00","749,763,701.00","848,859,541.95","845,419,451.00","835,600,000.00","813,120,000.00","753,732,311.09","673,174,491.15","835,730,000.00","737,210,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,144,137.50",,,"20,000.00",,,,,,,,,"958,046.40","180,857.43",,,,,,,,,,"3,440,000.00","1,900,000.00",,,"21,383,629.24","1,244,975.76",,"250,000.00","11,205,053.69","10,269,721.73","1,013,882.90","3,391,240.00","113,151,132.22","4,246,284.88",,,"200,000.00",
应付票据,,,,,"3,378,018.25","1,258,950.00","5,266,774.51","27,724,687.83","14,402,252.81","23,258,905.97","12,679,972.56","19,958,369.20","14,639,644.92","11,165,398.86","11,967,135.87","8,637,125.65","19,057,856.29","23,044,563.31","32,772,749.02","28,501,664.17","12,862,702.04","16,397,920.23","30,046,113.08","23,871,062.40","15,159,871.53","19,725,960.34","10,557,441.44","44,502,925.38","39,168,413.62","63,684,521.21","76,579,058.57","80,521,807.12","68,248,752.61","50,104,725.76","115,574,120.51","74,989,695.17","59,894,821.56","129,357,885.64",,"96,423,321.86",
应收账款,"19,885,120.46","65,353,579.08","78,174,720.65","104,157,454.97","101,663,565.56","102,907,698.74","103,819,831.36","125,735,869.43","129,393,659.16","125,679,589.61","131,664,970.94","145,869,153.93","123,924,754.62","142,227,041.21","159,325,142.75","154,781,043.39","166,412,696.79","174,904,407.36","164,947,535.46","148,992,977.23","187,994,804.15","222,207,445.65","173,562,331.19","272,213,463.42","227,321,512.48","252,844,746.15","225,582,071.03","245,268,819.31","215,049,932.58","205,836,680.67","221,153,126.16","416,472,835.23","328,272,898.10","549,467,773.56","611,724,458.99","580,509,671.30","620,932,750.81","783,280,662.24","815,645,856.20","1,773,904,841.30","1,835,835,143.08"
应付账款,"17,862,536.98","31,568,097.38","30,634,059.98","70,627,713.10","62,292,848.16","56,086,107.55","40,424,146.04","52,051,486.18","49,048,263.75","33,709,172.97","60,245,881.50","55,460,664.20","56,456,200.01","62,914,636.46","54,326,065.69","58,610,820.95","58,730,527.66","69,308,319.51","72,745,060.65","127,715,415.43","166,818,887.98","164,565,549.85","135,676,125.39","187,482,447.12","160,973,866.90","166,960,327.58","174,801,829.73","234,383,544.30","254,470,980.51","258,259,644.37","239,635,686.24","434,708,289.26","289,824,311.92","378,943,470.80","402,567,800.51","533,489,795.00","539,755,530.83","407,230,194.85",,"665,597,393.78",
预付款项,"3,353,884.70","991,113.87","1,463,393.78","3,480,232.81","5,169,390.43","5,853,160.33","7,932,480.46","16,864,066.68","19,245,842.60","16,936,723.21","24,941,905.87","26,346,855.21","18,045,332.50","24,564,165.04","30,476,126.28","17,394,240.51","18,686,367.06","16,938,896.33","21,779,863.15","21,731,553.84","28,535,387.87","23,736,151.52","27,975,295.17","21,473,580.56","43,886,266.16","30,718,049.15","32,170,254.71","13,786,133.08","83,018,039.34","72,912,390.01","107,275,245.44","37,491,874.36","146,977,035.17","137,353,559.55","134,144,341.12","46,074,158.41","118,795,632.10","48,174,230.99","51,645,821.82","31,618,401.30","111,671,012.28"
预收款项,"1,985,598.28","276,467.43","506,710.00","389,736.24","389,736.24","437,986.24","511,170.16","591,170.16","204,840.00","4,803,071.96","344,840.00","624,650.40","1,909,650.40","12,051,619.20","37,583,634.77","78,802,893.24","55,153,238.16","72,637,768.57","40,882,697.64","40,674,140.35","58,167,811.34","35,798,868.52","53,770,273.27","27,167,324.98","36,853,800.46","41,890,755.97","53,322,436.41","62,812,242.28","61,087,024.06","19,998,248.89","76,076,607.13","72,286,344.43","62,248,355.48","65,567,926.87","99,096,810.41","165,689,730.76","139,376,326.40","80,046,324.18","146,928,076.50","119,678,726.88","102,816,631.93"
