科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"127,992,417.16","393,652,597.93","285,060,853.36","401,946,375.82","651,905,854.99","102,026,431.18","228,477,491.79","526,432,858.98","948,947,401.67","326,022,919.60","600,516,869.64","735,937,251.52","999,781,173.37","197,464,485.50","483,357,393.47","646,279,517.99","988,319,881.45","433,307,455.21","1,185,989,913.21","1,501,177,335.02","1,827,482,486.78","515,001,798.33","1,021,575,984.31","1,731,538,433.39","2,215,040,235.73","928,132,884.19","1,769,153,938.71","2,690,831,826.44","4,113,009,008.20","1,002,973,669.10","2,023,428,586.54","2,689,644,357.22","4,019,149,580.01","803,998,058.99","1,662,143,057.31","2,411,110,092.18","4,050,694,156.15"
取得子公司及其他营业单位支付的现金净额,"4,448,171.37",,"17,691,924.57","17,691,924.57","17,941,924.57",,"29,315,615.26","58,891,299.44","33,312,299.44",,,,,,,,"1,192,826.00",,,,"281,951,040.40",,"180,063,805.92","180,063,805.92","710,136,328.26",,,"125,000,000.00","1,093,304,009.79",,,,,,,,"18,599,205.16"
收到的税费返还,"2,587,313.66","6,433,709.00","2,379,994.00","4,980,729.76",,"19,624.64",,"10,232,681.24","10,232,681.24",,,,"251,241.98",,,,"130,051.31",,"76,600.00","78,499.09",,"163,831.26","1,017,265.79","1,380,233.34",,"144,478.42","288,556.50","288,556.50",,,"199,039.79","640,764.48",,,"17,301.24","17,301.24",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"1,192,826.00","1,192,826.00","1,192,826.00",,,"100,000,000.00",,"200,000,000.00",,,"100,000,000.00","100,978,432.06","105,000,000.00","200,000,000.00","371,041,494.68","120,821,733.81","30,000,000.00","60,000,000.00","83,896,342.68","2,281,981.40","2,009.00","25,215,362.24","50,734,919.39",
收到其他与经营活动有关的现金,"125,668,777.29","23,214,578.64","9,757,535.78","24,671,702.76","25,759,528.50","16,258,863.57","7,270,379.67","23,788,544.61","47,509,930.50","14,086,666.32","33,554,309.22","51,599,627.14","65,507,059.29","10,028,256.20","43,950,955.41","45,716,806.11","79,371,830.15","91,592,315.89","28,398,846.65","69,667,830.57","124,534,051.88","23,929,564.46","80,898,527.71","179,071,437.19","203,459,830.22","25,040,840.35","99,474,620.13","202,569,560.20","232,023,818.11","95,377,530.91","186,160,832.48","332,353,169.53","460,996,143.93","165,711,577.87","190,515,646.57","461,564,022.17","400,338,286.74"
投资活动现金流出小计,"25,789,309.13","43,873,536.60","25,278,729.57","26,611,528.86","26,383,883.74","2,859,224.53","132,040,607.31","224,574,037.79","232,994,246.40","80,572,143.69","184,614,484.00","265,853,835.83","316,181,263.50","70,783,561.92","158,255,249.30","257,462,969.81","420,216,445.25","25,787,155.92","628,703,809.65","563,959,527.82","1,069,708,777.42","52,624,341.58","306,741,627.13","644,389,760.81","1,058,983,509.56","269,728,675.46","548,611,270.46","1,579,182,958.85","4,288,776,394.04","1,842,909,449.19","2,557,189,058.18","2,911,391,433.12","4,105,448,112.04","353,555,467.94","559,913,289.92","981,740,329.68","1,469,539,929.38"
经营活动现金流入小计,"256,248,508.11","423,300,885.57","297,198,383.14","431,598,808.34","677,665,383.49","118,304,919.39","235,747,871.46","560,454,084.83","1,006,690,013.41","340,109,585.92","634,071,178.86","787,536,878.66","1,065,539,474.64","207,492,741.70","527,308,348.88","691,996,324.10","1,067,821,762.91","524,899,771.10","1,214,465,359.86","1,570,923,664.68","1,952,016,538.66","539,095,194.05","1,103,491,777.81","1,911,990,103.92","2,418,500,065.95","953,318,202.96","1,868,917,115.34","2,893,689,943.14","4,345,032,826.31","1,098,351,200.01","2,209,788,458.81","3,022,638,291.23","4,480,145,723.94","969,709,636.86","1,852,676,005.12","2,872,691,415.59","4,451,032,442.89"
投资活动产生的现金流量净额,"690,690.87","-43,869,936.60","-25,276,729.57","-26,609,528.86","-26,381,883.74","-2,855,064.53","-131,994,413.49","-224,527,843.97","-232,948,052.58","-80,572,143.69","-184,613,784.00","-265,853,135.83","-316,178,063.50","-70,782,961.92","-158,251,949.30","-257,456,719.81","-397,302,443.51","4,298,473.42","-184,537,791.70","82,300,765.06","-419,678,232.66","466,624,137.82","214,035,287.11","527,026,490.54","231,912,510.43","66,407,808.61","-111,449,937.07","-262,296,045.18","-3,351,784,210.27","-1,491,161,628.04","-2,138,826,225.28","-1,993,031,519.78","-2,353,058,573.09","-341,437,315.29","-102,223,851.40","-145,837,046.47","-441,713,130.87"
购买商品、接受劳务支付的现金,"152,148,934.69","319,029,885.23","178,863,531.12","267,291,365.69","439,315,736.50","119,626,402.62","285,891,782.24","425,063,515.04","530,833,452.25","153,241,585.76","347,787,994.55","704,851,168.61","948,117,948.81","186,447,600.11","454,913,826.43","779,799,205.41","854,166,353.31","279,461,791.47","523,707,787.00","646,760,852.19","805,376,688.64","240,879,680.68","510,570,414.67","988,202,752.41","1,402,256,489.81","550,310,836.46","973,555,341.02","1,531,048,048.58","2,087,261,903.13","452,495,917.55","653,980,875.80","1,082,263,529.59","1,490,319,479.04","440,050,745.13","1,174,323,798.33","1,483,379,697.76","2,498,870,912.92"
吸收投资收到的现金,"55,000,000.00","77,760,000.00",,,"1,162,349,200.00",,,,"2,000,000.00",,,,"500,000.00",,,,"490,000.00",,,,,,"243,872,000.00","253,872,000.00","276,881,924.30","2,554,443.25","2,554,443.25","3,580,634,435.42","3,636,323,644.89","15,440,217.65","11,275,741.57","12,687,224.30","27,116,733.45","15,809,755.25","169,810,000.00","184,310,000.00","334,310,000.00"
支付给职工以及为职工支付的现金,"9,727,222.38","25,685,581.58","17,846,261.90","28,593,064.17","40,891,397.36","14,591,059.89","27,439,878.42","47,227,095.86","57,436,931.01","15,403,345.43","35,193,673.46","58,743,489.61","82,418,692.74","18,433,756.01","42,262,379.65","57,229,120.12","107,124,222.46","22,188,711.37","55,779,933.99","92,605,110.24","125,058,727.85","21,915,033.97","54,624,285.27","111,240,217.74","200,235,740.09","90,774,128.04","185,049,986.00","290,612,162.99","364,331,715.93","166,169,210.27","272,515,155.62","414,704,738.19","435,755,171.08","112,471,586.44","215,528,973.90","304,433,330.28","425,783,972.01"
